match_id,team1,team2,prediction
M73,A2(Mexico),B2(Switzerland),
M73,A2(Mexico),B2(Canada),maybe
M73,A2(Mexico),B2(Bosnia & H.),
M73,A2(South Korea),B2(Switzerland),maybe
M73,A2(South Korea),B2(Canada),maybe
M73,A2(South Korea),B2(Bosnia & H.),maybe
M73,A2(Czech Republic),B2(Switzerland),
M73,A2(Czech Republic),B2(Canada),maybe
M73,A2(Czech Republic),B2(Bosnia & H.),
M73,A2(South Africa),B2(Switzerland),
M73,A2(South Africa),B2(Canada),maybe
M73,A2(South Africa),B2(Bosnia & H.),
M74,E1(Germany),ABCDF3(Mexico),yes
M74,E1(Germany),ABCDF3(South Korea),maybe
M74,E1(Germany),ABCDF3(Czech Republic),maybe
M74,E1(Germany),ABCDF3(South Africa),maybe
M74,E1(Germany),ABCDF3(Switzerland),yes
M74,E1(Germany),ABCDF3(Canada),maybe
M74,E1(Germany),ABCDF3(Bosnia & H.),maybe
M74,E1(Germany),ABCDF3(Morocco),yes
M74,E1(Germany),ABCDF3(Brazil),maybe
M74,E1(Germany),ABCDF3(Scotland),maybe
M74,E1(Germany),ABCDF3(Haiti),maybe
M74,E1(Germany),ABCDF3(Turkey),yes
M74,E1(Germany),ABCDF3(USA),maybe
M74,E1(Germany),ABCDF3(Australia),maybe
M74,E1(Germany),ABCDF3(Paraguay),maybe
M74,E1(Germany),ABCDF3(Netherlands),yes
M74,E1(Germany),ABCDF3(Japan),maybe
M74,E1(Germany),ABCDF3(Sweden),maybe
M74,E1(Germany),ABCDF3(Tunisia),maybe
M74,E1(Ecuador),ABCDF3(Mexico),
M74,E1(Ecuador),ABCDF3(South Korea),maybe
M74,E1(Ecuador),ABCDF3(Czech Republic),maybe
M74,E1(Ecuador),ABCDF3(South Africa),maybe
M74,E1(Ecuador),ABCDF3(Switzerland),
M74,E1(Ecuador),ABCDF3(Canada),maybe
M74,E1(Ecuador),ABCDF3(Bosnia & H.),maybe
M74,E1(Ecuador),ABCDF3(Morocco),
M74,E1(Ecuador),ABCDF3(Brazil),maybe
M74,E1(Ecuador),ABCDF3(Scotland),maybe
M74,E1(Ecuador),ABCDF3(Haiti),maybe
