match_id,team1,team2
M73,A2(Mexico),B2(Switzerland)
M73,A2(Mexico),B2(Canada)
M73,A2(Mexico),B2(Bosnia & H.)
M73,A2(Mexico),B2(Qatar)
M73,A2(South Korea),B2(Switzerland)
M73,A2(South Korea),B2(Canada)
M73,A2(South Korea),B2(Bosnia & H.)
M73,A2(South Korea),B2(Qatar)
M73,A2(Czech Republic),B2(Switzerland)
M73,A2(Czech Republic),B2(Canada)
M73,A2(Czech Republic),B2(Bosnia & H.)
M73,A2(Czech Republic),B2(Qatar)
M73,A2(South Africa),B2(Switzerland)
M73,A2(South Africa),B2(Canada)
M73,A2(South Africa),B2(Bosnia & H.)
M73,A2(South Africa),B2(Qatar)
M74,E1(Germany),ABCDF3(Mexico)
M74,E1(Germany),ABCDF3(South Korea)
M74,E1(Germany),ABCDF3(Czech Republic)
M74,E1(Germany),ABCDF3(South Africa)
M74,E1(Germany),ABCDF3(Switzerland)
M74,E1(Germany),ABCDF3(Canada)
M74,E1(Germany),ABCDF3(Bosnia & H.)
M74,E1(Germany),ABCDF3(Qatar)
M74,E1(Germany),ABCDF3(Morocco)
M74,E1(Germany),ABCDF3(Brazil)
M74,E1(Germany),ABCDF3(Scotland)
M74,E1(Germany),ABCDF3(Haiti)
M74,E1(Germany),ABCDF3(Turkey)
M74,E1(Germany),ABCDF3(USA)
M74,E1(Germany),ABCDF3(Australia)
M74,E1(Germany),ABCDF3(Paraguay)
M74,E1(Germany),ABCDF3(Netherlands)
M74,E1(Germany),ABCDF3(Japan)
M74,E1(Germany),ABCDF3(Sweden)
M74,E1(Germany),ABCDF3(Tunisia)
M74,E1(Ecuador),ABCDF3(Mexico)
M74,E1(Ecuador),ABCDF3(South Korea)
M74,E1(Ecuador),ABCDF3(Czech Republic)
M74,E1(Ecuador),ABCDF3(South Africa)
M74,E1(Ecuador),ABCDF3(Switzerland)
M74,E1(Ecuador),ABCDF3(Canada)
M74,E1(Ecuador),ABCDF3(Bosnia & H.)
M74,E1(Ecuador),ABCDF3(Qatar)
M74,E1(Ecuador),ABCDF3(Morocco)
M74,E1(Ecuador),ABCDF3(Brazil)
M74,E1(Ecuador),ABCDF3(Scotland)
M74,E1(Ecuador),ABCDF3(Haiti)
M74,E1(Ecuador),ABCDF3(Turkey)
M74,E1(Ecuador),ABCDF3(USA)
M74,E1(Ecuador),ABCDF3(Australia)
M74,E1(Ecuador),ABCDF3(Paraguay)
M74,E1(Ecuador),ABCDF3(Netherlands)
M74,E1(Ecuador),ABCDF3(Japan)
M74,E1(Ecuador),ABCDF3(Sweden)
M74,E1(Ecuador),ABCDF3(Tunisia)
M74,E1(Ivory Coast),ABCDF3(Mexico)
M74,E1(Ivory Coast),ABCDF3(South Korea)
M74,E1(Ivory Coast),ABCDF3(Czech Republic)
M74,E1(Ivory Coast),ABCDF3(South Africa)
M74,E1(Ivory Coast),ABCDF3(Switzerland)
M74,E1(Ivory Coast),ABCDF3(Canada)
M74,E1(Ivory Coast),ABCDF3(Bosnia & H.)
M74,E1(Ivory Coast),ABCDF3(Qatar)
M74,E1(Ivory Coast),ABCDF3(Morocco)
M74,E1(Ivory Coast),ABCDF3(Brazil)
M74,E1(Ivory Coast),ABCDF3(Scotland)
M74,E1(Ivory Coast),ABCDF3(Haiti)
M74,E1(Ivory Coast),ABCDF3(Turkey)
M74,E1(Ivory Coast),ABCDF3(USA)
M74,E1(Ivory Coast),ABCDF3(Australia)
M74,E1(Ivory Coast),ABCDF3(Paraguay)
M74,E1(Ivory Coast),ABCDF3(Netherlands)
M74,E1(Ivory Coast),ABCDF3(Japan)
M74,E1(Ivory Coast),ABCDF3(Sweden)
M74,E1(Ivory Coast),ABCDF3(Tunisia)
M74,E1(Curacao),ABCDF3(Mexico)
M74,E1(Curacao),ABCDF3(South Korea)
M74,E1(Curacao),ABCDF3(Czech Republic)
M74,E1(Curacao),ABCDF3(South Africa)
M74,E1(Curacao),ABCDF3(Switzerland)
M74,E1(Curacao),ABCDF3(Canada)
M74,E1(Curacao),ABCDF3(Bosnia & H.)
M74,E1(Curacao),ABCDF3(Qatar)
M74,E1(Curacao),ABCDF3(Morocco)
M74,E1(Curacao),ABCDF3(Brazil)
M74,E1(Curacao),ABCDF3(Scotland)
M74,E1(Curacao),ABCDF3(Haiti)
M74,E1(Curacao),ABCDF3(Turkey)
M74,E1(Curacao),ABCDF3(USA)
M74,E1(Curacao),ABCDF3(Australia)
M74,E1(Curacao),ABCDF3(Paraguay)
M74,E1(Curacao),ABCDF3(Netherlands)
M74,E1(Curacao),ABCDF3(Japan)
M74,E1(Curacao),ABCDF3(Sweden)
M74,E1(Curacao),ABCDF3(Tunisia)
M75,F1(Netherlands),C2(Morocco)
M75,F1(Netherlands),C2(Brazil)
M75,F1(Netherlands),C2(Scotland)
M75,F1(Netherlands),C2(Haiti)
M75,F1(Japan),C2(Morocco)
M75,F1(Japan),C2(Brazil)
M75,F1(Japan),C2(Scotland)
M75,F1(Japan),C2(Haiti)
M75,F1(Sweden),C2(Morocco)
M75,F1(Sweden),C2(Brazil)
M75,F1(Sweden),C2(Scotland)
M75,F1(Sweden),C2(Haiti)
M75,F1(Tunisia),C2(Morocco)
M75,F1(Tunisia),C2(Brazil)
M75,F1(Tunisia),C2(Scotland)
M75,F1(Tunisia),C2(Haiti)
M76,C1(Morocco),F2(Netherlands)
M76,C1(Morocco),F2(Japan)
M76,C1(Morocco),F2(Sweden)
M76,C1(Morocco),F2(Tunisia)
M76,C1(Brazil),F2(Netherlands)
M76,C1(Brazil),F2(Japan)
M76,C1(Brazil),F2(Sweden)
M76,C1(Brazil),F2(Tunisia)
M76,C1(Scotland),F2(Netherlands)
M76,C1(Scotland),F2(Japan)
M76,C1(Scotland),F2(Sweden)
M76,C1(Scotland),F2(Tunisia)
M76,C1(Haiti),F2(Netherlands)
M76,C1(Haiti),F2(Japan)
M76,C1(Haiti),F2(Sweden)
M76,C1(Haiti),F2(Tunisia)
M77,I1(Senegal),CDFGH3(Morocco)
M77,I1(Senegal),CDFGH3(Brazil)
M77,I1(Senegal),CDFGH3(Scotland)
M77,I1(Senegal),CDFGH3(Haiti)
M77,I1(Senegal),CDFGH3(Turkey)
M77,I1(Senegal),CDFGH3(USA)
M77,I1(Senegal),CDFGH3(Australia)
