stage,date,team1,team2,team1_goals,team2_goals
groups,2024-06-14,Germany,Scotland,5,1
groups,2024-06-15,Italy,Albania,2,1
groups,2024-06-15,Spain,Croatia,3,0
groups,2024-06-15,Hungary,Switzerland,1,3
groups,2024-06-16,Denmark,Slovenia,1,1
groups,2024-06-16,England,Serbia,1,0
groups,2024-06-16,Netherlands,Poland,2,1
groups,2024-06-17,France,Austria,1,0
groups,2024-06-17,Ukraine,Romania,0,3
groups,2024-06-17,Belgium,Slovakia,0,1
groups,2024-06-18,Portugal,Czechia,2,1
groups,2024-06-18,Turkey,Georgia,3,1
groups,2024-06-19,Croatia,Albania,2,2
groups,2024-06-19,Germany,Hungary,2,0
groups,2024-06-19,Switzerland,Scotland,1,1
groups,2024-06-20,England,Denmark,1,1
groups,2024-06-20,Serbia,Slovenia,1,1
groups,2024-06-20,Spain,Italy,1,0
groups,2024-06-21,Austria,Poland,3,1
groups,2024-06-21,France,Netherlands,0,0
groups,2024-06-21,Ukraine,Slovakia,2,1
groups,2024-06-22,Belgium,Romania,2,0
groups,2024-06-22,Czechia,Georgia,1,1
groups,2024-06-22,Portugal,Turkey,3,0
groups,2024-06-23,Germany,Switzerland,1,1
groups,2024-06-23,Hungary,Scotland,1,0
groups,2024-06-24,Croatia,Italy,1,1
groups,2024-06-24,Spain,Albania,1,0
groups,2024-06-25,Netherlands,Austria,2,3
groups,2024-06-25,Denmark,Serbia,0,0
groups,2024-06-25,England,Slovenia,0,0
groups,2024-06-25,France,Poland,1,1
groups,2024-06-26,Belgium,Ukraine,0,0
groups,2024-06-26,Portugal,Georgia,0,2
groups,2024-06-26,Slovakia,Romania,1,1
groups,2024-06-26,Czechia,Turkey,1,2
