tournament,band,matches,predicted_win_rate,actual_win_rate
world_cup_2006,35-45,13,0.3967,0.4615
world_cup_2006,45-55,23,0.5026,0.7391
world_cup_2006,55-65,8,0.5786,0.5000
world_cup_2006,65-75,4,0.6732,1.0000
world_cup_2010,35-45,15,0.4051,0.2667
world_cup_2010,45-55,21,0.5021,0.5238
world_cup_2010,55-65,8,0.6103,0.7500
world_cup_2010,65-75,3,0.6729,0.6667
world_cup_2010,75-85,1,0.7740,1.0000
world_cup_2014,35-45,20,0.4037,0.6000
world_cup_2014,45-55,19,0.5024,0.6316
world_cup_2014,55-65,5,0.5803,0.8000
world_cup_2014,65-75,3,0.6717,0.6667
world_cup_2014,75-85,1,0.7940,1.0000
world_cup_2018,35-45,11,0.4129,0.3636
world_cup_2018,45-55,13,0.4989,0.8462
world_cup_2018,55-65,11,0.5907,0.3636
world_cup_2018,65-75,9,0.7003,0.7778
world_cup_2018,75-85,4,0.8039,1.0000
world_cup_2022,35-45,11,0.3945,0.3636
world_cup_2022,45-55,11,0.4992,0.4545
world_cup_2022,55-65,10,0.6131,0.4000
world_cup_2022,65-75,12,0.6859,0.7500
world_cup_2022,75-85,2,0.7853,1.0000
world_cup_2022,85-101,2,0.8670,0.0000
euros_2016,35-45,16,0.4107,0.3750
euros_2016,45-55,15,0.4996,0.3333
euros_2016,55-65,4,0.6090,0.7500
euros_2016,65-75,1,0.6777,1.0000
euros_2020,35-45,14,0.4232,0.6429
euros_2020,45-55,14,0.5036,0.7143
euros_2020,55-65,7,0.5938,0.5714
euros_2020,65-75,1,0.6715,1.0000
euros_2024,35-45,6,0.4140,0.3333
euros_2024,45-55,14,0.5012,0.3571
euros_2024,55-65,7,0.5903,0.4286
euros_2024,65-75,6,0.6885,0.8333
euros_2024,75-85,3,0.7670,0.3333
combined,35-45,106,0.4072,0.4434
combined,45-55,130,0.5014,0.5846
combined,55-65,60,0.5961,0.5333
combined,65-75,39,0.6856,0.7949
combined,75-85,11,0.7868,0.8182
combined,85-101,2,0.8670,0.0000
