tournament,scoreline,predicted_frequency,actual_frequency
world_cup_2006,0-0,0.0847,0.1042
world_cup_2006,1-0,0.1192,0.1667
world_cup_2006,0-1,0.0889,0.0000
world_cup_2006,1-1,0.1202,0.0625
world_cup_2006,2-0,0.0876,0.2292
world_cup_2006,0-2,0.0503,0.0000
world_cup_2006,2-1,0.0846,0.1250
world_cup_2006,1-2,0.0640,0.0000
world_cup_2006,3-0,0.0442,0.0625
world_cup_2006,0-3,0.0200,0.0000
world_cup_2010,0-0,0.0842,0.1250
world_cup_2010,1-0,0.1149,0.2708
world_cup_2010,0-1,0.0940,0.0000
world_cup_2010,1-1,0.1187,0.1250
world_cup_2010,2-0,0.0825,0.1250
world_cup_2010,0-2,0.0566,0.0000
world_cup_2010,2-1,0.0803,0.1458
world_cup_2010,1-2,0.0670,0.0000
world_cup_2010,3-0,0.0412,0.0208
world_cup_2010,0-3,0.0243,0.0208
world_cup_2014,0-0,0.0843,0.1042
world_cup_2014,1-0,0.1180,0.1667
world_cup_2014,0-1,0.0906,0.0000
world_cup_2014,1-1,0.1206,0.0417
world_cup_2014,2-0,0.0856,0.0417
world_cup_2014,0-2,0.0520,0.0000
world_cup_2014,2-1,0.0837,0.2292
world_cup_2014,1-2,0.0659,0.0000
world_cup_2014,3-0,0.0424,0.0833
world_cup_2014,0-3,0.0207,0.0000
world_cup_2018,0-0,0.0822,0.0208
world_cup_2018,1-0,0.1336,0.2292
world_cup_2018,0-1,0.0694,0.0417
world_cup_2018,1-1,0.1085,0.0833
world_cup_2018,2-0,0.1138,0.0833
world_cup_2018,0-2,0.0329,0.0417
world_cup_2018,2-1,0.0868,0.1875
world_cup_2018,1-2,0.0490,0.0417
world_cup_2018,3-0,0.0660,0.0625
world_cup_2018,0-3,0.0113,0.0417
world_cup_2022,0-0,0.0807,0.1250
world_cup_2022,1-0,0.1335,0.0833
world_cup_2022,0-1,0.0671,0.1042
world_cup_2022,1-1,0.1061,0.0625
world_cup_2022,2-0,0.1157,0.1875
world_cup_2022,0-2,0.0317,0.0417
world_cup_2022,2-1,0.0866,0.0417
world_cup_2022,1-2,0.0480,0.1250
world_cup_2022,3-0,0.0687,0.0208
world_cup_2022,0-3,0.0109,0.0000
euros_2016,0-0,0.0847,0.1111
euros_2016,1-0,0.1111,0.2778
euros_2016,0-1,0.0975,0.0000
euros_2016,1-1,0.1224,0.1389
euros_2016,2-0,0.0761,0.1667
euros_2016,0-2,0.0589,0.0000
euros_2016,2-1,0.0804,0.1667
euros_2016,1-2,0.0713,0.0000
euros_2016,3-0,0.0363,0.0833
euros_2016,0-3,0.0248,0.0000
euros_2020,0-0,0.0850,0.0556
euros_2020,1-0,0.1148,0.1667
euros_2020,0-1,0.0942,0.0556
euros_2020,1-1,0.1206,0.1111
euros_2020,2-0,0.0811,0.0833
euros_2020,0-2,0.0555,0.0278
euros_2020,2-1,0.0827,0.0556
euros_2020,1-2,0.0678,0.0278
euros_2020,3-0,0.0393,0.0833
euros_2020,0-3,0.0231,0.0556
euros_2024,0-0,0.0780,0.1111
euros_2024,1-0,0.1286,0.1389
euros_2024,0-1,0.0687,0.0278
euros_2024,1-1,0.1105,0.2500
euros_2024,2-0,0.1094,0.0556
euros_2024,0-2,0.0321,0.0278
euros_2024,2-1,0.0904,0.1111
euros_2024,1-2,0.0504,0.0278
euros_2024,3-0,0.0633,0.0556
euros_2024,0-3,0.0107,0.0278
combined,0-0,0.0830,0.0948
combined,1-0,0.1221,0.1868
combined,0-1,0.0835,0.0287
combined,1-1,0.1158,0.1034
combined,2-0,0.0945,0.1236
combined,0-2,0.0460,0.0172
combined,2-1,0.0844,0.1351
combined,1-2,0.0601,0.0287
combined,3-0,0.0506,0.0575
combined,0-3,0.0181,0.0172
