stage,date,team1,team2,team1_goals,team2_goals
groups,2010-06-11,France,Uruguay,0,0
groups,2010-06-11,South Africa,Mexico,1,1
groups,2010-06-12,Argentina,Nigeria,1,0
groups,2010-06-12,England,United States,1,1
groups,2010-06-12,South Korea,Greece,2,0
groups,2010-06-13,Germany,Australia,4,0
groups,2010-06-13,Ghana,Serbia,1,0
groups,2010-06-13,Slovenia,Algeria,1,0
groups,2010-06-14,Italy,Paraguay,1,1
groups,2010-06-14,Japan,Cameroon,1,0
groups,2010-06-14,Netherlands,Denmark,2,0
groups,2010-06-15,Brazil,North Korea,2,1
groups,2010-06-15,Ivory Coast,Portugal,0,0
groups,2010-06-15,New Zealand,Slovakia,1,1
groups,2010-06-16,Chile,Honduras,1,0
groups,2010-06-16,South Africa,Uruguay,0,3
groups,2010-06-16,Switzerland,Spain,1,0
groups,2010-06-17,Argentina,South Korea,4,1
groups,2010-06-17,Greece,Nigeria,2,1
groups,2010-06-17,Mexico,France,2,0
groups,2010-06-18,Algeria,England,0,0
groups,2010-06-18,Serbia,Germany,1,0
groups,2010-06-18,Slovenia,United States,2,2
groups,2010-06-19,Australia,Ghana,1,1
groups,2010-06-19,Denmark,Cameroon,2,1
groups,2010-06-19,Netherlands,Japan,1,0
groups,2010-06-20,Brazil,Ivory Coast,3,1
groups,2010-06-20,Italy,New Zealand,1,1
groups,2010-06-20,Paraguay,Slovakia,2,0
groups,2010-06-21,Chile,Switzerland,1,0
groups,2010-06-21,Portugal,North Korea,7,0
groups,2010-06-21,Spain,Honduras,2,0
groups,2010-06-22,Argentina,Greece,2,0
groups,2010-06-22,Nigeria,South Korea,2,2
groups,2010-06-22,South Africa,France,2,1
groups,2010-06-22,Uruguay,Mexico,1,0
groups,2010-06-23,Australia,Serbia,2,1
groups,2010-06-23,England,Slovenia,1,0
groups,2010-06-23,Germany,Ghana,1,0
groups,2010-06-23,United States,Algeria,1,0
groups,2010-06-24,Japan,Denmark,3,1
groups,2010-06-24,Netherlands,Cameroon,2,1
groups,2010-06-24,New Zealand,Paraguay,0,0
groups,2010-06-24,Slovakia,Italy,3,2
groups,2010-06-25,Brazil,Portugal,0,0
groups,2010-06-25,Honduras,Switzerland,0,0
groups,2010-06-25,Ivory Coast,North Korea,3,0
groups,2010-06-25,Spain,Chile,2,1
