year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1941	08	24	Afghanistan	Iran	1	0	IND		29	929	1571	−	−	96	45
1948	06	03	India	Afghanistan	4	0	F		0	1658	929	0	0	32	106
1948	07	26	Luxembourg	Afghanistan	6	0	OG	EN	14	1304	915	+1	0	85	107
1949	10	26	Iran	Afghanistan	4	0	F		0	1571	915	0	0	44	112
1951	03	07	India	Afghanistan	3	0	ASG		1	1669	914	0	0	29	114
1951	03	09	Japan	Afghanistan	2	0	ASG	IN	6	1301	908	+2	0	91	114
1954	05	04	South Korea	Afghanistan	8	2	ASG	PH	1	1713	907	0	0	21	133
1954	05	06	Hong Kong	Afghanistan	4	2	ASG	PH	3	1437	904	0	0	78	133
1959	08	27	Afghanistan	India	2	5	OQ		-3	901	1519	0	0	143	63
1975	11	21	Saudi Arabia	Afghanistan	2	0	SQ	IQ	4	1374	897	+2	0	100	171
1975	11	23	Iraq	Afghanistan	3	1	SQ		1	1551	896	0	0	55	171
1975	11	25	Qatar	Afghanistan	2	1	SQ	IQ	13	1035	883	0	−2	158	173
1975	11	28	Saudi Arabia	Afghanistan	6	0	SQ	IQ	5	1357	878	+1	0	106	173
1975	11	30	Iraq	Afghanistan	4	0	SQ		1	1540	877	−1	0	58	173
1975	12	02	Afghanistan	Qatar	1	1	SQ	IQ	8	885	1020	0	−1	173	159
1976	07	19	Afghanistan	Pakistan	1	0	RDC		25	910	1261	+3	−5	171	122
1976	07	24	Afghanistan	India	1	1	RDC		11	921	1324	+3	−2	168	111
1976	10	12	Pakistan	Afghanistan	1	0	GLT		2	1266	919	0	0	121	168
1977	07	24	Afghanistan	India	0	3	RDC		-11	908	1267	−4	+3	172	120
1979	03	01	Bangladesh	Afghanistan	2	2	SQ		-10	983	918	0	+4	164	169
1979	03	02	Qatar	Afghanistan	3	0	SQ	BD	18	1120	900	+4	−4	145	173
1979	03	05	Bangladesh	Afghanistan	3	2	SQ		10	995	890	0	−1	164	174
1979	03	06	Qatar	Afghanistan	3	0	SQ	BD	15	1133	875	+1	−1	144	175
1984	02	17	Kuwait	Afghanistan	1	0	F		0	1616	875	0	0	42	178
1984	02	19	Kuwait	Afghanistan	2	0	F		0	1616	875	0	0	42	178
1984	09	10	Qatar	Afghanistan	8	0	SQ	CN	2	1526	873	0	0	62	177
1984	09	12	China	Afghanistan	6	0	SQ		1	1577	872	0	0	53	177
1984	09	15	Afghanistan	Hong Kong	0	0	SQ	CN	16	888	1256	+2	−5	175	125
1984	09	20	Jordan	Afghanistan	6	1	SQ	CN	16	1147	872	+2	−2	146	177
2003	01	10	Sri Lanka	Afghanistan	1	0	SFF	BD	17	935	855	+1	−2	192	203
2003	01	12	India	Afghanistan	4	0	SFF	BD	15	1112	840	+8	−4	167	207
2003	01	14	Pakistan	Afghanistan	1	0	SFF	BD	19	868	821	+4	0	201	207
2003	03	16	Afghanistan	Kyrgyzstan	2	1	SQ	NP	35	856	1134	+4	−5	203	164
2003	03	18	Nepal	Afghanistan	4	0	SQ		26	887	830	+3	−4	199	207
2003	11	19	Turkmenistan	Afghanistan	11	0	WQ		2	1460	828	+1	0	89	207
2003	11	23	Afghanistan	Turkmenistan	0	2	WQ		-3	825	1463	0	0	207	89
2005	11	09	Tajikistan	Afghanistan	4	0	FRC		2	1350	823	+2	−1	112	207
2005	12	07	Maldives	Afghanistan	9	1	SFF	PK	26	1022	797	+3	0	185	207
2005	12	09	Pakistan	Afghanistan	1	0	SFF		10	908	787	+1	0	196	207
2005	12	11	Afghanistan	Sri Lanka	2	1	SFF	PK	28	815	913	0	−3	207	195
2006	04	01	India	Afghanistan	2	0	ACH	BD	8	1148	807	0	0	166	207
2006	04	03	Afghanistan	Taiwan	2	2	ACH	BD	9	816	966	+1	0	206	191
2006	04	05	Afghanistan	Philippines	1	1	ACH	BD	-6	810	713	0	0	206	214
2007	10	08	Syria	Afghanistan	3	0	WQ		1	1472	809	+2	0	88	205
2007	10	26	Syria	Afghanistan	2	1	WQ	TJ	1	1473	808	0	0	88	205
2008	05	05	Afghanistan	Bangladesh	0	0	SCQ	KG	9	817	963	0	−1	206	190
2008	05	07	Kyrgyzstan	Afghanistan	0	1	SCQ		-38	1154	855	−9	+2	166	204
2008	06	04	Sri Lanka	Afghanistan	2	2	SFF		-12	991	867	−1	+1	187	203
2008	06	06	Afghanistan	Bangladesh	2	2	SFF	LK	4	871	937	0	0	203	193
2008	06	08	Bhutan	Afghanistan	3	1	SFF	LK	49	654	822	+1	−4	222	206
2008	07	30	India	Afghanistan	1	0	SQC		3	1151	819	+1	0	168	206
2008	08	01	Turkmenistan	Afghanistan	5	0	SQC	IN	4	1318	815	0	0	125	206
2008	08	03	Tajikistan	Afghanistan	4	0	SQC	IN	4	1299	811	+1	−1	127	207
2008	10	17	Afghanistan	Nepal	2	2	MRD	MY	5	816	933	0	0	207	191
2008	10	20	Malaysia	Afghanistan	6	0	MRD		4	1174	812	0	0	163	207
2009	12	05	India	Afghanistan	1	0	SFF	BD	3	1230	809	0	0	148	207
2009	12	07	Maldives	Afghanistan	3	1	SFF	BD	10	1098	799	0	0	177	207
2009	12	09	Nepal	Afghanistan	3	0	SFF	BD	20	976	779	+4	−2	187	209
2010	11	17	Tajikistan	Afghanistan	1	0	F		1	1284	778	0	0	136	210
2011	03	23	Afghanistan	Bhutan	3	0	SCQ	IN	18	796	581	+2	−2	208	227
2011	03	25	Afghanistan	Bhutan	2	0	SCQ	IN	13	809	568	+1	−2	207	229
2011	04	07	Nepal	Afghanistan	1	0	SCQ		7	985	802	0	−1	189	208
2011	04	09	Afghanistan	Sri Lanka	1	0	SCQ	NP	27	829	909	+3	−3	205	195
2011	04	11	North Korea	Afghanistan	2	0	SCQ	NP	1	1497	828	0	0	90	205
2011	06	29	Palestine	Afghanistan	2	0	WQ	TJ	6	1219	822	0	−2	155	207
2011	07	03	Palestine	Afghanistan	1	1	WQ		-18	1201	840	−4	+1	158	205
2011	12	03	India	Afghanistan	1	1	SFF		-17	1170	857	−3	+1	162	204
2011	12	05	Afghanistan	Sri Lanka	3	1	SFF	IN	34	891	873	+3	−6	201	203
2011	12	07	Afghanistan	Bhutan	8	1	SFF	IN	12	903	546	+3	−1	198	230
2011	12	09	Afghanistan	Nepal	1	0	SFF	IN	26	929	976	+4	−2	194	189
2011	12	11	India	Afghanistan	4	0	SFF		8	1203	921	+4	−2	154	196
2013	03	02	Afghanistan	Sri Lanka	1	0	SCQ	LA	17	938	847	+4	−2	195	208
2013	03	04	Afghanistan	Mongolia	1	0	SCQ	LA	14	952	816	0	0	195	209
2013	03	06	Laos	Afghanistan	1	1	SCQ		-1	870	953	+1	0	205	195
2013	06	04	Tajikistan	Afghanistan	3	2	F		2	1238	951	+1	0	145	195
2013	08	20	Afghanistan	Pakistan	3	0	F		12	963	923	+2	−3	193	199
2013	09	02	Afghanistan	Bhutan	3	0	SFF	NP	6	969	540	+1	−1	191	236
2013	09	04	Afghanistan	Sri Lanka	3	1	SFF	NP	19	988	822	+1	−1	191	208
2013	09	06	Afghanistan	Maldives	0	0	SFF	NP	8	996	1135	+2	−2	189	174
2013	09	08	Nepal	Afghanistan	0	1	SFF		-22	917	1018	−3	+3	200	186
2013	09	11	Afghanistan	India	2	0	SFF	NP	38	1056	1079	+3	−5	183	181
2014	04	13	Afghanistan	Kyrgyzstan	0	0	F	AE	2	1058	1133	0	0	182	171
2014	05	04	Tajikistan	Afghanistan	1	0	F		3	1267	1055	+2	−1	140	184
2014	05	12	Afghanistan	Kyrgyzstan	1	0	F	KW	12	1067	1121	+2	−3	182	174
2014	05	14	Kuwait	Afghanistan	3	2	F		1	1526	1066	+2	0	77	182
2014	05	20	Afghanistan	Philippines	0	0	SQC	MV	7	1073	1192	0	−3	181	161
2014	05	22	Afghanistan	Turkmenistan	3	1	SQC	MV	50	1123	1308	+8	−8	174	131
2014	05	24	Afghanistan	Laos	0	0	SQC	MV	-13	1110	854	−1	+2	175	205
2014	05	27	Palestine	Afghanistan	2	0	SQC	MV	13	1343	1097	+2	−3	125	178
2014	05	29	Maldives	Afghanistan	1	1	SQC		-5	1073	1102	0	+1	182	177
2015	02	06	Pakistan	Afghanistan	2	1	F		12	949	1090	0	0	196	178
2015	05	29	Laos	Afghanistan	0	2	F		-9	831	1099	0	0	207	177
2015	06	02	Bangladesh	Afghanistan	1	1	F		1	955	1098	0	0	195	177
2015	06	11	Syria	Afghanistan	6	0	WQS	IR	7	1519	1091	+1	0	80	179
2015	06	16	Cambodia	Afghanistan	0	1	WQS		-8	735	1099	0	+1	215	178
2015	09	03	Thailand	Afghanistan	2	0	F		3	1370	1096	0	−1	119	179
2015	09	08	Japan	Afghanistan	6	0	WQS	IR	2	1727	1094	0	0	34	179
2015	10	08	Singapore	Afghanistan	1	0	WQS		10	1199	1084	0	−2	161	181
2015	10	13	Syria	Afghanistan	5	2	WQS	OM	6	1508	1078	+1	0	83	180
2015	11	12	Afghanistan	Cambodia	3	0	WQS	IR	9	1087	731	+2	−1	178	216
2015	12	24	Afghanistan	Bangladesh	4	0	SFF	IN	22	1109	908	+1	−2	178	201
