year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1946	08	22	Albania	Montenegro	5	0	F		19	1619	1671	−	−	39	−
1946	10	07	Albania	Yugoslavia	2	3	BLK		-23	1596	1690	−4	+8	43	22
1946	10	09	Albania	Bulgaria	3	1	BLK		13	1609	1463	+2	0	41	58
1946	10	13	Albania	Romania	1	0	BLK		13	1622	1561	+2	−2	39	47
1947	05	25	Albania	Romania	0	4	BCE		-54	1568	1615	−6	+5	44	39
1947	06	15	Bulgaria	Albania	2	0	BCE		29	1506	1539	+4	−5	54	48
1947	08	20	Hungary	Albania	3	0	BCE		4	1923	1535	0	0	6	49
1947	09	14	Albania	Yugoslavia	2	4	BCE		-26	1509	1712	−4	+6	53	19
1948	05	02	Romania	Albania	0	1	BCE		-29	1552	1538	−4	+5	46	49
1948	05	23	Albania	Hungary	0	0	BCE		14	1552	1909	+3	0	46	5
1948	06	27	Yugoslavia	Albania	0	0	BCE		-13	1712	1565	−1	+3	21	44
1949	10	23	Romania	Albania	1	1	F		-3	1573	1568	0	0	42	45
1949	11	06	Poland	Albania	2	1	F		8	1551	1560	+1	−1	48	46
1949	11	17	Bulgaria	Albania	0	0	F		-2	1527	1562	0	0	53	46
1949	11	29	Albania	Romania	1	4	F		-22	1540	1595	−6	+4	52	38
1950	05	01	Albania	Poland	0	0	F		-3	1537	1554	0	0	51	46
1950	06	04	Albania	Bulgaria	2	1	F		7	1544	1520	+4	−1	48	55
1950	09	17	Czechoslovakia	Albania	3	0	F		6	1735	1538	+2	−4	17	52
1950	09	24	Hungary	Albania	12	0	F		3	1939	1535	−1	0	7	52
1950	10	08	Romania	Albania	6	0	F		12	1610	1523	+1	−1	37	53
1952	11	29	Albania	Czechoslovakia	3	2	F		12	1535	1698	+2	0	50	23
1952	12	07	Albania	Czechoslovakia	2	1	F		12	1547	1686	+2	−1	48	24
1953	11	29	Albania	Poland	2	0	F		11	1558	1538	+3	−2	48	52
1953	12	06	Albania	Poland	2	0	F		10	1568	1528	+2	−1	46	53
1956	11	00	Albania	China	4	1	F		10	1578	1502	+1	0	49	66
1956	11	02	Albania	China	5	1	F		10	1588	1492	+1	−1	48	67
1957	09	15	China	Albania	3	2	F		10	1502	1578	+2	−1	65	48
1958	05	01	Albania	East Germany	1	1	F		-5	1573	1484	0	0	50	71
1963	06	02	Albania	Bulgaria	0	1	OQ		-15	1558	1772	−3	+3	57	21
1963	06	16	Bulgaria	Albania	1	0	OQ		6	1778	1552	0	−1	21	59
1963	06	29	Denmark	Albania	4	0	EQ		17	1688	1535	+3	−4	32	63
1963	10	30	Albania	Denmark	1	0	EQ		24	1559	1689	+7	−6	56	32
1964	05	24	Netherlands	Albania	2	0	WQ		15	1658	1544	+3	−3	37	58
1964	10	25	Albania	Netherlands	0	2	WQ		-29	1515	1681	−10	+7	69	31
1965	04	11	Albania	Switzerland	0	2	WQ		-33	1482	1609	−9	+6	75	45
1965	05	02	Switzerland	Albania	1	0	WQ		9	1618	1473	+1	0	45	75
1965	05	07	Northern Ireland	Albania	4	1	WQ		13	1644	1460	+3	−6	35	81
1965	11	24	Albania	Northern Ireland	1	1	WQ		6	1466	1662	+1	−1	79	36
1967	04	08	West Germany	Albania	6	0	EQ		2	2049	1464	0	0	2	76
1967	05	14	Albania	Yugoslavia	0	2	EQ		-12	1452	1824	−7	+1	82	15
1967	11	12	Yugoslavia	Albania	4	0	EQ		5	1829	1447	0	+1	15	80
1967	12	17	Albania	West Germany	0	0	EQ		18	1465	2001	+5	0	75	2
1970	10	14	Poland	Albania	3	0	EQ		5	1814	1460	0	−2	16	76
1970	12	13	Turkey	Albania	2	1	EQ		7	1647	1453	+2	−2	41	78
1971	02	17	Albania	West Germany	0	1	EQ		-2	1451	2036	−1	0	79	3
1971	04	18	Romania	Albania	2	1	OQ		3	1798	1448	0	0	17	79
1971	05	12	Albania	Poland	1	1	EQ		13	1461	1818	+5	−1	74	15
1971	05	26	Albania	Romania	1	2	OQ		-8	1453	1808	−5	0	79	17
1971	06	12	West Germany	Albania	2	0	EQ		1	2048	1452	0	−1	2	79
1971	11	14	Albania	Turkey	3	0	EQ		41	1493	1573	+9	−11	67	56
1972	06	21	Finland	Albania	1	0	WQ		21	1402	1472	+7	−3	90	69
1972	10	29	Romania	Albania	2	0	WQ		5	1787	1467	+1	−2	23	70
1973	04	08	East Germany	Albania	2	0	WQ		3	1871	1464	0	0	12	70
1973	05	06	Albania	Romania	1	4	WQ		-16	1448	1797	−5	+2	74	21
1973	10	10	Albania	Finland	1	0	WQ		13	1461	1407	+5	−1	72	86
1973	11	03	Albania	East Germany	1	4	WQ		-9	1452	1897	−3	+2	76	8
1973	11	07	Albania	China	1	1	F		3	1455	1645	0	−1	75	40
1976	10	10	Albania	Algeria	3	0	F		17	1472	1522	+7	−3	74	60
1980	09	03	Albania	Finland	2	0	WQ		21	1493	1439	+9	−3	70	85
1980	10	19	Bulgaria	Albania	2	1	WQ		6	1685	1487	+1	−1	33	75
1980	11	15	Austria	Albania	5	0	WQ		3	1926	1484	0	0	12	73
1980	12	06	Albania	Austria	0	1	WQ		-5	1479	1931	−2	+1	77	11
1981	04	01	Albania	West Germany	0	2	WQ		-4	1475	2061	−1	0	75	1
1981	09	02	Finland	Albania	2	1	WQ		16	1459	1459	+5	0	78	78
1981	10	14	Albania	Bulgaria	0	2	WQ		-17	1442	1743	−6	+1	85	28
1981	11	18	West Germany	Albania	8	0	WQ		1	2107	1441	0	0	1	87
1982	09	22	Austria	Albania	5	0	EQ		3	1893	1438	0	0	10	86
1982	10	27	Turkey	Albania	1	0	EQ		10	1538	1428	+1	−1	62	87
1982	12	15	Albania	Northern Ireland	0	0	EQ		12	1440	1770	+1	0	86	22
1983	03	30	Albania	West Germany	1	2	EQ		-3	1437	2002	−1	+1	87	4
1983	04	27	Northern Ireland	Albania	1	0	EQ		3	1778	1434	+1	0	21	87
1983	05	11	Albania	Turkey	1	1	EQ		-1	1433	1516	0	0	87	65
1983	06	08	Albania	Austria	1	2	EQ		-4	1429	1915	0	0	88	10
1983	11	20	West Germany	Albania	2	1	EQ		1	1997	1428	0	0	3	88
1984	10	17	Belgium	Albania	3	1	WQ		3	1860	1425	0	0	15	87
1984	10	31	Poland	Albania	2	2	WQ		-19	1894	1444	−3	+1	9	86
1984	12	22	Albania	Belgium	2	0	WQ		51	1495	1801	+12	−7	71	21
1985	02	27	Greece	Albania	2	0	WQ		12	1647	1483	+2	−6	39	78
1985	03	28	Albania	Turkey	0	0	F		-1	1482	1538	0	0	78	61
1985	05	30	Albania	Poland	0	1	WQ		-7	1475	1852	0	+2	77	13
1985	10	30	Albania	Greece	1	1	WQ		2	1477	1600	0	−2	80	50
