year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1996	11	13	Andorra	Estonia	1	6	F		-23	1077	1179	−	+3	176	161
1997	06	22	Estonia	Andorra	4	1	F		7	1226	1070	+1	−1	146	177
1997	06	25	Latvia	Andorra	4	1	F		3	1408	1067	+1	0	102	177
1998	06	03	Brazil	Andorra	3	0	F	FR	0	2092	1067	0	0	1	178
1998	06	22	Estonia	Andorra	2	1	F		4	1220	1063	+2	−1	149	179
1998	06	24	Andorra	Azerbaijan	0	0	F	EE	7	1070	1355	+1	−2	178	116
1998	06	26	Latvia	Andorra	2	0	F	EE	4	1385	1066	+1	−1	109	179
1998	06	29	Lithuania	Andorra	4	0	F	EE	3	1507	1063	0	0	72	179
1998	09	05	Armenia	Andorra	3	1	EQ		5	1380	1058	+3	0	113	179
1998	10	10	Andorra	Ukraine	0	2	EQ		-2	1056	1715	0	0	180	33
1998	10	14	France	Andorra	2	0	EQ		0	2076	1056	0	−1	1	181
1999	02	03	Andorra	Faroe Islands	0	0	F	ES	4	1060	1206	+1	−3	180	153
1999	03	27	Andorra	Iceland	0	2	EQ		-6	1054	1547	−2	0	182	67
1999	03	31	Russia	Andorra	6	1	EQ		1	1791	1053	0	0	19	182
1999	06	05	Ukraine	Andorra	4	0	EQ		1	1734	1052	+1	0	31	182
1999	06	09	France	Andorra	1	0	EQ	ES	0	2040	1052	0	0	2	182
1999	08	18	Portugal	Andorra	4	0	F		0	1917	1052	−1	0	11	182
1999	09	04	Iceland	Andorra	3	0	EQ		2	1575	1050	+1	0	63	182
1999	09	08	Andorra	Russia	1	2	EQ		-1	1049	1831	0	0	182	18
1999	10	09	Andorra	Armenia	0	3	EQ		-16	1033	1370	−1	+2	183	113
2000	02	06	Albania	Andorra	3	0	FT	MT	5	1443	1028	+1	−1	92	184
2000	02	08	Malta	Andorra	1	1	FT		-11	1256	1039	−2	+1	143	183
2000	02	10	Andorra	Azerbaijan	0	0	FT	MT	9	1048	1285	0	−2	183	134
2000	04	26	Andorra	Belarus	2	0	F		25	1073	1386	+5	−7	178	111
2000	08	16	Estonia	Andorra	1	0	WQ		4	1351	1069	+1	−2	118	182
2000	09	02	Andorra	Cyprus	2	3	WQ		-4	1065	1554	0	+1	182	64
2000	10	07	Andorra	Estonia	1	2	WQ		-10	1055	1358	−1	+2	183	116
2000	11	15	Cyprus	Andorra	5	0	WQ		3	1549	1052	+1	0	66	183
2001	02	28	Portugal	Andorra	3	0	WQ		0	2018	1052	0	0	3	183
2001	03	24	Netherlands	Andorra	5	0	WQ	ES	0	1990	1052	0	0	6	183
2001	03	28	Ireland	Andorra	3	0	WQ	ES	1	1833	1051	0	0	14	183
2001	04	25	Ireland	Andorra	3	1	WQ		0	1833	1051	−3	0	17	183
2001	09	01	Portugal	Andorra	7	1	WQ	ES	0	2002	1051	+1	0	4	183
2001	10	06	Netherlands	Andorra	4	0	WQ		0	1995	1051	0	0	5	183
2002	03	27	Malta	Andorra	1	1	F		-7	1258	1058	−2	+1	142	181
2002	04	17	Andorra	Albania	2	0	F		25	1083	1433	+2	−10	179	98
2002	06	07	Andorra	Armenia	0	2	F		-6	1077	1418	0	0	179	104
2002	08	21	Iceland	Andorra	3	0	F		1	1599	1076	+2	0	54	178
2002	10	12	Andorra	Belgium	0	1	EQ		-1	1075	1775	0	−1	178	28
2002	10	16	Bulgaria	Andorra	2	1	EQ		0	1749	1075	0	0	33	178
2003	04	02	Croatia	Andorra	2	0	EQ		0	1811	1075	0	0	19	178
2003	04	30	Andorra	Estonia	0	2	EQ		-10	1065	1464	−2	+2	180	89
2003	06	07	Estonia	Andorra	2	0	EQ		3	1467	1062	+4	−1	85	181
2003	06	11	Belgium	Andorra	3	0	EQ		1	1778	1061	+2	0	21	181
2003	06	13	Andorra	Gabon	0	2	F		-7	1054	1366	0	+1	181	119
2003	09	06	Andorra	Croatia	0	3	EQ		-1	1053	1826	0	0	181	17
2003	09	10	Andorra	Bulgaria	0	3	EQ		-2	1051	1764	0	0	181	26
2004	04	14	Andorra	China	0	0	F	ES	9	1060	1599	+2	−1	181	59
2004	05	28	France	Andorra	4	0	F		0	2054	1060	0	0	1	181
2004	06	05	Spain	Andorra	4	0	F		0	2015	1060	0	0	3	181
2004	09	04	Finland	Andorra	3	0	WQ		1	1662	1059	−1	0	45	180
2004	09	08	Andorra	Romania	1	5	WQ		-1	1058	1849	0	0	180	16
2004	10	13	Andorra	Macedonia	1	0	WQ		36	1094	1507	+6	−9	175	79
2004	11	17	Netherlands	Andorra	3	0	WQ	ES	1	1939	1093	0	0	7	175
2005	02	09	Macedonia	Andorra	0	0	WQ		-18	1483	1111	−2	+2	86	172
2005	03	26	Armenia	Andorra	2	1	WQ		4	1418	1107	−1	0	99	171
2005	03	30	Andorra	Czechia	0	4	WQ		-1	1106	1996	0	0	171	2
2005	06	04	Czechia	Andorra	8	1	WQ		0	1996	1106	+1	0	1	171
2005	08	17	Romania	Andorra	2	0	WQ		1	1797	1105	+1	−1	24	172
2005	09	03	Andorra	Finland	0	0	WQ		18	1123	1699	+3	−3	169	40
2005	09	07	Netherlands	Andorra	4	0	WQ		0	2000	1123	0	−1	2	170
2005	10	12	Andorra	Armenia	0	3	WQ		-19	1104	1412	−3	+2	173	100
2006	08	16	Belarus	Andorra	3	0	F		1	1567	1103	0	0	67	172
2006	09	02	England	Andorra	5	0	EQ		0	2006	1103	0	−1	4	174
2006	09	06	Israel	Andorra	4	1	EQ	NL	2	1723	1101	0	−1	38	175
2006	10	07	Croatia	Andorra	7	0	EQ		1	1845	1100	0	−1	15	176
2006	10	11	Andorra	Macedonia	0	3	EQ		-8	1092	1553	−1	+3	177	71
2007	02	07	Andorra	Armenia	0	0	F		5	1097	1384	+1	−1	175	106
2007	03	28	England	Andorra	3	0	EQ	ES	1	1940	1096	0	0	7	175
2007	06	02	Russia	Andorra	4	0	EQ		1	1783	1095	0	0	25	174
2007	06	06	Andorra	Israel	0	2	EQ		-2	1093	1744	0	−2	174	39
2007	08	22	Estonia	Andorra	2	1	EQ		4	1378	1089	0	0	112	175
2007	09	12	Andorra	Croatia	0	6	EQ		-1	1088	1906	0	0	176	11
2007	10	17	Macedonia	Andorra	3	0	EQ		3	1512	1085	−2	0	80	176
2007	11	17	Andorra	Estonia	0	2	EQ		-15	1070	1393	−2	+4	178	107
2007	11	21	Andorra	Russia	0	1	EQ		-1	1069	1790	0	0	178	22
2008	03	26	Andorra	Latvia	0	3	F		-5	1064	1497	0	−3	179	90
2008	06	04	Andorra	Azerbaijan	1	2	F		-5	1059	1368	0	0	179	111
2008	08	20	Kazakhstan	Andorra	3	0	WQ		6	1365	1053	+2	0	117	180
2008	09	06	England	Andorra	2	0	WQ	ES	0	1918	1053	+1	0	8	180
2008	09	10	Andorra	Belarus	1	3	WQ		-5	1048	1589	−1	+2	181	59
2008	10	15	Croatia	Andorra	4	0	WQ		0	1882	1048	0	0	9	181
2009	02	11	Lithuania	Andorra	3	1	F	PT	1	1634	1047	−1	0	53	182
2009	04	01	Andorra	Croatia	0	2	WQ		-1	1046	1894	0	0	182	8
2009	06	06	Belarus	Andorra	5	1	WQ		2	1599	1044	0	0	60	182
2009	06	10	England	Andorra	6	0	WQ		0	1993	1044	0	0	4	182
2009	09	05	Ukraine	Andorra	5	0	WQ		1	1785	1043	−1	−2	24	184
2009	09	09	Andorra	Kazakhstan	1	3	WQ		-15	1028	1355	−1	+4	185	119
2009	10	14	Andorra	Ukraine	0	6	WQ		-2	1026	1809	0	+5	185	16
2010	05	29	Iceland	Andorra	4	0	F		2	1467	1024	0	0	91	184
2010	06	02	Albania	Andorra	1	0	F		1	1523	1023	0	0	84	184
2010	08	11	Cyprus	Andorra	1	0	F		1	1558	1022	+1	−1	73	185
2010	09	03	Andorra	Russia	0	2	EQ		-1	1021	1852	0	0	185	12
2010	09	07	Ireland	Andorra	3	1	EQ		0	1773	1021	−1	0	23	185
2010	10	08	Andorra	Macedonia	0	2	EQ		-4	1017	1580	−1	+1	187	69
2010	10	12	Armenia	Andorra	4	0	EQ		4	1440	1013	+1	0	104	187
2011	02	09	Moldova	Andorra	2	1	F	PT	1	1465	1012	0	0	95	186
2011	03	26	Andorra	Slovakia	0	1	EQ		-2	1010	1640	0	+2	186	49
2011	06	04	Slovakia	Andorra	1	0	EQ		1	1631	1009	0	0	54	186
2011	09	02	Andorra	Armenia	0	3	EQ		-9	1000	1442	−1	+1	188	99
2011	09	06	Macedonia	Andorra	1	0	EQ		1	1534	999	+2	0	76	188
2011	10	07	Andorra	Ireland	0	2	EQ		-1	998	1795	0	+1	188	19
2011	10	11	Russia	Andorra	6	0	EQ		0	1813	998	−1	0	18	188
2012	05	30	Andorra	Azerbaijan	0	0	F	DE	8	1006	1378	0	−3	188	113
2012	06	02	Poland	Andorra	4	0	F		0	1720	1006	0	0	35	188
2012	08	14	Liechtenstein	Andorra	1	0	F		3	1230	1003	+1	0	151	189
2012	09	07	Andorra	Hungary	0	5	WQ		-3	1000	1687	0	+1	189	40
2012	09	11	Romania	Andorra	4	0	WQ		1	1744	999	0	0	29	189
2012	10	12	Netherlands	Andorra	3	0	WQ		0	1972	999	−1	0	6	189
2012	10	16	Andorra	Estonia	0	1	WQ		-4	995	1489	−1	+1	190	89
2012	11	14	Andorra	Iceland	0	2	F		-3	992	1484	0	−1	191	91
2013	03	22	Andorra	Turkey	0	2	WQ		-2	990	1687	−1	+4	192	38
2013	03	26	Estonia	Andorra	2	0	WQ		2	1490	988	0	0	92	192
2013	08	14	Moldova	Andorra	1	1	F		-9	1384	997	−1	+2	111	189
2013	09	06	Turkey	Andorra	5	0	WQ		1	1655	996	0	0	48	189
2013	09	10	Andorra	Netherlands	0	2	WQ		0	996	1991	0	0	190	5
2013	10	11	Andorra	Romania	0	4	WQ		-2	994	1727	−1	+3	191	29
2013	10	15	Hungary	Andorra	2	0	WQ		1	1681	993	0	0	43	191
