year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1965	08	14	Mozambique	Angola	1	0	F		13	1313	1487	−	−	116	73
1965	10	24	Mozambique	Angola	1	2	F		-8	1305	1495	0	+1	115	71
1966	00	00	Angola	Mozambique	3	3	F		-7	1488	1312	−3	+1	72	115
1966	09	25	Mozambique	Angola	1	2	F		-9	1328	1497	−2	+3	110	68
1967	08	14	Angola	Mozambique	0	1	F		-16	1481	1344	−5	+5	71	105
1967	08	24	Mozambique	Angola	2	1	F		11	1355	1470	0	−1	105	72
1968	08	04	Mozambique	Angola	2	4	F		-14	1341	1484	−2	+3	107	71
1968	08	12	Angola	Mozambique	3	0	F		7	1491	1334	+3	0	68	107
1969	08	03	Mozambique	Angola	1	2	F		-8	1326	1499	0	+2	108	70
1970	08	23	Mozambique	Angola	2	0	F		18	1344	1481	+3	−2	105	71
1970	08	30	Angola	Mozambique	1	1	F		-6	1475	1350	0	0	71	105
1972	00	00	Angola	Mozambique	4	2	F		6	1481	1344	−5	+9	76	96
1972	00	00	Angola	Mozambique	1	2	F		-16	1465	1360	−5	+9	76	96
1972	00	00	Mozambique	Angola	2	0	F		15	1375	1450	+9	−5	96	76
1972	10	29	Angola	Mozambique	3	1	F		8	1458	1367	+3	−5	71	103
1976	02	08	Congo	Angola	3	2	F		6	1508	1452	+2	−2	61	78
1976	02	15	Angola	Congo	1	1	F		-1	1451	1509	0	0	78	61
1976	07	12	Sao Tome and Principe	Angola	0	3	F		-5	1050	1456	0	+3	156	73
1977	06	26	Angola	Cuba	1	0	F		10	1466	1549	0	−3	77	58
1977	06	29	Angola	Cuba	1	0	F		10	1476	1539	+3	−1	74	59
1977	07	02	Angola	Cuba	2	4	F		-17	1459	1556	−3	+2	77	57
1978	05	16	Angola	Cuba	1	0	F		10	1469	1546	+1	−2	74	59
1978	05	18	Angola	Cuba	1	0	F		9	1478	1537	+3	0	71	59
1978	05	21	Angola	Cuba	0	1	F		-11	1467	1548	−3	0	74	59
1978	07	04	Angola	Gambia	5	3	IND	CV	11	1478	1265	+4	0	70	120
1978	07	05	Cape Verde	Angola	0	1	IND		-9	1208	1487	−3	+2	134	68
1978	07	10	Sao Tome and Principe	Angola	3	3	IND		11	1064	1476	+3	−3	154	72
1978	07	12	Sao Tome and Principe	Angola	0	2	IND		-6	1058	1482	−1	+3	155	69
1978	10	17	Cuba	Angola	1	2	FRC		-23	1578	1505	−6	+4	55	66
1979	07	12	Sao Tome and Principe	Angola	1	2	IND		-4	1054	1509	−2	0	155	66
1979	11	25	Angola	Gabon	1	0	ZVT		7	1516	1345	+1	−4	66	103
1979	11	27	Angola	Congo	0	1	ZVT		-25	1491	1557	−4	+4	71	59
1979	11	29	Angola	Cameroon	0	1	ZVT		-23	1468	1553	−9	+2	80	62
1980	11	01	Zambia	Angola	0	0	F		-4	1526	1472	0	0	62	78
1980	11	02	Zambia	Angola	1	1	F		-4	1522	1476	0	+2	62	76
1980	11	09	Angola	Mozambique	1	1	IND		-10	1466	1318	−2	+3	78	107
1980	11	11	Angola	Tunisia	1	1	IND		4	1470	1661	0	−1	78	37
1980	11	16	Angola	Congo	1	1	FQ		0	1470	1570	0	−1	79	54
1980	11	30	Congo	Angola	0	0	FQ		-10	1560	1480	−3	+2	56	76
1981	04	04	Nigeria	Angola	0	0	F		-7	1673	1487	−1	+1	35	72
1981	06	23	Angola	Madagascar	0	0	IND	MZ	-4	1483	1407	−1	+2	74	88
1981	06	25	Mozambique	Angola	0	1	IND		-12	1312	1495	−3	+2	108	72
1981	06	27	Angola	Zimbabwe	1	1	IND	MZ	-2	1493	1460	0	0	72	78
1981	08	21	Angola	Cameroon	0	0	CFG		1	1494	1618	0	0	71	46
1981	08	23	Angola	Gabon	1	1	CFG		-13	1481	1328	−4	+1	75	104
1981	08	26	Angola	Congo	1	3	CFG		-34	1447	1567	−5	+7	80	55
1981	08	29	Angola	Zaire	1	1	CFG		2	1449	1588	0	0	80	48
1981	11	02	Zambia	Angola	1	1	F		-6	1595	1455	−1	+1	46	81
1982	11	11	Angola	Ghana	1	2	IND		-8	1447	1727	−3	+1	85	28
1982	11	18	Gabon	Angola	2	2	FQ		0	1353	1447	0	0	95	84
1982	11	28	Angola	Gabon	4	0	FQ		18	1465	1335	+3	−4	81	99
1982	12	08	Tunisia	Angola	3	1	F		7	1586	1458	+1	−1	51	82
1983	04	03	Congo	Angola	1	0	F		4	1578	1454	+2	−1	53	81
1983	04	09	Nigeria	Angola	2	0	FQ		17	1530	1437	+2	−6	63	86
1983	04	24	Angola	Nigeria	1	0	FQ		20	1457	1510	+7	−5	79	67
1983	07	10	Angola	Cameroon	1	1	OQ		3	1460	1607	0	0	82	43
1983	07	24	Cameroon	Angola	3	2	OQ		8	1615	1452	0	−2	43	83
1984	07	01	Angola	Senegal	1	0	WQ		17	1469	1474	+4	−7	79	77
1984	07	15	Senegal	Angola	1	0	WQ		14	1488	1455	+2	−3	76	83
1984	09	30	Botswana	Angola	1	3	IND		-6	1031	1461	0	+1	161	82
1984	11	11	Angola	Congo	1	0	IND		13	1474	1504	+4	−3	78	67
1985	03	31	Angola	Algeria	0	0	WQ		6	1480	1685	+4	0	77	32
1985	04	19	Algeria	Angola	3	2	WQ		6	1691	1474	0	−2	32	80
1985	06	25	Mozambique	Angola	0	3	F		-17	1345	1491	−5	+5	101	73
1985	06	30	Angola	Sao Tome and Principe	3	2	IND	CV	2	1493	1055	0	0	73	160
1985	07	02	Mozambique	Angola	3	2	IND	CV	21	1366	1472	+6	−7	95	80
1985	07	03	Angola	Guinea-Bissau	3	1	IND	CV	11	1483	1269	+4	−4	76	120
1985	07	07	Cape Verde	Angola	0	0	FRC		5	1262	1478	+3	0	121	76
1985	07	09	Angola	Mozambique	1	0	FRC	CV	10	1488	1352	+2	−1	74	98
1985	11	08	Angola	Mozambique	0	0	IND		-8	1480	1384	−4	+2	79	90
1985	11	10	Angola	Zimbabwe	2	3	IND		-18	1462	1525	−1	+6	80	65
1986	10	05	Angola	Gabon	1	0	FQ		12	1474	1410	0	−1	77	87
1986	10	19	Gabon	Angola	1	0	FQ		18	1428	1456	+2	−2	85	78
1986	12	07	Angola	Tanzania	1	0	FT		7	1463	1354	+1	−1	77	96
1986	12	10	Angola	Zambia	0	1	FT		-15	1448	1589	−6	0	83	54
1987	03	29	Zaire	Angola	3	0	FQ		12	1626	1436	0	−1	46	83
1987	04	05	Angola	Sao Tome and Principe	4	0	F		2	1438	1053	0	0	83	160
1987	04	12	Angola	Zaire	1	0	FQ		25	1463	1601	+5	−4	78	50
1987	04	18	Congo	Angola	3	3	ACG		-5	1448	1468	−1	+2	83	77
1987	04	21	Angola	Zaire	2	1	ACG	CG	27	1495	1574	+2	−5	75	54
1987	04	27	Angola	Gabon	1	0	ACG	CG	18	1513	1448	+6	−3	69	81
