year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1926	12	00	Azerbaijan	Armenia	4	0	TCC	GE	14	1514	1286	−	−	−	−
1926	12	00	Georgia	Armenia	7	0	TCC		7	1573	1279	−	−	−	−
1927	12	00	Azerbaijan	Armenia	6	3	TCC	GE	9	1557	1270	−	−	−	−
1927	12	00	Georgia	Armenia	1	1	TCC		-12	1561	1282	−	−	−	−
1928	06	24	Georgia	Armenia	5	1	TCC		6	1563	1276	−	−	−	−
1928	06	28	Azerbaijan	Armenia	4	0	TCC	GE	9	1570	1267	−	−	−	−
1934	00	00	Azerbaijan	Armenia	3	0	TCC		6	1534	1261	−	−	−	−
1934	00	00	Georgia	Armenia	4	0	TCC	AZ	7	1612	1254	−	−	−	−
1935	00	00	Azerbaijan	Armenia	3	0	TCC	GE	9	1543	1245	−	−	−	−
1935	00	00	Georgia	Armenia	3	0	TCC		3	1623	1242	−	−	−	−
1955	09	02	Armenia	India	2	2	F		5	1247	1518	−	−1	−	60
1992	10	14	Armenia	Moldova	0	0	F		4	1251	1494	+1	−2	138	75
1994	05	15	United States	Armenia	1	0	F		1	1602	1250	0	0	56	141
1994	07	16	Armenia	Malta	1	0	F		11	1261	1373	+3	−4	138	111
1994	09	07	Belgium	Armenia	2	0	EQ		1	1822	1260	0	0	21	138
1994	10	08	Armenia	Cyprus	0	0	EQ		0	1260	1358	0	0	139	116
1994	11	16	Cyprus	Armenia	2	0	EQ		15	1373	1245	+2	−3	113	142
1995	04	26	Armenia	Spain	0	2	EQ		-2	1243	1973	0	0	143	4
1995	05	10	Armenia	Macedonia	2	2	EQ		14	1257	1620	+2	−4	140	48
1995	06	07	Spain	Armenia	1	0	EQ		0	1973	1257	+1	0	3	141
1995	08	16	Armenia	Denmark	0	2	EQ		-2	1255	1948	−1	0	140	5
1995	09	06	Macedonia	Armenia	1	2	EQ		-37	1547	1292	−8	+6	68	134
1995	10	07	Armenia	Belgium	0	2	EQ		-6	1286	1791	−3	+1	137	23
1995	11	15	Denmark	Armenia	3	1	EQ		1	1971	1285	0	0	5	137
1996	01	17	Morocco	Armenia	6	0	F	FR	6	1593	1279	0	−2	57	137
1996	06	05	France	Armenia	2	0	F		0	1991	1279	0	0	3	135
1996	06	20	Peru	Armenia	4	0	F		4	1554	1275	+1	−2	67	137
1996	06	25	Paraguay	Armenia	1	2	F		-19	1774	1294	−3	+4	25	133
1996	06	30	Ecuador	Armenia	3	0	F		2	1727	1292	+1	+1	29	132
1996	08	31	Armenia	Portugal	0	0	WQ		18	1310	1895	+6	−2	127	12
1996	10	05	Northern Ireland	Armenia	1	1	WQ		-16	1598	1326	−4	+2	54	124
1996	10	09	Armenia	Germany	1	5	WQ		-1	1325	2106	0	0	125	1
1996	11	09	Albania	Armenia	1	1	WQ		-11	1436	1336	0	+4	95	121
1997	01	04	Chile	Armenia	7	0	F		2	1744	1334	0	0	29	125
1997	01	06	Paraguay	Armenia	2	0	F		1	1818	1333	+1	0	18	125
1997	03	30	Georgia	Armenia	7	0	F		6	1581	1327	+3	0	58	124
1997	04	30	Armenia	Northern Ireland	0	0	WQ		11	1338	1626	+4	−3	120	51
1997	05	07	Ukraine	Armenia	1	1	WQ		-17	1662	1355	−3	+1	43	119
1997	08	20	Portugal	Armenia	3	1	WQ		2	1868	1353	0	+1	13	119
1997	09	06	Armenia	Albania	3	0	WQ		31	1384	1380	+8	−8	111	112
1997	09	10	Germany	Armenia	4	0	WQ		1	2066	1383	0	−1	2	112
1997	10	11	Armenia	Ukraine	0	2	WQ		-15	1368	1696	−2	+3	114	38
1998	08	18	Armenia	Lebanon	1	0	F		7	1375	1363	+3	−2	114	117
1998	09	05	Armenia	Andorra	3	1	EQ		5	1380	1058	+3	0	113	179
