year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1965	07	17	Jamaica	Bahamas	8	1	F		2	1325	898	0	−	111	157
1970	03	01	Puerto Rico	Bahamas	3	0	CAC	PA	41	882	857	+3	−4	168	170
1970	03	04	Netherlands Antilles	Bahamas	8	1	CAC	PA	3	1475	854	+1	−1	73	171
1971	04	14	Haiti	Bahamas	8	0	F		1	1515	853	0	0	66	172
1971	08	04	Bahamas	Dominican Republic	4	2	PAG	CO	53	906	956	+6	−5	167	165
1974	02	28	Bahamas	Panama	1	0	CAC	DO	34	940	1167	+3	−6	166	139
1974	03	04	Dominican Republic	Bahamas	2	0	CAC		21	969	919	+1	0	163	166
1974	03	06	Bermuda	Bahamas	3	0	CAC	DO	5	1353	914	0	−2	106	168
1982	08	08	Cuba	Bahamas	1	0	CAC		0	1582	914	0	0	51	172
1982	08	10	Bermuda	Bahamas	3	0	CAC	CU	6	1318	908	+2	−1	104	173
1982	08	12	Puerto Rico	Bahamas	4	1	CAC	CU	32	971	876	+2	−5	166	178
1983	06	05	Bermuda	Bahamas	3	1	PAQ		3	1313	873	0	−1	105	179
1983	06	12	Bahamas	Bermuda	0	5	PAQ		-10	863	1323	0	0	179	105
1986	06	30	Cuba	Bahamas	4	0	CAC	DO	2	1513	861	0	0	71	180
1987	01	25	Bahamas	Guyana	1	3	OQ		-10	851	1261	−2	+1	182	123
1987	02	22	Guyana	Bahamas	3	0	OQ		3	1285	848	+4	0	111	182
1987	03	29	Bahamas	Mexico	0	3	PAQ		0	848	1882	0	0	182	11
1987	04	28	Mexico	Bahamas	13	0	PAQ		0	1845	848	0	0	13	182
1999	02	24	Bahamas	Turks and Caicos Islands	3	0	FCQ		21	869	779	+1	−	202	206
1999	02	28	Bahamas	US Virgin Islands	0	0	FCQ		-13	856	727	0	+1	202	210
1999	05	05	Bermuda	Bahamas	6	0	FCQ		4	1299	852	0	−2	131	204
1999	05	07	Cuba	Bahamas	7	0	FCQ	BM	3	1446	849	+2	0	91	204
