year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1966	04	02	Lebanon	Bahrain	6	1	ARC	IQ	21	1401	1179	+2	−	94	138
1966	04	05	Iraq	Bahrain	10	1	ARC		4	1624	1175	+1	−2	41	139
1966	04	06	Bahrain	Kuwait	4	4	ARC	IQ	0	1175	1178	0	0	139	137
1966	04	07	Jordan	Bahrain	5	1	ARC	IQ	45	1145	1130	+4	−6	143	145
1969	02	28	Bahrain	Kuwait	3	5	F		-16	1114	1228	−1	+2	149	127
1969	12	13	Bahrain	Kuwait	3	8	F		-19	1095	1247	−3	+3	151	125
1970	03	27	Bahrain	Qatar	2	1	GLF		15	1110	1085	+1	−	150	153
1970	03	30	Bahrain	Saudi Arabia	0	0	GLF		5	1115	1286	+1	−1	149	118
1970	04	03	Bahrain	Kuwait	1	3	GLF		-21	1094	1344	−2	+3	151	106
1971	12	11	Bahrain	Lebanon	3	0	SQ	KW	60	1154	1352	+10	−15	142	103
1971	12	13	Jordan	Bahrain	3	2	SQ	KW	21	1157	1133	+4	−5	142	147
1971	12	15	Iraq	Bahrain	1	0	SQ	KW	3	1572	1130	+1	−1	56	147
1971	12	20	Bahrain	Ceylon	3	0	SQ	KW	24	1154	991	+4	−2	143	162
1972	03	18	Kuwait	Bahrain	2	0	GLF	SA	15	1364	1139	+4	−2	102	144
1972	03	21	Bahrain	Qatar	6	2	GLF	SA	25	1164	991	+2	−2	142	162
1972	03	25	Bahrain	United Arab Emirates	2	0	GLF	SA	23	1187	1063	+3	−1	139	156
1972	03	28	Saudi Arabia	Bahrain	2	1	GLF		9	1303	1178	+1	−1	112	140
1974	03	01	Bahrain	Morocco	0	1	F		-2	1176	1646	0	−1	138	39
1974	03	16	Bahrain	Oman	4	0	GLF	KW	12	1188	870	+2	0	137	175
1974	03	18	United Arab Emirates	Bahrain	4	0	GLF	KW	51	1109	1137	+6	−7	150	144
1974	03	21	Saudi Arabia	Bahrain	4	1	GLF	KW	18	1335	1119	+3	−2	108	146
1974	08	14	Iraq	Bahrain	4	0	F		2	1535	1117	0	0	59	147
1974	09	03	Burma	Bahrain	4	0	ASG	IR	4	1604	1113	0	−2	46	149
1974	09	05	Pakistan	Bahrain	5	1	ASG	IR	21	1298	1092	+4	−4	117	153
1974	09	07	Iran	Bahrain	6	0	ASG		2	1619	1090	+1	0	41	154
1975	08	20	Iran	Bahrain	3	0	OQ		1	1660	1089	0	0	39	153
1975	08	24	Kuwait	Bahrain	2	1	OQ	IR	2	1567	1087	0	0	51	153
1975	08	27	Iraq	Bahrain	4	0	OQ	IR	5	1559	1082	+1	−1	53	154
1975	08	29	Saudi Arabia	Bahrain	1	0	OQ	IR	7	1370	1075	+1	0	103	154
1976	03	27	Bahrain	United Arab Emirates	3	2	GLF	QA	20	1095	1057	+2	−2	152	155
1976	03	29	Iraq	Bahrain	4	1	GLF	QA	4	1590	1091	+3	−1	49	153
1976	04	02	Bahrain	Oman	1	0	GLF	QA	8	1099	831	+2	0	151	177
1976	04	06	Kuwait	Bahrain	5	2	GLF	QA	4	1574	1095	+1	−1	51	152
1976	04	08	Bahrain	Saudi Arabia	2	1	GLF	QA	30	1125	1261	+4	−7	148	123
1976	04	10	Qatar	Bahrain	3	0	GLF		28	1119	1097	+6	−4	148	152
1977	02	18	Bahrain	South Korea	1	4	F		-3	1094	1636	0	+1	151	42
1977	02	20	Bahrain	South Korea	1	1	F		9	1103	1627	+2	−1	149	43
1977	03	11	Kuwait	Bahrain	2	0	WQ	QA	2	1655	1101	+1	−1	38	150
1977	03	13	Qatar	Bahrain	2	0	WQ		19	1156	1082	+4	−3	140	153
1977	03	17	Kuwait	Bahrain	2	1	WQ	QA	1	1661	1081	+1	0	37	153
1977	03	19	Qatar	Bahrain	0	3	WQ		-51	1100	1132	−10	+6	150	147
1977	09	08	Malaysia	Bahrain	3	1	PRS	KR	5	1491	1127	+2	0	68	147
1978	09	09	Malaysia	Bahrain	2	1	PRS	KR	4	1463	1123	+1	0	75	145
1978	09	13	South Korea	Bahrain	3	1	PRS		1	1777	1122	0	0	22	145
1978	12	11	South Korea	Bahrain	5	1	ASG	TH	2	1779	1120	+1	0	22	145
1978	12	13	Japan	Bahrain	4	0	ASG	TH	12	1418	1108	+3	−3	88	148
1978	12	15	Kuwait	Bahrain	3	0	ASG	TH	3	1676	1105	0	0	37	148
1979	02	09	Bahrain	Finland	0	1	F		-3	1102	1484	0	+1	149	70
1979	03	23	Iraq	Bahrain	4	0	GLF		2	1663	1100	0	0	38	150
1979	03	26	Bahrain	United Arab Emirates	3	0	GLF	IQ	27	1127	995	+5	−2	145	163
1979	03	29	Bahrain	Oman	3	1	GLF	IQ	9	1136	818	+2	0	143	178
1979	04	01	Bahrain	Saudi Arabia	1	1	GLF	IQ	12	1148	1359	+3	−5	140	100
1979	04	06	Bahrain	Qatar	1	1	GLF	IQ	0	1148	1147	0	0	139	140
1979	04	08	Kuwait	Bahrain	2	0	GLF	IQ	4	1619	1144	0	−1	46	140
1979	09	08	Bahrain	Bangladesh	2	0	PRS	KR	12	1156	956	+2	−1	140	165
1979	09	10	Bahrain	Sri Lanka	1	0	PRS	KR	8	1164	958	+1	0	139	164
1979	09	12	Bahrain	Sudan	1	0	PRS	KR	27	1191	1503	+3	−4	136	67
1979	09	14	South Korea	Bahrain	5	1	PRS		1	1825	1190	0	0	18	136
1979	10	03	Bahrain	New Zealand	0	2	F		-6	1184	1552	−2	+1	138	60
1979	10	08	Bahrain	New Zealand	1	2	F		-4	1180	1556	0	0	138	60
1979	11	18	Bahrain	Syria	1	1	SQ	AE	5	1185	1266	0	−1	138	119
1980	08	25	Bahrain	Malaysia	1	1	PRS	KR	12	1197	1529	+1	−3	137	61
1980	08	27	Indonesia	Bahrain	3	2	PRS	KR	14	1229	1183	+3	−1	127	138
1980	08	29	South Korea	Bahrain	5	0	PRS		1	1761	1182	+1	0	23	138
1980	08	31	Thailand	Bahrain	1	0	PRS	KR	8	1366	1174	+2	−1	96	139
1981	02	27	Bahrain	Jordan	1	0	F		7	1181	1147	+1	−2	140	145
1981	03	01	Bahrain	Jordan	1	0	F		6	1187	1141	0	0	140	145
1981	03	05	Bahrain	Tunisia	0	3	F		-4	1183	1665	0	0	140	36
1981	03	19	Bahrain	Syria	1	0	WQ	SA	29	1212	1321	+5	−5	135	106
1981	03	22	Qatar	Bahrain	3	0	WQ	SA	39	1216	1173	+6	−6	135	141
1981	03	25	Iraq	Bahrain	2	0	WQ	SA	3	1698	1170	0	0	31	141
1981	03	28	Saudi Arabia	Bahrain	1	0	WQ		4	1472	1166	0	0	75	141
1982	01	17	Singapore	Bahrain	2	0	F		8	1242	1158	+5	−1	124	142
1982	01	27	Malaysia	Bahrain	0	2	F		-24	1263	1182	−6	+2	120	140
1982	03	20	Kuwait	Bahrain	2	0	GLF	AE	4	1657	1178	0	0	38	140
1982	03	22	Iraq	Bahrain	3	0	GLF	AE	3	1738	1175	0	0	29	141
1982	03	25	Bahrain	Oman	4	1	GLF	AE	9	1184	832	+1	0	140	181
1982	03	27	United Arab Emirates	Bahrain	2	3	GLF		-26	1158	1210	−3	+4	143	136
1982	03	31	Bahrain	Qatar	1	0	GLF	AE	20	1230	1190	+4	−3	131	138
1982	04	02	Bahrain	Saudi Arabia	2	2	GLF	AE	9	1239	1392	+3	0	128	90
1982	06	11	South Korea	Bahrain	3	0	PRS		2	1683	1237	+1	0	35	128
1982	06	13	Bahrain	India	0	0	PRS	KR	0	1237	1247	0	0	128	123
1983	09	09	Iraq	Bahrain	0	0	OQ		-19	1705	1256	−4	+3	34	124
1983	09	30	Bahrain	United Arab Emirates	0	0	OQ		-9	1247	1197	0	+1	125	141
1983	10	07	Bahrain	Iraq	1	2	OQ		-5	1242	1691	−1	+2	126	33
1983	10	14	United Arab Emirates	Bahrain	1	2	OQ		-24	1189	1266	−6	+4	142	122
1984	03	09	Oman	Bahrain	0	1	GLF		-5	819	1271	0	0	181	122
1984	03	12	Kuwait	Bahrain	1	0	GLF	OM	6	1571	1265	+1	−1	58	123
1984	03	18	Bahrain	United Arab Emirates	1	1	GLF	OM	1	1266	1286	+1	0	123	119
1984	03	20	Iraq	Bahrain	1	0	GLF	OM	3	1695	1263	0	−2	34	125
1984	03	22	Bahrain	Qatar	1	1	GLF	OM	6	1269	1364	+2	0	123	93
1984	03	26	Saudi Arabia	Bahrain	2	0	GLF	OM	13	1505	1256	+2	−3	68	125
1984	04	14	Kuwait	Bahrain	2	0	OQ	SG	12	1511	1244	+2	−1	67	126
1984	04	17	Bahrain	Saudi Arabia	1	1	OQ	SG	14	1258	1531	+2	−2	124	64
1984	04	19	South Korea	Bahrain	1	0	OQ	SG	4	1630	1254	0	−2	40	126
1984	04	24	Bahrain	New Zealand	1	0	OQ	SG	33	1287	1492	+7	−6	119	71
1985	03	24	Bahrain	Lebanon	6	0	F		15	1302	1273	+7	−5	109	120
1985	03	29	South Yemen	Bahrain	1	4	WQ		-36	1171	1338	−6	+10	145	99
1985	04	05	Bahrain	United Arab Emirates	3	2	F		6	1344	1294	0	−1	99	110
1985	04	12	Bahrain	South Yemen	3	3	WQ		-13	1331	1184	−4	+3	103	141
1985	06	03	Bahrain	Malaysia	3	1	PRS	KR	27	1358	1371	+7	−4	97	92
1985	06	08	South Korea	Bahrain	3	0	PRS		9	1540	1349	+3	−2	61	99
1985	06	26	Bahrain	Jordan	5	2	F		6	1355	1155	+1	0	97	145
1985	07	04	Bahrain	Iraq	1	1	ARC	SA	13	1368	1612	+5	−2	93	46
1985	07	06	Bahrain	Mauritania	2	0	ARC	SA	11	1379	1104	+2	−2	91	153
1985	07	10	Bahrain	Qatar	1	1	ARC	SA	8	1387	1520	+2	−3	89	67
1985	07	12	Iraq	Bahrain	1	0	ARC	SA	8	1648	1379	0	−2	41	91
1985	09	06	Bahrain	Syria	1	1	WQ		-7	1372	1356	−3	0	93	96
1985	09	20	Syria	Bahrain	1	0	WQ		15	1371	1357	+3	−3	94	97
1985	11	01	Iraq	Bahrain	3	1	F		3	1669	1354	0	0	38	97
1986	02	21	Bahrain	Finland	0	0	F		2	1356	1521	0	−1	98	67
1986	02	24	Bahrain	Finland	0	4	F		-15	1341	1536	−2	+5	100	62
1986	03	08	Bahrain	Paraguay	1	2	F		-2	1339	1802	0	0	100	24
1986	03	11	Bahrain	Iceland	2	1	F		11	1350	1472	+2	−3	98	79
1986	03	15	Bahrain	Iceland	0	2	F		-14	1336	1486	−3	+4	101	75
1986	03	22	Bahrain	Iraq	0	0	GLF		12	1348	1660	+4	−3	97	37
1986	03	25	Bahrain	Saudi Arabia	2	1	GLF		26	1374	1530	+1	−5	96	65
1986	03	29	Bahrain	Qatar	0	0	GLF		3	1377	1515	+1	0	95	70
1986	04	02	Bahrain	Oman	0	0	GLF		-19	1358	913	−2	+2	97	173
1986	04	05	Bahrain	United Arab Emirates	1	3	GLF		-32	1326	1462	−7	+4	104	80
1986	04	07	Bahrain	Kuwait	1	1	GLF		9	1335	1589	+3	−4	101	53
1986	08	12	Bahrain	Oman	2	3	F		-19	1316	931	−5	+2	106	171
1986	08	14	Bahrain	Oman	2	0	F		2	1318	929	0	0	106	171
1986	08	24	Oman	Bahrain	1	0	F		17	946	1301	+1	−2	170	107
1986	08	26	Oman	Bahrain	1	2	F		-4	942	1305	−1	0	171	107
1986	09	14	Taiwan	Bahrain	1	1	F		1	1185	1304	0	0	139	106
1986	09	16	Taiwan	Bahrain	0	1	F		-9	1176	1313	−1	+1	140	105
1986	09	20	China	Bahrain	5	1	ASG	KR	10	1640	1303	+3	−1	39	106
1986	09	24	South Korea	Bahrain	0	0	ASG		-16	1592	1319	−3	+1	50	105
1986	09	26	Bahrain	India	3	0	ASG	KR	26	1345	1198	+5	−8	100	136
1987	03	17	Bahrain	Jordan	0	1	F		-17	1328	1175	−2	+4	103	142
1987	03	20	Bahrain	Jordan	0	0	F		-6	1322	1181	−2	+1	105	141
1987	03	24	Bahrain	Syria	0	2	F		-18	1304	1371	−1	+1	106	94
1987	03	26	Bahrain	Syria	0	0	F		-1	1303	1372	0	+1	106	93
1987	04	08	Bahrain	Iraq	1	3	F		-10	1293	1546	−2	+1	108	62
1987	04	10	Bahrain	Iraq	1	2	F		-6	1287	1552	−4	+1	112	61
1987	04	16	Bahrain	Oman	2	0	OQ	SA	10	1297	1004	+5	0	107	165
1987	04	20	Saudi Arabia	Bahrain	2	0	OQ		7	1562	1290	+2	−2	57	109
1987	04	22	Oman	Bahrain	2	1	OQ	SA	34	1037	1256	+2	−16	163	125
1987	04	26	Saudi Arabia	Bahrain	2	1	OQ		3	1567	1253	+2	0	56	125
1988	02	19	Bahrain	Tunisia	1	0	F		14	1267	1479	+6	−4	119	76
1988	03	03	United Arab Emirates	Bahrain	2	0	GLF	SA	17	1451	1250	+2	−6	80	125
1988	03	07	Bahrain	Oman	2	0	GLF	SA	15	1265	1047	+6	0	119	159
1988	03	09	Saudi Arabia	Bahrain	1	0	GLF		5	1524	1260	0	−2	67	121
1988	03	12	Bahrain	Kuwait	1	0	GLF	SA	34	1294	1514	+14	−7	107	68
1988	03	16	Bahrain	Qatar	1	0	GLF	SA	27	1321	1399	+6	−7	102	90
1988	03	18	Iraq	Bahrain	1	0	GLF	SA	4	1694	1317	+1	−2	33	104
1988	06	17	Bahrain	South Korea	2	0	SQ	ID	52	1369	1597	+7	−7	96	48
1988	06	19	Indonesia	Bahrain	0	0	SQ		0	1267	1369	0	0	118	96
1988	06	22	Bahrain	South Yemen	2	0	SQ	ID	14	1383	1150	+1	−1	95	144
1988	07	08	Jordan	Bahrain	0	0	ARC		2	1258	1381	0	0	120	95
1988	07	10	Algeria	Bahrain	0	0	ARC	JO	-12	1618	1393	−1	+3	44	91
1988	07	12	Syria	Bahrain	2	1	ARC	JO	14	1515	1379	+3	−3	68	94
1988	07	16	Bahrain	Kuwait	1	1	ARC	JO	7	1386	1501	+1	0	93	70
1988	12	03	Bahrain	Kuwait	0	0	AC	QA	8	1394	1493	0	−1	95	67
1988	12	06	China	Bahrain	1	0	AC	QA	10	1645	1384	+2	0	42	95
1988	12	09	Bahrain	Saudi Arabia	1	1	AC	QA	8	1392	1498	0	−1	95	65
1988	12	11	Syria	Bahrain	1	0	AC	QA	19	1490	1373	+8	−3	68	98
1990	02	21	Kuwait	Bahrain	1	0	GLF		9	1498	1364	0	−1	68	99
1990	02	23	Bahrain	Qatar	0	0	GLF	KW	7	1371	1479	0	−2	99	71
1990	02	26	Iraq	Bahrain	1	0	GLF	KW	7	1655	1364	+1	0	38	99
1990	02	28	Bahrain	Oman	0	0	GLF	KW	-13	1351	1103	−2	+2	101	156
1990	03	05	Bahrain	United Arab Emirates	1	0	GLF	KW	30	1381	1501	+4	−3	97	67
1992	05	19	Bahrain	Algeria	0	0	F		5	1386	1670	+3	0	100	37
1992	05	24	Kuwait	Bahrain	2	0	SQ	AE	22	1499	1364	+7	−8	72	108
1992	05	30	United Arab Emirates	Bahrain	3	1	SQ		15	1469	1349	+3	−2	81	110
1992	11	28	Bahrain	Saudi Arabia	2	1	GLF	QA	33	1382	1591	+10	−7	105	55
1992	11	30	Qatar	Bahrain	1	0	GLF		11	1467	1371	+7	−5	83	110
1992	12	04	United Arab Emirates	Bahrain	2	0	GLF	QA	20	1512	1351	+7	−5	74	115
1992	12	07	Bahrain	Oman	3	0	GLF	QA	12	1363	1065	+5	−3	110	180
1992	12	10	Bahrain	Kuwait	1	0	GLF	QA	27	1390	1462	+7	−6	103	87
1993	05	07	Hong Kong	Bahrain	2	1	WQ	LB	28	1277	1362	+8	−7	134	115
1993	05	09	Bahrain	South Korea	0	0	WQ	LB	13	1375	1626	+5	−1	110	44
1993	05	13	Lebanon	Bahrain	0	0	WQ		2	1244	1373	0	−1	142	112
1993	05	15	Bahrain	India	2	1	WQ	LB	9	1382	1160	+3	−2	109	161
1993	06	05	Bahrain	Lebanon	0	0	WQ	KR	-8	1374	1246	−2	+1	108	142
1993	06	07	Bahrain	India	3	0	WQ	KR	16	1390	1144	+4	−1	104	162
1993	06	11	Bahrain	Hong Kong	3	0	WQ	KR	22	1412	1238	+4	−3	100	143
1993	06	13	South Korea	Bahrain	3	0	WQ		8	1666	1404	+2	−1	35	101
1994	10	01	Bahrain	Yemen	2	0	ASG	JP	18	1422	1232	+4	−4	96	145
1994	10	03	Bahrain	Iran	0	0	ASG	JP	8	1430	1561	+2	−2	94	65
1994	10	05	China	Bahrain	3	2	ASG	JP	14	1543	1416	+2	−4	67	98
1994	10	09	Bahrain	Turkmenistan	2	2	ASG	JP	7	1423	1539	+2	−3	96	70
1994	11	04	Bahrain	Kuwait	2	1	GLF	AE	27	1450	1522	+5	−3	90	70
1994	11	06	Bahrain	Oman	1	1	GLF	AE	-8	1442	1308	−3	+3	93	128
1994	11	10	Saudi Arabia	Bahrain	3	1	GLF	AE	14	1657	1428	+2	−2	38	95
1994	11	12	United Arab Emirates	Bahrain	0	0	GLF		-11	1522	1439	−1	+1	70	94
1994	11	15	Bahrain	Qatar	1	1	GLF	AE	-1	1438	1421	0	0	94	98
1996	00	00	Syria	Bahrain	2	1	F		7	1466	1431	+2	−1	87	98
1996	06	03	Oman	Bahrain	3	0	F		21	1283	1410	+5	−4	133	105
1996	10	03	Lebanon	Bahrain	2	3	F		-12	1355	1422	−2	+1	118	104
1996	10	16	Kuwait	Bahrain	1	0	GLF	OM	15	1532	1407	+2	−4	70	105
1996	10	18	Bahrain	United Arab Emirates	1	1	GLF	OM	7	1414	1530	+2	−1	103	70
1996	10	21	Saudi Arabia	Bahrain	3	1	GLF	OM	15	1613	1399	+4	−4	51	107
1996	10	25	Qatar	Bahrain	2	1	GLF	OM	14	1530	1385	+1	−4	72	111
1996	10	28	Oman	Bahrain	1	1	GLF		2	1259	1383	0	−1	139	112
1997	03	06	Bahrain	Oman	1	0	F		4	1387	1255	+2	−1	112	137
1997	03	18	Kuwait	Bahrain	3	1	F		4	1638	1383	0	−2	47	114
1997	04	11	Bahrain	United Arab Emirates	1	2	WQ		-15	1368	1581	−5	+3	118	58
1997	04	14	Bahrain	Jordan	1	0	WQ		13	1381	1336	+5	−1	113	122
1997	04	19	Jordan	Bahrain	4	1	WQ	AE	40	1376	1341	+6	−8	116	121
1997	04	22	United Arab Emirates	Bahrain	3	0	WQ		9	1590	1332	0	−2	59	122
1997	09	20	Libya	Bahrain	2	1	ARR		7	1441	1325	+1	−1	93	125
1997	09	23	Bahrain	Jordan	0	0	ARR	LY	6	1331	1463	0	−2	125	85
1997	09	25	Bahrain	Chad	1	1	ARR	LY	-5	1326	1221	0	+1	125	147
1998	09	13	Bahrain	Libya	2	2	F	QA	2	1328	1388	+1	0	123	112
1998	09	18	Bahrain	Syria	2	0	F		21	1349	1555	+3	−4	120	64
1998	10	03	Bahrain	Sudan	2	3	F		-11	1338	1424	−2	+3	122	99
1998	10	23	Bahrain	Burkina Faso	2	1	F		9	1347	1377	+2	−1	119	111
1998	10	30	Bahrain	United Arab Emirates	0	1	GLF		-14	1333	1561	−2	+3	121	62
1998	11	02	Bahrain	Saudi Arabia	1	1	GLF		14	1347	1721	+2	−2	120	31
1998	11	06	Bahrain	Kuwait	0	2	GLF		-14	1333	1672	−2	+3	122	45
1998	11	08	Bahrain	Qatar	0	0	GLF		3	1336	1482	0	0	122	81
1998	11	12	Bahrain	Oman	2	2	GLF		-5	1331	1343	−1	+2	123	119
1999	08	17	Libya	Bahrain	4	0	PAR	JO	34	1402	1297	+6	−8	107	131
1999	08	19	Iraq	Bahrain	2	0	PAR	JO	7	1653	1290	+2	−2	44	133
2000	03	20	Kazakhstan	Bahrain	1	0	F	AE	5	1473	1285	+2	0	84	133
2000	03	22	Bahrain	Qatar	1	0	F	AE	14	1299	1429	0	−5	133	98
2000	03	22	Kazakhstan	Bahrain	2	0	F	AE	8	1481	1291	+3	0	81	133
2000	03	25	Bahrain	Jordan	1	1	F	AE	5	1296	1482	0	0	133	80
2000	03	31	Syria	Bahrain	1	0	SQ		7	1486	1289	+1	0	80	133
2000	04	02	Bahrain	Maldives	4	1	SQ	SY	6	1295	864	+2	0	131	201
2000	04	04	Bahrain	Iran	1	0	SQ	SY	38	1333	1728	+8	−6	123	30
2000	04	09	Iran	Bahrain	3	0	SQ		4	1732	1329	+1	−1	29	123
2000	04	11	Bahrain	Maldives	1	0	SQ	IR	3	1332	859	0	0	123	200
2000	04	13	Syria	Bahrain	1	0	SQ	IR	11	1503	1321	+4	−2	75	125
2000	08	09	Syria	Bahrain	1	0	FRT		4	1534	1317	0	0	70	126
2000	08	11	Jordan	Bahrain	2	0	FRT	SY	14	1461	1303	+6	−1	85	127
2000	11	21	Oman	Bahrain	2	1	F		7	1318	1296	0	−5	125	133
2001	02	03	Kuwait	Bahrain	2	1	WQ	SG	6	1618	1290	+1	−2	57	134
2001	02	06	Bahrain	Kyrgyzstan	1	0	WQ	SG	15	1305	1187	+7	−3	127	159
2001	02	09	Singapore	Bahrain	1	2	WQ		-23	1229	1328	−7	+4	149	123
2001	02	21	Bahrain	Kyrgyzstan	2	1	WQ	KW	12	1340	1169	+3	−3	120	163
2001	02	24	Bahrain	Singapore	2	0	WQ	KW	21	1361	1206	+4	−5	116	155
2001	02	27	Kuwait	Bahrain	0	1	WQ		-36	1587	1397	−3	+8	60	108
2001	04	04	Lebanon	Bahrain	1	1	F		-4	1422	1401	0	+5	94	105
2001	04	16	Bahrain	Oman	0	1	F		-15	1386	1326	−6	+2	113	123
