year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1955	12	14	East Pakistan	Pakistan	1	3	F		-4	996	1422	−	0	−	81
1973	07	27	Bangladesh	Thailand	2	2	MRD	MY	9	1005	1229	0	−2	161	131
1973	07	29	Bangladesh	South Vietnam	1	1	MRD	MY	10	1015	1282	+1	−5	160	123
1973	07	31	Kuwait	Bangladesh	2	1	MRD	MY	3	1418	1012	0	0	88	160
1973	08	02	Bangladesh	Singapore	1	1	MRD	MY	7	1019	1171	0	−2	160	141
1973	08	08	Burma	Bangladesh	6	0	MRD	MY	2	1667	1017	+1	0	34	160
1973	08	12	Thailand	Bangladesh	2	0	MRD	MY	9	1263	1008	+2	−1	125	161
1973	08	13	Singapore	Bangladesh	0	1	FT		-25	1169	1033	−4	+3	141	158
1975	07	29	Indonesia	Bangladesh	4	0	MRD	MY	6	1405	1027	+1	0	92	158
1975	08	02	Bangladesh	Thailand	1	1	MRD	MY	10	1037	1291	0	−1	158	118
1975	08	04	Japan	Bangladesh	3	0	MRD	MY	5	1431	1032	+1	0	86	158
1975	08	06	Malaysia	Bangladesh	3	0	MRD		3	1449	1029	+1	0	79	158
1975	08	08	Burma	Bangladesh	7	1	MRD	MY	3	1577	1026	0	0	52	158
1975	08	10	Hong Kong	Bangladesh	9	1	MRD	MY	10	1341	1016	+4	−3	106	161
1975	08	15	South Korea	Bangladesh	4	0	MRD	MY	2	1614	1014	+1	0	44	161
1976	12	18	Malaysia	Bangladesh	6	0	KNG	TH	4	1502	1010	+3	0	65	163
1978	12	12	Malaysia	Bangladesh	1	0	ASG	TH	2	1486	1008	0	0	71	162
1978	12	14	India	Bangladesh	3	0	ASG	TH	15	1248	993	+3	−2	123	164
1979	03	01	Bangladesh	Afghanistan	2	2	SQ		-10	983	918	0	+4	164	169
1979	03	03	Bangladesh	Qatar	1	1	SQ		2	985	1118	0	0	164	145
1979	03	05	Bangladesh	Afghanistan	3	2	SQ		10	995	890	0	−1	164	174
1979	03	07	Bangladesh	Qatar	1	3	SQ		-27	968	1160	0	+6	164	138
1979	09	08	Bahrain	Bangladesh	2	0	PRS	KR	12	1156	956	+2	−1	140	165
1979	09	10	Sudan	Bangladesh	4	1	PRS	KR	2	1530	954	0	0	63	165
1979	09	14	Bangladesh	Sri Lanka	3	1	PRS	KR	23	977	935	+1	−4	164	168
1979	09	16	South Korea	Bangladesh	9	0	PRS		0	1825	977	0	0	18	164
1980	09	16	North Korea	Bangladesh	3	2	AC	KW	1	1637	976	0	0	43	165
1980	09	19	Syria	Bangladesh	1	0	AC	KW	6	1319	970	+1	0	106	165
1980	09	22	Iran	Bangladesh	7	0	AC	KW	1	1722	969	0	0	27	165
1980	09	25	China	Bangladesh	6	0	AC	KW	3	1562	966	+1	0	54	165
1981	03	31	Bangladesh	Nepal	1	1	PRG		-6	960	921	0	0	165	170
1982	02	16	Bangladesh	Nepal	1	1	GLT	PK	-2	958	920	0	0	166	170
1982	02	18	Pakistan	Bangladesh	2	1	GLT		3	1260	955	0	0	121	166
1982	02	19	Oman	Bangladesh	3	1	GLT	PK	32	835	923	0	−3	181	169
1982	02	23	Iran	Bangladesh	9	0	GLT	PK	1	1752	922	0	0	28	169
1982	11	20	India	Bangladesh	2	0	ASG		5	1228	917	+1	0	131	170
1982	11	22	China	Bangladesh	1	0	ASG	IN	1	1612	916	0	0	45	170
1982	11	24	Bangladesh	Malaysia	2	1	ASG	IN	35	951	1239	+3	−10	167	128
1983	08	29	Bangladesh	Thailand	0	0	PRG		11	962	1360	0	0	167	94
1983	09	05	Bangladesh	Nepal	4	2	PRG		14	976	906	+2	−2	165	173
1983	09	22	Bangladesh	Nepal	1	0	MRD	MY	12	988	889	0	−1	165	174
1983	09	28	Malaysia	Bangladesh	1	0	MRD		3	1260	985	0	0	124	165
1984	08	07	Iran	Bangladesh	5	0	SQ	ID	1	1708	984	0	0	33	165
1984	08	09	Indonesia	Bangladesh	2	1	SQ		8	1140	976	+3	0	144	165
1984	08	11	Syria	Bangladesh	2	1	SQ	ID	5	1315	971	0	0	110	165
1984	08	13	Bangladesh	Philippines	3	2	SQ	ID	15	986	861	0	−2	165	179
1984	08	15	Thailand	Bangladesh	2	1	SQ	ID	3	1407	983	0	0	89	165
1984	09	18	Bangladesh	Bhutan	2	0	SAG	NP	10	993	684	+1	−1	164	187
1984	09	19	Bangladesh	Maldives	5	0	SAG	NP	15	1008	724	0	0	164	184
1984	09	21	Nepal	Bangladesh	0	5	SAG		-41	874	1049	−5	+5	176	159
1984	09	23	Nepal	Bangladesh	4	2	SAG		36	910	1013	+3	−4	173	163
1985	03	18	Indonesia	Bangladesh	2	0	WQ		11	1176	1002	+1	−1	145	165
1985	03	23	Thailand	Bangladesh	3	0	WQ		7	1300	995	+2	0	109	165
1985	03	30	Bangladesh	India	1	2	WQ		-14	981	1218	−1	+5	166	135
1985	04	02	Bangladesh	Indonesia	2	1	WQ		28	1009	1194	+2	−9	164	140
1985	04	05	Bangladesh	Thailand	1	0	WQ		28	1037	1231	+2	−8	162	130
1985	04	12	India	Bangladesh	2	1	WQ		7	1213	1030	+3	−2	136	164
1985	05	02	Pakistan	Bangladesh	1	3	GLT		-36	1146	1066	−5	+5	147	159
1985	12	21	Bangladesh	Pakistan	2	1	SAG		19	1085	1127	+2	−2	157	149
1985	12	23	Bangladesh	Maldives	8	0	SAG		6	1091	721	+3	0	154	186
1985	12	25	Bangladesh	India	1	1	SAG		2	1093	1219	0	−1	154	134
1986	03	15	Pakistan	Bangladesh	0	1	PRG		-20	1098	1113	−3	+3	154	151
1986	09	20	Kuwait	Bangladesh	4	0	ASG	KR	5	1594	1108	+4	−1	49	151
1986	09	24	Iran	Bangladesh	4	0	ASG	KR	3	1693	1105	0	0	34	151
1986	09	26	Bangladesh	Nepal	1	0	ASG	KR	7	1112	836	0	0	151	182
1986	09	28	Japan	Bangladesh	4	0	ASG	KR	9	1458	1103	+2	−1	80	152
1986	12	04	Nepal	Bangladesh	1	0	NPC		22	857	1081	0	−5	182	157
1987	02	08	Bangladesh	Thailand	2	2	PRG		2	1083	1230	0	−1	154	127
1987	11	21	Nepal	Bangladesh	1	0	SAG	IN	31	905	1052	+3	−6	176	160
1987	11	22	Bangladesh	Bhutan	3	0	SAG	IN	6	1058	628	+1	0	159	192
1987	11	25	Pakistan	Bangladesh	1	0	SAG	IN	22	1043	1036	+5	−4	160	163
1988	02	06	Bangladesh	India	0	0	SQ	AE	8	1044	1183	+3	−1	160	142
1988	02	08	China	Bangladesh	4	0	SQ	AE	3	1594	1041	0	−1	51	161
1988	02	12	Bangladesh	Thailand	1	1	SQ	AE	12	1053	1266	+2	−4	159	119
1988	02	14	Bangladesh	North Yemen	0	0	SQ	AE	-8	1045	921	0	+2	159	174
1988	02	17	United Arab Emirates	Bangladesh	4	0	SQ		4	1436	1041	0	−2	82	161
1989	02	19	Thailand	Bangladesh	1	0	WQ		5	1269	1036	0	−1	118	162
1989	02	23	China	Bangladesh	2	0	WQ		1	1577	1035	0	0	51	162
1989	02	27	Bangladesh	Iran	1	2	WQ		-2	1033	1613	0	0	162	46
1989	03	04	Bangladesh	China	0	2	WQ		-4	1029	1596	0	0	162	47
1989	03	08	Bangladesh	Thailand	3	1	WQ		39	1068	1200	+2	−12	160	136
1989	03	17	Iran	Bangladesh	1	0	WQ		1	1614	1067	0	0	46	160
