year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1929	04	20	Barbados	Trinidad and Tobago	3	0	F		26	1326	1563	−	−8	55	36
1929	04	22	Barbados	Trinidad and Tobago	2	0	F		21	1347	1542	+1	−3	54	40
1929	04	24	Barbados	Trinidad and Tobago	2	1	F		13	1360	1529	0	0	54	40
1931	02	09	Barbados	Martinique	1	2	F		-9	1351	1509	−1	−	56	39
1931	02	11	Barbados	Martinique	3	2	F		12	1363	1497	0	−2	56	41
1931	02	12	Barbados	Martinique	0	0	F		1	1364	1496	0	−2	56	43
1931	03	09	Trinidad and Tobago	Barbados	7	1	MS	RG	21	1506	1343	+5	0	40	56
1931	03	13	British Guiana	Barbados	9	0	MS		16	1479	1327	0	0	46	56
1931	03	16	Trinidad and Tobago	Barbados	5	1	MS	RG	15	1524	1312	0	−3	39	59
1931	03	20	British Guiana	Barbados	7	0	MS		11	1509	1301	+2	−1	39	60
1932	04	16	Barbados	British Guiana	0	1	MS		-11	1290	1498	0	+4	63	43
1932	04	18	Barbados	Trinidad and Tobago	1	0	MS		19	1309	1469	0	−1	63	48
1932	04	23	Barbados	British Guiana	2	2	MS		3	1312	1479	0	0	63	48
1932	04	26	Barbados	Trinidad and Tobago	1	3	MS		-18	1294	1503	0	+5	63	41
1933	10	23	Trinidad and Tobago	Barbados	8	4	F		5	1508	1289	0	−1	45	66
1933	10	26	British Guiana	Barbados	2	0	MS	TT	12	1471	1277	+2	−3	51	69
1933	10	30	Trinidad and Tobago	Barbados	3	1	MS		6	1517	1271	+1	−2	43	71
1933	11	01	British Guiana	Barbados	5	2	MS	TT	12	1489	1259	+1	0	50	71
1933	11	06	Trinidad and Tobago	Barbados	6	0	MS		7	1534	1252	0	0	42	71
1936	05	02	Barbados	Grenada	1	2	F		-6	1246	1511	0	+2	76	46
1936	09	12	Saint Vincent and the Grenadines	Barbados	1	1	F		-6	1394	1252	−	0	59	76
1936	09	14	Saint Vincent and the Grenadines	Barbados	1	1	F		-6	1388	1258	−1	0	60	76
1942	04	11	Barbados	Trinidad and Tobago	3	3	F		6	1264	1582	+1	0	85	43
1944	00	00	Trinidad and Tobago	Barbados	5	0	F		3	1585	1261	0	0	44	87
1944	05	04	Barbados	Trinidad and Tobago	1	1	F		6	1267	1579	0	0	89	45
1944	05	08	Barbados	Trinidad and Tobago	1	1	F		5	1272	1574	+1	0	88	45
1944	05	10	Barbados	Trinidad and Tobago	1	4	F		-8	1264	1582	−1	0	89	45
1944	10	05	Trinidad and Tobago	Barbados	3	0	FT		5	1575	1259	+1	−1	45	90
1944	10	07	British Guiana	Barbados	3	0	FT	TT	22	1337	1237	+2	−1	75	91
1944	10	09	Trinidad and Tobago	Barbados	6	1	FT		4	1579	1233	0	0	45	91
1944	10	11	British Guiana	Barbados	1	0	FT	TT	11	1348	1222	+3	0	72	91
1951	03	19	Barbados	Grenada	1	3	F		-7	1215	1548	−1	+1	103	49
1951	03	21	Barbados	Grenada	3	2	F		16	1231	1532	+1	−2	102	51
1951	05	25	Barbados	Jamaica	3	0	F		19	1250	1342	+1	−1	103	82
1951	05	26	Barbados	Jamaica	0	1	F		-10	1240	1352	−1	0	104	82
1951	05	28	Barbados	Jamaica	5	2	F		18	1258	1334	+2	−2	102	84
1953	08	21	British Guiana	Barbados	2	0	F		11	1252	1247	+2	−2	105	106
1959	03	02	Trinidad and Tobago	Barbados	2	0	FT		6	1492	1241	+3	−2	72	120
1959	03	04	Jamaica	Barbados	3	1	FT	TT	16	1364	1225	+4	−1	97	121
1959	03	09	Barbados	British Guiana	2	1	FT	TT	17	1242	1246	+2	−2	119	118
1962	11	25	Barbados	Saint Lucia	1	1	F		-1	1241	1301	0	+1	122	111
1966	01	00	Barbados	British Guiana	1	1	FT		-5	1236	1220	0	0	128	131
1968	04	06	Barbados	Surinam	0	2	F		-7	1229	1554	0	+1	126	59
1968	04	08	Barbados	Surinam	0	0	F		6	1235	1548	0	−1	126	60
1971	06	26	Barbados	Grenada	6	1	F		31	1266	1509	+6	−2	122	65
1971	06	27	Barbados	Grenada	6	1	F		28	1294	1481	+8	−4	114	69
1971	07	21	Barbados	El Salvador	0	3	OQ		-26	1268	1515	−9	+2	123	66
1971	07	28	El Salvador	Barbados	4	2	OQ		7	1522	1261	+2	0	65	124
1971	11	30	Barbados	Netherlands Antilles	1	3	F		-14	1247	1395	−3	+3	127	94
1973	02	08	Barbados	Haiti	3	2	F		17	1264	1614	+2	−2	127	44
1973	11	06	Surinam	Barbados	2	0	FT	GY	7	1568	1257	+2	−1	55	126
1974	02	28	Cuba	Barbados	2	0	CAC	DO	18	1421	1239	+4	−2	87	130
1974	03	02	Trinidad and Tobago	Barbados	1	0	CAC	DO	5	1592	1234	0	0	51	130
1974	03	04	Barbados	Nicaragua	1	0	CAC	DO	10	1244	1026	0	−2	130	160
1974	03	08	Barbados	Puerto Rico	2	0	CAC	DO	6	1250	847	+1	0	129	176
1975	03	31	Barbados	Surinam	1	0	F		15	1265	1538	+3	−3	123	56
1975	04	12	Barbados	Trinidad and Tobago	1	1	OQ		9	1274	1524	+1	−5	123	61
1975	04	29	Trinidad and Tobago	Barbados	0	0	OQ		-15	1509	1289	−2	+4	64	119
1975	05	25	Barbados	Trinidad and Tobago	1	3	OQ		-20	1269	1529	−3	+4	122	61
1975	10	05	Antigua and Barbuda	Barbados	1	0	F		10	1167	1259	0	−2	138	122
1976	08	15	Barbados	Trinidad and Tobago	2	1	WCQ		28	1287	1477	+4	−8	117	70
1976	08	31	Trinidad and Tobago	Barbados	1	0	WCQ		6	1483	1281	+3	−2	67	119
1976	09	14	Barbados	Trinidad and Tobago	1	3	WCQ		-21	1260	1504	−3	+6	123	61
1977	10	21	Guyana	Barbados	2	0	FT		17	1261	1243	+3	−3	123	126
1977	10	24	Guyana	Barbados	0	0	FT		-5	1256	1248	0	0	123	126
1977	10	26	Guyana	Barbados	0	0	FT		-5	1251	1253	−2	+3	125	123
1977	12	08	Barbados	Saint Vincent and the Grenadines	2	1	F		12	1265	1429	+1	−3	122	85
1977	12	11	Barbados	Saint Vincent and the Grenadines	2	0	F		18	1283	1411	+4	−5	118	90
1978	05	01	Barbados	Guyana	1	0	F		6	1289	1245	+1	−2	118	127
1978	05	03	Barbados	Guyana	3	0	F		11	1300	1234	+2	−1	116	128
1978	06	25	Barbados	Netherlands Antilles	0	0	CUQ		-3	1297	1344	−1	0	117	106
1978	07	29	Netherlands Antilles	Barbados	1	0	CUQ		18	1249	1279	+4	−2	123	117
1978	11	25	Grenada	Barbados	2	0	F		6	1439	1273	0	0	84	118
1978	11	26	Grenada	Barbados	0	0	F		-6	1433	1279	0	0	84	118
1979	02	00	Barbados	Trinidad and Tobago	2	2	FT		2	1281	1426	0	−2	119	86
1979	03	00	Barbados	Martinique	1	2	FT		-14	1267	1429	−1	+4	120	84
1979	05	06	Barbados	Suriname	1	2	OQ		-11	1256	1550	−4	+2	123	58
1979	05	20	Suriname	Barbados	5	1	OQ		7	1557	1249	+3	−1	56	123
1980	02	17	Barbados	Saint Vincent and the Grenadines	0	0	F		4	1253	1492	0	−1	121	70
1981	07	05	Barbados	Trinidad and Tobago	1	1	CUQ		3	1256	1401	0	+1	122	89
1981	07	17	Trinidad and Tobago	Barbados	1	1	CUQ		-12	1389	1268	−3	+3	92	119
1981	11	04	Trinidad and Tobago	Barbados	2	1	F		3	1496	1265	+1	0	72	119
1981	11	06	Trinidad and Tobago	Barbados	0	0	F		-7	1489	1272	−1	+1	73	118
