year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1956	07	27	Belorussia	China	1	1	F		1	1401	1544	−	0	−	56
1959	07	25	Belorussia	China	1	1	F		0	1401	1506	−	0	−	67
1967	06	04	Belorussia	Mexico	1	2	F		-3	1398	1821	−	0	−	15
1969	11	23	Guinea	Belorussia	2	1	F		2	1644	1396	+1	−	39	−
1992	07	20	Lithuania	Belarus	1	1	F		0	1303	1396	0	0	126	101
1992	10	28	Belarus	Ukraine	1	1	F		4	1400	1622	0	0	103	51
1993	01	27	Ecuador	Belarus	1	1	F		-8	1637	1408	−4	+1	44	100
1993	01	30	Peru	Belarus	1	1	F		-6	1543	1414	−1	0	65	100
1994	05	25	Ukraine	Belarus	3	1	F		4	1639	1410	0	−2	47	98
1994	08	17	Poland	Belarus	1	1	F		-8	1694	1418	−1	+2	31	96
1994	09	07	Norway	Belarus	1	0	EQ		2	1860	1416	0	−2	16	98
1994	10	12	Belarus	Luxembourg	2	0	EQ		7	1423	1161	+3	−1	96	162
1994	11	16	Belarus	Norway	0	4	EQ		-9	1414	1870	−3	0	99	16
1995	03	29	Czechia	Belarus	4	2	EQ		2	1870	1412	+2	0	17	101
1995	04	26	Belarus	Malta	1	1	EQ		-8	1404	1368	−2	+3	102	115
1995	06	07	Belarus	Netherlands	1	0	EQ		36	1440	1867	+6	−7	96	17
1995	07	29	Lithuania	Belarus	1	1	F		-4	1477	1444	0	+1	84	93
1995	09	06	Netherlands	Belarus	1	0	EQ		2	1869	1442	0	0	14	95
1995	10	07	Belarus	Czechia	0	2	EQ		-7	1435	1892	−2	+1	97	9
1995	10	11	Luxembourg	Belarus	0	0	EQ		5	1259	1430	+1	−1	140	98
1995	11	12	Malta	Belarus	0	2	EQ		-31	1315	1461	−7	+9	126	89
1996	02	14	Turkey	Belarus	3	2	F		2	1761	1459	+1	0	26	89
1996	03	27	Slovakia	Belarus	4	0	F		5	1693	1454	0	−2	34	90
1996	05	01	Poland	Belarus	1	1	F		-7	1666	1461	−2	+2	40	89
1996	05	27	Belarus	Azerbaijan	2	2	F		-3	1458	1449	−2	0	90	95
1996	06	01	Sweden	Belarus	5	1	WQ		4	1875	1454	0	−2	15	92
1996	07	31	Belarus	Lithuania	2	2	F		-3	1451	1460	−1	+2	94	90
1996	08	20	United Arab Emirates	Belarus	1	0	F	DE	7	1550	1444	+2	0	67	94
