year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1904	05	01	Belgium	France	3	3	ECT		-10	1790	1610	−	−	8	9
1905	04	30	Belgium	Netherlands	1	4	VDA		-25	1765	1925	−1	−	9	3
1905	05	07	Belgium	France	7	0	F		9	1774	1606	0	0	9	10
1905	05	14	Netherlands	Belgium	4	0	RNC		11	1936	1763	0	0	3	9
1906	04	22	France	Belgium	0	5	F		-17	1589	1780	0	0	10	9
1906	04	29	Belgium	Netherlands	5	0	VDA		35	1815	1901	0	−2	9	5
1906	05	13	Netherlands	Belgium	2	3	RNC		-22	1879	1837	−2	+1	7	8
1907	04	04	Belgium	Netherlands	1	3	VDA		-28	1809	1883	0	0	9	6
1907	04	21	Belgium	France	1	2	F		-17	1792	1595	0	0	10	12
1907	05	09	Netherlands	Belgium	1	2	RNC		-23	1860	1815	−1	+1	6	9
1908	03	29	Belgium	Netherlands	1	4	VDA		-31	1784	1879	0	0	10	6
1908	04	12	France	Belgium	1	2	F		-8	1594	1792	0	0	12	10
1908	04	18	Belgium	England	2	8	F		-15	1777	2011	0	0	10	2
1908	04	26	Netherlands	Belgium	3	1	RNC		11	1890	1766	+1	0	5	10
1908	10	26	Belgium	Sweden	2	1	F		5	1771	1657	0	0	11	13
1909	03	21	Belgium	Netherlands	1	4	VDA		-24	1747	1928	0	0	11	4
1909	04	19	England	Belgium	11	2	F		2	2168	1745	0	0	1	11
1909	04	25	Netherlands	Belgium	4	1	RNC		9	1925	1736	0	0	4	11
1909	05	09	Belgium	France	5	2	F		6	1742	1567	0	0	11	15
1910	03	13	Belgium	Netherlands	3	2	VDA		18	1760	1902	0	0	11	4
1910	03	26	Belgium	England	2	2	F		7	1767	2183	0	0	11	1
1910	04	03	France	Belgium	0	4	F		-13	1551	1780	0	0	15	11
1910	04	10	Netherlands	Belgium	7	0	RNC		15	1917	1765	0	0	4	11
1910	05	16	Germany	Belgium	0	3	F		-18	1664	1783	0	0	13	11
1911	03	04	England	Belgium	4	0	F		2	2151	1781	0	0	1	11
1911	03	19	Belgium	Netherlands	1	5	VDA		-24	1757	1951	0	+1	11	3
1911	04	02	Netherlands	Belgium	3	1	RNC		7	1958	1750	0	0	3	11
1911	04	23	Belgium	Germany	2	1	F		5	1755	1668	0	0	11	13
1911	04	30	Belgium	France	7	1	F		5	1760	1517	0	−1	11	18
1912	01	28	France	Belgium	1	1	F		4	1533	1756	0	0	18	11
1912	02	20	Belgium	Switzerland	9	2	F		6	1762	1524	0	0	11	18
1912	03	10	Belgium	Netherlands	1	2	VDA		-11	1751	1961	0	0	11	3
1912	04	08	Belgium	England	1	2	F		-3	1748	2154	0	0	11	1
1912	04	28	Netherlands	Belgium	4	3	RNC		5	1952	1743	+1	0	3	11
1912	11	09	England	Belgium	4	0	F		1	2213	1742	0	0	1	11
1913	02	16	Belgium	France	3	0	F		6	1748	1565	0	−1	11	18
1913	03	09	Belgium	Netherlands	3	3	VDA		5	1753	1972	0	0	11	3
1913	04	20	Netherlands	Belgium	2	4	RNC		-39	1946	1792	−1	0	4	11
1913	05	01	Italy	Belgium	1	0	F		12	1620	1780	+2	0	14	11
1913	05	04	Switzerland	Belgium	1	2	F		-5	1490	1785	0	0	20	11
1913	11	02	Belgium	Switzerland	2	0	F		3	1788	1504	0	0	11	20
1913	11	23	Belgium	Germany	6	2	LVC		12	1800	1651	0	0	11	12
1914	01	25	France	Belgium	4	3	F		13	1600	1787	0	0	16	11
1914	02	24	Belgium	England	1	8	F		-10	1777	2115	0	0	11	1
1914	03	15	Belgium	Netherlands	2	4	VDA		-18	1759	1961	0	0	11	4
1914	04	26	Netherlands	Belgium	4	2	RNC		7	1960	1752	0	0	4	11
1916	03	12	France	Belgium	1	4	F		-13	1555	1765	0	0	19	12
1917	06	03	Italy	Belgium	3	4	F		-9	1627	1774	0	0	16	12
1918	04	22	Belgium	France	5	2	F		5	1779	1550	0	0	12	21
1918	09	20	Italy	Belgium	1	1	F		1	1628	1778	0	0	16	12
1918	09	22	Italy	Belgium	1	1	F		1	1629	1777	0	0	16	12
1919	03	09	Belgium	France	2	2	F		-7	1770	1557	0	0	12	21
1920	02	17	Belgium	England	3	1	F		22	1792	2020	0	0	12	1
1920	03	28	France	Belgium	2	1	F		14	1578	1778	0	0	22	12
1920	08	29	Belgium	Spain	3	1	OG		63	1841	1963	+2	−2	11	3
1920	08	31	Belgium	Netherlands	3	0	OG		51	1892	1878	+2	−5	9	10
1920	09	02	Belgium	Czechoslovakia	2	0	OG		36	1928	1889	+4	−4	5	9
1921	03	06	Belgium	France	3	1	F		2	1930	1594	0	0	7	22
1921	05	05	Belgium	Italy	2	3	F		-18	1912	1656	−3	+2	8	18
1921	05	15	Belgium	Netherlands	1	1	F		-5	1907	1847	0	0	8	10
1921	05	21	Belgium	England	0	2	F		-19	1888	1933	−1	+2	9	4
1921	10	07	Spain	Belgium	2	0	F		6	2022	1882	0	0	2	9
1922	01	15	France	Belgium	2	1	F		15	1622	1867	0	0	24	9
1922	03	26	Belgium	Netherlands	4	0	VDA		20	1887	1845	+1	0	8	10
1922	04	15	Belgium	Denmark	0	0	F		-2	1885	1926	0	0	8	6
1922	05	07	Netherlands	Belgium	1	2	RNC		-18	1841	1903	0	0	10	8
1922	05	21	Italy	Belgium	4	2	F		21	1689	1882	+2	0	20	8
1923	02	04	Belgium	Spain	1	0	F		12	1894	2024	+1	0	8	1
1923	02	25	Belgium	France	4	1	F		3	1897	1593	+1	0	7	29
1923	03	19	England	Belgium	6	1	F		14	1920	1883	0	−2	5	9
1923	04	29	Netherlands	Belgium	1	1	RNC		-2	1816	1885	−1	0	13	9
1923	05	05	Belgium	England	3	0	F		15	1900	1912	+3	−1	6	5
