year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1964	08	10	Iceland	Bermuda	4	3	F		10	1309	1390	0	−	113	99
1965	02	25	Bermuda	United States	1	5	F		-22	1368	1450	−5	+2	105	81
1965	03	02	Bermuda	United States	1	4	F		-18	1350	1468	−1	+4	105	77
1965	12	28	Bermuda	Jamaica	0	3	F		-22	1328	1378	−6	+6	112	97
1967	07	27	Bermuda	Cuba	1	1	PAG	CA	-4	1324	1275	−2	+1	111	123
1967	07	31	Bermuda	Trinidad and Tobago	3	1	PAG	CA	49	1373	1382	+9	−11	102	99
1967	12	03	Guatemala	Bermuda	1	1	OQ		-15	1611	1388	−3	+1	44	98
1967	12	10	Bermuda	Guatemala	0	0	OQ		7	1395	1604	0	−2	98	46
1968	03	03	Guatemala	Bermuda	2	1	OQ	SV	9	1613	1386	+5	−2	42	99
1968	10	06	Canada	Bermuda	4	0	WQ		13	1564	1373	+1	−4	59	102
1968	10	20	Bermuda	Canada	0	0	WQ		6	1379	1572	0	0	101	56
1968	11	03	United States	Bermuda	6	2	WQ		19	1490	1360	+2	−1	70	102
1968	11	11	Bermuda	United States	0	2	WQ		-27	1333	1517	−7	+3	109	67
1969	01	12	Bermuda	Denmark	1	5	F		-9	1324	1637	−1	0	110	42
1969	06	23	Iceland	Bermuda	2	1	F		9	1276	1315	+1	−2	119	112
1969	07	01	Denmark	Bermuda	6	0	F		3	1683	1312	0	−1	33	113
1969	07	03	Norway	Bermuda	3	0	F		5	1533	1307	0	0	65	113
1969	10	21	Mexico	Bermuda	3	0	CCQ		2	1803	1305	+1	0	17	113
1969	11	02	Bermuda	Mexico	2	1	CCQ		36	1341	1767	+6	−4	105	21
1969	11	11	Bermuda	Iceland	3	2	F		5	1346	1263	+1	−1	104	121
1970	04	14	Haiti	Bermuda	1	1	F		-7	1514	1353	−1	0	68	104
1971	00	00	Bermuda	Jamaica	1	1	F		-6	1347	1241	−1	0	105	128
1971	07	31	Bermuda	Haiti	1	1	PAG	CO	13	1360	1535	+4	−2	101	63
1971	10	03	Bermuda	Mexico	0	2	CCQ		-12	1348	1710	−5	+2	106	31
1971	10	13	Mexico	Bermuda	4	0	CCQ		5	1715	1343	0	0	30	106
1972	12	24	Bermuda	Jamaica	0	0	F		-4	1339	1289	0	+1	107	118
