year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1982	04	00	Nepal	Bhutan	3	1	ANF		6	933	694	+5	−	169	185
1984	09	18	Bangladesh	Bhutan	2	0	SAG	NP	10	993	684	+1	−1	164	187
1984	09	20	Nepal	Bhutan	5	0	SAG		11	915	673	+2	−2	171	189
1984	09	21	Maldives	Bhutan	1	0	SAG	NP	17	741	656	0	0	184	189
1985	12	22	Nepal	Bhutan	1	0	SAG	BD	11	827	645	0	0	183	191
1985	12	23	India	Bhutan	3	0	SAG	BD	2	1221	643	+1	0	133	191
1986	06	00	Nepal	Bhutan	4	0	ANF		9	846	634	0	0	182	191
1987	11	22	Bangladesh	Bhutan	3	0	SAG	IN	6	1058	628	+1	0	159	192
1987	11	23	Nepal	Bhutan	6	2	SAG	IN	13	918	615	+2	−1	174	193
1999	09	26	Nepal	Bhutan	7	0	SAG		20	748	595	0	−3	209	223
1999	09	28	India	Bhutan	3	0	SAG	NP	3	1134	592	+1	0	164	223
1999	09	30	Pakistan	Bhutan	2	1	SAG	NP	9	821	583	0	0	205	223
2000	02	12	Nepal	Bhutan	3	0	SQ	KW	18	787	565	+1	0	206	223
2000	02	14	Kuwait	Bhutan	20	0	SQ		0	1660	565	0	0	46	223
2000	02	16	Turkmenistan	Bhutan	8	0	SQ	KW	1	1431	564	0	0	97	223
2000	02	18	Yemen	Bhutan	11	2	SQ	KW	3	1199	561	0	0	153	223
2001	04	28	Bangladesh	Bhutan	3	1	F		1	1020	560	+1	0	185	223
2002	06	30	Bhutan	Montserrat	4	0	F		13	573	545	0	0	225	226
2002	12	27	Bhutan	Bangladesh	0	5	JWM		-7	566	1027	0	0	226	186
2003	01	02	Bhutan	Bangladesh	0	1	JWM		-3	563	1030	0	+1	226	185
2003	01	11	Maldives	Bhutan	6	0	SFF	BD	11	906	552	+2	0	195	226
2003	01	13	Nepal	Bhutan	2	0	SFF	BD	8	880	544	+1	−1	199	227
2003	01	15	Bangladesh	Bhutan	3	0	SFF		2	1048	542	+2	0	183	227
2003	04	23	Bhutan	Guam	6	0	SQ		40	582	578	+2	−5	226	227
2003	04	27	Bhutan	Mongolia	0	0	SQ		6	588	793	0	0	226	208
2003	10	06	Indonesia	Bhutan	2	0	SQ	SA	1	1351	587	0	0	121	224
2003	10	08	Saudi Arabia	Bhutan	6	0	SQ		0	1645	587	−1	0	51	224
2003	10	10	Yemen	Bhutan	8	0	SQ	SA	3	1162	584	0	0	163	224
2003	10	13	Indonesia	Bhutan	2	0	SQ	SA	1	1363	583	0	0	120	224
2003	10	15	Saudi Arabia	Bhutan	4	0	SQ		0	1655	583	0	0	47	224
2003	10	17	Yemen	Bhutan	4	0	SQ	SA	2	1173	581	+1	0	159	224
2005	12	08	Bangladesh	Bhutan	3	0	SFF	PK	5	1029	576	0	−2	184	227
2005	12	10	India	Bhutan	3	0	SFF	PK	2	1152	574	0	0	165	227
2005	12	12	Nepal	Bhutan	3	1	SFF	PK	11	842	563	+1	0	202	227
2006	04	02	Nepal	Bhutan	2	0	ACH	BD	10	852	553	+1	−1	201	228
2006	04	04	Sri Lanka	Bhutan	1	0	ACH	BD	4	928	549	0	0	194	228
2006	04	06	Bhutan	Brunei	0	0	ACH	BD	10	559	741	0	0	228	211
2007	10	31	Bhutan	Tibet	2	2	SGC	IN	5	564	664	+2	0	228	221
2007	11	02	Bhutan	Tibet	3	0	SGC	IN	34	598	630	+5	−1	223	222
2008	05	13	Tajikistan	Bhutan	3	1	SCQ	PH	1	1312	597	0	0	128	223
2008	05	15	Bhutan	Brunei	1	1	SCQ	PH	6	603	696	0	−2	223	219
2008	05	17	Philippines	Bhutan	3	0	SCQ		10	815	593	+1	0	207	223
2008	06	04	Bangladesh	Bhutan	1	1	SFF	LK	-16	941	609	0	0	193	223
2008	06	06	Sri Lanka	Bhutan	2	0	SFF		4	995	605	0	0	187	223
2008	06	08	Bhutan	Afghanistan	3	1	SFF	LK	49	654	822	+1	−4	222	206
2008	06	11	India	Bhutan	2	1	SFF	MV	2	1177	652	+1	0	161	222
2009	04	14	Philippines	Bhutan	1	0	SCQ	MV	11	835	641	+2	0	204	222
2009	04	16	Turkmenistan	Bhutan	7	0	SCQ	MV	2	1330	639	0	0	124	222
2009	04	18	Maldives	Bhutan	5	0	SCQ		3	1081	636	+1	0	179	222
2009	11	29	Nepal	Bhutan	2	1	F	IN	3	955	633	+1	0	190	222
2009	12	04	Bangladesh	Bhutan	4	1	SFF		6	938	627	+2	−1	192	223
2009	12	06	Sri Lanka	Bhutan	6	0	SFF	BD	10	980	617	+2	0	187	223
2009	12	08	Pakistan	Bhutan	7	0	SFF	BD	16	897	601	+2	0	199	223
2011	03	17	Nepal	Bhutan	1	0	F		1	977	600	0	0	188	225
2011	03	19	Nepal	Bhutan	2	1	F		1	978	599	0	0	188	225
2011	03	23	Afghanistan	Bhutan	3	0	SCQ	IN	18	796	581	+2	−2	208	227
2011	03	25	Afghanistan	Bhutan	2	0	SCQ	IN	13	809	568	+1	−2	207	229
2011	12	03	Sri Lanka	Bhutan	3	0	SFF	IN	9	907	559	+1	−1	196	229
2011	12	05	India	Bhutan	5	0	SFF		1	1171	558	0	0	162	229
2011	12	07	Afghanistan	Bhutan	8	1	SFF	IN	12	903	546	+3	−1	198	230
2012	11	14	Thailand	Bhutan	5	0	F		0	1380	546	−1	0	114	235
2013	09	02	Afghanistan	Bhutan	3	0	SFF	NP	6	969	540	+1	−1	191	236
2013	09	04	Maldives	Bhutan	8	2	SFF	NP	3	1143	537	+1	0	172	236
2013	09	06	Sri Lanka	Bhutan	5	2	SFF	NP	11	833	526	+1	0	207	236
2015	03	12	Sri Lanka	Bhutan	0	1	WQS		-37	797	563	−2	+2	210	236
2015	03	17	Bhutan	Sri Lanka	2	1	WQS		27	590	770	+3	−3	233	213
2015	06	11	Hong Kong	Bhutan	7	0	WQS		2	1162	588	0	0	169	233
2015	06	16	Bhutan	China	0	6	WQS		0	588	1598	0	+1	233	60
2015	08	20	Cambodia	Bhutan	2	0	F		6	741	582	0	0	215	233
2015	09	03	Qatar	Bhutan	15	0	WQS		0	1551	582	0	0	68	233
2015	10	08	Bhutan	Maldives	3	4	WQS		-5	577	1031	−2	+2	234	185
2015	10	13	Bhutan	Hong Kong	0	1	WQS		-2	575	1186	0	+1	234	163
2015	11	12	China	Bhutan	12	0	WQS		0	1562	575	0	0	69	234
2015	11	17	Bhutan	Qatar	0	3	WQS		0	575	1569	0	−1	234	67
2015	12	24	Maldives	Bhutan	3	1	SFF	IN	4	1017	571	0	0	187	234
2015	12	26	Afghanistan	Bhutan	3	0	SFF	IN	3	1112	568	0	0	178	234
2015	12	28	Bangladesh	Bhutan	3	0	SFF	IN	10	897	558	0	−3	202	237
2016	03	29	Maldives	Bhutan	4	2	WQS		3	969	555	+1	0	192	236
2016	08	13	Bhutan	India	0	3	F		-3	552	1094	0	0	236	183
2016	09	06	Bangladesh	Bhutan	0	0	SQ		-17	855	569	−2	+2	206	234
2016	10	10	Bhutan	Bangladesh	3	1	SQ		45	614	810	+4	−2	230	208
2017	03	28	Oman	Bhutan	14	0	SQ		1	1467	613	−1	0	88	231
2017	06	13	Bhutan	Maldives	0	2	SQ		-13	600	955	−1	+3	232	194
2017	09	05	Bhutan	Palestine	0	2	SQ		-1	599	1407	0	0	232	105
2017	10	10	Palestine	Bhutan	10	0	SQ		1	1408	598	−1	0	105	232
2017	11	14	Bhutan	Oman	2	4	SQ		-1	597	1461	0	0	232	93
2018	03	27	Maldives	Bhutan	7	0	SQ		7	946	590	+1	0	196	232
2018	04	01	Malaysia	Bhutan	7	0	F		2	1057	588	0	0	183	232
2018	09	04	Bangladesh	Bhutan	2	0	SFF		9	805	579	+1	−1	208	233
2018	09	06	Nepal	Bhutan	4	0	SFF	BD	11	893	568	0	−1	202	234
2018	09	08	Pakistan	Bhutan	3	0	SFF	BD	7	952	561	+1	−2	196	236
2019	06	06	Bhutan	Guam	1	0	WQS		27	588	767	+3	−5	232	212
2019	06	11	Guam	Bhutan	5	0	WQS		13	780	575	+2	−2	210	234
2019	09	29	Bangladesh	Bhutan	4	1	F		4	817	571	0	0	208	234
2019	10	03	Bangladesh	Bhutan	2	0	F		4	821	567	0	0	208	234
2023	03	25	Laos	Bhutan	2	1	PMC	NP	11	668	556	+1	−1	226	236
2023	03	28	Nepal	Bhutan	1	1	PMC		-13	935	569	0	+1	194	235
2023	06	22	Maldives	Bhutan	2	0	SFF	IN	7	942	562	0	−1	194	236
2023	06	25	Lebanon	Bhutan	4	1	SFF	IN	1	1299	561	0	0	135	236
2023	06	28	Bangladesh	Bhutan	3	1	SFF	IN	8	904	553	+2	0	198	236
2023	09	06	Macao	Bhutan	0	1	F		-16	672	569	−4	+1	224	235
2023	10	12	Hong Kong	Bhutan	4	0	WQS		2	1120	567	0	0	173	235
2023	10	17	Bhutan	Hong Kong	2	0	WQS		56	623	1064	+4	−7	230	179
2024	03	22	Central African Republic	Bhutan	6	0	FFS	LK	1	1304	622	0	0	137	229
2024	03	25	Sri Lanka	Bhutan	2	0	FFS		12	712	610	0	−1	217	230
2024	09	05	Bhutan	Bangladesh	0	1	F		-5	605	929	0	0	233	196
2024	09	08	Bhutan	Bangladesh	1	0	F		16	621	913	0	−2	233	197
2025	03	25	Bhutan	Yemen	0	0	SQ		16	637	1109	+3	−3	227	172
2025	06	04	Bangladesh	Bhutan	2	0	F		3	925	634	0	0	196	227
2025	06	10	Brunei	Bhutan	2	1	SQ		13	670	621	0	−3	225	230
2025	10	09	Lebanon	Bhutan	2	0	SQ	QA	1	1348	620	0	0	122	230
2025	10	14	Lebanon	Bhutan	4	0	SQ	QA	1	1349	619	+2	0	117	230
2025	11	13	India	Bhutan	6	1	F		1	1151	618	0	−1	164	232
2025	11	18	Yemen	Bhutan	7	1	SQ	KW	4	1138	614	+2	−1	165	232
2026	03	31	Bhutan	Brunei	2	1	SQ	IN	22	636	633	+4	−2	228	229
