year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1926	10	12	Chile	Bolivia	7	1	SA		25	1426	1275	+2	−	45	58
1926	10	16	Argentina	Bolivia	5	0	SA	CL	2	1999	1273	0	0	3	58
1926	10	23	Paraguay	Bolivia	6	1	SA	CL	7	1731	1266	+1	0	17	58
1926	10	28	Uruguay	Bolivia	6	0	SA	CL	1	2016	1265	0	0	1	58
1927	10	30	Argentina	Bolivia	7	1	SA	PE	2	1962	1263	0	0	4	58
1927	11	06	Uruguay	Bolivia	9	0	SA	PE	1	2041	1262	0	0	1	59
1927	11	13	Peru	Bolivia	3	2	SA		4	1592	1258	0	0	30	59
1930	07	17	Yugoslavia	Bolivia	4	0	WC	UY	11	1653	1247	+2	0	24	62
1930	07	20	Brazil	Bolivia	4	0	WC	UY	3	1874	1244	0	0	9	62
1938	08	08	Bolivia	Ecuador	1	1	BG	CO	3	1247	1297	0	−	84	76
1938	08	11	Bolivia	Venezuela	3	1	BG	CO	34	1281	1265	+4	−7	80	83
1938	08	14	Peru	Bolivia	3	0	BG	CO	8	1635	1273	0	−1	35	81
1938	08	16	Colombia	Bolivia	1	2	BG		-31	1345	1304	−3	+6	66	75
1938	08	22	Bolivia	Ecuador	2	1	BG	CO	22	1326	1318	+6	−2	69	71
1945	01	18	Argentina	Bolivia	4	0	SA	CL	1	2089	1325	0	0	1	77
1945	01	24	Chile	Bolivia	5	0	SA		11	1608	1314	+1	0	42	77
1945	01	28	Brazil	Bolivia	2	0	SA	CL	2	1915	1312	0	−1	8	78
1945	02	11	Bolivia	Ecuador	0	0	SA	CL	-5	1307	1240	0	0	78	90
1945	02	15	Uruguay	Bolivia	2	0	SA	CL	2	1902	1305	0	−1	9	79
1945	02	21	Bolivia	Colombia	3	3	SA	CL	4	1309	1354	+1	−2	78	70
1946	01	16	Brazil	Bolivia	3	0	SA	AR	2	1978	1307	0	−1	4	76
1946	01	19	Argentina	Bolivia	7	1	SA		1	2042	1306	0	0	2	76
1946	01	26	Paraguay	Bolivia	4	2	SA	AR	6	1731	1300	0	−4	16	80
1946	01	29	Uruguay	Bolivia	5	0	SA	AR	4	1869	1296	0	0	11	80
1946	02	08	Chile	Bolivia	4	1	SA	AR	10	1671	1286	+2	−4	25	84
1947	11	30	Ecuador	Bolivia	2	2	SA		-2	1208	1288	0	+1	94	86
1947	12	04	Argentina	Bolivia	7	0	SA	EC	1	2096	1287	0	0	1	86
1947	12	09	Uruguay	Bolivia	3	0	SA	EC	3	1864	1284	+2	−1	9	88
1947	12	13	Bolivia	Colombia	0	0	SA	EC	12	1296	1461	+3	0	85	59
1947	12	18	Paraguay	Bolivia	3	1	SA	EC	4	1810	1292	0	−1	15	86
1947	12	27	Peru	Bolivia	2	0	SA	EC	9	1646	1283	+2	−2	33	88
1947	12	30	Chile	Bolivia	4	3	SA	EC	4	1703	1279	+1	−2	23	90
1948	01	05	Bolivia	Venezuela	2	2	BG	PE	0	1279	1281	0	0	91	89
1949	04	06	Bolivia	Chile	3	2	SA	BR	46	1325	1657	+14	−7	79	31
1949	04	10	Brazil	Bolivia	10	1	SA		2	1952	1323	0	−2	5	81
1949	04	17	Bolivia	Uruguay	3	2	SA	BR	48	1371	1822	+6	−4	75	13
1949	04	25	Bolivia	Ecuador	2	0	SA	BR	21	1392	1183	+4	−2	71	100
1949	04	27	Peru	Bolivia	3	0	SA	BR	17	1660	1375	+2	−4	29	75
1949	04	30	Paraguay	Bolivia	7	0	SA	BR	7	1865	1368	0	0	10	75
1949	05	06	Bolivia	Colombia	4	0	SA	BR	44	1412	1305	+7	−6	68	84
1950	02	26	Bolivia	Chile	2	0	WQ		41	1453	1598	+4	−3	65	36
1950	03	12	Chile	Bolivia	5	0	F		8	1606	1445	+1	0	36	65
1950	07	02	Uruguay	Bolivia	8	0	WC	BR	22	1759	1423	+4	−3	14	68
1953	02	22	Peru	Bolivia	0	1	SA		-46	1716	1469	−3	+8	20	65
1953	02	25	Uruguay	Bolivia	2	0	SA	PE	7	1863	1462	−1	0	12	65
1953	03	01	Brazil	Bolivia	8	1	SA	PE	4	2061	1458	0	0	3	65
1953	03	08	Bolivia	Ecuador	1	1	SA	PE	-12	1446	1287	−4	+2	69	97
1953	03	16	Paraguay	Bolivia	2	1	SA	PE	4	1856	1442	0	−2	11	72
1953	03	28	Bolivia	Chile	2	2	SA	PE	18	1460	1733	+6	+1	66	17
1957	06	06	Paraguay	Bolivia	5	2	CPC		6	1732	1454	0	−1	19	75
1957	06	13	Paraguay	Bolivia	0	1	CPC		-27	1705	1481	−5	+5	24	70
1957	08	18	Bolivia	Paraguay	3	3	CPC		7	1488	1757	+3	0	67	18
1957	08	21	Bolivia	Paraguay	2	1	CPC		22	1510	1735	+5	−2	62	20
1957	09	22	Chile	Bolivia	2	1	WQ		6	1734	1504	0	−1	21	64
1957	09	29	Bolivia	Chile	3	0	WQ		48	1552	1686	+8	−8	56	29
1957	10	06	Bolivia	Argentina	2	0	WQ		56	1608	2041	+11	−1	45	2
1957	10	27	Argentina	Bolivia	4	0	WQ		3	2060	1605	0	−1	2	47
1959	03	08	Uruguay	Bolivia	7	0	SA	AR	16	1928	1589	+1	−5	6	49
1959	03	11	Argentina	Bolivia	2	0	SA		5	1938	1584	0	−1	4	50
1959	03	15	Paraguay	Bolivia	5	0	SA	AR	24	1807	1560	+1	−4	16	54
1959	03	21	Brazil	Bolivia	4	2	SA	AR	3	2130	1557	0	−1	1	55
1959	03	26	Chile	Bolivia	5	2	SA	AR	33	1679	1524	+5	−6	34	61
1959	03	29	Bolivia	Peru	0	0	SA	AR	16	1540	1779	+3	−1	58	16
1961	07	15	Bolivia	Uruguay	1	1	WQ		14	1554	1925	+2	−1	54	9
1961	07	30	Uruguay	Bolivia	2	1	WQ		2	1927	1552	0	0	9	54
1962	08	10	Bolivia	Paraguay	3	1	CPC		23	1575	1632	+3	−3	50	40
1962	08	12	Bolivia	Paraguay	3	2	CPC		13	1588	1619	+4	−1	46	41
1963	02	17	Paraguay	Bolivia	3	0	CPC		17	1636	1571	+1	−5	41	53
1963	02	19	Paraguay	Bolivia	5	1	CPC		16	1652	1555	+3	−2	38	55
1963	03	10	Bolivia	Ecuador	4	4	SA		-19	1536	1340	−5	+2	60	104
1963	03	17	Bolivia	Colombia	2	1	SA		13	1549	1440	+1	−5	59	84
1963	03	21	Bolivia	Peru	3	2	SA		31	1580	1698	+11	−4	48	28
1963	03	24	Bolivia	Paraguay	2	0	SA		45	1625	1704	+5	−5	43	27
1963	03	28	Bolivia	Argentina	3	2	SA		41	1666	1950	+9	−2	34	5
1963	03	31	Bolivia	Brazil	5	4	SA		41	1707	1988	+8	−1	26	2
