year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1934	02	04	Aruba	Bonaire	4	0	F		4	1276	996	+1	−	70	81
1960	03	07	Curaçao	Bonaire	2	0	F		1	1504	995	+1	0	67	143
1960	03	08	Aruba	Bonaire	4	2	F		1	1413	994	0	0	90	143
1965	11	00	Curaçao	Bonaire	1	0	F		1	1465	993	0	0	79	154
1965	11	00	Curaçao	Bonaire	2	0	F		1	1466	992	0	0	79	154
1967	07	01	Curaçao	Bonaire	2	0	F		1	1455	991	0	0	80	158
1967	07	02	Curaçao	Bonaire	1	0	F		1	1456	990	+1	0	79	158
1967	07	08	Aruba	Bonaire	4	0	F		2	1410	988	0	0	95	158
1967	07	09	Aruba	Bonaire	1	2	F		-19	1391	1007	−2	0	97	158
1968	04	19	Aruba	Bonaire	5	0	F		2	1393	1005	0	0	98	157
1968	10	11	Curaçao	Bonaire	8	0	F		2	1444	1003	0	0	80	158
1968	10	13	Aruba	Bonaire	2	2	F		-9	1384	1012	−3	0	97	158
1969	03	07	Curaçao	Bonaire	2	0	F		1	1441	1011	0	0	83	158
1969	03	08	Aruba	Bonaire	4	2	F		2	1386	1009	0	0	96	158
1969	08	08	Aruba	Bonaire	1	0	F		1	1387	1008	0	0	96	158
1969	08	09	Curaçao	Bonaire	10	0	F		2	1443	1006	0	0	82	158
1970	05	01	Bonaire	Aruba	3	0	F		29	1035	1358	+4	−6	156	101
1970	05	03	Bonaire	Curaçao	2	2	F		7	1042	1425	0	−3	156	87
1970	11	27	Curaçao	Bonaire	3	0	F		2	1413	1040	+1	0	92	156
1971	01	23	Curaçao	Bonaire	1	1	ABC		-13	1400	1053	−2	+1	93	156
1971	02	27	Bonaire	Aruba	1	0	ABC		22	1075	1320	+2	−2	154	109
1971	12	11	Curaçao	Bonaire	4	1	F		3	1398	1072	+2	0	91	155
1971	12	12	Aruba	Bonaire	4	2	F		4	1324	1068	0	−1	110	156
1972	02	26	Aruba	Bonaire	0	3	F		-31	1293	1099	−3	+2	113	153
1972	02	27	Curaçao	Bonaire	1	0	F		2	1400	1097	0	0	92	153
1972	12	02	Curaçao	Bonaire	1	0	F		2	1402	1095	+3	0	90	153
1972	12	03	Aruba	Bonaire	2	0	F		5	1298	1090	0	−1	117	154
1972	12	15	Bonaire	Aruba	2	1	F		13	1103	1285	+1	−2	153	119
1972	12	17	Bonaire	Curaçao	0	1	F		-5	1098	1402	0	0	153	94
1974	04	20	Aruba	Bonaire	0	2	F		-25	1260	1123	−8	+6	126	146
1974	04	21	Curaçao	Bonaire	1	0	F		2	1369	1121	+1	0	100	146
1975	05	02	Aruba	Bonaire	4	2	F		6	1266	1115	+1	−2	123	147
1975	05	04	Curaçao	Bonaire	4	1	F		4	1373	1111	+1	−3	98	150
1976	06	12	Bonaire	Aruba	1	1	F		2	1113	1264	+1	0	150	122
1976	06	13	Bonaire	Aruba	0	1	F		-9	1104	1273	−1	+2	151	120
1976	07	09	Aruba	Bonaire	6	1	F		7	1280	1097	0	0	120	151
1976	07	10	Aruba	Bonaire	3	1	F		5	1285	1092	+2	−2	118	153
1980	03	29	Aruba	Bonaire	5	3	F		5	1290	1087	+1	0	114	151
1980	03	30	Curaçao	Bonaire	5	0	F		11	1176	1076	+1	−1	139	152
1982	03	12	Aruba	Bonaire	1	2	F		-17	1273	1093	−3	+1	115	153
1982	04	12	Curaçao	Bonaire	4	0	F		7	1247	1086	+3	0	124	153
1983	03	25	Aruba	Bonaire	2	1	F		3	1272	1083	+1	−1	117	156
1983	03	26	Curaçao	Bonaire	0	1	F		-17	1238	1100	−7	+3	129	153
1984	02	05	Bonaire	Curaçao	0	1	F		-9	1091	1250	−1	+1	152	125
1984	02	09	Curaçao	Bonaire	6	1	F		7	1257	1084	0	−3	125	155
