year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1985	10	00	Anguilla	British Virgin Islands	0	1	LIT		-7	593	907	−	−	196	173
1989	05	07	Sint Maarten	British Virgin Islands	1	2	CRQ		-25	870	932	−3	+3	183	174
1989	06	07	Netherlands Antilles	British Virgin Islands	4	0	CRQ		4	1343	928	0	0	103	175
1989	06	19	Saint Vincent and the Grenadines	British Virgin Islands	2	0	CRQ		3	1336	925	0	−1	105	176
1990	03	24	Saint Martin	British Virgin Islands	3	0	CRQ		17	1033	908	+1	−2	165	178
1990	03	28	British Virgin Islands	Anguilla	6	0	CRQ	MF	11	919	573	+1	0	177	199
1991	05	10	Cayman Islands	British Virgin Islands	2	1	FCQ	KN	13	1051	906	+2	0	166	178
1991	05	14	Saint Kitts and Nevis	British Virgin Islands	0	0	FCQ		-16	1180	922	−1	0	142	178
1992	04	15	Saint Kitts and Nevis	British Virgin Islands	4	0	CBQ		8	1188	914	+2	0	148	188
1992	04	17	Antigua and Barbuda	British Virgin Islands	2	0	CBQ	KN	9	1234	905	+1	0	141	188
1993	04	02	Saint Kitts and Nevis	British Virgin Islands	5	1	FCQ		8	1175	897	+2	−1	160	196
1993	04	04	Dominican Republic	British Virgin Islands	3	1	FCQ	KN	22	1008	875	+2	−3	186	199
1994	03	02	Cayman Islands	British Virgin Islands	5	0	CBQ		21	971	854	+3	−2	191	204
1994	03	04	Jamaica	British Virgin Islands	12	0	CBQ	KY	3	1486	851	0	0	83	204
1994	03	06	Sint Maarten	British Virgin Islands	3	0	CBQ	KY	27	957	824	+1	−1	193	205
1997	04	02	Dominica	British Virgin Islands	6	1	FCQ		5	1187	819	0	−1	159	206
1997	04	04	British Virgin Islands	Anguilla	4	1	FCQ	DM	10	829	506	+2	0	204	221
1997	04	06	Sint Maarten	British Virgin Islands	3	2	FCQ	DM	13	975	816	+1	−2	193	206
1997	11	06	Antigua and Barbuda	British Virgin Islands	2	0	LIT		5	1101	811	+2	0	170	204
1997	11	08	British Virgin Islands	Antigua and Barbuda	1	3	LIT		-11	800	1112	0	+2	204	168
1998	03	22	US Virgin Islands	British Virgin Islands	1	0	F		10	710	790	−	0	210	204
1998	04	01	Saint Kitts and Nevis	British Virgin Islands	4	0	FCQ		4	1205	786	+2	0	151	204
1998	04	03	Guadeloupe	British Virgin Islands	3	0	FCQ	KN	2	1376	784	+1	0	112	204
1998	04	05	Dominica	British Virgin Islands	4	1	FCQ	KN	5	1219	779	+1	−1	149	205
1998	12	06	British Virgin Islands	Saint Vincent and the Grenadines	0	5	F		-5	774	1239	0	+2	205	141
1999	02	05	British Virgin Islands	Montserrat	3	1	FCQ		12	786	624	0	0	205	218
1999	02	07	British Virgin Islands	Montserrat	3	0	FCQ		13	799	611	+1	−1	204	219
1999	02	28	British Virgin Islands	Antigua and Barbuda	0	2	F		-4	795	1217	0	0	204	150
1999	03	17	British Virgin Islands	Dominican Republic	0	0	FCQ	HT	15	810	1101	0	−2	204	172
1999	03	19	British Virgin Islands	Puerto Rico	5	0	FCQ	HT	61	871	951	+2	−7	202	193
1999	03	21	Haiti	British Virgin Islands	6	0	FCQ		2	1410	869	+1	0	104	202
1999	11	13	Antigua and Barbuda	British Virgin Islands	5	1	LIT		5	1182	864	+1	0	160	201
2000	02	01	British Virgin Islands	Saint Lucia	2	3	F		-3	861	1260	0	+1	201	141
2000	02	13	Dominican Republic	British Virgin Islands	1	0	F		2	1114	859	0	0	169	201
2000	02	25	British Virgin Islands	Anguilla	3	4	F		-19	840	516	−1	0	202	224
2000	02	27	British Virgin Islands	Anguilla	5	0	F		3	843	513	0	0	202	224
2000	03	05	British Virgin Islands	Bermuda	1	5	WQ		-9	834	1302	−1	+1	203	131
2000	03	19	Bermuda	British Virgin Islands	9	0	WQ		4	1306	830	+1	0	129	203
2000	04	29	British Virgin Islands	Sint Maarten	0	0	WUC		1	831	943	0	0	204	193
2000	04	30	British Virgin Islands	Antigua and Barbuda	1	1	WUC		9	840	1180	0	−3	204	162
2001	01	28	Antigua and Barbuda	British Virgin Islands	1	1	F		-8	1137	848	0	+1	166	204
2001	02	03	Puerto Rico	British Virgin Islands	1	2	FCQ		-29	887	877	−2	+4	198	200
2001	02	11	British Virgin Islands	Puerto Rico	0	0	FCQ		-5	872	892	−1	+1	201	197
2001	03	24	British Virgin Islands	US Virgin Islands	2	0	F		5	877	707	0	−1	200	214
2001	04	04	British Virgin Islands	Cayman Islands	2	2	FCQ	MQ	12	889	1116	+1	−2	200	169
2001	04	06	Martinique	British Virgin Islands	6	0	FCQ		3	1391	886	+1	0	112	200
2001	04	08	Saint Vincent and the Grenadines	British Virgin Islands	6	0	FCQ	MQ	10	1255	876	0	−1	144	201
2002	01	19	Dominica	British Virgin Islands	4	1	F		6	1059	870	+3	−1	179	203
2002	06	22	Grenada	British Virgin Islands	5	0	F		2	1305	868	+2	0	129	203
2002	07	06	British Virgin Islands	Anguilla	2	1	F		2	870	539	0	0	203	227
2002	07	14	British Virgin Islands	Saint Lucia	1	3	CCQ		-10	860	1267	−1	+3	204	141
2002	07	28	Saint Lucia	British Virgin Islands	8	1	CCQ		5	1272	855	0	0	140	204
2004	01	28	British Virgin Islands	Dominica	0	1	F		-7	848	1055	−2	+1	203	183
2004	01	30	British Virgin Islands	US Virgin Islands	5	0	FT		11	859	679	+2	−2	201	219
2004	02	01	British Virgin Islands	Dominica	1	2	FT		-11	848	1072	−2	0	203	181
2004	02	22	British Virgin Islands	Saint Lucia	0	1	WQ		-6	842	1262	0	+1	203	140
2004	03	20	Saint Kitts and Nevis	British Virgin Islands	4	0	F		1	1357	841	+1	0	119	203
2004	03	28	Saint Lucia	British Virgin Islands	9	0	WQ		5	1270	836	+1	+1	139	203
2004	09	25	British Virgin Islands	US Virgin Islands	2	1	F		4	840	665	0	0	203	222
2004	11	24	Saint Vincent and the Grenadines	British Virgin Islands	1	1	FCQ		-19	1297	859	−4	+2	130	201
2004	11	26	Cayman Islands	British Virgin Islands	1	0	FCQ	VC	9	1091	850	0	−2	175	203
2004	11	28	British Virgin Islands	Bermuda	2	0	FCQ	VC	54	904	1173	+7	−13	196	163
2004	12	12	British Virgin Islands	Trinidad and Tobago	0	4	FCQ		-4	900	1506	−1	+2	197	81
2004	12	19	Trinidad and Tobago	British Virgin Islands	2	0	FCQ		1	1507	899	0	0	81	197
2007	11	11	Saint Martin	British Virgin Islands	0	1	F		-15	987	914	−2	+1	188	197
2008	03	14	British Virgin Islands	US Virgin Islands	0	0	F		-8	906	666	−2	0	198	221
2008	03	15	British Virgin Islands	US Virgin Islands	1	1	F		-8	898	674	−1	+1	199	220
2008	03	26	Bahamas	British Virgin Islands	1	1	WQ		-4	870	902	0	+2	203	198
2008	03	30	Bahamas	British Virgin Islands	2	2	WQ		-4	866	906	0	0	203	198
2008	09	24	Saint Kitts and Nevis	British Virgin Islands	4	0	FBQ		9	1152	897	+2	−1	169	199
2008	09	26	Barbados	British Virgin Islands	2	1	FBQ	KN	4	1277	893	+3	0	132	199
2009	12	05	Dominica	British Virgin Islands	4	0	F		9	992	884	0	−1	186	200
2010	09	18	British Virgin Islands	Anguilla	2	1	F	MF	2	886	532	0	0	201	232
2010	09	19	Saint Martin	British Virgin Islands	3	1	F		9	945	877	+1	0	191	201
2010	10	14	Dominican Republic	British Virgin Islands	17	0	FBQ		25	1069	852	+1	−4	180	205
2010	10	15	Dominica	British Virgin Islands	10	0	FBQ	DO	26	1073	826	+2	0	179	205
2011	07	03	US Virgin Islands	British Virgin Islands	2	0	WQ		35	706	791	+7	−2	214	207
2011	07	10	British Virgin Islands	US Virgin Islands	1	2	WQ		-30	761	736	−3	+2	210	212
2012	07	07	British Virgin Islands	Anguilla	1	0	F		3	764	553	+1	0	211	231
2012	09	05	Martinique	British Virgin Islands	16	0	FBQ		3	1347	761	+2	−1	117	213
2012	09	07	Suriname	British Virgin Islands	4	0	FBQ	MQ	6	1203	755	+2	−1	155	214
2012	09	09	Montserrat	British Virgin Islands	7	0	FBQ	MQ	71	597	684	+7	−6	229	220
2014	05	30	French Guiana	British Virgin Islands	6	0	FBQ	AW	4	1228	680	0	−1	150	220
2014	06	01	Aruba	British Virgin Islands	7	0	FBQ		10	951	670	+1	−6	195	226
2014	06	03	Turks and Caicos Islands	British Virgin Islands	2	0	FBQ	AW	23	774	647	+1	0	211	226
2014	08	16	British Virgin Islands	Saint Martin	2	4	F		-11	636	864	0	+1	226	205
2014	09	21	British Virgin Islands	Saint Vincent and the Grenadines	0	6	F		-3	633	1172	0	+3	226	163
2015	02	28	Anguilla	British Virgin Islands	1	0	F		10	555	623	0	−2	236	231
2015	03	01	Anguilla	British Virgin Islands	3	1	F		14	569	609	+1	−1	235	232
2015	03	22	Antigua and Barbuda	British Virgin Islands	1	0	F		0	1271	609	0	0	138	232
2015	03	26	Dominica	British Virgin Islands	3	2	WQ		3	952	606	+1	0	195	232
2015	03	29	Dominica	British Virgin Islands	0	0	WQ		-17	935	623	−3	+2	198	230
2016	03	23	Martinique	British Virgin Islands	3	0	FBQ		0	1449	623	0	0	99	229
