year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1971	05	22	Malaysia	Brunei	8	0	SQ	TH	8	1329	892	+1	−	108	169
1971	05	24	Thailand	Brunei	10	0	SQ		4	1355	888	0	0	102	169
1971	05	28	Indonesia	Brunei	9	0	SQ	TH	3	1474	885	+1	−1	71	170
1975	06	15	Singapore	Brunei	6	0	SQ	HK	17	1139	868	+3	0	141	174
1975	06	17	China	Brunei	10	1	SQ	HK	1	1606	867	+1	0	44	174
1975	06	19	Hong Kong	Brunei	3	0	SQ		2	1373	865	+1	0	99	174
1977	11	20	Philippines	Brunei	4	1	SEG	MY	19	1052	846	+1	−1	157	176
1977	11	22	Indonesia	Brunei	4	0	SEG	MY	4	1332	842	+1	−1	108	177
1977	11	23	Malaysia	Brunei	7	0	SEG		1	1473	841	0	0	73	177
1980	03	21	Brunei	Philippines	2	0	OQ	MY	44	885	974	+2	−4	176	165
1980	03	24	Brunei	Indonesia	3	2	OQ	MY	35	920	1189	+7	−8	169	136
1980	03	27	Malaysia	Brunei	3	1	OQ		1	1525	919	0	0	66	169
1980	03	31	South Korea	Brunei	3	0	OQ	MY	0	1778	919	0	0	21	169
1980	04	02	Japan	Brunei	2	1	OQ	MY	1	1487	918	0	0	71	169
1980	11	20	Singapore	Brunei	3	0	KNG	TH	6	1281	912	0	−3	117	173
1982	10	05	South Korea	Brunei	4	1	MRL	SG	1	1621	911	0	0	42	172
1982	10	07	Singapore	Brunei	7	0	MRL		5	1271	906	+3	−1	119	173
1982	10	10	Malaysia	Brunei	4	0	MRL	SG	5	1331	901	+2	0	102	173
1983	05	29	Brunei	Burma	2	1	SEG	SG	37	938	1298	+3	−9	170	111
1983	05	31	Thailand	Brunei	2	1	SEG	SG	3	1370	935	0	0	93	170
1983	06	02	Brunei	Indonesia	1	1	SEG	SG	14	949	1233	+2	−5	168	129
1983	06	04	Singapore	Brunei	4	0	SEG		5	1304	944	+1	0	109	168
1983	06	05	Malaysia	Brunei	5	0	SEG	SG	14	1233	930	+5	−2	128	170
1983	12	07	Singapore	Brunei	4	0	MRL		6	1220	924	0	0	133	170
1983	12	09	Brunei	Indonesia	1	0	MRL	SG	23	947	1101	+2	−4	168	150
1984	03	06	Brunei	Japan	1	7	F		-3	944	1488	0	+1	168	75
1985	01	04	Brunei	Singapore	0	0	F		5	949	1245	0	−1	168	125
1985	02	17	Macao	Brunei	2	0	WQ		15	1062	934	+1	−3	158	171
1985	02	23	Hong Kong	Brunei	8	0	WQ		7	1270	927	+1	0	121	171
1985	02	26	China	Brunei	8	0	WQ	MO	2	1599	925	0	0	47	171
1985	03	01	China	Brunei	4	0	WQ	HK	2	1601	923	0	0	47	171
1985	03	24	Brunei	Philippines	4	1	ING		15	938	845	0	0	172	180
1985	04	06	Brunei	Hong Kong	1	5	WQ		-16	922	1286	0	+4	172	114
1985	04	13	Brunei	Macao	1	2	WQ		-18	904	1074	−1	+2	173	158
1985	10	13	Malaysia	Brunei	4	0	MRL	SG	4	1358	900	+1	0	97	174
1985	10	16	Singapore	Brunei	2	1	MRL		2	1238	898	0	0	127	174
1985	12	11	Brunei	Indonesia	1	1	SEG	TH	13	911	1153	+1	0	173	144
1985	12	13	Singapore	Brunei	3	0	SEG	TH	7	1309	904	+1	−1	109	174
1986	07	20	Brunei	Philippines	2	1	ING		8	912	826	+2	0	173	183
1987	09	10	Thailand	Brunei	3	1	SEG	ID	6	1285	906	+4	−1	116	175
1987	09	12	Indonesia	Brunei	2	0	SEG		6	1181	900	+2	0	140	175
1989	08	21	Indonesia	Brunei	6	0	SEG	MY	11	1247	889	+6	−2	122	180
1989	08	23	Malaysia	Brunei	2	1	SEG		2	1274	887	0	0	114	180
1989	08	25	Brunei	Philippines	2	0	SEG	MY	24	911	787	+2	0	178	186
1991	05	06	Philippines	Brunei	2	1	INC		16	803	895	0	−2	188	181
1991	05	12	Philippines	Brunei	0	0	F		0	803	895	0	0	188	181
1993	05	15	Philippines	Brunei	1	0	INC		13	843	882	+1	−2	202	198
1993	05	17	Philippines	Brunei	0	1	INC		-18	825	900	−1	+3	203	195
1993	06	07	Laos	Brunei	3	2	SEG	SG	18	956	882	+2	−3	192	198
1993	06	09	Malaysia	Brunei	3	1	SEG	SG	5	1296	877	0	0	130	198
1993	06	11	Thailand	Brunei	5	2	SEG	SG	4	1362	873	0	−1	115	199
1993	06	15	Myanmar	Brunei	6	0	SEG	SG	12	1199	861	+2	−1	155	200
1995	12	04	Brunei	Singapore	2	2	SEG	TH	17	878	1281	+3	−9	200	138
1995	12	08	Laos	Brunei	3	0	SEG	TH	30	962	848	+2	−3	193	203
1995	12	10	Myanmar	Brunei	2	0	SEG	TH	8	1180	840	+1	−1	162	204
1995	12	12	Philippines	Brunei	1	0	SEG	TH	23	807	817	0	−1	206	205
1996	09	04	Singapore	Brunei	3	0	SEA		2	1316	815	0	−1	126	205
1996	09	06	Thailand	Brunei	6	0	SEA	SG	2	1462	813	0	0	90	205
1996	09	08	Brunei	Philippines	1	0	SEA	SG	18	831	755	+2	0	203	206
1996	09	10	Malaysia	Brunei	6	0	SEA	SG	6	1278	825	+1	0	137	203
1997	10	05	Cambodia	Brunei	4	0	SEG	ID	22	999	803	+3	−1	187	205
1997	10	07	Thailand	Brunei	6	0	SEG	ID	2	1444	801	+1	0	92	205
1997	10	09	Myanmar	Brunei	6	1	SEG	ID	10	1147	791	0	0	165	205
1997	10	12	Singapore	Brunei	1	0	SEG	ID	2	1267	789	0	0	138	205
1998	03	14	Myanmar	Brunei	4	1	SEQ		6	1110	783	0	0	170	205
1998	03	16	Laos	Brunei	2	1	SEQ	MM	9	1016	774	+2	−1	186	206
1999	08	02	Brunei	Cambodia	3	3	SEG		6	780	984	+1	−2	206	191
1999	08	04	Brunei	Singapore	1	3	SEG		-4	776	1323	0	+1	206	126
1999	08	06	Brunei	Malaysia	0	2	SEG		-8	768	1207	−1	+4	207	151
1999	08	09	Brunei	Indonesia	0	3	SEG		-4	764	1361	0	+1	207	116
2000	02	13	Macao	Brunei	1	0	SQ		5	995	759	0	0	189	208
2000	02	16	Japan	Brunei	9	0	SQ	MO	1	1616	758	+1	0	54	208
2000	02	20	Singapore	Brunei	1	0	SQ	MO	2	1308	756	0	0	129	208
2001	04	07	Brunei	Yemen	0	5	WQ		-11	745	1192	−1	+2	210	157
2001	04	14	Brunei	United Arab Emirates	0	12	WQ		-3	742	1483	0	+1	210	80
2001	04	27	Yemen	Brunei	1	0	WQ		2	1196	740	0	0	156	210
2001	05	04	United Arab Emirates	Brunei	4	0	WQ		1	1487	739	0	0	80	210
2001	05	12	Brunei	India	0	1	WQ		-6	733	1131	0	+1	210	168
2001	05	20	India	Brunei	5	0	WQ		4	1135	729	+1	0	167	210
2003	03	21	Maldives	Brunei	1	1	SQ		-14	928	743	−1	0	194	211
2003	03	23	Myanmar	Brunei	5	0	SQ	MV	8	1132	735	+1	0	165	211
2006	04	02	Sri Lanka	Brunei	1	0	ACH	BD	11	924	724	+1	0	194	212
2006	04	04	Brunei	Nepal	2	1	ACH	BD	27	751	825	+1	−3	211	204
2006	04	06	Bhutan	Brunei	0	0	ACH	BD	10	559	741	0	0	228	211
2006	11	12	Brunei	East Timor	3	2	SEQ	PH	15	756	645	+2	−1	211	223
2006	11	16	Brunei	Cambodia	1	1	SEQ	PH	4	760	816	0	0	211	206
2006	11	18	Laos	Brunei	4	1	SEQ	PH	22	920	738	+1	−3	197	214
2006	11	20	Philippines	Brunei	4	1	SEQ		25	768	713	+2	−1	211	215
2008	05	13	Philippines	Brunei	1	0	SCQ		11	788	702	0	−3	210	217
2008	05	15	Bhutan	Brunei	1	1	SCQ	PH	6	603	696	0	−2	223	219
2008	05	17	Tajikistan	Brunei	4	0	SCQ	PH	2	1297	694	0	0	132	219
2008	10	19	Brunei	Philippines	1	1	SEQ	KH	7	701	817	+2	0	217	206
2008	10	21	Brunei	East Timor	4	1	SEQ	KH	25	726	573	+4	−3	213	227
2008	10	23	Laos	Brunei	3	2	SEQ	KH	12	890	714	+1	−1	200	214
2008	10	25	Cambodia	Brunei	2	1	SEQ		12	781	702	0	−3	210	217
2009	04	04	Sri Lanka	Brunei	5	1	SCQ		10	942	692	+1	−2	192	219
2009	04	06	Pakistan	Brunei	6	0	SCQ	LK	24	880	668	+2	−2	201	221
2009	04	08	Taiwan	Brunei	5	0	SCQ	LK	14	956	654	+2	0	190	221
2012	09	26	Brunei	Indonesia	0	5	F		-2	652	1260	0	0	227	144
2012	10	05	Myanmar	Brunei	1	0	SEQ		3	1022	649	0	0	186	226
2012	10	09	Brunei	Cambodia	3	2	SEQ	MM	24	673	687	+2	−4	224	218
2012	10	11	Laos	Brunei	3	1	SEQ	MM	18	840	655	+1	−2	208	226
2012	10	13	Brunei	East Timor	2	1	SEQ	MM	19	674	621	+3	−2	223	229
2014	10	12	East Timor	Brunei	4	2	SEQ	LA	35	656	639	+5	−3	225	226
