year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1924	05	21	Austria	Bulgaria	6	0	F		2	1835	1398	0	−	11	45
1924	05	28	Ireland	Bulgaria	1	0	OG	FR	15	1597	1383	+1	0	28	44
1925	04	10	Turkey	Bulgaria	2	1	F		4	1519	1379	0	−2	39	48
1925	05	31	Bulgaria	Romania	2	4	F		-12	1367	1552	−1	+1	49	37
1926	04	25	Romania	Bulgaria	6	1	F		6	1558	1361	+1	−1	34	49
1926	05	30	Yugoslavia	Bulgaria	3	1	F		5	1555	1356	+1	0	36	50
1927	05	15	Bulgaria	Yugoslavia	0	2	F		-11	1345	1565	−1	0	52	37
1927	07	17	Bulgaria	Turkey	3	3	F		1	1346	1463	0	0	52	44
1927	10	14	Turkey	Bulgaria	3	1	F		7	1470	1339	0	0	44	52
1929	04	21	Romania	Bulgaria	3	0	F		5	1564	1334	+1	0	36	54
1929	06	30	Bulgaria	Greece	1	1	F		-2	1332	1365	0	0	56	53
1929	09	15	Bulgaria	Romania	2	3	F		-7	1325	1553	0	+2	56	36
1930	04	13	Yugoslavia	Bulgaria	6	1	F		5	1585	1320	+1	0	31	57
1930	06	15	Bulgaria	Yugoslavia	2	2	F		5	1325	1590	0	0	57	30
1930	10	12	Bulgaria	Romania	5	3	BLK		44	1369	1552	+1	−4	55	35
1930	11	16	Bulgaria	Yugoslavia	0	3	BLK		-19	1350	1657	−1	+2	56	25
1930	12	07	Greece	Bulgaria	6	1	BLK		26	1403	1324	+2	−1	52	57
1931	04	19	Yugoslavia	Bulgaria	1	0	BLK		3	1668	1321	0	0	24	57
1931	05	10	Romania	Bulgaria	5	2	BLK		9	1561	1312	0	−1	37	59
1931	09	27	Bulgaria	Turkey	5	1	BLK		39	1351	1383	+3	−3	56	55
1931	10	04	Bulgaria	Yugoslavia	3	2	BLK		28	1379	1571	0	−4	56	36
1931	10	25	Bulgaria	Greece	2	1	BLK		15	1394	1380	+1	−1	55	56
1932	03	27	Greece	Bulgaria	1	2	F		-12	1350	1406	0	0	57	56
1932	03	30	Greece	Bulgaria	2	2	F		-1	1349	1407	−1	0	58	56
1932	06	09	Bulgaria	France	3	5	F		-12	1395	1583	0	+2	56	33
1932	06	26	Bulgaria	Romania	2	0	BLK	YU	49	1444	1603	+5	−6	51	31
1932	06	30	Yugoslavia	Bulgaria	2	3	BLK		-31	1527	1475	−2	+2	39	49
