year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1953	09	19	Uganda	Ruanda-Urundi	9	1	F		7	1509	1293	+1	−	56	97
1964	10	09	Uganda	Burundi	7	5	IND		14	1337	1279	+1	−3	109	119
1971	12	05	Tanzania	Burundi	4	1	F		13	1283	1266	+4	−3	118	122
1974	08	10	Somalia	Burundi	0	2	FQ		-32	1157	1298	−1	+10	138	116
1974	08	24	Burundi	Somalia	0	1	FQ		-32	1266	1189	−10	+1	126	137
1974	12	17	Burundi	Rwanda	3	2	F		4	1270	1096	+1	−	123	153
1975	03	23	Burundi	Egypt	0	3	FQ		-11	1259	1680	−1	+2	124	33
1975	04	19	Egypt	Burundi	2	0	FQ		3	1683	1256	0	0	33	126
1976	06	28	Gabon	Burundi	4	1	CFG		21	1321	1235	+3	−3	111	127
1976	07	01	Burundi	Rwanda	6	2	CFG	GA	23	1258	1069	+3	0	124	155
1976	07	03	Cameroon	Burundi	5	0	CFG	GA	10	1603	1248	+1	−1	49	125
1976	07	07	Zaire	Burundi	1	0	F	GA	2	1616	1246	+2	−1	46	126
1976	10	09	Uganda	Burundi	2	0	IND		7	1461	1239	+3	−1	78	125
1976	10	11	Uganda	Burundi	1	0	IND		4	1465	1235	+2	−2	76	128
1977	12	24	Congo	Burundi	8	0	AGQ	CM	14	1554	1221	+2	0	57	129
1977	12	26	Burundi	Equatorial Guinea	4	2	AGQ	CM	19	1240	1063	0	−1	129	154
1977	12	28	Gabon	Burundi	2	0	AGQ	CM	18	1411	1222	+4	0	90	129
1981	08	06	Uganda	Burundi	2	2	F		-7	1426	1229	−1	+3	87	128
1981	10	31	Burundi	Tanzania	1	2	F		-7	1222	1449	−1	+4	131	82
1981	11	02	Burundi	Tanzania	0	1	F		-6	1216	1455	−2	+1	133	81
1982	08	30	Burundi	Rwanda	1	0	CGL		6	1222	1065	+2	−1	133	156
1987	07	06	Malawi	Burundi	1	1	IND		-12	1497	1234	−2	+3	72	127
1987	07	08	Malawi	Burundi	1	1	IND		-12	1485	1246	−4	+1	76	126
1987	07	11	Malawi	Burundi	2	4	IND		-39	1446	1285	−3	+11	79	115
1992	06	21	Gabon	Burundi	0	1	F		-16	1394	1301	−6	+5	101	126
1992	08	16	Burundi	Congo	1	0	FQ		25	1326	1474	+7	−7	120	81
1992	08	30	Guinea	Burundi	2	2	FQ		-10	1403	1336	−3	+4	102	117
1992	10	09	Algeria	Burundi	3	1	WQ		5	1640	1331	0	0	46	118
1992	10	25	Burundi	Ghana	1	0	WQ		30	1361	1600	+7	−5	111	54
1993	01	17	Burundi	Algeria	0	0	WQ		9	1370	1623	+2	0	111	48
1993	01	31	Ghana	Burundi	1	0	WQ		4	1644	1366	0	0	43	111
1993	04	25	Congo	Burundi	0	0	FQ		-7	1392	1373	−1	+1	106	112
1993	07	11	Burundi	Guinea	2	2	FQ		-1	1372	1449	−1	−2	112	93
1993	10	24	Burundi	Guinea	0	0	FQ	GA	4	1376	1447	+1	0	109	96
1996	06	02	Burundi	Sierra Leone	1	0	WQ		20	1396	1462	+4	−4	108	87
1996	06	16	Sierra Leone	Burundi	0	1	WQ		-29	1433	1425	−10	+9	97	99
1998	08	02	Burundi	Tanzania	1	0	FQ		8	1433	1278	+4	−2	95	134
1998	08	15	Tanzania	Burundi	0	1	FQ		-17	1261	1450	−3	+3	137	92
1998	12	13	Burundi	Senegal	1	0	FQ		14	1464	1426	+5	−4	87	100
1999	01	23	Nigeria	Burundi	2	0	FQ		8	1703	1456	+1	−5	37	90
1999	02	28	Burundi	Burkina Faso	1	2	FQ		-27	1429	1457	−9	+10	98	88
1999	04	11	Burkina Faso	Burundi	3	1	FQ		21	1463	1408	+9	−7	83	105
1999	06	19	Senegal	Burundi	1	0	FQ		13	1456	1395	+5	−3	89	106
1999	07	25	Burundi	Uganda	0	0	CEC	RW	-1	1394	1378	0	0	108	112
1999	07	27	Burundi	Somalia	3	0	CEC	RW	13	1407	1122	+4	−2	104	166
