year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1952	00	00	South Vietnam	Cambodia	7	0	THU		7	1393	1093	+6	−	72	111
1955	11	00	Cambodia	South Vietnam	0	2	F		-7	1086	1408	−1	+1	126	83
1956	03	17	Malaya	Cambodia	9	2	SQ		12	1322	1074	+1	−1	96	128
1956	04	24	Cambodia	Malaya	3	2	SQ		29	1103	1320	+3	−3	125	96
1956	06	03	South Vietnam	Cambodia	5	2	OQ		6	1425	1097	0	−1	83	127
1956	06	10	Cambodia	South Vietnam	3	4	OQ		-8	1089	1433	−1	+1	128	82
1957	05	26	North Vietnam	Cambodia	0	1	F		-17	1273	1106	−4	+2	111	129
1957	08	31	Hong Kong	Cambodia	6	2	MRD	AY	9	1410	1097	+1	0	86	129
1957	09	01	Thailand	Cambodia	3	0	MRD	AY	20	1197	1077	+2	−3	122	132
1957	09	03	Burma	Cambodia	2	0	MRD	AY	12	1273	1065	+2	−1	111	133
1957	09	05	Cambodia	Singapore	1	1	MRD	AY	8	1073	1271	0	−3	133	113
1957	10	31	Cambodia	Malaya	1	3	F		-11	1062	1282	0	+4	135	110
1958	00	00	North Vietnam	Cambodia	1	3	F		-26	1247	1088	−5	+1	117	134
1959	11	29	Cambodia	Russia	0	7	F		-1	1087	1952	0	0	136	4
1961	12	11	Burma	Cambodia	4	0	SEP		16	1223	1071	+1	−2	123	142
1961	12	12	Malaya	Cambodia	4	0	SEP	BU	9	1431	1062	+3	0	83	142
1963	04	26	North Vietnam	Cambodia	3	2	FT	ID	9	1229	1053	+1	0	127	144
1963	04	27	China	Cambodia	6	0	FT	ID	4	1538	1049	+1	0	62	144
1964	08	23	Taiwan	Cambodia	4	0	MRD	MY	2	1653	1047	0	0	37	148
1964	08	27	India	Cambodia	4	0	MRD	MY	4	1496	1043	0	0	73	148
1964	09	01	Thailand	Cambodia	1	0	MRD	MY	9	1211	1034	+1	0	129	148
