year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1953	09	01	Belgian Congo	Cameroon	3	1	JAM		16	1596	1484	+2	−	42	63
1954	00	00	French Congo	Cameroon	5	1	F		8	1608	1476	−	−7	40	67
1955	00	00	Cameroon	French Togoland	1	3	F		-17	1459	1541	−3	+5	74	53
1956	00	00	Ubangi-Shari	Cameroon	5	1	F		17	1417	1442	−	−6	83	79
1956	01	02	Belgian Congo	Cameroon	2	4	F		-24	1572	1466	−1	+7	45	72
1960	04	13	Cameroon	French Somaliland	9	2	JCM	MG	3	1469	889	0	0	76	145
1960	04	15	Cameroon	Mali Federation	3	2	JCM	MG	26	1495	1545	+5	−2	71	54
1960	04	17	Cameroon	Congo-Brazzaville	5	4	JCM	MG	27	1522	1600	+11	−2	60	44
1960	04	26	Cameroon	Nigeria	0	0	IND	TG	5	1527	1640	0	0	61	40
1961	11	28	Congo-Brazzaville	Cameroon	5	1	F		12	1574	1515	+3	−1	50	62
1961	12	26	Cameroon	Gabon	6	0	JAM	CI	26	1541	1345	+5	−3	57	104
1961	12	27	Senegal	Cameroon	4	0	JAM	CI	31	1630	1510	+3	−8	42	65
1962	08	20	Gabon	Cameroon	1	1	F		1	1377	1509	0	0	100	66
1962	12	08	Nigeria	Cameroon	3	1	NKR		10	1629	1499	+1	−3	40	70
1962	12	24	Central African Republic	Cameroon	1	4	TRP		-25	1363	1524	−5	+5	103	65
1962	12	27	Congo-Brazzaville	Cameroon	3	0	TRP	CF	22	1605	1502	+3	−5	47	70
1963	01	01	Cameroon	Nigeria	1	2	NKR		-14	1488	1643	−1	+3	71	38
1963	04	11	Senegal	Cameroon	1	0	JAM		11	1571	1477	+2	−5	54	77
1963	04	13	Cameroon	Niger	3	2	JAM	SN	4	1481	1096	+1	0	76	141
1963	10	31	Cameroon	Togo	2	1	F		9	1490	1531	+3	−3	71	63
1963	12	31	Cameroon	Guinea	1	5	F		-17	1473	1635	−4	+3	76	42
1964	01	31	Cameroon	Dahomey	2	4	F		-18	1455	1522	−4	0	80	68
1964	02	02	Cameroon	Congo-Brazzaville	7	1	F		25	1480	1585	+6	−2	74	48
1964	04	22	Cameroon	Congo-Leopoldville	2	2	F		0	1480	1575	0	0	76	49
1964	07	13	Cameroon	Congo-Leopoldville	1	1	TRP		0	1480	1582	0	0	75	51
1964	07	14	Cameroon	Central African Republic	1	1	TRP		-8	1472	1385	0	+3	75	100
1964	07	17	Cameroon	Congo-Brazzaville	3	1	TRP		25	1497	1586	+4	−6	71	51
1964	07	19	Cameroon	Congo-Leopoldville	2	1	TRP		15	1512	1575	+1	−1	70	51
1964	09	00	Ivory Coast	Cameroon	2	2	F		-5	1598	1517	−1	+1	47	69
1964	09	00	Mali	Cameroon	0	0	F		-4	1549	1521	−1	+1	59	69
1965	02	14	Congo	Cameroon	4	4	F		-4	1575	1525	−1	+2	50	64
1965	04	03	DR Congo	Cameroon	3	2	AGQ		11	1598	1514	+2	−5	46	67
1965	04	14	DR Congo	Cameroon	3	1	AGQ		15	1613	1499	+2	−3	45	69
1965	04	16	Cameroon	Chad	9	0	AGQ	CD	16	1515	1201	+3	−2	66	131
1966	07	31	Congo	Cameroon	3	2	F		6	1551	1509	0	0	55	65
1966	09	28	Cameroon	Mali	5	0	IND	GN	38	1547	1560	+10	−5	55	50
1966	09	30	Guinea	Cameroon	2	2	IND		-6	1592	1553	−3	+2	48	53
1966	10	31	Cameroon	Togo	2	0	F		9	1562	1509	+1	−1	51	65
1967	02	05	Tunisia	Cameroon	4	0	FQ		25	1603	1537	+3	−8	45	58
1967	02	26	Cameroon	Congo	1	1	FQ		-5	1532	1552	−2	+1	61	53
1967	03	08	Senegal	Cameroon	0	1	F		-14	1558	1546	−1	+6	50	57
1967	03	11	Senegal	Cameroon	2	0	F		10	1568	1536	+1	−2	50	60
1967	05	21	Congo	Cameroon	2	1	FQ		12	1602	1524	+3	−2	45	63
1967	12	13	Cameroon	Ghana	1	0	OQ		28	1552	1741	+6	−4	57	24
1967	12	17	Ghana	Cameroon	3	2	OQ		6	1747	1546	+1	−7	23	64
1968	12	01	Cameroon	Tunisia	4	2	F		13	1559	1596	+2	−4	59	51
1968	12	07	Nigeria	Cameroon	1	1	WQ		-5	1535	1564	−2	0	65	59
1968	12	22	Cameroon	Nigeria	2	3	WQ		-27	1537	1562	−6	+7	65	58
1969	01	24	Senegal	Cameroon	3	2	FT	CD	12	1616	1525	+2	−1	46	66
1969	01	30	DR Congo	Cameroon	2	1	FT		4	1768	1521	+1	0	20	66
1969	02	02	Uganda	Cameroon	2	1	FQ		23	1391	1498	+5	−3	97	69
1969	03	02	Cameroon	Uganda	2	0	FQ		14	1512	1377	+1	−3	68	99
1969	06	29	Zambia	Cameroon	2	2	FQ		-9	1567	1521	−2	+1	56	66
1969	08	03	Cameroon	Zambia	2	1	FQ		17	1538	1550	+2	−5	64	62
1970	02	06	Cameroon	Ivory Coast	3	2	AR	SD	37	1575	1689	+9	−3	56	33
1970	02	08	Cameroon	Ethiopia	3	2	AR	SD	21	1596	1495	+3	−3	53	72
1970	02	10	Sudan	Cameroon	2	1	AR		17	1627	1579	+6	−1	42	54
1970	07	11	Gabon	Cameroon	1	1	F		2	1393	1577	0	−2	94	56
1970	08	01	Cameroon	Gabon	3	0	F		6	1583	1387	+2	0	53	94
1971	03	04	Cameroon	Senegal	1	1	F		-4	1579	1525	−1	0	54	65
1971	03	07	Cameroon	Senegal	1	2	F		-14	1565	1539	−4	+1	58	64
1971	03	10	Senegal	Cameroon	3	0	F		14	1553	1551	+4	−3	60	61
1971	03	14	Cameroon	Congo	7	1	F		18	1569	1574	+3	−5	58	56
1971	05	30	Gabon	Cameroon	2	3	OQ		-14	1349	1583	−3	+6	103	51
1972	02	13	Cameroon	Nigeria	1	2	F		-14	1569	1561	−1	+3	56	58
1972	02	23	Cameroon	Kenya	2	1	AR		9	1578	1396	0	−3	56	92
1972	02	26	Cameroon	Togo	2	0	AR		22	1600	1507	+5	−2	51	65
1972	02	28	Cameroon	Mali	1	1	AR		-8	1592	1586	−3	+1	53	55
1972	03	02	Cameroon	Congo	0	1	AR		-29	1563	1668	−3	+3	57	37
1972	03	04	Cameroon	Zaire	5	2	AR		50	1613	1662	+9	−5	48	37
1972	04	23	Senegal	Cameroon	1	1	OQ		-2	1554	1615	0	0	60	47
1972	04	30	Cameroon	Ghana	0	3	OQ		-40	1575	1708	−10	+5	57	32
1972	05	07	Togo	Cameroon	1	2	OQ		-20	1458	1595	−5	+4	73	53
1972	05	14	Cameroon	Senegal	3	2	OQ		14	1609	1566	+2	−2	49	56
1972	05	21	Ghana	Cameroon	0	0	OQ		-11	1723	1620	−2	+4	30	45
1972	05	28	Cameroon	Togo	1	0	OQ		7	1627	1445	+1	−3	45	78
1972	07	14	Central African Republic	Cameroon	4	3	AQC	CG	34	1363	1593	+8	−5	102	49
1972	07	18	Cameroon	Chad	4	1	AGQ	CG	7	1600	1212	0	0	49	131
1972	07	20	Cameroon	Gabon	4	0	AQC	CG	12	1612	1300	+3	−2	46	114
1972	07	23	Congo	Cameroon	1	1	AQC		-9	1674	1621	−1	+1	36	45
1973	02	04	Cameroon	Zaire	0	1	WQ		-22	1599	1701	−3	+3	47	33
1973	02	25	Zaire	Cameroon	0	1	WQ		-30	1671	1629	−4	+3	35	43
1973	02	27	Zaire	Cameroon	2	0	WQ		18	1689	1611	+3	−3	32	46
1973	05	27	Cameroon	Zaire	2	1	FQ		20	1631	1691	+5	−1	41	32
1973	06	14	Zaire	Cameroon	2	0	FQ		17	1708	1614	0	−2	32	44
1974	12	29	Cameroon	Guinea	1	1	F		-3	1611	1604	−1	0	43	46
1975	01	01	Cameroon	Guinea	1	0	F		7	1618	1597	+1	0	42	46
1975	01	22	Nigeria	Cameroon	1	0	F		7	1621	1611	+1	−2	42	44
1975	01	26	Guinea	Cameroon	3	0	F		12	1626	1599	+1	−2	42	46
1975	01	30	Liberia	Cameroon	2	0	F		22	1357	1577	+4	−3	105	49
1975	02	02	Mali	Cameroon	1	2	F		-12	1518	1589	−3	+2	64	47
1975	04	13	Cameroon	Togo	3	0	FQ		15	1604	1452	+4	−4	44	79
1975	04	20	Togo	Cameroon	4	0	FQ		45	1482	1559	+15	−8	70	52
1975	07	23	Cameroon	Congo	3	1	UDE		19	1578	1510	+2	−4	49	65
1975	11	19	Cameroon	Zaire	2	1	F		11	1589	1700	+1	−1	49	29
1975	11	22	Cameroon	Zaire	2	2	F		0	1589	1700	0	0	49	29
1976	06	29	Cameroon	Rwanda	5	0	CFG	GA	4	1593	1092	0	−2	50	155
1976	07	03	Cameroon	Burundi	5	0	CFG	GA	10	1603	1248	+1	−1	49	125
1976	07	05	Zaire	Cameroon	2	1	F	GA	10	1614	1593	0	−1	48	50
1976	07	07	Gabon	Cameroon	0	0	CFG		9	1343	1584	+2	0	108	50
1976	07	09	Cameroon	Central African Republic	3	0	CFG	GA	17	1601	1371	+1	−8	49	102
1976	07	11	Cameroon	Congo	3	2	CFG	GA	18	1619	1544	+3	−4	46	55
1976	10	17	Congo	Cameroon	2	2	WQ		-2	1544	1621	0	+1	56	43
1976	10	31	Cameroon	Congo	1	2	WQ		-29	1592	1573	−7	+3	51	53
1977	01	26	Cameroon	Congo	2	2	F		-4	1588	1557	+1	0	49	54
1977	03	13	Cameroon	Congo	2	0	FQ		15	1603	1484	+1	−5	48	70
1977	06	05	Congo	Cameroon	4	0	FQ		40	1524	1563	+8	−6	61	54
1977	12	23	Cameroon	Chad	0	0	AGQ		-17	1546	1256	−5	+4	58	124
1977	12	27	Cameroon	Rwanda	4	0	AGQ		2	1548	1035	0	0	58	159
1977	12	30	Cameroon	Congo	1	2	AGQ		-27	1521	1556	−6	+7	64	55
1978	01	03	Cameroon	Chad	3	0	AGQ		10	1531	1304	+2	−3	62	114
1978	07	14	Ghana	Cameroon	2	1	AFG	DZ	12	1696	1519	+1	−1	34	63
1978	07	17	Cameroon	Nigeria	0	0	AFG	DZ	9	1528	1677	+1	−2	62	37
1978	07	21	Cameroon	Mali	1	1	AFG	DZ	2	1530	1565	0	0	62	56
1979	04	15	Guinea	Cameroon	3	0	FQ		19	1618	1511	+2	−2	48	64
1979	04	29	Cameroon	Guinea	3	0	FQ		36	1547	1582	+6	−5	58	52
1979	11	25	Congo	Cameroon	3	1	ZVT	AO	34	1532	1513	+6	−7	63	68
1979	11	27	Cameroon	Gabon	3	1	ZVT	AO	17	1530	1328	+4	−3	64	106
1979	11	29	Angola	Cameroon	0	1	ZVT		-23	1468	1553	−9	+2	80	62
1980	01	27	Cameroon	Ivory Coast	1	1	F		-3	1550	1538	0	0	61	63
1980	02	02	Nigeria	Cameroon	0	0	F		-6	1665	1556	−1	+2	38	59
1980	06	29	Cameroon	Malawi	3	0	WQ		26	1582	1541	+5	−7	52	62
1980	07	20	Malawi	Cameroon	1	1	WQ		-2	1511	1584	−1	−1	67	52
1980	10	12	Cameroon	Zimbabwe	2	0	WQ		14	1598	1460	0	−3	50	78
1980	11	16	Zimbabwe	Cameroon	1	0	WQ		21	1503	1577	+7	−6	68	53
1981	04	01	Cameroon	Niger	2	0	F		2	1579	1191	0	0	52	139
1981	04	05	Cameroon	Togo	4	0	FQ		15	1594	1418	+4	−4	48	89
1981	04	12	Zaire	Cameroon	1	0	WQ		15	1596	1579	+5	−5	47	53
1981	04	19	Togo	Cameroon	2	2	FQ		3	1432	1576	+1	−1	84	53
1981	04	26	Cameroon	Zaire	6	1	WQ		30	1606	1557	+6	−5	47	54
1981	08	16	Cameroon	Madagascar	5	1	FQ		13	1619	1425	+2	−2	46	87
1981	08	21	Angola	Cameroon	0	0	CFG		1	1494	1618	0	0	71	46
1981	08	23	Zaire	Cameroon	2	0	CFG	AO	36	1583	1582	+11	−5	48	50
1981	08	27	Cameroon	Gabon	0	0	CFG	AO	-12	1570	1353	−4	+1	53	102
1981	08	29	Cameroon	Congo	0	0	CFG	AO	-1	1569	1548	0	0	53	60
1981	08	30	Madagascar	Cameroon	2	1	FQ		23	1448	1546	+7	−7	81	60
1981	11	08	Tunisia	Cameroon	1	1	F		-5	1651	1551	0	+2	40	56
1981	11	15	Morocco	Cameroon	0	2	WQ		-45	1597	1596	−3	+10	45	46
1981	11	29	Cameroon	Morocco	2	1	WQ		14	1610	1583	+1	−5	45	50
1982	01	17	Cameroon	Congo	2	1	F		6	1616	1542	0	−1	45	60
