year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1924	06	07	Australia	Canada	3	2	F		8	1570	1592	+2	−	33	28
1924	06	14	Australia	Canada	0	1	F		-12	1558	1604	−2	−1	35	29
1924	06	23	Australia	Canada	4	1	F		15	1573	1589	+3	−1	31	29
1924	06	28	Australia	Canada	0	0	F		-2	1571	1591	−1	0	32	29
1924	07	12	Australia	Canada	1	4	F		-21	1550	1612	−4	+3	36	26
1924	07	26	Australia	Canada	1	0	F		9	1559	1603	+1	−2	35	28
1925	06	27	Canada	United States	1	0	F		10	1613	1679	+3	0	26	23
1925	11	08	United States	Canada	6	1	F		11	1690	1602	0	−3	24	29
1926	11	06	United States	Canada	6	2	F		9	1699	1593	+1	−3	22	31
1927	06	25	New Zealand	Canada	2	2	F		-2	1570	1595	0	0	31	29
1927	07	02	New Zealand	Canada	1	2	F		-12	1558	1607	−5	+2	36	27
1927	07	09	New Zealand	Canada	1	0	F		9	1567	1598	+2	0	34	27
1927	07	23	New Zealand	Canada	1	4	F		-21	1546	1619	−4	+1	38	26
1957	06	22	Canada	United States	5	1	WQ		15	1634	1461	+2	−3	41	74
1957	06	30	Mexico	Canada	3	0	WQ		19	1727	1615	+5	−2	19	43
1957	07	03	Mexico	Canada	2	0	WQ		14	1741	1601	0	−2	19	45
1957	07	06	United States	Canada	2	3	WQ		-18	1443	1619	−4	+2	78	43
1967	06	13	Canada	Scotland	2	7	F		-13	1606	1868	−2	+1	44	11
1967	06	21	Canada	Cuba	1	1	OQ		-18	1588	1234	−4	+2	48	128
1967	06	24	Canada	Cuba	1	2	OQ		-37	1551	1271	−8	+4	56	124
1968	10	06	Canada	Bermuda	4	0	WQ		13	1564	1373	+1	−4	59	102
1968	10	13	Canada	United States	4	2	WQ		14	1578	1451	+1	−4	57	78
1968	10	20	Bermuda	Canada	0	0	WQ		6	1379	1572	0	0	101	56
1968	10	26	United States	Canada	1	0	WQ		21	1471	1551	+6	−3	72	59
1972	08	20	Canada	United States	3	2	WCQ		10	1561	1455	+5	−1	56	74
1972	08	24	Canada	Mexico	0	1	WCQ		-14	1547	1784	−5	0	61	24
1972	08	29	United States	Canada	2	2	WCQ		0	1455	1547	0	0	74	61
1972	09	02	Guatemala	Canada	2	2	F		-3	1544	1550	−1	0	61	60
1972	09	06	Mexico	Canada	2	1	WCQ		5	1794	1545	+1	0	20	60
1973	08	01	Canada	Poland	1	3	F		-4	1541	1954	0	0	59	5
1973	08	05	Canada	United States	0	2	F		-24	1517	1441	−4	+12	63	77
1973	09	28	Malta	Canada	2	0	F		17	1383	1500	+5	−1	97	64
1973	10	07	Luxembourg	Canada	0	2	F		-12	1307	1512	−3	0	114	64
1973	11	10	Haiti	Canada	5	1	F		9	1609	1503	+3	0	45	64
1973	11	12	Haiti	Canada	0	1	F		-15	1594	1518	−4	+1	49	63
1974	04	12	Bermuda	Canada	0	0	F		2	1334	1516	0	0	109	63
1974	10	09	East Germany	Canada	2	0	F		2	1929	1514	0	−1	7	66
1974	10	31	Poland	Canada	2	0	F		1	2034	1513	0	0	4	66
1975	01	05	Cuba	Canada	4	0	F		14	1524	1499	+3	−2	63	67
1975	07	06	Canada	Poland	1	8	F		-3	1496	2048	0	0	67	3
1975	07	09	Canada	Poland	1	4	F		-2	1494	2050	0	0	67	3
1975	07	29	Canada	East Germany	0	3	F		-7	1487	1845	0	+2	67	15
1975	07	31	Canada	East Germany	1	7	F		-8	1479	1853	−5	0	72	15
1976	09	24	Canada	United States	1	1	WCQ		-9	1470	1419	−3	+2	75	91
1976	10	10	Canada	Mexico	1	0	WCQ		29	1499	1717	+9	−3	65	28
1976	10	20	United States	Canada	2	0	WCQ		28	1452	1471	+4	−9	83	74
1976	10	27	Mexico	Canada	0	0	WCQ		-15	1709	1486	0	+7	28	68
1976	12	18	Haiti	Canada	3	0	F		10	1549	1476	+1	−4	56	73
1976	12	22	Canada	United States	3	0	WCQ	HT	35	1511	1438	+11	−9	63	84
1977	09	11	Trinidad and Tobago	Canada	1	1	F		-2	1477	1513	−1	0	73	65
1977	10	08	El Salvador	Canada	2	1	WQC	MX	28	1497	1485	+8	−4	66	69
1977	10	12	Canada	Suriname	2	1	WQC	MX	24	1509	1448	+4	−8	65	81
1977	10	16	Canada	Guatemala	2	1	WQC	MX	30	1539	1543	+5	−7	60	58
1977	10	20	Canada	Haiti	1	1	WQC	MX	5	1544	1603	+2	−1	57	47
1977	10	22	Mexico	Canada	3	1	WQC		9	1789	1535	0	−4	21	61
1980	09	15	Canada	New Zealand	4	0	F		10	1545	1460	0	−1	58	81
1980	09	17	Canada	New Zealand	3	0	F		9	1554	1451	0	−1	58	82
1980	10	18	Canada	Mexico	1	1	WCQ		3	1557	1701	0	0	56	31
1980	10	25	United States	Canada	0	0	WCQ		-3	1507	1560	0	0	70	56
1980	11	01	Canada	United States	2	1	WCQ		12	1572	1495	+3	−2	53	71
1980	11	09	Honduras	Canada	2	0	F		13	1528	1559	+5	−3	62	56
1980	11	11	Guatemala	Canada	0	1	F		-11	1490	1570	−2	+3	71	53
1980	11	16	Mexico	Canada	1	1	WCQ		-12	1700	1582	−2	+4	31	49
1981	10	12	Trinidad and Tobago	Canada	2	4	F		-13	1423	1595	−1	+4	89	46
1981	10	14	Guadeloupe	Canada	1	2	F		-8	1429	1603	−1	+1	88	45
1981	10	17	Netherlands Antilles	Canada	1	0	F		17	1240	1586	+7	−3	125	48
1981	11	02	Canada	El Salvador	1	0	WQC	HN	23	1609	1531	+2	−9	45	64
1981	11	06	Canada	Haiti	1	1	WQC	HN	-8	1601	1507	0	+2	45	69
1981	11	12	Honduras	Canada	2	1	WQC		17	1635	1584	+1	−3	44	49
1981	11	15	Canada	Mexico	1	1	WQC	HN	6	1590	1658	+1	−1	48	39
1981	11	21	Canada	Cuba	2	2	WQC	HN	-1	1589	1582	0	0	48	52
1983	06	12	Canada	Scotland	0	2	F		-9	1580	1854	−4	0	51	15
1983	06	16	Canada	Scotland	0	3	F		-9	1571	1863	−6	+2	57	13
1983	06	19	Canada	Scotland	0	2	F		-7	1564	1870	0	0	57	13
1983	12	06	Mexico	Canada	5	0	F		8	1715	1556	+1	−2	32	62
1983	12	08	Belize	Canada	0	2	F		-4	1113	1560	0	+2	148	60
1983	12	11	Honduras	Canada	3	1	F		10	1593	1550	+6	0	47	60
1983	12	14	Honduras	Canada	1	0	F		6	1599	1544	0	0	47	61
1984	03	28	Haiti	Canada	0	1	F		-10	1439	1554	−2	+2	86	59
1984	05	26	Canada	Italy	0	2	F		-7	1547	1868	0	+1	60	12
1984	07	30	Canada	Iraq	1	1	OG	US	7	1554	1619	0	−1	58	42
1984	08	03	Canada	Cameroon	3	1	OG	US	64	1618	1646	+16	−8	42	39
1984	10	16	Algeria	Canada	1	0	F		5	1708	1613	+1	+1	33	43
1984	10	21	Tunisia	Canada	2	0	F		10	1632	1603	0	0	41	44
1984	10	24	Morocco	Canada	3	2	F		6	1672	1597	0	−1	36	45
1984	10	31	Cyprus	Canada	0	0	F		5	1297	1592	+1	−2	115	47
1985	03	08	Saint Vincent and the Grenadines	Canada	1	2	F		-8	1406	1600	−2	+1	89	48
1985	03	10	Trinidad and Tobago	Canada	1	2	F		-10	1491	1610	−3	+2	73	46
1985	03	13	Jamaica	Canada	1	1	F		6	1264	1604	0	−1	124	47
1985	03	17	Jamaica	Canada	0	0	F		6	1270	1598	+3	−1	121	49
1985	03	21	Costa Rica	Canada	1	0	F		10	1518	1588	+1	0	66	49
1985	03	24	Costa Rica	Canada	0	0	F		-1	1517	1589	0	0	65	49
1985	04	02	Canada	United States	2	0	F		10	1599	1571	0	−3	51	56
1985	04	04	United States	Canada	1	1	F		-2	1569	1601	−1	+2	57	49
1985	04	13	Canada	Haiti	2	0	WQC		12	1613	1407	+3	−2	44	89
1985	04	20	Canada	Guatemala	2	1	WQC		14	1627	1533	0	−1	44	61
1985	05	05	Guatemala	Canada	1	1	WQC		-2	1554	1629	0	0	58	44
1985	05	08	Haiti	Canada	0	2	WQC		-23	1361	1652	−4	+4	97	40
1985	06	02	Canada	Ghana	2	1	PRS	KR	15	1667	1637	+3	−1	38	42
1985	06	09	Iraq	Canada	6	1	PRS	KR	35	1648	1632	+3	−6	41	44
1985	08	17	Canada	Costa Rica	1	1	WQC		-11	1621	1580	−3	+3	44	53
1985	08	25	Honduras	Canada	0	1	WQC		-33	1606	1654	−7	+6	47	39
