year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1956	00	00	Ubangi-Shari	Cameroon	5	1	F		17	1417	1442	−	−6	83	79
1960	04	14	Mali Federation	Central African Republic	4	3	JCM	MG	12	1571	1405	+2	−5	52	92
1961	12	25	Central African Republic	Liberia	1	1	JAM	CI	-1	1404	1387	0	0	93	99
1961	12	26	Central African Republic	Upper Volta	1	1	JAM	CI	-2	1402	1377	0	+1	93	99
1961	12	27	Ivory Coast	Central African Republic	11	0	JAM		14	1647	1388	0	−5	41	98
1962	12	24	Central African Republic	Cameroon	1	4	TRP		-25	1363	1524	−5	+5	103	65
1962	12	27	Central African Republic	Madagascar	4	1	TRP		21	1384	1366	+5	−5	98	103
1964	07	12	Congo-Leopoldville	Central African Republic	1	0	TRP	CM	7	1582	1377	0	−3	51	103
1964	07	14	Cameroon	Central African Republic	1	1	TRP		-8	1472	1385	0	+3	75	100
1965	04	16	DR Congo	Central African Republic	8	2	AGQ		11	1624	1374	+2	−5	43	102
1966	08	07	DR Congo	Central African Republic	5	0	F		6	1593	1368	0	−1	48	100
1966	11	30	Central African Republic	Gabon	1	3	FT		-28	1340	1407	−6	+3	106	96
1966	12	03	Central African Republic	DR Congo	1	4	FT		-15	1325	1613	−3	+4	109	43
1972	05	01	Central African Republic	Chad	1	0	F		4	1329	1193	0	0	108	137
1972	07	14	Central African Republic	Cameroon	4	3	AQC	CG	34	1363	1593	+8	−5	102	49
1972	07	16	Chad	Central African Republic	2	1	AGQ	CG	29	1219	1334	+6	−8	131	110
1972	07	18	Central African Republic	Gabon	3	1	AQC	CG	31	1365	1312	+8	−4	102	112
1972	07	20	Congo	Central African Republic	2	0	AQC		5	1683	1360	+1	0	35	102
1973	04	08	Central African Republic	Ivory Coast	4	2	FQ		46	1406	1615	+12	−2	90	43
1973	04	22	Ivory Coast	Central African Republic	2	1	FQ		6	1621	1400	+1	−4	43	94
1973	07	29	Ivory Coast	Central African Republic	5	1	FQ	NG	18	1619	1382	+4	−6	43	99
1976	06	30	Congo	Central African Republic	2	1	CFG	GA	13	1530	1369	+3	−5	57	103
1976	07	02	Central African Republic	Chad	1	0	CFG	GA	13	1382	1224	+5	0	98	127
1976	07	04	Central African Republic	Sao Tome and Principe	2	1	CFG	GA	6	1388	1080	+4	0	94	154
1976	07	09	Cameroon	Central African Republic	3	0	CFG	GA	17	1601	1371	+1	−8	49	102
1976	07	11	Gabon	Central African Republic	3	1	CFG		25	1354	1346	+5	−6	106	108
1984	12	12	Congo	Central African Republic	2	1	UDE		7	1514	1339	+1	−1	66	99
1984	12	14	Central African Republic	Equatorial Guinea	1	1	UDE	CG	-14	1325	1066	−9	+1	108	157
1984	12	17	Cameroon	Central African Republic	7	1	UDE	CG	14	1627	1311	+1	−3	43	111
1984	12	19	Central African Republic	Gabon	2	2	UDE	CG	1	1312	1335	0	0	111	100
1985	12	09	Congo	Central African Republic	4	1	UDE	GA	20	1491	1292	+5	−4	74	111
1985	12	11	Gabon	Central African Republic	4	0	UDE		21	1379	1271	+3	−10	94	121
1986	10	05	Central African Republic	Congo	1	2	FQ		-14	1257	1502	−7	+3	124	72
1986	10	19	Congo	Central African Republic	5	1	FQ		9	1511	1248	+2	−1	71	125
1986	12	12	Congo	Central African Republic	3	1	UDE	GQ	12	1498	1236	+2	−1	73	126
1986	12	14	Gabon	Central African Republic	1	0	UDE	GQ	9	1462	1227	+1	−2	77	128
1987	11	08	Mali	Central African Republic	3	1	F		5	1403	1222	0	−1	89	132
1987	11	18	Togo	Central African Republic	1	0	F		3	1398	1219	0	−1	90	133
1987	12	07	Chad	Central African Republic	2	1	UDE		13	1260	1206	+2	−2	122	135
1987	12	09	Central African Republic	Gabon	1	1	UDE	TD	11	1217	1420	+2	−2	133	86
1988	12	02	Central African Republic	Chad	2	1	UDE	CM	22	1239	1234	+10	−5	124	126
1988	12	04	Congo	Central African Republic	1	0	UDE	CM	11	1428	1228	+2	−5	86	129
1988	12	06	Central African Republic	Gabon	0	0	UDE	CM	11	1239	1427	+5	−2	124	85
1988	12	08	Congo	Central African Republic	3	0	UDE	CM	18	1440	1221	+4	−9	83	133
1989	11	21	Senegal	Central African Republic	3	0	F		3	1549	1218	0	−2	60	134
1989	12	02	Central African Republic	Chad	1	1	UDE		-4	1214	1249	0	+1	134	121
1989	12	04	Central African Republic	Cameroon	1	2	UDE		-4	1210	1710	−1	0	135	32
1989	12	10	Central African Republic	Gabon	2	0	UDE		43	1253	1425	+13	−10	121	83
1989	12	12	Central African Republic	Cameroon	1	2	UDE		-5	1248	1701	−2	0	123	32
1990	12	11	Gabon	Central African Republic	1	0	UDE	CG	11	1435	1237	+4	−1	78	129
1990	12	13	Cameroon	Central African Republic	3	0	UDE	CG	5	1671	1232	+1	−1	36	130
1990	12	17	Central African Republic	Equatorial Guinea	3	3	UDE	CG	-9	1223	1082	−2	+1	133	162
1996	10	06	Central African Republic	Guinea	2	3	FQ		-20	1203	1335	−5	+4	152	122
1999	11	07	Chad	Central African Republic	1	1	UFC	GA	-2	1242	1205	−1	−1	146	151
1999	11	08	Central African Republic	Chad	4	1	UFC	GA	39	1244	1203	+6	−5	145	151
1999	11	10	Gabon	Central African Republic	1	0	UFC		5	1476	1239	+2	−1	82	146
1999	11	11	Equatorial Guinea	Central African Republic	4	2	UFC	GA	44	1102	1195	+7	−8	173	154
1999	11	13	Central African Republic	Sao Tome and Principe	3	0	UFC	GA	17	1212	985	+5	−5	149	190
1999	11	14	Central African Republic	Congo	4	2	UFC	GA	47	1259	1386	+7	−13	142	111
2000	04	09	Central African Republic	Zimbabwe	0	1	WQ		-14	1245	1489	−4	+3	146	81
2000	04	23	Zimbabwe	Central African Republic	3	1	WQ		7	1496	1238	+4	0	78	145
2000	07	02	Central African Republic	DR Congo	1	1	FQ		7	1245	1450	0	−3	144	90
2000	07	16	DR Congo	Central African Republic	2	0	FQ		8	1478	1237	+1	−1	81	145
2002	09	09	Central African Republic	Mozambique	1	1	FQ		-4	1233	1278	0	0	150	138
2002	10	13	Burkina Faso	Central African Republic	2	1	FQ		7	1395	1226	+3	−4	110	152
2003	05	04	Congo	Central African Republic	2	1	FQ		8	1384	1218	+4	0	110	151
2003	06	08	Central African Republic	Congo	0	0	FQ		4	1222	1380	+1	+2	150	110
2003	06	22	Mozambique	Central African Republic	1	0	FQ		14	1252	1208	+3	−3	145	153
2003	07	06	Central African Republic	Burkina Faso	0	3	FQ		-24	1184	1449	−5	+9	158	91
2003	12	11	Central African Republic	Gabon	2	0	CMC	CG	47	1231	1359	+6	−9	149	118
2005	02	03	Gabon	Central African Republic	4	0	CMC		13	1421	1218	+1	−1	99	149
2005	02	06	Congo	Central African Republic	1	0	CMC	GA	11	1406	1207	+3	−5	101	154
2006	03	08	Central African Republic	Gabon	2	2	CMC	GQ	10	1217	1383	+4	0	151	104
2007	03	06	Chad	Central African Republic	3	2	CMC		11	1301	1206	+5	−2	130	155
2007	03	12	Congo	Central African Republic	4	1	CMC	TD	19	1397	1187	+2	−3	105	158
2007	03	15	Chad	Central African Republic	1	0	CMC		10	1290	1177	0	−7	135	165
2010	09	04	Morocco	Central African Republic	0	0	FQ		-18	1552	1195	−5	+1	76	157
2010	10	10	Central African Republic	Algeria	2	0	FQ		46	1241	1463	+12	−9	144	95
2011	03	26	Tanzania	Central African Republic	2	1	FQ		9	1375	1232	+1	−1	117	147
2011	05	29	Tunisia	Central African Republic	3	0	F		3	1569	1229	+2	0	65	147
2011	06	05	Central African Republic	Tanzania	2	1	FQ		22	1251	1336	+4	−5	143	124
2011	08	10	Malta	Central African Republic	2	1	F		8	1216	1243	+2	−1	152	144
2011	09	04	Central African Republic	Morocco	0	0	FQ		12	1255	1581	+4	0	141	62
2011	09	07	Equatorial Guinea	Central African Republic	3	0	F		15	1217	1240	+4	−4	150	145
2011	10	09	Algeria	Central African Republic	2	0	FQ		8	1469	1232	+1	−2	96	146
2012	06	02	Central African Republic	Botswana	2	0	WQ		33	1265	1330	+5	−10	143	126
2012	06	10	Ethiopia	Central African Republic	2	0	WQ		19	1321	1246	+5	−3	128	146
2012	06	15	Egypt	Central African Republic	2	3	FQ		-39	1726	1285	−7	+8	33	137
2012	06	30	Central African Republic	Egypt	1	1	FQ		14	1299	1671	+5	−4	134	45
2012	09	08	Central African Republic	Burkina Faso	1	0	FQ		22	1321	1416	+8	−3	125	105
2012	10	14	Burkina Faso	Central African Republic	3	1	FQ		15	1431	1306	+2	−6	104	134
2013	03	23	South Africa	Central African Republic	2	0	WQ		7	1558	1299	+2	−2	70	136
2013	06	08	South Africa	Central African Republic	3	0	WQ	CM	13	1575	1286	+3	0	66	138
2013	06	15	Botswana	Central African Republic	3	2	WQ		15	1283	1271	+5	−4	137	142
2013	08	14	Libya	Central African Republic	0	0	F		-8	1544	1279	−5	+3	76	139
2013	09	07	Ethiopia	Central African Republic	2	1	WQ	CG	14	1396	1265	+2	−1	109	140
2014	05	18	Central African Republic	Guinea-Bissau	0	0	FQ	CG	-3	1262	1218	−1	+1	142	152
2014	05	31	Guinea-Bissau	Central African Republic	3	1	FQ		25	1243	1237	+7	−7	146	149
2014	10	09	Morocco	Central African Republic	4	0	F		4	1530	1233	0	0	79	147
2015	06	13	Angola	Central African Republic	4	0	FQ		11	1446	1222	+1	−5	102	153
2015	09	06	Central African Republic	DR Congo	2	0	FQ		44	1266	1453	+15	−13	139	97
2015	10	10	Madagascar	Central African Republic	3	0	WQ		26	1279	1240	+4	−8	137	148
2015	10	13	Madagascar	Central African Republic	2	2	WQ		-8	1271	1248	−1	+1	138	146
2016	03	24	Madagascar	Central African Republic	1	1	FQ		-7	1272	1255	−2	+2	139	143
2016	03	28	Central African Republic	Madagascar	2	1	FQ		15	1270	1257	+9	−6	137	143
2016	06	05	Central African Republic	Angola	3	1	FQ		31	1301	1348	+12	−5	128	119
2016	09	04	DR Congo	Central African Republic	4	1	FQ		9	1541	1292	+4	−2	72	133
2017	03	27	Gambia	Central African Republic	2	1	F	MA	10	1286	1282	+5	−4	135	137
2017	06	11	Central African Republic	Rwanda	2	1	FQ		16	1298	1293	+6	−4	133	135
2017	11	14	Algeria	Central African Republic	3	0	F		4	1535	1294	0	−1	73	132
2018	03	23	Gambia	Central African Republic	1	1	F		-2	1272	1296	−2	+1	141	130
2018	03	27	Central African Republic	Kenya	3	2	F	MA	13	1309	1373	+2	−6	129	117
2018	05	27	Niger	Central African Republic	3	3	FT		-4	1289	1313	−2	+4	136	126
2018	05	30	Central African Republic	Uganda	1	0	FT	NE	21	1334	1432	+4	−3	122	97
2018	09	09	Guinea	Central African Republic	1	0	FQ		9	1459	1325	+3	−1	91	125
2018	10	12	Ivory Coast	Central African Republic	4	0	FQ		7	1615	1318	+1	−3	54	128
2018	10	16	Central African Republic	Ivory Coast	0	0	FQ		10	1328	1605	+2	−2	125	56
2018	11	18	Rwanda	Central African Republic	2	2	FQ		-2	1268	1330	−1	+1	142	125
2019	03	24	Central African Republic	Guinea	0	0	FQ		2	1332	1463	0	+1	127	91
2019	10	13	Niger	Central African Republic	0	2	F		-18	1292	1350	−6	+6	137	120
2019	11	13	Central African Republic	Burundi	2	0	FQ		18	1368	1282	+6	−9	114	140
2019	11	19	Mauritania	Central African Republic	2	0	FQ		22	1380	1346	+7	−4	110	118
2020	11	13	Morocco	Central African Republic	4	1	FQ		6	1673	1340	0	−1	44	120
2020	11	17	Central African Republic	Morocco	0	2	FQ	CM	-8	1332	1681	−3	+3	124	41
2021	03	26	Burundi	Central African Republic	2	2	FQ		-1	1249	1333	0	+1	147	124
2021	03	30	Central African Republic	Mauritania	0	1	FQ		-25	1308	1374	−7	+12	132	109
2021	06	04	Rwanda	Central African Republic	2	0	F		11	1311	1297	+1	−1	132	133
2021	06	07	Rwanda	Central African Republic	5	0	F		14	1325	1283	+4	−4	128	137
2021	09	01	Cape Verde	Central African Republic	1	1	WQ	CM	-8	1430	1291	−2	+3	96	135
2021	09	06	Liberia	Central African Republic	1	0	WQ	CM	17	1366	1274	+5	−4	115	139
2021	10	07	Nigeria	Central African Republic	0	1	WQ		-38	1641	1312	−8	+9	52	130
2021	10	10	Nigeria	Central African Republic	2	0	WQ	CM	8	1649	1304	+1	−2	51	132
2021	11	13	Cape Verde	Central African Republic	2	1	WQ		8	1453	1296	+2	−1	90	133
2021	11	16	Liberia	Central African Republic	3	1	WQ	MA	27	1354	1269	+9	−7	114	140
2022	03	23	Tanzania	Central African Republic	3	1	FT		14	1322	1255	+5	−5	126	145
2022	03	26	Central African Republic	Sudan	0	0	FT	TZ	2	1257	1298	0	+1	145	135
2022	06	01	Angola	Central African Republic	2	1	FQ		9	1389	1248	+1	−2	104	147
2022	06	05	Central African Republic	Ghana	1	1	FQ	AO	14	1262	1533	+5	−3	144	75
2023	03	23	Madagascar	Central African Republic	0	3	FQ		-48	1249	1310	−9	+10	147	134
2023	03	27	Central African Republic	Madagascar	2	0	FQ	CM	25	1335	1224	+11	−7	124	154
2023	06	11	Central African Republic	Uganda	1	1	F	CM	2	1337	1389	0	0	122	108
2023	06	17	Angola	Central African Republic	2	1	FQ	CM	16	1422	1321	+6	−6	98	128
2023	09	07	Ghana	Central African Republic	2	1	FQ		4	1584	1317	+1	−1	63	130
2023	11	17	Comoros	Central African Republic	4	2	WQ		31	1242	1286	+6	−11	154	143
2023	11	20	Mali	Central African Republic	1	1	WQ		-17	1614	1303	−3	+5	57	138
2024	03	22	Central African Republic	Bhutan	6	0	FFS	LK	1	1304	622	0	0	137	229
2024	03	25	Central African Republic	Papua New Guinea	4	0	FFS	LK	13	1317	1083	+4	−3	134	175
2024	06	05	Central African Republic	Chad	1	0	WQ	MA	13	1330	1174	+7	−1	127	164
2024	06	10	Ghana	Central African Republic	4	3	WQ		6	1538	1324	0	−3	75	128
2024	09	05	Central African Republic	Lesotho	3	1	FQ	MA	22	1346	1205	+6	−4	125	159
2024	09	10	Gabon	Central African Republic	2	0	FQ		15	1445	1331	+2	−9	94	130
2024	10	12	Morocco	Central African Republic	5	0	FQ		3	1782	1328	0	0	27	127
2024	10	15	Morocco	Central African Republic	4	0	FQ		3	1785	1325	+2	−4	26	130
2024	11	14	Lesotho	Central African Republic	1	0	FQ	ZA	27	1232	1298	+5	−7	154	136
2024	11	18	Gabon	Central African Republic	1	0	FQ	ZA	13	1442	1285	+4	−4	91	140
2025	03	19	Madagascar	Central African Republic	4	1	WQ	MA	35	1322	1250	+9	−11	130	152
2025	03	24	Central African Republic	Mali	0	0	WQ	MA	16	1266	1612	+4	−1	149	56
2025	06	06	Central African Republic	Mauritania	2	1	F	MA	12	1278	1334	+3	−4	145	127
2025	09	04	Madagascar	Central African Republic	2	0	WQ	MA	29	1313	1249	+8	−8	135	153
2025	09	07	Comoros	Central African Republic	2	0	WQ	MA	17	1424	1232	+4	−1	96	153
2025	10	08	Ghana	Central African Republic	5	0	WQ	MA	15	1504	1217	+1	−1	81	154
2025	10	12	Chad	Central African Republic	2	3	WQ		-21	1116	1238	−6	+1	173	152
