year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1961	12	25	Chad	Niger	2	2	JAM	CI	-11	1289	1107	−	0	115	139
1961	12	26	Congo-Brazzaville	Chad	4	2	JAM	CI	10	1584	1279	+2	−2	48	117
1963	04	12	Liberia	Chad	2	1	JAM	SN	17	1349	1262	+1	−2	104	119
1963	04	14	Madagascar	Chad	2	1	JAM	SN	13	1407	1249	+4	−1	92	120
1963	04	16	Dahomey	Chad	6	2	JAM	SN	14	1516	1235	+2	−5	68	125
1964	07	12	Gabon	Chad	2	1	TRP	CM	8	1413	1227	+3	−1	89	125
1964	07	13	Congo-Brazzaville	Chad	4	1	TRP	CM	6	1603	1221	+2	0	46	125
1965	03	28	Congo	Chad	11	0	F		4	1579	1217	+2	−1	50	129
1965	04	16	Cameroon	Chad	9	0	AGQ	CD	16	1515	1201	+3	−2	66	131
1965	04	30	Chad	Togo	2	3	F		-4	1197	1566	−1	0	132	53
1972	05	01	Central African Republic	Chad	1	0	F		4	1329	1193	0	0	108	137
1972	07	13	Congo	Chad	7	1	AGQ		3	1672	1190	0	−1	36	137
1972	07	16	Chad	Central African Republic	2	1	AGQ	CG	29	1219	1334	+6	−8	131	110
1972	07	18	Cameroon	Chad	4	1	AGQ	CG	7	1600	1212	0	0	49	131
1972	07	22	Gabon	Chad	1	0	AGQ	CG	15	1315	1197	+3	−6	111	137
1976	01	25	Chad	Gabon	4	0	F		20	1217	1295	+5	−4	131	116
1976	02	22	Gabon	Chad	0	1	F		-15	1280	1232	−4	+3	120	128
1976	06	13	Chad	Congo	2	2	F		5	1237	1517	0	−1	128	60
1976	07	02	Central African Republic	Chad	1	0	CFG	GA	13	1382	1224	+5	0	98	127
1976	07	04	Congo	Chad	4	1	CFG	GA	10	1548	1214	+3	−3	53	131
1976	07	06	Chad	Sao Tome and Principe	5	0	CFG	GA	25	1239	1055	+3	−2	128	156
1977	12	23	Cameroon	Chad	0	0	AGQ		-17	1546	1256	−5	+4	58	124
1977	12	25	Chad	Rwanda	3	0	AGQ	CM	17	1273	1037	+4	−3	120	159
1977	12	30	Chad	Gabon	3	1	AGQ	CM	41	1314	1370	+9	−6	111	96
1978	01	03	Cameroon	Chad	3	0	AGQ		10	1531	1304	+2	−3	62	114
1984	12	10	Cameroon	Chad	2	0	UDE	CG	8	1627	1296	0	−1	42	114
1984	12	12	Chad	Gabon	3	3	UDE	CG	2	1298	1335	0	−1	114	101
1984	12	16	Chad	Equatorial Guinea	1	1	UDE	CG	-12	1286	1078	−5	+1	119	156
1985	12	10	Chad	Equatorial Guinea	1	1	UDE	GA	-11	1275	1086	−2	0	117	156
1985	12	12	Cameroon	Chad	2	2	UDE	GA	-15	1593	1290	−4	+4	50	112
1985	12	14	Gabon	Chad	3	0	UDE		18	1397	1272	+7	−7	87	119
1985	12	18	Cameroon	Chad	2	1	UDE	GA	6	1573	1266	+1	−2	56	122
1986	12	11	Cameroon	Chad	3	1	UDE	GQ	5	1675	1261	+1	−2	34	121
1986	12	13	Equatorial Guinea	Chad	0	1	UDE		-16	1066	1277	−3	+6	159	115
1986	12	17	Chad	Gabon	0	0	UDE	GQ	10	1287	1452	+2	−3	113	80
1986	12	19	Cameroon	Chad	4	1	UDE	GQ	6	1692	1281	0	−2	34	115
1987	04	22	Gabon	Chad	3	1	ACG	CG	17	1466	1264	+3	−4	79	123
1987	04	24	Cameroon	Chad	3	0	ACG	CG	6	1681	1258	0	−1	35	124
1987	04	29	Zaire	Chad	4	0	ACG	CG	11	1584	1247	+2	−1	52	125
1987	12	07	Chad	Central African Republic	2	1	UDE		13	1260	1206	+2	−2	122	135
1987	12	11	Chad	Gabon	1	1	UDE		3	1263	1417	+1	+1	122	85
1987	12	15	Chad	Equatorial Guinea	4	0	UDE		13	1276	1071	+4	−3	118	156
1987	12	18	Chad	Cameroon	0	1	UDE		-7	1269	1660	−2	+1	120	39
1988	11	30	Congo	Chad	2	1	UDE	CM	13	1417	1256	+3	−3	89	121
1988	12	02	Central African Republic	Chad	2	1	UDE	CM	22	1239	1234	+10	−5	124	126
1989	07	11	Chad	Congo	2	1	FPG	MA	31	1265	1409	+10	−7	118	90
1989	07	15	Madagascar	Chad	5	2	FPG	MA	20	1450	1245	+4	−4	79	122
1989	12	02	Central African Republic	Chad	1	1	UDE		-4	1214	1249	0	+1	134	121
1989	12	06	Cameroon	Chad	1	0	UDE	CF	3	1713	1246	0	−1	32	122
1989	12	08	Chad	Congo	2	1	UDE	CF	29	1275	1393	+7	−10	115	94
1989	12	11	Cameroon	Chad	0	0	UDE	CF	-17	1696	1292	0	+2	32	113
1989	12	12	Gabon	Chad	2	0	UDE	CF	19	1444	1273	+2	−2	81	115
1990	08	19	Tunisia	Chad	2	1	FQ		6	1480	1267	0	−1	70	120
1990	09	02	Chad	Egypt	0	0	FQ		14	1281	1654	+1	−1	119	38
1990	12	08	Congo	Chad	3	0	UDE		13	1447	1268	0	0	77	120
1990	12	12	Chad	Equatorial Guinea	1	0	UDE	CG	10	1278	1078	0	−2	120	163
1990	12	15	Cameroon	Chad	1	0	UDE	CG	4	1675	1274	0	−1	36	121
1990	12	17	Chad	Gabon	2	1	UDE	CG	28	1302	1393	+9	−9	112	90
1991	04	28	Chad	Tunisia	0	0	FQ		6	1308	1495	0	0	114	68
1991	07	12	Egypt	Chad	5	1	FQ		6	1652	1302	+1	0	40	117
1992	06	28	Eritrea	Chad	1	0	FT	SD	19	1228	1283	+3	−7	145	132
1992	06	30	Sudan	Chad	1	0	FT		9	1351	1274	+3	−2	113	134
1992	08	16	Chad	Guinea	0	3	FQ		-34	1240	1413	−9	+6	143	99
1992	08	30	Congo	Chad	2	0	FQ		9	1456	1231	+3	0	87	143
1992	10	04	Gabon	Chad	1	0	F		3	1443	1228	+1	−3	92	146
1997	09	21	Jordan	Chad	1	0	ARR	LY	6	1469	1222	+2	−3	83	147
1997	09	23	Libya	Chad	3	1	ARR		6	1447	1216	+2	−1	90	148
1997	09	25	Bahrain	Chad	1	1	ARR	LY	-5	1326	1221	0	+1	125	147
1998	08	02	Chad	Congo	1	1	FQ		8	1229	1461	+3	−3	144	88
1998	08	16	Congo	Chad	0	0	FQ		-15	1446	1244	−4	+4	92	140
1999	11	07	Chad	Central African Republic	1	1	UFC	GA	-2	1242	1205	−1	−1	146	151
1999	11	08	Central African Republic	Chad	4	1	UFC	GA	39	1244	1203	+6	−5	145	151
1999	11	10	Chad	Sao Tome and Principe	5	0	UFC	GA	21	1224	1006	+3	0	148	185
1999	11	11	Chad	Congo	2	0	UFC	GA	48	1272	1422	+10	−17	138	102
1999	11	13	Chad	Equatorial Guinea	1	0	UFC	GA	11	1283	1091	+2	−2	136	175
1999	11	14	Gabon	Chad	2	0	UFC		10	1479	1273	+3	−2	81	138
2000	04	09	Chad	Liberia	0	1	WQ		-19	1254	1415	−7	+5	143	102
2000	04	23	Liberia	Chad	0	0	WQ		-13	1402	1267	−5	+1	107	140
2000	07	02	Chad	Libya	3	1	FQ		38	1305	1425	+11	−14	130	98
2000	07	14	Libya	Chad	3	1	FQ		13	1438	1292	+4	−3	93	133
2002	07	26	Sudan	Chad	2	0	FT		11	1396	1281	+4	−2	108	135
2002	07	28	Chad	Ethiopia	3	2	FT	SD	20	1301	1385	+3	−7	132	112
2002	07	30	Uganda	Chad	2	0	FT	SD	22	1328	1279	+4	−5	126	137
2002	10	11	Algeria	Chad	4	1	FQ		10	1492	1269	+2	−1	80	138
2003	03	30	Chad	Namibia	2	0	FQ		14	1283	1155	+6	−3	134	161
2003	06	07	Namibia	Chad	2	1	FQ		22	1177	1261	+3	−7	158	141
2003	07	06	Chad	Algeria	0	0	FQ		8	1269	1490	+2	−2	140	77
2003	10	12	Chad	Angola	3	1	WQA		40	1309	1447	+8	−11	131	93
2003	11	16	Angola	Chad	2	0	WQA		12	1459	1297	+4	−2	89	131
2005	02	08	Chad	Equatorial Guinea	0	0	CMC	GA	-11	1286	1086	−1	+3	135	175
2005	02	10	Gabon	Chad	2	3	CMC		-32	1403	1318	−6	+9	102	126
2005	05	23	Sudan	Chad	4	1	F		10	1384	1308	+3	−3	105	128
2005	05	26	Sudan	Chad	1	1	F		-5	1379	1313	−1	+1	106	127
2006	03	06	Equatorial Guinea	Chad	1	1	CMC		5	1137	1308	0	−1	167	129
2006	03	08	Chad	Congo	0	0	CMC	GQ	2	1310	1344	0	−2	129	117
2006	03	14	Chad	Gabon	2	2	CMC	GQ	4	1314	1371	+2	−2	127	107
2006	09	03	Chad	Zambia	0	2	FQ		-20	1294	1552	−4	+4	129	72
2006	10	08	Congo	Chad	3	1	FQ		17	1372	1277	+5	−2	111	134
2007	02	22	Benin	Chad	0	1	F		-13	1260	1290	−2	+1	141	135
2007	03	06	Chad	Central African Republic	3	2	CMC		11	1301	1206	+5	−2	130	155
2007	03	11	Chad	Gabon	1	2	CMC		-21	1280	1398	−5	+4	135	103
2007	03	15	Chad	Central African Republic	1	0	CMC		10	1290	1177	0	−7	135	165
2007	03	24	Chad	South Africa	0	3	FQ		-28	1262	1493	−5	+6	140	85
2007	06	02	South Africa	Chad	4	0	FQ		10	1495	1252	+3	−1	85	142
2007	06	16	Zambia	Chad	1	1	FQ		-16	1543	1268	−4	+5	73	137
2007	09	09	Chad	Congo	1	1	FQ		3	1271	1415	0	−1	138	103
2008	06	07	Chad	Mali	1	2	WQ		-9	1262	1587	0	+5	139	60
2008	06	14	Chad	Congo	2	1	WQ		23	1285	1391	+7	−6	133	110
2008	06	22	Congo	Chad	2	0	WQ		14	1405	1271	+1	−5	108	137
2008	08	24	Libya	Chad	3	0	F		4	1534	1267	+2	0	76	139
2008	09	06	Chad	Sudan	2	1	WQ	EG	25	1292	1334	+9	−2	130	122
2008	09	10	Sudan	Chad	3	1	WQ	EG	26	1360	1266	+4	−10	118	140
2008	10	11	Mali	Chad	2	1	WQ		4	1534	1262	+2	0	79	138
2010	06	19	Niger	Chad	1	1	F		-3	1255	1265	−2	0	142	138
2010	07	01	Chad	Togo	2	2	FQ		4	1269	1438	+1	−2	137	103
2010	07	09	Botswana	Chad	1	0	FQ		11	1357	1258	+2	−2	119	139
2010	08	11	Chad	Tunisia	1	3	FQ		-13	1245	1598	−4	+6	143	59
2010	08	29	Ethiopia	Chad	1	0	F		6	1278	1239	0	0	136	143
2010	10	09	Malawi	Chad	6	2	FQ		15	1395	1224	+4	−2	111	148
2010	11	17	Togo	Chad	0	0	FQ		-13	1381	1237	−1	+2	114	146
2010	12	28	Algeria	Chad	3	1	F		4	1461	1233	+1	−1	98	148
2011	02	08	Equatorial Guinea	Chad	2	0	F		12	1208	1221	+1	−2	155	150
2011	03	26	Chad	Botswana	0	1	FQ		-14	1207	1437	−5	+4	155	103
2011	06	05	Tunisia	Chad	5	0	FQ		5	1574	1202	+3	−2	62	157
2011	10	08	Chad	Malawi	2	2	FQ		7	1209	1413	+2	−1	153	104
2011	11	11	Chad	Tanzania	1	2	WQ		-19	1190	1349	−4	+7	157	120
2011	11	15	Tanzania	Chad	0	1	WQ		-33	1316	1223	−10	+11	130	146
2012	02	29	Chad	Malawi	3	2	FQ		24	1247	1378	+3	−4	146	112
2012	03	31	Egypt	Chad	4	0	F	SD	2	1722	1245	0	−1	35	146
2012	05	27	Libya	Chad	1	0	F	TN	4	1507	1241	+3	0	85	147
2012	05	30	Chad	Rwanda	1	1	F	TN	5	1246	1434	+1	−1	146	101
2012	06	16	Malawi	Chad	2	0	FQ		12	1402	1234	+3	−2	107	148
2014	04	15	Chad	Yemen	0	0	F	QA	-2	1232	1158	−1	0	149	167
2014	05	17	Malawi	Chad	2	0	FQ		15	1331	1217	+3	−3	126	152
2014	05	31	Chad	Malawi	3	1	FQ		31	1248	1294	+11	−6	143	133
2015	06	06	Chad	Guinea	2	1	F	FR	17	1265	1536	0	−4	142	71
2015	06	13	Nigeria	Chad	2	0	FQ		3	1663	1262	0	0	47	139
2015	09	06	Chad	Egypt	1	5	FQ		-15	1247	1624	−4	+2	144	55
2015	10	10	Chad	Sierra Leone	1	0	WQ		19	1266	1317	+6	−2	141	129
2015	10	13	Sierra Leone	Chad	2	1	WQ	NG	17	1334	1249	+3	−4	127	144
2015	11	14	Chad	Egypt	1	0	WQ		34	1283	1603	+7	−9	136	58
2015	11	17	Egypt	Chad	4	0	WQ		6	1609	1277	+2	−1	56	137
2016	03	23	Chad	Tanzania	0	1	FQ		-24	1253	1338	−6	+7	144	124
2019	09	05	Chad	Sudan	1	3	WQ		-40	1213	1272	−9	+7	156	143
