year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1913	02	04	Philippines	China	2	1	FEG		34	1234	1566	−	−	27	18
1915	05	17	China	Philippines	1	0	FEG		3	1569	1231	+1	0	19	28
1915	05	18	China	Philippines	0	0	FEG		-17	1552	1248	−1	0	20	28
1915	05	20	China	Philippines	1	1	FEG		-16	1536	1264	0	0	20	28
1915	05	00	China	Philippines	3	1	FT		5	1541	1259	0	0	20	28
1917	05	09	Japan	China	0	5	FEG		-25	1275	1566	−	+1	30	20
1917	05	11	China	Philippines	3	0	FEG	JP	15	1581	1323	0	0	20	29
1919	05	12	Philippines	China	0	2	FEG		-17	1306	1598	0	+1	30	20
1919	05	13	Philippines	China	2	1	FEG		30	1336	1568	0	−1	30	21
1919	05	15	Philippines	China	1	2	FEG		-13	1323	1581	0	0	30	21
1921	05	31	China	Philippines	1	0	FEG		5	1586	1337	+1	0	23	35
1921	06	01	China	Japan	4	0	FEG		4	1590	1173	0	0	23	37
1921	06	03	China	Japan	3	0	OIC		3	1593	1170	0	0	23	37
1923	05	22	China	Philippines	3	0	FEG	JP	13	1606	1324	0	0	29	47
1923	05	24	Japan	China	1	5	FEG		-9	1144	1615	0	+3	49	26
1923	08	18	Australia	China	5	1	F		18	1546	1597	0	−3	35	28
1923	08	25	Australia	China	4	3	F		9	1555	1588	0	0	35	28
1923	09	15	Australia	China	5	0	F		16	1571	1572	0	−5	35	33
1923	09	22	Australia	China	1	3	F		-19	1552	1591	0	+5	35	28
1923	09	29	Australia	China	2	0	F		12	1564	1579	0	−3	35	31
1923	10	06	Australia	China	2	2	F		-2	1562	1581	0	0	35	30
1925	05	20	China	Japan	2	0	FEG	PH	4	1585	1129	0	0	29	56
1925	05	22	Philippines	China	1	5	FEG		-24	1328	1609	0	+3	51	26
1927	07	09	Australia	China	6	1	F		19	1547	1590	0	−3	38	29
1927	07	16	Australia	China	7	4	F		15	1562	1575	+1	−1	37	30
1927	07	23	Australia	China	1	1	F		-2	1560	1577	+1	+1	36	29
1927	08	27	China	Japan	5	1	FEG		3	1580	1126	0	0	29	59
1927	08	31	China	Philippines	3	1	FEG		6	1586	1292	0	0	29	54
1930	05	27	China	Philippines	5	0	FEG	JP	10	1596	1238	+1	0	30	63
1930	05	30	Japan	China	3	3	FEG		14	1214	1582	0	−2	64	32
1934	05	12	Philippines	China	0	2	FEG		-12	1226	1594	0	+3	75	36
1934	05	14	China	Dutch East Indies	2	0	FEG	PH	24	1618	1498	+3	−3	33	48
1934	05	20	China	Japan	4	3	FEG	PH	4	1622	1224	+1	0	32	76
1936	07	04	India	China	1	1	F		-4	1657	1626	−2	+1	27	32
1948	04	24	Hong Kong	China	3	1	F		20	1429	1606	+3	−1	65	37
1948	04	25	Hong Kong	China	3	7	F		-15	1414	1621	−3	+1	68	36
1948	05	05	Philippines	China	0	4	F		-5	1206	1626	0	0	96	36
1948	05	16	South Vietnam	China	3	3	F		4	1401	1622	0	0	70	36
1948	05	18	South Vietnam	China	1	3	F		-10	1391	1632	−3	0	73	36
1948	05	22	Singapore	China	1	0	F		16	1316	1616	−	−1	81	37
1948	07	07	Singapore	China	3	4	F		-5	1321	1621	0	+1	81	36
1948	08	02	Turkey	China	4	0	OG	EN	88	1483	1533	+14	−16	57	51
1948	08	20	Thailand	China	1	6	F		-8	1192	1541	−	0	100	51
1952	08	04	Finland	China	4	0	F		19	1451	1522	+3	−5	66	53
1956	06	17	India	China	0	1	F		-13	1515	1535	−3	+4	64	60
1956	06	25	Burma	China	2	3	F		-6	1268	1541	−1	+3	112	57
1956	07	23	Lithuania	China	0	1	F		-4	1211	1545	−	0	−	56
1956	07	27	Belorussia	China	1	1	F		1	1401	1544	−	0	−	56
1956	08	05	Russia	China	1	0	F		2	1804	1542	0	0	15	56
1956	08	09	Yugoslavia	China	4	0	F		2	1959	1540	0	0	5	56
1956	08	12	Bosnia and Herzegovina	China	6	1	F		11	1611	1529	−	−5	−	61
1956	08	19	Slovenia	China	5	2	F		11	1585	1518	−	−2	−	63
1956	10	04	China	North Vietnam	5	3	FT		6	1524	1294	+2	−	61	105
1956	10	07	China	North Korea	0	1	FT		-12	1512	1712	−6	−	66	22
1956	11	00	Albania	China	4	1	F		10	1578	1502	+1	0	49	66
1956	11	02	Albania	China	5	1	F		10	1588	1492	+1	−1	48	67
1957	05	12	Indonesia	China	2	0	WQ		23	1502	1469	+5	−8	63	72
1957	06	02	China	Indonesia	4	3	WQ		16	1485	1486	+5	−2	67	66
1957	06	23	China	Indonesia	0	0	WQ	BU	0	1485	1486	0	0	67	66
1957	06	27	Burma	China	2	1	F		13	1278	1472	+3	−4	110	71
1957	07	21	China	Sudan	4	1	F		20	1492	1610	+6	−2	65	44
1957	09	15	China	Albania	3	2	F		10	1502	1578	+2	−1	65	48
1959	07	10	Romania	China	2	1	F		4	1663	1498	+3	−1	36	70
1959	07	15	Moldavia	China	2	0	F		11	1511	1487	−	−2	−	72
1959	07	18	Russia	China	0	1	F		-19	1909	1506	−3	+5	8	67
1959	07	25	Belorussia	China	1	1	F		0	1401	1506	−	0	−	67
1959	10	03	China	Soviet Union	0	1	FT		-4	1502	1951	−2	0	69	4
1959	10	25	North Korea	China	1	0	FT		4	1722	1498	+2	−2	26	70
1959	10	28	China	North Vietnam	2	0	FT	KP	9	1507	1236	+6	−3	64	121
1960	10	04	China	North Korea	1	0	FT	NV	23	1530	1699	+6	−4	61	31
1960	10	07	China	Mongolia	6	1	FT	NV	2	1532	895	+2	0	59	147
1960	10	11	North Vietnam	China	3	4	FT		-7	1224	1539	0	+2	122	57
1963	01	14	Burma	China	0	3	F		-8	1227	1547	−1	+2	126	58
1963	01	20	Burma	China	2	1	F		16	1243	1531	+3	−4	123	62
1963	01	26	Pakistan	China	0	0	F		2	1376	1529	0	−1	99	63
1963	01	30	Pakistan	China	3	2	F		12	1388	1517	+2	−3	97	67
1963	02	03	Pakistan	China	1	1	F		1	1389	1516	+2	0	95	67
1963	02	06	Pakistan	China	0	2	F		-14	1375	1530	−4	+5	99	62
1963	04	25	China	North Vietnam	1	0	FT	ID	4	1534	1220	+1	−1	63	128
1963	04	27	China	Cambodia	6	0	FT	ID	4	1538	1049	+1	0	62	144
1963	04	30	Egypt	China	2	0	FT	ID	14	1693	1524	+2	−4	31	66
1963	05	03	Indonesia	China	1	2	F		-12	1465	1536	−1	+4	78	62
1963	08	17	China	Indonesia	3	0	F		10	1546	1455	+1	0	60	78
1963	09	04	China	Burma	4	0	F		3	1549	1240	0	−1	60	122
1963	11	12	China	Mali	3	1	GNF	ID	26	1575	1572	+8	−3	52	53
1963	11	16	Indonesia	China	1	1	GNF		0	1471	1575	0	0	77	52
1964	10	03	China	Pakistan	0	2	F		-25	1550	1408	−7	+11	58	90
1965	08	02	China	Indonesia	3	0	GNF	KP	20	1570	1445	+3	−5	55	82
1965	08	04	North Korea	China	3	0	GNF		10	1731	1560	0	0	27	55
1965	08	06	China	Cambodia	3	1	GNF	KP	2	1562	1051	0	0	55	148
1965	08	08	China	North Vietnam	3	3	GNF	KP	-11	1551	1262	−3	0	58	121
1965	08	09	China	Guinea	2	0	GNF	KP	26	1577	1585	+5	−4	53	52
1966	03	25	Guinea	China	2	2	F		-3	1588	1580	0	+1	48	50
1966	03	30	Guinea	China	3	1	F		10	1598	1570	0	−2	48	52
1966	06	28	China	Tanzania	10	4	F		4	1574	1283	+1	−2	52	120
1966	07	23	China	Syria	6	0	F		8	1582	1416	+3	−3	49	93
1966	08	28	China	Mali	4	0	F		15	1597	1598	+1	−1	48	45
1966	11	26	China	Palestine	7	0	GNF	KH	8	1605	1241	+4	−2	43	129
1966	11	27	Cambodia	China	0	4	GNF		-4	1052	1609	−1	0	154	43
1966	11	30	China	North Vietnam	2	0	GNF	KH	6	1615	1277	0	−4	43	122
1966	12	03	North Korea	China	2	1	GNF	KH	8	1786	1607	+1	−1	19	44
1966	12	05	China	North Yemen	6	0	GNF	KH	1	1608	855	0	0	44	167
1971	05	21	China	Cuba	1	0	F		2	1610	1345	0	−1	47	105
1971	12	09	Tanzania	China	1	1	F		6	1289	1604	+4	−1	114	49
1971	12	12	Tanzania	China	3	4	F		-4	1285	1608	−2	0	116	49
1971	12	15	Zanzibar	China	4	4	F		9	1004	1599	+1	−1	161	50
1971	12	18	Zanzibar	China	3	5	F		-2	1002	1601	0	+1	161	49
1972	01	01	Zambia	China	3	3	F		1	1479	1600	+1	−1	69	50
1972	01	18	Somalia	China	1	3	F		-4	1169	1604	0	+1	140	49
1972	01	20	South Yemen	China	2	4	F		-6	1246	1610	−1	+1	128	48
1972	05	16	South Yemen	China	1	6	F		-7	1239	1617	0	+2	128	46
1972	05	27	South Yemen	China	2	5	F		-6	1233	1623	−1	+2	129	45
1972	09	03	Sri Lanka	China	2	3	F		-1	917	1624	0	0	166	44
1972	09	12	Sri Lanka	China	0	1	F		-1	916	1625	0	0	166	44
1972	10	13	China	Nepal	6	2	F		0	1625	900	0	−	44	170
1972	11	24	Guinea	China	1	1	F		-3	1634	1628	−2	0	43	44
1972	11	29	Senegal	China	0	0	F		-1	1577	1629	0	0	52	44
1973	06	10	China	Pakistan	7	4	F		3	1632	1282	+1	−2	41	123
1973	06	17	China	Somalia	7	4	F		2	1634	1206	0	0	41	133
1973	08	03	China	Guinea	5	2	F		14	1648	1652	+1	−2	39	37
1973	11	07	Albania	China	1	1	F		3	1455	1645	0	−1	75	40
1974	00	00	Kuwait	China	2	1	F		13	1457	1632	+10	−1	75	40
1974	05	05	China	Sierra Leone	4	1	F		5	1637	1430	0	−3	39	86
1974	07	10	China	South Yemen	6	5	F		1	1638	1208	0	0	38	133
1974	08	11	China	Senegal	5	2	F		8	1646	1518	+1	−1	38	62
1974	09	02	North Korea	China	2	0	ASG	IR	34	1633	1612	+8	−7	38	45
1974	09	04	China	India	7	1	ASG	IR	15	1627	1333	+5	−3	40	110
1974	09	06	Iraq	China	1	0	ASG	IR	23	1601	1604	+5	−5	46	45
1974	11	03	Singapore	China	1	1	F		8	1106	1596	+1	0	151	45
1974	11	13	Thailand	China	2	3	F		-4	1231	1600	0	0	131	45
1974	11	15	Thailand	China	0	2	F		-5	1226	1605	0	0	131	45
1974	12	08	Ethiopia	China	3	0	F		23	1420	1582	+3	−1	90	47
1975	05	02	China	Singapore	1	0	F		1	1583	1122	0	0	48	144
1975	05	23	China	Equatorial Guinea	6	2	F		1	1584	1093	+1	0	48	153
1975	06	15	China	North Korea	1	0	SQ	HK	21	1605	1587	+3	−3	45	47
1975	06	17	China	Brunei	10	1	SQ	HK	1	1606	867	+1	0	44	174
1975	06	21	Hong Kong	China	0	1	SQ		-13	1360	1619	−5	+1	104	43
1975	06	23	China	Japan	2	1	SQ	HK	12	1631	1452	+1	−2	42	79
1975	06	26	North Korea	China	2	0	SQ	HK	33	1629	1598	+5	−5	41	46
1975	07	03	China	Thailand	2	2	F		-8	1590	1307	0	+1	46	116
1975	07	20	New Zealand	China	2	1	F		11	1451	1579	+5	−3	80	49
