year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1938	02	10	Mexico	Colombia	3	1	CAC	PA	6	1795	1394	0	−	14	60
1938	02	14	Panama	Colombia	2	4	CAC		-32	1282	1426	−9	+1	78	59
1938	02	18	Costa Rica	Colombia	2	1	CAC	PA	3	1846	1423	0	0	13	59
1938	02	21	Colombia	El Salvador	3	2	CAC	PA	21	1444	1412	+3	−2	56	59
1938	02	23	Venezuela	Colombia	2	1	CAC	PA	29	1299	1415	+6	−3	74	59
1938	08	08	Colombia	Peru	2	4	BG		-24	1391	1612	0	+3	60	39
1938	08	10	Colombia	Ecuador	1	2	BG		-30	1361	1327	−3	+7	63	69
1938	08	13	Colombia	Venezuela	2	0	BG		15	1376	1250	0	−1	63	84
1938	08	16	Colombia	Bolivia	1	2	BG		-31	1345	1304	−3	+6	66	75
1945	01	21	Brazil	Colombia	3	0	SA	CL	3	1913	1342	0	−2	8	74
1945	01	28	Uruguay	Colombia	7	0	SA	CL	3	1948	1339	0	−1	5	75
1945	01	31	Chile	Colombia	2	0	SA		8	1616	1331	0	0	42	75
1945	02	07	Argentina	Colombia	9	1	SA	CL	1	2091	1330	0	0	1	75
1945	02	18	Colombia	Ecuador	3	1	SA	CL	28	1358	1212	+7	−2	68	92
1945	02	21	Bolivia	Colombia	3	3	SA	CL	4	1309	1354	+1	−2	78	70
1946	12	09	Colombia	Curaçao	4	2	CAC		39	1393	1525	+4	−4	66	50
1946	12	12	Colombia	Venezuela	2	0	CAC		14	1407	1274	+2	−2	64	86
1946	12	15	Colombia	Guatemala	4	2	CAC		29	1436	1468	+2	−2	62	57
1946	12	17	Colombia	Puerto Rico	4	1	CAC		2	1438	884	0	0	62	100
1946	12	18	Colombia	Costa Rica	4	1	CAC		49	1487	1633	+7	−13	55	37
1946	12	20	Colombia	Panama	2	1	CAC		8	1495	1336	0	−2	55	74
1947	12	02	Uruguay	Colombia	2	0	SA	EC	10	1831	1485	0	0	14	54
1947	12	04	Ecuador	Colombia	0	0	SA		12	1220	1473	+1	−4	93	58
1947	12	13	Bolivia	Colombia	0	0	SA	EC	12	1296	1461	+3	0	85	59
1947	12	18	Argentina	Colombia	6	0	SA	EC	3	2082	1458	0	0	1	59
1947	12	20	Paraguay	Colombia	2	0	SA	EC	9	1819	1449	0	−2	15	61
1947	12	23	Peru	Colombia	5	1	SA	EC	25	1651	1424	+2	−3	33	64
1947	12	27	Chile	Colombia	4	1	SA	EC	16	1699	1408	+2	−2	24	66
1949	04	06	Paraguay	Colombia	3	0	SA	BR	7	1848	1401	0	0	11	69
1949	04	10	Peru	Colombia	4	0	SA	BR	18	1664	1383	+4	−4	29	73
1949	04	17	Brazil	Colombia	5	0	SA		2	1959	1381	0	−1	5	74
1949	04	20	Chile	Colombia	1	1	SA	BR	-16	1640	1397	−2	+5	33	69
1949	04	25	Colombia	Uruguay	2	2	SA	BR	22	1419	1828	+3	−2	66	12
1949	05	03	Ecuador	Colombia	4	1	SA	BR	70	1253	1349	+5	−11	95	78
1949	05	06	Bolivia	Colombia	4	0	SA	BR	44	1412	1305	+7	−6	68	84
1957	03	13	Argentina	Colombia	8	2	SA	PE	1	2097	1304	0	0	2	102
1957	03	17	Colombia	Uruguay	1	0	SA	PE	49	1353	1887	+7	−2	95	7
1957	03	21	Chile	Colombia	3	2	SA	PE	5	1746	1348	0	−1	19	96
1957	03	24	Brazil	Colombia	9	0	SA	PE	2	2042	1346	0	−1	3	97
1957	03	27	Peru	Colombia	4	1	SA		5	1721	1341	+1	0	20	97
1957	04	01	Colombia	Ecuador	4	1	SA	PE	35	1376	1239	+5	−7	92	119
1957	06	16	Colombia	Uruguay	1	1	WQ		18	1394	1948	+4	0	88	5
1957	06	20	Colombia	Paraguay	2	3	WQ		-9	1385	1714	−3	+1	91	23
