year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1954	00	00	French Congo	Cameroon	5	1	F		8	1608	1476	−	−7	40	67
1960	02	00	Ivory Coast	Congo-Brazzaville	4	2	F		9	1670	1599	0	−1	37	45
1960	04	14	Congo-Brazzaville	Reunion	4	1	JCM	MG	4	1603	1103	0	−2	45	136
1960	04	15	Congo-Brazzaville	Ivory Coast	3	2	JCM	MG	24	1627	1657	+3	−1	42	37
1960	04	17	Cameroon	Congo-Brazzaville	5	4	JCM	MG	27	1522	1600	+11	−2	60	44
1960	04	18	Madagascar	Congo-Brazzaville	8	1	JCM		62	1423	1538	+15	−12	87	56
1961	07	12	Congo-Brazzaville	Northern Rhodesia	3	1	ETF	CJ	24	1562	1539	+5	−4	53	57
1961	11	28	Congo-Brazzaville	Cameroon	5	1	F		12	1574	1515	+3	−1	50	62
1961	12	26	Congo-Brazzaville	Chad	4	2	JAM	CI	10	1584	1279	+2	−2	48	117
1961	12	27	Congo-Brazzaville	Niger	10	0	JAM	CI	6	1590	1101	+2	−1	46	140
1962	07	14	Gabon	Congo-Brazzaville	3	1	TRP		31	1376	1559	+6	−6	99	52
1962	09	16	Congo-Brazzaville	Gabon	3	1	TRP		7	1566	1370	0	−1	53	102
1962	12	24	Congo-Brazzaville	Madagascar	6	1	TRP	CF	17	1583	1387	+4	−6	50	98
1962	12	27	Congo-Brazzaville	Cameroon	3	0	TRP	CF	22	1605	1502	+3	−5	47	70
1963	04	12	Congo-Brazzaville	Ivory Coast	3	2	JAM	SN	23	1628	1639	+3	−4	43	41
1963	04	13	Congo-Brazzaville	Congo-Leopoldville	2	1	JAM	SN	17	1645	1558	+5	−6	38	57
1963	04	14	Tunisia	Congo-Brazzaville	2	0	JAM	SN	37	1602	1608	+8	−6	48	44
1963	04	16	Congo-Brazzaville	Mauritania	7	0	JAM	SN	2	1610	980	0	0	45	148
1964	02	02	Cameroon	Congo-Brazzaville	7	1	F		25	1480	1585	+6	−2	74	48
1964	02	24	Congo-Leopoldville	Congo-Brazzaville	0	0	F		-2	1563	1587	0	+1	54	47
1964	03	29	Congo-Brazzaville	Senegal	3	1	F		10	1597	1565	0	−3	47	52
1964	07	13	Congo-Brazzaville	Chad	4	1	TRP	CM	6	1603	1221	+2	0	46	125
1964	07	14	Congo-Brazzaville	Gabon	2	1	TRP	CM	8	1611	1405	+1	−3	45	92
1964	07	17	Cameroon	Congo-Brazzaville	3	1	TRP		25	1497	1586	+4	−6	71	51
1964	08	15	Congo-Brazzaville	Mali	1	0	F		7	1593	1553	+1	−2	49	58
1965	02	01	DR Congo	Congo	3	0	F		14	1587	1579	+4	−3	47	49
1965	02	14	Congo	Cameroon	4	4	F		-4	1575	1525	−1	+2	50	64
1965	03	28	Congo	Chad	11	0	F		4	1579	1217	+2	−1	50	129
1965	05	03	Mali	Congo	1	1	F		-1	1524	1580	0	0	63	52
1965	06	20	Congo	Guinea	1	2	F		-11	1569	1639	−1	+1	53	39
1965	06	27	Congo	Dahomey	6	1	F		11	1580	1482	+1	−2	52	74
1965	07	19	Congo	Uganda	2	1	AFG		6	1586	1372	0	−3	52	101
1965	07	20	Congo	Togo	7	2	AFG		28	1614	1555	+5	−4	47	57
1965	07	21	Congo	Mali	1	2	AFG		-30	1584	1557	−5	+8	52	56
1965	07	23	Congo	Ivory Coast	1	0	AFG		20	1604	1670	+3	−2	49	35
1965	07	25	Congo	Mali	0	0	AFG		-6	1598	1593	−1	+1	50	51
1965	10	03	Guinea	Congo	1	2	F		-12	1573	1610	−1	+1	52	47
1965	10	17	Congo	Ghana	1	2	F		-10	1600	1714	−1	+1	47	27
1965	10	24	Ghana	Congo	5	0	F		9	1723	1591	0	−3	27	50
1965	11	23	Congo	Ivory Coast	0	1	F		-10	1581	1712	0	+1	50	29
1965	12	25	DR Congo	Congo	2	1	FT		10	1602	1571	+2	−2	47	52
1966	07	01	Ghana	Congo	3	0	IND	CD	8	1868	1563	+1	−2	11	54
1966	07	03	DR Congo	Congo	4	1	IND		18	1587	1545	+4	−1	48	55
1966	07	31	Congo	Cameroon	3	2	F		6	1551	1509	0	0	55	65
1967	01	22	DR Congo	Congo	4	1	F		10	1620	1541	+2	−4	42	57
1967	01	31	Niger	Congo	1	3	F		-4	1122	1545	0	+2	146	56
1967	02	03	Mali	Congo	1	0	F		7	1557	1538	+1	−3	52	59
1967	02	19	Tunisia	Congo	1	1	FQ		-9	1594	1547	−1	+4	46	54
1967	02	26	Cameroon	Congo	1	1	FQ		-5	1532	1552	−2	+1	61	53
1967	03	05	Dahomey	Congo	1	1	F		0	1450	1552	+2	0	84	53
1967	03	19	Congo	Ghana	3	1	F		22	1574	1807	+2	−3	51	16
1967	04	19	Congo	DR Congo	3	1	F		14	1588	1630	+2	0	49	40
1967	05	17	Congo	Tanzania	6	1	F		2	1590	1208	0	0	48	133
1967	05	21	Congo	Cameroon	2	1	FQ		12	1602	1524	+3	−2	45	63
1967	12	03	Mali	Congo	1	1	F		-1	1549	1603	0	0	58	50
1967	12	10	Senegal	Congo	1	0	F		7	1599	1596	+3	−1	49	51
1968	01	12	DR Congo	Congo	3	0	AR	ET	35	1701	1561	+8	−6	30	58
1968	01	14	Senegal	Congo	2	1	AR	ET	22	1631	1539	+4	−6	40	64
1968	01	16	Ghana	Congo	3	1	AR	ET	17	1773	1522	+2	0	19	64
1968	06	16	Congo	Romania	4	2	F		21	1543	1749	+2	−4	63	22
1968	12	22	Ivory Coast	Congo	0	0	F		-7	1720	1550	0	0	27	62
1969	01	22	Congo	Senegal	1	0	F		9	1559	1604	+3	−2	60	48
1969	02	03	Congo	Gabon	2	0	F		6	1565	1397	+2	−1	57	96
1969	03	06	Congo	Uganda	0	0	F		-7	1558	1384	−2	+3	59	96
1969	07	20	Congo	Tunisia	4	1	F		15	1573	1587	+4	−2	55	50
1969	08	15	Congo	Ivory Coast	1	1	F		1	1574	1719	0	0	54	28
