year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1971	09	11	Papua New Guinea	Cook Islands	16	1	SPG	TI	11	1130	689	+2	−	145	175
1971	09	13	Tahiti	Cook Islands	30	0	SPG		1	1451	688	0	−1	76	176
1971	09	15	Fiji	Cook Islands	15	1	SPG	TI	9	1131	679	+2	0	145	176
1995	08	14	New Caledonia	Cook Islands	12	0	F	TI	2	1218	677	0	0	149	213
1995	08	16	New Caledonia	Cook Islands	9	0	SPG	TI	4	1222	673	0	+1	149	212
1995	08	19	Cook Islands	Wallis and Futuna	2	1	SPG	TI	23	696	705	+2	0	210	209
1995	08	21	Solomon Islands	Cook Islands	16	0	SPG	TI	4	1298	692	+2	0	130	210
1995	08	22	Tahiti	Cook Islands	11	0	SPG		0	1544	692	0	0	69	210
1996	11	11	Tonga	Cook Islands	2	0	WQ		23	703	669	+3	−2	209	212
1996	11	13	Western Samoa	Cook Islands	2	1	WQ	TO	23	639	646	0	−2	215	214
1998	09	02	Cook Islands	Samoa	2	1	OCP		13	659	615	0	0	216	218
1998	09	03	Cook Islands	Eastern Samoa	4	3	OCP		8	667	508	+1	0	215	222
1998	09	05	Cook Islands	Tonga	2	2	OCP		-2	665	727	0	0	215	209
1998	09	08	Cook Islands	Tahiti	0	5	OCP		-2	663	1439	−1	0	216	95
1998	09	28	Australia	Cook Islands	16	0	OC		0	1785	663	0	0	21	216
1998	09	30	Fiji	Cook Islands	3	0	OC	AU	1	1400	662	0	−1	104	217
2000	06	08	Cook Islands	Tonga	2	1	OCP	TI	19	681	630	0	−1	216	219
2000	06	10	Cook Islands	Eastern Samoa	3	0	OCP	TI	17	698	467	+1	0	215	227
2000	06	12	Tahiti	Cook Islands	2	0	OCP		1	1378	697	0	0	113	215
2000	06	14	Cook Islands	Samoa	3	2	OCP	TI	22	719	708	+3	−3	212	214
2000	06	19	Australia	Cook Islands	17	0	OC	TI	0	1747	719	−1	0	27	212
2000	06	21	Solomon Islands	Cook Islands	5	1	OC	TI	3	1308	716	0	0	129	212
2001	06	04	Solomon Islands	Cook Islands	9	1	WQ	NZ	3	1303	713	+1	0	129	211
2001	06	06	Vanuatu	Cook Islands	8	1	WQ	NZ	8	1121	705	+1	−1	169	212
2001	06	08	New Zealand	Cook Islands	2	0	WQ		0	1511	705	0	0	70	212
2001	06	11	Tahiti	Cook Islands	6	0	WQ	NZ	3	1310	702	0	0	129	212
2004	05	05	Cook Islands	Samoa	0	0	F	NZ	0	702	702	0	0	215	215
2004	05	10	Tahiti	Cook Islands	2	0	WOQ	SB	2	1283	700	+1	−1	133	216
2004	05	12	Solomon Islands	Cook Islands	5	0	WOQ		2	1270	698	+1	−1	139	217
2004	05	15	Tonga	Cook Islands	2	1	WOQ	SB	20	723	678	+3	−3	212	220
2004	05	17	New Caledonia	Cook Islands	8	0	WOQ	SB	5	1176	673	+1	−1	157	221
2007	08	27	Fiji	Cook Islands	4	0	WOS	WS	2	1322	671	0	−1	127	220
2007	08	29	New Caledonia	Cook Islands	3	0	WOS	WS	3	1207	668	+1	−1	154	221
2007	09	01	Cook Islands	Tuvalu	4	1	OQG	WS	44	712	720	+6	−1	215	213
2007	09	03	Tahiti	Cook Islands	1	0	WOS	WS	2	1189	710	0	0	159	215
2009	06	11	Tonga	Cook Islands	1	1	F		-3	701	713	0	0	215	213
2009	06	13	Tonga	Cook Islands	1	2	F		-12	689	725	−3	+1	218	212
2011	08	27	Papua New Guinea	Cook Islands	4	0	PG	NC	11	1051	714	+2	0	181	214
2011	08	30	Tahiti	Cook Islands	7	0	PG	NC	7	1154	707	0	0	166	214
2011	09	01	Cook Islands	Kiribati	3	0	PG	NC	23	730	555	0	−4	214	231
2011	09	03	Fiji	Cook Islands	4	1	PG	NC	2	1336	728	0	0	126	214
2011	11	22	Samoa	Cook Islands	3	2	WOQ		17	698	711	+3	−1	217	213
2011	11	24	Cook Islands	Eastern Samoa	1	1	WOQ	WS	-15	696	384	−3	0	216	238
2011	11	26	Tonga	Cook Islands	2	1	WOQ	WS	22	684	674	+2	−4	219	220
2015	08	31	Tonga	Cook Islands	0	3	WOQ		-46	637	720	−6	+8	228	218
2015	09	02	Cook Islands	Samoa	1	0	WOQ	TO	18	738	666	+3	−3	215	226
2015	09	04	Eastern Samoa	Cook Islands	2	0	WOQ	TO	52	462	686	+1	−7	241	222
2022	03	17	Solomon Islands	Cook Islands	2	0	WQ	QA	4	1161	682	+1	−1	166	222
2023	08	28	Tahiti	Cook Islands	9	1	F		2	1147	680	0	0	167	221
2023	08	31	Tahiti	Cook Islands	3	0	F		1	1148	679	0	−1	167	222
2023	11	21	Cook Islands	Tonga	2	1	PG	SB	12	691	513	+1	0	221	238
2023	11	24	New Caledonia	Cook Islands	8	0	PG	SB	5	1205	686	+1	−1	160	222
2024	03	23	Samoa	Cook Islands	1	0	OCQ	TO	18	744	668	0	−2	215	224
2024	03	26	Tonga	Cook Islands	0	1	OCQ		-16	480	684	−1	+2	239	222
2024	09	06	Tonga	Cook Islands	3	1	WQ	WS	46	526	638	+1	−9	238	230
2024	09	09	Eastern Samoa	Cook Islands	2	1	F	WS	16	388	622	0	−3	243	232
