year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1940	04	02	Croatia	Switzerland	4	0	F		8	1908	1775	−	−1	7	16
1940	04	21	Switzerland	Croatia	0	1	F		-9	1766	1917	0	0	16	7
1940	05	02	Hungary	Croatia	1	0	F		8	1889	1909	0	0	8	7
1940	12	08	Croatia	Hungary	1	1	F		-4	1905	1886	0	0	7	9
1941	06	15	Germany	Croatia	5	1	F		17	1861	1888	+2	0	11	8
1941	09	08	Slovakia	Croatia	1	1	F		2	1712	1886	+1	0	18	8
1941	09	28	Croatia	Slovakia	5	2	F		6	1892	1706	0	−1	8	19
1942	01	18	Croatia	Germany	0	2	F		-21	1871	1869	−1	+2	9	11
1942	04	05	Italy	Croatia	4	0	F		6	2076	1865	0	−2	2	11
1942	04	12	Croatia	Bulgaria	6	0	F		3	1868	1483	0	0	11	56
1942	06	07	Slovakia	Croatia	1	2	F		-8	1679	1876	−1	+3	24	8
1942	06	14	Hungary	Croatia	1	1	F		-2	1847	1878	0	0	13	8
1942	09	06	Croatia	Slovakia	6	1	F		6	1884	1677	0	0	9	25
1942	10	11	Romania	Croatia	2	2	F		6	1553	1878	+2	0	47	8
1942	11	01	Germany	Croatia	5	1	F		13	1897	1865	0	−2	8	11
1943	04	04	Switzerland	Croatia	1	0	F		10	1766	1855	0	−1	16	12
1943	04	10	Croatia	Slovakia	1	0	F		3	1858	1662	+1	−2	11	30
1943	06	06	Slovakia	Croatia	1	3	F		-11	1651	1869	−5	0	35	12
1944	04	09	Croatia	Slovakia	7	3	F		5	1874	1646	+2	0	9	36
1956	09	12	Croatia	Indonesia	5	2	F		2	1876	1477	−	0	−	69
1990	10	17	Croatia	United States	2	1	F		2	1878	1573	−	−1	12	53
1990	12	22	Croatia	Romania	2	0	F		9	1887	1813	+4	−1	9	19
1991	06	19	Slovenia	Croatia	0	1	F		-5	1598	1892	−	+2	−	10
1992	07	05	Australia	Croatia	1	0	F		13	1714	1879	0	0	32	10
1992	07	08	Australia	Croatia	3	1	F		18	1732	1861	+3	−3	29	13
1992	07	12	Australia	Croatia	0	0	F		1	1733	1860	0	0	29	13
1992	10	22	Croatia	Mexico	3	0	F		10	1870	1796	+1	−1	13	21
1993	06	25	Croatia	Ukraine	3	1	F		4	1874	1621	+2	−2	11	46
1994	03	23	Spain	Croatia	0	2	F		-20	1881	1894	−3	+3	13	10
1994	04	20	Slovakia	Croatia	4	1	F		24	1675	1870	+4	−4	37	14
1994	05	18	Hungary	Croatia	2	2	F		4	1624	1866	+2	0	50	14
1994	06	04	Croatia	Argentina	0	0	F		-2	1864	1915	−1	0	16	9
1994	08	17	Israel	Croatia	0	4	F		-9	1562	1873	−1	+1	64	13
1994	09	04	Estonia	Croatia	0	2	EQ		-2	1152	1875	0	0	163	13
1994	10	09	Croatia	Lithuania	2	0	EQ		2	1877	1422	0	−2	13	97
1994	11	16	Italy	Croatia	1	2	EQ		-32	1984	1909	−1	+4	3	9
1995	03	25	Croatia	Ukraine	4	0	EQ		6	1915	1569	0	−2	10	63
1995	03	29	Lithuania	Croatia	0	0	EQ		16	1468	1899	+5	−1	85	11
1995	04	26	Croatia	Slovenia	2	0	EQ		5	1904	1587	+2	0	9	58
1995	06	11	Ukraine	Croatia	1	0	EQ		32	1598	1872	+7	−4	55	13
1995	09	03	Croatia	Estonia	7	1	EQ		1	1873	1093	0	−1	12	174
1995	10	08	Croatia	Italy	1	1	EQ		1	1874	1985	+2	0	11	3
1995	11	15	Slovenia	Croatia	1	2	EQ		-10	1578	1884	−3	−1	59	12
1996	02	28	Croatia	Poland	2	1	F		3	1887	1677	0	0	12	37
1996	03	13	Croatia	South Korea	3	0	F		4	1891	1612	0	−1	12	50
1996	03	26	Croatia	Israel	2	0	F		4	1895	1636	+1	0	11	44
1996	04	10	Croatia	Hungary	4	1	F		3	1898	1601	0	−2	11	52
1996	04	24	England	Croatia	0	0	F		-2	1873	1900	−1	0	14	11
1996	05	22	Brazil	Croatia	1	1	F		-7	2067	1907	0	+1	1	10
1996	06	02	Ireland	Croatia	2	2	F		3	1716	1904	0	−1	32	11
1996	06	11	Croatia	Turkey	1	0	EC	EN	15	1919	1745	+2	−1	8	28
1996	06	16	Croatia	Denmark	3	0	EC	EN	49	1968	1913	+3	−4	6	10
1996	06	19	Portugal	Croatia	3	0	EC	EN	54	1940	1914	+6	−4	6	10
1996	06	23	Germany	Croatia	2	1	EC	EN	14	2091	1900	0	−2	1	12
1996	10	08	Croatia	Bosnia and Herzegovina	4	1	WQ	IT	9	1909	1563	+1	−1	11	62
1996	11	10	Croatia	Greece	1	1	WQ		-15	1894	1668	0	+4	12	37
1996	12	11	Morocco	Croatia	2	2	KHC		7	1639	1887	+1	0	43	12
