year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1930	03	16	Cuba	Jamaica	3	1	CAG		12	1612	1448	−	−1	28	48
1930	03	20	Cuba	Honduras	7	0	CAG		12	1624	1381	+2	−2	26	53
1930	03	23	Cuba	Honduras	5	0	CAG		10	1634	1371	0	−1	26	54
1930	03	30	Cuba	Costa Rica	2	1	CAG		27	1661	1834	+3	0	23	10
1930	04	01	Cuba	El Salvador	5	2	CAG		11	1672	1451	+2	0	21	46
1934	01	28	Haiti	Cuba	1	3	WQ		-10	1280	1682	−3	+1	69	23
1934	02	01	Haiti	Cuba	1	1	WQ		14	1294	1668	+3	−1	66	24
1934	02	04	Haiti	Cuba	0	6	WQ		-15	1279	1683	−3	+1	69	23
1934	03	04	Mexico	Cuba	3	2	WQ		25	1523	1658	+4	−2	44	25
1934	03	11	Mexico	Cuba	5	0	WQ		44	1567	1614	+2	−8	42	33
1934	03	18	Mexico	Cuba	4	1	WQ		30	1597	1584	+7	−5	35	38
1935	03	24	El Salvador	Cuba	4	1	CAG		38	1489	1546	+4	−4	51	42
1935	03	25	Cuba	Honduras	3	0	CAG	SV	22	1568	1384	+1	−1	41	62
1935	03	27	Cuba	Guatemala	2	1	CAG	SV	13	1581	1430	+1	−1	40	58
1935	03	30	Mexico	Cuba	6	1	CAG	SV	32	1681	1549	+7	−2	20	42
1935	03	31	Costa Rica	Cuba	2	1	CAG	SV	6	1862	1543	+1	0	11	42
1938	06	05	Cuba	Romania	3	3	WC	FR	1	1544	1556	+1	+1	47	45
1938	06	09	Cuba	Romania	2	1	WC	FR	31	1575	1525	+3	−3	44	48
1938	06	12	Sweden	Cuba	8	0	WC	FR	57	1701	1518	+11	−5	21	49
1947	07	17	Cuba	Mexico	1	3	NAC		-16	1502	1860	−1	+1	53	9
1947	07	20	Cuba	United States	5	2	NAC		48	1550	1591	+7	−5	46	41
1949	09	11	Mexico	Cuba	2	0	WQN		8	1817	1542	0	−1	11	49
1949	09	14	Cuba	United States	1	1	WQN	MX	0	1542	1545	0	0	49	48
1949	09	21	United States	Cuba	5	2	WQN	MX	45	1580	1497	+14	−11	40	59
1949	09	25	Mexico	Cuba	3	0	WQN		7	1834	1490	0	−1	11	60
1954	03	12	El Salvador	Cuba	3	1	CAC	MX	41	1397	1449	+5	−13	85	75
1954	03	16	Panama	Cuba	4	0	CAC	MX	54	1336	1395	+15	−10	92	85
1955	08	14	Honduras	Cuba	3	0	CCF		22	1507	1373	+2	−3	64	89
