year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1949	07	30	Israel	Cyprus	3	1	F		7	1507	1393	−	−	55	72
1960	11	13	Cyprus	Israel	1	1	WQ		7	1400	1607	+1	0	94	44
1960	11	27	Israel	Cyprus	6	1	WQ		12	1619	1388	+1	−2	42	96
1963	11	27	Cyprus	Greece	3	1	F		15	1403	1476	+6	−5	92	76
1965	03	20	Cyprus	Lebanon	2	0	F		11	1414	1385	+3	−4	87	96
1965	04	24	West Germany	Cyprus	5	0	WQ		3	1894	1411	+1	−1	10	89
1965	05	05	Sweden	Cyprus	3	0	WQ		3	1868	1408	+1	0	11	89
1965	11	07	Cyprus	Sweden	0	5	WQ		-14	1394	1794	−3	+2	94	16
1965	11	14	Cyprus	West Germany	0	6	WQ		-7	1387	1916	0	0	94	8
1966	12	03	Cyprus	Romania	1	5	EQ		-9	1378	1851	0	+2	99	12
1967	03	22	Cyprus	Italy	0	2	EQ		-4	1374	1949	0	0	101	7
1967	04	23	Romania	Cyprus	7	0	EQ		3	1875	1371	0	−1	11	103
1967	11	01	Italy	Cyprus	5	0	EQ		1	1966	1370	0	0	7	102
1967	11	08	Switzerland	Cyprus	5	0	EQ		7	1683	1363	0	0	34	102
1968	02	17	Cyprus	Switzerland	2	1	EQ		31	1394	1642	+4	−1	98	38
1968	05	19	Austria	Cyprus	7	1	WQ		7	1708	1387	0	−1	30	98
1968	11	23	Cyprus	West Germany	0	1	WQ		-2	1385	2025	+1	0	95	2
1968	12	11	Cyprus	Scotland	0	5	WQ		-8	1377	1877	−3	+1	100	11
1969	04	19	Cyprus	Austria	1	2	WQ		-10	1367	1687	−2	+1	102	32
1969	05	17	Scotland	Cyprus	8	0	WQ		3	1880	1364	0	0	10	102
1969	05	21	West Germany	Cyprus	12	0	WQ		2	2008	1362	0	−1	2	103
1970	11	15	Cyprus	Soviet Union	1	3	EQ		-4	1358	1944	−1	0	101	5
1970	12	09	Greece	Cyprus	1	1	F		-8	1663	1366	0	+1	38	100
1971	01	20	Cyprus	Greece	1	2	F		-5	1361	1642	−1	+1	100	42
1971	02	03	Cyprus	Northern Ireland	0	3	EQ		-15	1346	1701	−5	+5	105	31
1971	04	21	Northern Ireland	Cyprus	5	0	EQ		5	1706	1341	+1	−1	31	106
1971	05	09	Cyprus	Spain	0	2	EQ		-5	1336	1874	−2	−1	107	9
