year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1903	04	05	Hungary	Bohemia	2	1	F		8	1894	1892	0	−	5	6
1906	04	01	Hungary	Bohemia	1	1	F		-3	1893	1895	−1	+1	7	6
1906	10	07	Bohemia	Hungary	4	4	F		-3	1892	1896	−1	+1	5	4
1907	04	07	Hungary	Bohemia	5	2	F		12	1919	1880	0	−1	3	6
1907	10	06	Bohemia	Hungary	5	3	F		12	1892	1895	0	0	5	4
1908	04	05	Hungary	Bohemia	5	2	F		12	1920	1880	0	0	3	5
1908	06	13	Bohemia	England	0	4	F		-13	1867	2094	−1	0	6	1
1920	08	28	Czechoslovakia	Yugoslavia	7	0	OG	BE	24	1891	1576	0	−	9	25
1920	08	29	Czechoslovakia	Norway	4	0	OG	BE	15	1906	1554	+2	−1	7	27
1920	08	31	Czechoslovakia	France	4	1	OG	BE	19	1925	1621	+2	−1	5	21
1920	09	02	Belgium	Czechoslovakia	2	0	OG		36	1928	1889	+4	−4	5	9
1921	10	28	Czechoslovakia	Yugoslavia	6	1	F		3	1892	1562	0	0	8	28
1921	11	13	Czechoslovakia	Sweden	2	2	F		-8	1884	1592	0	0	8	25
1922	02	26	Italy	Czechoslovakia	1	1	F		3	1668	1881	0	0	21	8
1922	06	11	Denmark	Czechoslovakia	0	3	F		-24	1888	1905	−2	+3	8	6
1922	06	28	Yugoslavia	Czechoslovakia	4	3	F		16	1560	1889	0	−1	33	7
1922	08	13	Sweden	Czechoslovakia	0	2	F		-8	1601	1897	−2	0	26	7
1923	05	06	Czechoslovakia	Denmark	2	0	F		10	1907	1856	+2	0	6	10
1923	05	27	Czechoslovakia	Italy	5	1	F		6	1913	1698	+1	−1	5	19
1923	07	01	Romania	Czechoslovakia	0	6	F		-9	1585	1922	0	0	29	5
1923	10	28	Czechoslovakia	Yugoslavia	4	4	F		-9	1913	1588	−1	+3	6	28
1924	05	25	Czechoslovakia	Turkey	5	2	OG	FR	9	1922	1491	0	0	3	39
1924	05	28	Czechoslovakia	Switzerland	1	1	OG	FR	-19	1903	1680	−3	+1	6	24
1924	05	30	Switzerland	Czechoslovakia	1	0	OG	FR	47	1727	1856	+5	−2	20	7
1924	08	31	Czechoslovakia	Romania	4	1	F		3	1859	1554	0	0	8	37
1924	09	28	Yugoslavia	Czechoslovakia	0	2	F		-7	1558	1866	−1	0	36	8
1925	05	24	Czechoslovakia	Austria	3	1	F		11	1877	1859	+2	−2	7	9
1925	10	11	Czechoslovakia	Hungary	2	0	F		9	1886	1807	0	−1	6	14
1925	10	28	Czechoslovakia	Yugoslavia	7	0	F		4	1890	1554	0	0	6	33
1926	01	17	Italy	Czechoslovakia	3	1	F		18	1740	1872	0	−1	18	8
1926	03	14	Austria	Czechoslovakia	2	0	F		11	1877	1861	+2	−3	7	10
1926	06	06	Hungary	Czechoslovakia	2	1	F		9	1809	1852	0	0	12	10
1926	06	13	Sweden	Czechoslovakia	2	2	F		-4	1882	1856	0	0	7	10
1926	06	28	Yugoslavia	Czechoslovakia	2	6	F		-9	1535	1865	0	+1	37	9
1926	07	03	Czechoslovakia	Sweden	4	2	F		11	1876	1869	+2	−1	7	8
1926	09	28	Czechoslovakia	Austria	1	2	F		-13	1863	1898	−1	0	8	6
1926	10	28	Czechoslovakia	Italy	3	1	F		7	1870	1741	+1	0	7	15
1927	01	02	Belgium	Czechoslovakia	2	3	F		-9	1713	1879	0	0	19	7
1927	02	20	Italy	Czechoslovakia	2	2	F		0	1765	1879	0	0	15	7
1927	03	20	Austria	Czechoslovakia	1	2	F		-14	1899	1893	0	0	6	7
1927	04	24	Czechoslovakia	Hungary	4	1	F		10	1903	1814	0	0	7	11
1927	05	26	Czechoslovakia	Belgium	4	0	F		6	1909	1705	0	−1	8	19
1927	05	29	Czechoslovakia	Belgium	4	0	F		6	1915	1699	0	−1	8	20
1927	07	30	Yugoslavia	Czechoslovakia	1	1	F		6	1571	1909	+4	0	31	8
1927	09	18	Czechoslovakia	Austria	2	0	DGC		23	1932	1905	+3	−3	5	8
1927	10	09	Hungary	Czechoslovakia	1	2	F		-10	1812	1942	0	0	12	5
1927	10	23	Czechoslovakia	Italy	2	2	DGC		-12	1930	1804	0	0	5	13
1927	10	28	Czechoslovakia	Yugoslavia	5	3	F		2	1932	1597	0	0	5	28
1928	04	01	Austria	Czechoslovakia	0	1	DGC		-24	1881	1956	0	0	7	5
1928	04	22	Hungary	Czechoslovakia	2	0	DGC		35	1834	1921	+3	−1	9	6
1928	05	13	France	Czechoslovakia	0	2	F		-6	1569	1927	0	+1	34	5
1928	09	23	Czechoslovakia	Hungary	6	1	F		10	1937	1822	0	−1	5	12
1928	10	27	Czechoslovakia	Poland	3	2	SLV		2	1939	1607	0	0	5	28
1928	10	28	Czechoslovakia	Yugoslavia	7	1	SLV		5	1944	1588	0	−1	5	30
1929	03	03	Italy	Czechoslovakia	4	2	DGC		21	1968	1923	0	−1	4	6
1929	03	17	Czechoslovakia	Austria	3	3	F		-3	1920	1927	−1	0	7	5
1929	05	05	Switzerland	Czechoslovakia	1	4	DGC		-15	1573	1935	−6	+2	34	5
1929	06	28	Yugoslavia	Czechoslovakia	3	3	F		5	1629	1930	0	0	25	5
1929	09	08	Czechoslovakia	Hungary	1	1	DGC		-11	1919	1819	−3	+2	8	12
1929	09	15	Austria	Czechoslovakia	2	1	F		6	1956	1913	0	−1	4	9
1929	10	06	Czechoslovakia	Switzerland	5	0	DGC		6	1919	1567	+1	−2	8	36
1929	10	28	Czechoslovakia	Yugoslavia	4	3	F		2	1921	1608	0	0	8	28
1930	01	01	Spain	Czechoslovakia	1	0	F		7	1924	1914	+2	−1	7	9
1930	01	12	Portugal	Czechoslovakia	1	0	F		13	1701	1901	+1	0	18	9
1930	03	23	Czechoslovakia	Austria	2	2	F		-1	1900	1956	0	+1	9	4
1930	05	01	Czechoslovakia	Hungary	1	1	F		-5	1895	1830	0	0	9	11
1930	05	11	France	Czechoslovakia	2	3	F		-3	1517	1898	0	0	40	9
1930	06	14	Czechoslovakia	Spain	2	0	F		12	1910	1912	0	−1	9	8
1930	09	21	Belgium	Czechoslovakia	2	3	F		-5	1599	1915	0	0	30	8
