year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1948	00	00	Belgian Congo	Northern Rhodesia	2	3	F		-13	1587	1617	−	0	40	38
1950	03	00	Northern Rhodesia	Belgian Congo	1	0	F		7	1604	1580	+1	−2	36	41
1953	09	01	Belgian Congo	Cameroon	3	1	JAM		16	1596	1484	+2	−	42	63
1956	01	02	Belgian Congo	Cameroon	2	4	F		-24	1572	1466	−1	+7	45	72
1963	04	12	Congo-Leopoldville	Mauritania	6	0	JAM	SN	3	1575	986	+1	0	51	148
1963	04	13	Congo-Brazzaville	Congo-Leopoldville	2	1	JAM	SN	17	1645	1558	+5	−6	38	57
1963	04	15	Ivory Coast	Congo-Leopoldville	1	0	JAM	SN	17	1619	1541	+5	−3	43	60
1963	04	16	Congo-Leopoldville	Tunisia	1	0	JAM	SN	24	1565	1580	+3	−1	57	50
1964	02	24	Congo-Leopoldville	Congo-Brazzaville	0	0	F		-2	1563	1587	0	+1	54	47
1964	03	27	Congo-Leopoldville	Senegal	2	0	F		12	1575	1575	+4	−2	49	49
1964	04	22	Cameroon	Congo-Leopoldville	2	2	F		0	1480	1575	0	0	76	49
1964	07	12	Congo-Leopoldville	Central African Republic	1	0	TRP	CM	7	1582	1377	0	−3	51	103
1964	07	13	Cameroon	Congo-Leopoldville	1	1	TRP		0	1480	1582	0	0	75	51
1964	07	17	Congo-Leopoldville	Gabon	1	0	TRP	CM	8	1590	1397	+1	−4	50	96
1964	07	19	Cameroon	Congo-Leopoldville	2	1	TRP		15	1512	1575	+1	−1	70	51
1965	01	03	Ghana	DR Congo	4	1	F		8	1704	1567	0	−1	28	52
1965	01	09	Togo	DR Congo	0	3	F		-23	1562	1590	−5	+4	54	48
1965	01	13	Senegal	DR Congo	1	1	F		-2	1563	1592	0	0	52	48
1965	01	17	Ivory Coast	DR Congo	2	0	FQ		19	1642	1573	+3	−3	39	51
1965	02	01	DR Congo	Congo	3	0	F		14	1587	1579	+4	−3	47	49
1965	04	03	DR Congo	Cameroon	3	2	AGQ		11	1598	1514	+2	−5	46	67
1965	04	14	DR Congo	Cameroon	3	1	AGQ		15	1613	1499	+2	−3	45	69
1965	04	16	DR Congo	Central African Republic	8	2	AGQ		11	1624	1374	+2	−5	43	102
1965	07	19	DR Congo	Madagascar	7	0	AFG	CG	22	1646	1407	+4	−5	37	90
1965	07	20	Algeria	DR Congo	4	1	AFG	CG	28	1746	1618	+4	−8	24	45
1965	07	21	DR Congo	Ivory Coast	1	1	AFG	CG	4	1622	1690	+2	0	43	33
1965	07	23	DR Congo	Togo	5	1	AFG	CG	29	1651	1515	+6	−5	37	65
1965	07	25	DR Congo	Uganda	6	2	AFG	CG	14	1665	1388	+1	−1	36	94
1965	08	14	Liberia	DR Congo	2	1	FQ		33	1340	1632	+4	−4	110	40
1965	09	05	DR Congo	Ivory Coast	4	2	FQ		28	1660	1676	+5	−6	36	34
1965	09	21	DR Congo	Liberia	3	2	FQ		3	1663	1337	0	0	37	110
1965	11	12	Ghana	DR Congo	5	2	AR	TN	33	1784	1630	+7	−3	18	41
1965	11	14	Ivory Coast	DR Congo	3	0	AR	TN	38	1714	1592	+5	−8	29	49
1965	12	25	DR Congo	Congo	2	1	FT		10	1602	1571	+2	−2	47	52
1966	02	27	Niger	DR Congo	2	1	F		18	1129	1584	+1	−2	144	49
1966	06	30	DR Congo	Ghana	0	3	IND		-15	1569	1860	−5	+1	53	12
1966	07	03	DR Congo	Congo	4	1	IND		18	1587	1545	+4	−1	48	55
1966	08	07	DR Congo	Central African Republic	5	0	F		6	1593	1368	0	−1	48	100
1966	11	05	Nigeria	DR Congo	3	2	F		9	1545	1584	+2	0	56	48
1966	11	27	DR Congo	Nigeria	1	0	F		6	1590	1539	0	−3	48	58
1966	12	02	DR Congo	Gabon	4	3	FT	CF	8	1598	1399	+1	0	47	96
1966	12	03	Central African Republic	DR Congo	1	4	FT		-15	1325	1613	−3	+4	109	43
1967	00	00	Liberia	DR Congo	1	4	F		-10	1347	1623	−2	+2	103	41
