year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1908	10	22	Denmark	France	17	1	OG	EN	18	2018	1573	−	−1	2	14
1908	10	24	England	Denmark	2	0	OG		21	2146	1997	0	−1	1	3
1910	05	05	Denmark	England	2	1	F		11	2008	2123	0	0	3	1
1911	10	21	England	Denmark	3	0	F		7	2147	2001	0	0	1	2
1912	06	30	Denmark	Norway	7	0	OG	SE	4	2005	1368	0	−1	2	24
1912	07	02	Denmark	Netherlands	4	1	OG	SE	52	2057	1951	0	0	2	3
1912	07	04	England	Denmark	4	2	OG	SE	29	2212	2028	0	0	1	2
1912	10	06	Denmark	Germany	3	1	F		2	2030	1694	0	0	2	12
1913	05	25	Denmark	Sweden	8	0	F		3	2033	1658	0	0	2	13
1913	10	05	Sweden	Denmark	0	10	F		-9	1654	2042	0	0	13	2
1913	10	26	Germany	Denmark	1	4	F		-6	1663	2048	0	0	12	2
1914	05	17	Denmark	Netherlands	4	3	F		5	2053	1955	0	0	2	4
1914	06	05	Denmark	England	3	0	F		14	2067	2062	+1	−1	1	2
1915	06	06	Denmark	Sweden	2	0	F		1	2068	1645	0	0	2	14
1915	09	19	Denmark	Norway	8	1	F		0	2068	1381	0	0	2	26
1915	10	31	Sweden	Denmark	0	2	F		-4	1641	2072	0	0	14	2
1916	06	04	Denmark	Sweden	2	0	F		1	2073	1640	+1	0	1	14
1916	06	25	Norway	Denmark	0	2	F		-1	1376	2074	0	0	27	1
1916	10	08	Sweden	Denmark	4	0	F		33	1663	2041	+2	−1	14	2
1916	10	15	Denmark	Norway	8	0	F		1	2042	1380	0	0	2	27
1917	06	03	Denmark	Sweden	1	1	F		-9	2033	1672	0	0	2	14
1917	06	17	Norway	Denmark	1	2	F		-1	1379	2034	0	0	27	2
1917	10	07	Denmark	Norway	12	0	F		1	2035	1378	0	−1	2	28
1917	10	14	Sweden	Denmark	1	2	F		-4	1668	2039	0	0	14	2
1918	06	02	Denmark	Sweden	3	0	F		2	2041	1669	0	0	2	14
1918	06	16	Norway	Denmark	3	1	F		29	1404	2012	+2	0	26	2
1918	10	06	Denmark	Norway	4	0	F		1	2013	1417	0	0	2	26
1918	10	20	Sweden	Denmark	1	2	F		-4	1651	2017	0	0	15	2
1919	06	05	Denmark	Sweden	3	0	F		2	2019	1655	0	0	2	16
1919	06	12	Denmark	Norway	5	1	F		1	2020	1416	0	0	2	27
1919	09	21	Norway	Denmark	3	2	F		19	1490	2001	0	−1	26	3
1919	10	12	Sweden	Denmark	3	0	F		29	1663	1972	+1	−2	15	4
1920	04	05	Netherlands	Denmark	2	0	F		13	1936	1959	+1	0	5	4
1920	06	13	Norway	Denmark	1	1	F		8	1498	1951	0	0	26	4
1920	08	28	Spain	Denmark	1	0	OG	BE	26	2026	1925	−	−1	1	5
1920	10	10	Sweden	Denmark	0	2	F		-8	1649	1933	0	+2	18	5
1921	06	12	Denmark	Netherlands	1	1	F		-5	1928	1852	−1	0	5	10
1921	10	02	Denmark	Norway	3	1	F		2	1930	1580	0	−1	5	25
1921	10	09	Sweden	Denmark	0	0	F		6	1586	1924	+1	−1	24	6
1922	04	15	Belgium	Denmark	0	0	F		-2	1885	1926	0	0	8	6
1922	04	17	Netherlands	Denmark	2	0	F		14	1859	1912	0	0	10	6
1922	06	11	Denmark	Czechoslovakia	0	3	F		-24	1888	1905	−2	+3	8	6
1922	09	10	Norway	Denmark	3	3	F		4	1634	1884	0	0	23	8
1922	10	01	Denmark	Sweden	1	2	F		-18	1866	1643	−1	0	9	23
1923	05	06	Czechoslovakia	Denmark	2	0	F		10	1907	1856	+2	0	6	10
1923	06	17	Denmark	Switzerland	3	2	F		2	1858	1600	0	0	10	28
1923	09	30	Denmark	Norway	2	1	F		2	1860	1602	0	−1	10	27
1923	10	14	Sweden	Denmark	1	3	F		-12	1666	1872	−1	0	22	10
1924	04	21	Switzerland	Denmark	2	0	F		22	1632	1850	+1	−2	25	10
1924	06	15	Denmark	Sweden	2	3	NRD		-20	1830	1857	−3	+3	11	7
1924	09	14	Norway	Denmark	1	3	NRD		-14	1571	1844	−2	+1	31	10
1924	10	05	Denmark	Belgium	2	1	F		6	1850	1780	+1	−2	9	15
