year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1932	00	00	Dominica	Martinique	1	0	F		13	1313	1483	−	0	60	46
1938	01	09	Dominica	Saint Lucia	4	1	F		12	1325	1290	0	−4	67	74
1938	01	10	Dominica	Saint Lucia	1	3	F		-21	1304	1311	−3	+6	70	68
1938	01	11	Dominica	Saint Lucia	1	0	F		7	1311	1304	+2	−2	68	70
1939	01	12	Dominica	Martinique	3	1	F		19	1330	1490	+5	−3	69	53
1948	09	00	Martinique	Dominica	5	0	CIQ		13	1527	1317	+1	−1	53	81
1948	12	16	Martinique	Dominica	6	0	CIB	GP	20	1547	1297	+4	−4	50	86
1961	01	15	Saint Lucia	Dominica	4	1	WIT		18	1322	1279	+3	−2	106	113
1961	01	18	Dominica	Saint Vincent and the Grenadines	1	1	WIT	LC	5	1284	1395	0	−2	113	96
1961	01	19	Grenada	Dominica	8	1	WIT	LC	14	1530	1270	+5	−1	60	114
1964	01	07	Dominica	Saint Vincent and the Grenadines	2	2	WIT	LC	5	1275	1385	0	−2	119	100
1964	01	08	Saint Lucia	Dominica	4	2	WIT		15	1315	1260	+3	0	109	119
1964	01	11	Dominica	Saint Vincent and the Grenadines	1	1	WIT	LC	5	1265	1381	0	−2	119	102
1964	01	12	Saint Lucia	Dominica	5	0	WIT		18	1332	1247	+2	−1	108	120
1965	11	21	Dominica	Grenada	2	0	WIT	VC	38	1285	1498	+6	−11	120	69
1965	11	23	Dominica	Saint Lucia	1	0	WIT	VC	18	1303	1335	+3	−5	117	111
1965	11	26	Saint Vincent and the Grenadines	Dominica	2	1	WIT		9	1369	1294	+1	−1	100	118
1966	11	05	Saint Vincent and the Grenadines	Dominica	1	0	WIT	GD	12	1381	1282	+1	−3	98	119
1966	11	08	Grenada	Dominica	3	3	WIT		-11	1492	1293	−2	+3	70	116
1966	11	10	Dominica	Saint Lucia	5	3	WIT	GD	24	1317	1293	+4	−4	112	116
1967	11	27	Dominica	Saint Lucia	2	4	WIT		-30	1287	1323	−4	+4	115	111
1967	11	30	Dominica	Grenada	2	4	WIT		-18	1269	1475	−8	+4	122	72
1967	12	03	Dominica	Saint Vincent and the Grenadines	1	2	WIT		-13	1256	1423	−2	+6	123	88
1968	10	27	Dominica	Sint Maarten	4	2	F		2	1258	898	0	−	123	165
1968	10	29	Dominica	Sint Maarten	1	2	F		-19	1239	917	−2	+1	125	164
1968	10	31	Dominica	Sint Maarten	3	1	F		2	1241	915	0	0	125	164
1968	11	18	Saint Lucia	Dominica	4	0	WIT		14	1346	1227	+5	−3	105	128
1968	11	20	Grenada	Dominica	6	2	WIT	LC	10	1495	1217	+2	+1	70	127
1968	11	23	Dominica	Saint Vincent and the Grenadines	1	1	WIT	LC	8	1225	1415	0	−3	127	90
1969	10	14	Dominica	Surinam	1	3	F		-7	1218	1554	0	+4	129	57
1969	10	16	Dominica	Surinam	1	9	F		-10	1208	1564	−3	+1	132	56
1969	11	09	Saint Vincent and the Grenadines	Dominica	1	0	WIT		4	1419	1204	+3	−2	89	134
1969	11	13	Grenada	Dominica	1	0	WIT	VC	4	1518	1200	0	−1	69	135
1969	11	14	Saint Lucia	Dominica	3	1	WIT	VC	15	1335	1185	+2	−2	106	137
1970	11	21	Dominica	Saint Lucia	1	1	WIT	GD	6	1191	1329	0	0	136	110
1970	11	24	Saint Vincent and the Grenadines	Dominica	1	0	WIT	GD	6	1421	1185	+5	0	85	136
1970	11	27	Grenada	Dominica	2	1	WIT		2	1540	1183	+1	−1	62	137
1971	11	28	Dominica	Saint Vincent and the Grenadines	3	0	WIT		37	1220	1403	+10	−13	129	92
1971	12	01	Dominica	Saint Lucia	2	2	WIT		-1	1219	1288	0	0	129	114
1971	12	04	Dominica	Grenada	3	0	WIT		38	1257	1453	+4	−7	125	75
1972	11	25	Grenada	Dominica	2	1	WIT	LC	7	1460	1250	+1	−1	71	129
1972	11	28	Saint Vincent and the Grenadines	Dominica	2	1	WIT	LC	9	1400	1241	+2	−1	92	130
1972	12	02	Saint Lucia	Dominica	1	0	WIT		8	1329	1233	+1	0	110	130
1973	11	07	Dominica	Grenada	4	2	WIT		29	1262	1412	+5	−7	125	85
1973	11	11	Dominica	Saint Lucia	1	0	WIT		14	1276	1315	+2	−2	123	111
1973	11	16	Saint Lucia	Dominica	2	1	WIT		10	1301	1266	+2	−1	115	124
1973	11	19	Saint Vincent and the Grenadines	Dominica	2	2	WIT		-9	1413	1275	−1	+1	86	123
1973	11	21	Grenada	Dominica	1	1	WIT		-9	1407	1284	−2	+2	87	121
1973	11	30	Dominica	Saint Vincent and the Grenadines	0	0	WIT		2	1286	1435	+1	−1	119	82
1974	12	02	Saint Lucia	Dominica	0	3	WIT		-32	1236	1318	−6	+7	130	113
1974	12	04	Dominica	Grenada	0	0	WIT	LC	5	1323	1427	+3	−2	110	86
1974	12	07	Saint Vincent and the Grenadines	Dominica	2	1	WIT	LC	11	1441	1312	+4	−5	81	115
1981	06	21	Guadeloupe	Dominica	5	0	CUQ		21	1409	1291	+3	−6	88	114
1981	07	05	Dominica	Guadeloupe	2	3	CUQ		-19	1272	1428	−4	+1	118	87
1983	02	20	Guadeloupe	Dominica	1	0	CUQ		10	1374	1262	+1	−5	92	122
1983	03	06	Dominica	Guadeloupe	1	2	CUQ		-19	1243	1393	−3	+2	125	90
1984	12	02	Grenada	Dominica	4	0	WIT	LC	23	1328	1220	+6	−5	105	132
