year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1921	09	14	Costa Rica	El Salvador	7	0	JCN	GT	10	1810	1490	−	−	13	32
1927	11	07	Honduras	El Salvador	1	0	F		10	1392	1480	0	0	48	44
1927	11	08	Honduras	El Salvador	0	0	F		0	1392	1480	0	0	48	44
1928	12	07	El Salvador	Honduras	5	0	F		9	1489	1368	0	0	44	50
1929	05	01	El Salvador	Nicaragua	9	0	F		2	1491	998	0	−	44	65
1930	03	19	El Salvador	Guatemala	8	2	CAG	CU	42	1533	1447	+2	−3	41	47
1930	03	22	Costa Rica	El Salvador	9	2	CAG	CU	13	1851	1520	0	0	10	41
1930	03	26	Costa Rica	El Salvador	5	0	CAG	CU	10	1861	1510	0	0	10	41
1930	03	29	Honduras	El Salvador	4	1	CAG	CU	48	1419	1462	+3	−5	51	46
1930	04	01	Cuba	El Salvador	5	2	CAG		11	1672	1451	+2	0	21	46
1935	03	24	El Salvador	Cuba	4	1	CAG		38	1489	1546	+4	−4	51	42
1935	03	27	El Salvador	Mexico	1	8	CAG		-46	1443	1631	−5	+10	56	28
1935	03	28	El Salvador	Honduras	3	4	CAG		-29	1414	1413	−2	+3	58	59
1935	03	30	El Salvador	Costa Rica	1	6	CAG		-10	1404	1856	−3	0	61	12
1935	04	03	El Salvador	Guatemala	6	1	CAG		30	1434	1382	+3	−3	57	62
1937	10	11	El Salvador	Honduras	3	2	F		6	1440	1385	0	−2	55	60
1938	02	12	Costa Rica	El Salvador	7	0	CAC	PA	9	1835	1431	0	−1	13	58
1938	02	16	El Salvador	Venezuela	3	2	CAC	PA	12	1443	1272	+1	−4	57	80
1938	02	18	Mexico	El Salvador	6	0	CAC	PA	10	1807	1433	0	0	14	57
1938	02	21	Colombia	El Salvador	3	2	CAC	PA	21	1444	1412	+3	−2	56	59
1938	02	23	Panama	El Salvador	1	2	CAC		-19	1272	1431	−5	+1	80	58
1940	02	25	El Salvador	Costa Rica	3	2	F		17	1448	1808	+2	−1	57	14
1940	03	10	El Salvador	Costa Rica	0	1	F		-4	1444	1812	0	0	57	14
1941	05	11	Curaçao	El Salvador	2	2	CCF	CR	-9	1563	1453	0	0	45	58
1941	05	13	El Salvador	Nicaragua	8	0	CCF	CR	8	1461	989	+2	−1	56	94
1941	05	15	El Salvador	Panama	4	3	CCF	CR	13	1474	1262	0	−2	56	84
1941	05	18	Costa Rica	El Salvador	3	1	CCF		5	1832	1469	0	0	14	56
1941	07	29	El Salvador	Costa Rica	2	1	FT		25	1494	1807	+1	−1	55	15
1941	08	05	El Salvador	Costa Rica	1	4	FT		-12	1482	1819	−1	+1	56	14
1943	12	05	El Salvador	Guatemala	2	2	CCF		-13	1469	1395	−1	+2	58	64
1943	12	07	El Salvador	Nicaragua	8	1	CCF		3	1472	966	+1	0	57	97
1943	12	09	El Salvador	Costa Rica	4	2	CCF		57	1529	1717	+6	−3	51	18
1943	12	12	El Salvador	Guatemala	2	1	CCF		13	1542	1434	+2	−1	49	62
1943	12	16	El Salvador	Nicaragua	10	1	CCF		2	1544	957	0	0	49	97
1943	12	19	El Salvador	Costa Rica	2	4	CCF		-36	1508	1691	−7	+10	56	22
1946	02	23	Guatemala	El Salvador	3	1	CCF	CR	38	1539	1470	+6	−4	49	58
1946	02	28	El Salvador	Nicaragua	7	2	CCF	CR	5	1475	947	+1	0	57	97
1946	03	07	El Salvador	Panama	4	1	CCF	CR	24	1499	1279	+2	−7	55	85
1946	03	10	El Salvador	Honduras	3	1	CCF	CR	27	1526	1372	+3	−2	52	66
1946	03	13	Costa Rica	El Salvador	4	0	CCF		22	1654	1504	+4	−3	32	55
1946	11	05	El Salvador	Panama	2	3	F		-18	1486	1250	0	0	56	88
1946	11	10	El Salvador	Panama	3	3	F		-7	1479	1257	0	0	56	88
1948	02	29	Costa Rica	El Salvador	3	1	CCF	GT	30	1575	1449	+6	−4	42	61
1948	03	02	Guatemala	El Salvador	3	0	CCF		35	1455	1414	+7	−6	59	67
1948	03	07	Panama	El Salvador	2	1	CCF	GT	31	1363	1383	+3	−6	76	73
1948	03	09	El Salvador	Curaçao	1	0	CCF	GT	32	1415	1456	+6	−2	67	59
1948	03	11	El Salvador	Curaçao	2	0	CCF	GT	42	1457	1414	+8	−8	59	67
1948	03	13	Guatemala	El Salvador	1	1	CCF		-8	1458	1465	−2	+2	60	58
1948	03	16	Panama	El Salvador	2	0	CCF	GT	45	1436	1420	+8	−8	63	66
1948	03	18	Costa Rica	El Salvador	6	0	CCF	GT	28	1629	1392	+2	−5	36	71
1949	08	03	El Salvador	Panama	3	1	F		14	1406	1456	+3	0	70	62
1949	08	04	El Salvador	Panama	2	3	F		-11	1395	1467	−1	0	71	62
1950	02	26	Costa Rica	El Salvador	1	0	CAC	GT	11	1569	1384	+1	−4	44	74
1950	02	28	El Salvador	Nicaragua	4	1	CAC	GT	7	1391	982	+2	−1	72	112
1950	03	01	El Salvador	Netherlands Antilles	1	1	CAC	GT	2	1393	1418	+2	0	70	69
1950	03	03	El Salvador	Haiti	1	0	CAC	GT	22	1415	1400	+1	−1	69	70
1950	03	10	El Salvador	Netherlands Antilles	3	1	CAC	GT	35	1450	1441	+4	−5	65	67
1950	03	11	Honduras	El Salvador	2	1	CAC	GT	23	1420	1427	+1	−3	69	68
1950	03	13	Guatemala	El Salvador	2	0	CAC		25	1416	1402	+3	−2	69	70
1950	09	03	Curaçao	El Salvador	2	2	FT		-7	1471	1409	−1	0	62	69
1950	09	08	Curaçao	El Salvador	4	0	FT		16	1487	1393	+2	0	60	69
1953	03	08	Costa Rica	El Salvador	5	1	CCF		16	1582	1377	+3	−5	42	82
1953	03	10	El Salvador	Nicaragua	4	1	CCF	CR	7	1384	954	+1	0	81	120
1953	03	13	Guatemala	El Salvador	3	2	CCF	CR	22	1448	1362	+4	−1	68	82
