year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1872	11	30	Scotland	England	0	0	F		-3	1997	2003	−	−	2	1
1873	03	08	England	Scotland	4	2	F		11	2014	1986	0	0	1	2
1874	03	07	Scotland	England	2	1	F		8	1994	2006	0	0	2	1
1875	03	06	England	Scotland	2	2	F		-3	2003	1997	0	0	1	2
1876	03	04	Scotland	England	3	0	F		13	2010	1990	+1	−1	1	2
1877	03	03	England	Scotland	1	3	F		-18	1972	2029	0	0	2	1
1878	03	02	Scotland	England	7	2	F		11	2042	1961	0	0	1	2
1879	01	18	England	Wales	2	1	F		1	1962	1495	0	0	2	3
1879	04	05	England	Scotland	5	4	F		9	1971	2034	0	0	2	1
1880	03	13	Scotland	England	5	4	F		6	2043	1965	0	0	1	2
1880	03	15	Wales	England	2	3	F		-2	1490	1967	0	0	3	2
1881	02	26	England	Wales	0	1	F		-19	1948	1508	0	0	2	3
1881	03	12	England	Scotland	1	6	F		-20	1928	2064	0	0	2	1
1882	02	18	Ireland	England	0	13	F		-3	1297	1931	−	0	4	2
1882	03	11	Scotland	England	5	1	F		8	2075	1923	0	0	1	2
1882	03	13	Wales	England	5	3	F		26	1537	1897	0	0	3	2
1883	02	03	England	Wales	5	0	F		3	1900	1533	0	0	2	3
1883	02	24	England	Ireland	7	0	F		1	1901	1290	0	0	2	4
1883	03	10	England	Scotland	2	3	F		-8	1893	2084	0	0	2	1
1884	02	23	Ireland	England	1	8	BC		-5	1277	1898	0	0	4	2
1884	03	15	Scotland	England	1	0	BC		6	2093	1892	0	0	1	2
1884	03	17	Wales	England	0	4	BC		-14	1524	1906	0	0	3	2
1885	02	28	England	Ireland	4	0	BC		1	1907	1276	0	0	2	4
1885	03	14	England	Wales	1	1	BC		-18	1889	1541	0	0	2	3
1885	03	21	England	Scotland	1	1	BC		6	1895	2088	0	0	2	1
1886	03	13	Ireland	England	1	6	BC		-3	1242	1898	0	0	4	2
1886	03	27	Scotland	England	1	1	BC		-14	2081	1912	0	0	1	2
1886	03	29	Wales	England	1	3	BC		-12	1554	1924	0	0	3	2
1887	02	05	England	Ireland	7	0	BC		1	1925	1240	0	0	2	4
1887	02	26	England	Wales	4	0	BC		5	1930	1547	0	0	2	3
1887	03	19	England	Scotland	2	3	BC		-17	1913	2100	0	0	2	1
1888	02	04	England	Wales	5	1	BC		4	1917	1486	0	0	2	3
1888	03	17	Scotland	England	0	5	BC		-67	2037	1984	0	0	1	2
1888	04	07	Ireland	England	1	5	BC		-2	1273	1986	0	0	4	2
1889	02	23	England	Wales	4	1	BC		2	1988	1500	0	0	2	3
1889	03	02	England	Ireland	6	1	BC		1	1989	1272	0	0	2	4
1889	04	13	England	Scotland	2	3	BC		-23	1966	2063	0	0	2	1
1890	03	15	Ireland	England	1	9	BC		-3	1238	1969	0	0	4	2
1890	03	15	Wales	England	1	3	BC		-8	1539	1977	0	0	3	2
1890	04	05	Scotland	England	1	1	BC		-9	2040	1986	0	0	1	2
1891	03	07	England	Wales	4	1	BC		2	1988	1474	0	0	2	3
1891	03	07	England	Ireland	6	1	BC		1	1989	1297	0	0	2	4
1891	04	04	England	Scotland	2	1	BC		17	2006	2026	0	0	2	1
1892	03	05	Ireland	England	0	2	BC		-2	1308	2008	0	0	4	2
1892	03	05	Wales	England	0	2	BC		-4	1454	2012	0	0	3	2
1892	04	02	Scotland	England	1	4	BC		-46	1983	2058	−1	+1	2	1
1893	02	25	England	Ireland	6	1	BC		1	2059	1306	0	0	1	4
1893	03	13	England	Wales	6	0	BC		1	2060	1451	0	0	1	3
1893	04	01	England	Scotland	5	2	BC		19	2079	1972	0	0	1	2
1894	03	03	Ireland	England	2	2	BC		19	1329	2060	0	0	4	1
1894	03	12	Wales	England	1	5	BC		-4	1435	2064	0	0	3	1
1894	04	07	Scotland	England	2	2	BC		-1	1975	2065	0	0	2	1
1895	03	09	England	Ireland	9	0	BC		1	2066	1326	0	0	1	4
1895	03	18	England	Wales	1	1	BC		-19	2047	1452	0	0	1	3
1895	04	06	England	Scotland	3	0	BC		18	2065	1941	0	0	1	2
1896	03	07	Ireland	England	0	2	BC		-1	1308	2066	0	0	4	1
1896	03	16	Wales	England	1	9	BC		-6	1479	2072	0	0	3	1
1896	04	04	Scotland	England	2	1	BC		23	1949	2049	0	0	2	1
1897	02	20	England	Ireland	6	0	BC		1	2050	1325	0	0	1	4
1897	03	29	England	Wales	4	0	BC		1	2051	1468	0	0	1	3
1897	04	03	England	Scotland	1	2	BC		-31	2020	1965	0	0	1	2
1898	03	05	Ireland	England	2	3	BC		-2	1376	2022	0	0	4	1
1898	03	28	Wales	England	0	3	BC		-4	1431	2026	0	0	3	1
1898	04	02	Scotland	England	1	3	BC		-34	1937	2060	0	0	2	1
1899	02	18	England	Ireland	13	2	BC		1	2061	1371	0	0	1	4
1899	03	20	England	Wales	4	0	BC		1	2062	1405	0	0	1	3
1899	04	08	England	Scotland	2	1	BC		9	2071	1937	0	0	1	2
1900	03	17	Ireland	England	0	2	BC		-2	1361	2073	0	0	4	1
1900	03	26	Wales	England	1	1	BC		18	1441	2055	0	0	3	1
1900	04	07	Scotland	England	4	1	BC		36	1979	2019	0	0	2	1
1901	03	09	England	Ireland	3	0	BC		1	2020	1358	0	0	1	4
1901	03	18	England	Wales	6	0	BC		2	2022	1456	0	0	1	3
1901	03	30	England	Scotland	2	2	BC		-9	2013	1973	0	0	1	2
1902	03	03	Wales	England	0	0	BC		18	1438	1995	0	0	3	1
1902	03	22	Ireland	England	0	1	BC		-2	1388	1997	0	0	4	1
1902	04	05	Scotland	England	1	1	BC		-5	1974	2002	0	0	2	1
1902	05	03	England	Scotland	2	2	BC		-7	1995	1981	0	0	1	2
1903	02	14	England	Ireland	4	0	BC		1	1996	1385	0	0	2	8
1903	03	02	England	Wales	2	1	BC		1	1997	1435	0	0	2	7
1903	04	04	England	Scotland	1	2	BC		-29	1968	1956	0	0	2	3
1904	02	29	Wales	England	2	2	BC		17	1428	1951	0	−1	9	3
1904	03	12	Ireland	England	1	3	BC		-6	1459	1957	0	+1	8	2
1904	04	09	Scotland	England	0	1	BC		-24	1898	1981	−1	0	4	2
1905	02	25	England	Ireland	1	1	BC		-19	1962	1518	0	0	2	10
1905	03	27	England	Wales	3	1	BC		2	1964	1474	0	0	2	12
1905	04	01	England	Scotland	1	0	BC		9	1973	1841	0	0	2	7
1906	02	17	Ireland	England	0	5	BC		-9	1495	1982	0	0	12	2
1906	03	19	Wales	England	0	1	BC		-5	1533	1987	0	0	11	2
1906	04	07	Scotland	England	2	1	BC		25	1820	1962	0	0	8	2
1906	11	01	France	England	0	15	F		-11	1578	1973	0	0	11	2
1907	02	16	England	Ireland	1	0	BC		1	1974	1492	0	0	2	15
1907	03	18	England	Wales	1	1	BC		-18	1956	1596	0	0	2	11
1907	04	01	Netherlands	England	1	8	F		-24	1855	1980	0	0	6	2
1907	04	06	England	Scotland	1	1	BC		-13	1967	1810	0	+1	2	9
1907	12	21	England	Netherlands	12	2	F		12	1979	1848	0	0	2	6
1908	02	15	Ireland	England	1	3	BC		-5	1457	1984	0	0	16	2
1908	03	16	Wales	England	1	7	BC		-13	1577	1997	0	0	12	2
1908	03	23	England	France	12	0	F		3	2000	1602	0	0	2	11
1908	04	04	Scotland	England	1	1	BC		4	1835	1996	0	0	8	2
1908	04	18	Belgium	England	2	8	F		-15	1777	2011	0	0	10	2
1908	04	20	Germany	England	1	5	F		-8	1672	2019	0	0	11	2
1908	06	06	Austria	England	1	6	F		-20	1895	2039	−1	+1	4	1
1908	06	08	Austria	England	1	11	F		-23	1875	2062	−2	0	6	1
1908	06	10	Hungary	England	0	7	F		-19	1886	2081	−1	0	4	1
1908	06	13	Bohemia	England	0	4	F		-13	1867	2094	−1	0	6	1
1908	09	08	Sweden	England	1	6	F		-6	1698	2100	0	0	11	1
1908	10	20	England	Sweden	12	1	OG		9	2109	1689	0	0	1	11
1908	10	22	England	Netherlands	4	0	OG		16	2125	1877	0	−2	1	5
1908	10	24	England	Denmark	2	0	OG		21	2146	1997	0	−1	1	3
1909	02	13	England	Ireland	4	0	BC		1	2147	1473	0	0	1	19
1909	03	13	England	Germany	9	0	F		2	2149	1667	0	0	1	12
1909	03	15	England	Wales	2	0	BC		1	2150	1574	0	0	1	14
1909	04	03	England	Scotland	2	0	BC		4	2154	1807	0	0	1	10
1909	04	12	Netherlands	England	0	4	F		-12	1916	2166	0	0	4	1
1909	04	19	England	Belgium	11	2	F		2	2168	1745	0	0	1	11
1909	05	20	Switzerland	England	0	9	F		-2	1499	2170	0	0	17	1
1909	05	22	France	England	0	11	F		-3	1564	2173	0	0	15	1
1909	05	29	Hungary	England	2	4	F		-8	1893	2181	0	0	5	1
1909	05	31	Hungary	England	2	8	F		-11	1878	2192	0	0	5	1
1909	06	01	Austria	England	1	8	F		-9	1848	2201	−1	0	8	1
1909	11	06	England	Sweden	7	0	F		1	2202	1656	0	0	1	13
1909	12	11	England	Netherlands	9	1	F		5	2207	1920	0	0	1	4
1910	02	12	Ireland	England	1	1	BC		19	1466	2188	0	0	19	1
1910	03	14	Wales	England	0	1	BC		-2	1586	2190	0	0	14	1
1910	03	26	Belgium	England	2	2	F		7	1767	2183	0	0	11	1
1910	04	02	Scotland	England	2	0	BC		51	1832	2132	0	0	10	1
1910	04	09	England	Switzerland	6	1	F		1	2133	1490	0	0	1	18
1910	04	16	England	France	10	1	F		1	2134	1550	0	0	1	15
1910	05	05	Denmark	England	2	1	F		11	2008	2123	0	0	3	1
1910	06	29	South Africa	England	0	3	F		-9	1838	2132	0	0	8	1
1910	07	23	South Africa	England	2	6	F		-9	1829	2141	−2	0	10	1
1910	07	30	South Africa	England	3	6	F		-8	1821	2149	0	0	10	1
1911	02	11	England	Ireland	2	1	BC		0	2149	1461	0	0	1	20
1911	03	04	England	Belgium	4	0	F		2	2151	1781	0	0	1	11
1911	03	13	England	Wales	3	0	BC		2	2153	1627	0	0	1	15
1911	03	23	France	England	0	3	F		-2	1534	2155	0	0	16	1
1911	04	01	England	Scotland	1	1	BC		-17	2138	1847	0	0	1	9
1911	04	14	Germany	England	2	2	F		8	1673	2130	+1	0	13	1
1911	04	17	Netherlands	England	0	1	F		-8	1950	2138	0	0	3	1
1911	05	25	Switzerland	England	1	4	F		-2	1547	2140	0	0	16	1
1911	10	21	England	Denmark	3	0	F		7	2147	2001	0	0	1	2
1912	02	10	Ireland	England	1	6	BC		-3	1454	2150	0	0	21	1
1912	03	11	Wales	England	0	2	BC		-5	1617	2155	0	0	15	1
1912	03	16	England	Netherlands	4	0	F		6	2161	1955	0	0	1	3
1912	03	23	Scotland	England	1	1	BC		10	1873	2151	+1	0	7	1
1912	04	08	Belgium	England	1	2	F		-3	1748	2154	0	0	11	1
1912	06	30	England	Hungary	7	0	OG	SE	24	2178	1866	0	−2	1	8
1912	07	02	England	Finland	4	0	OG	SE	5	2183	1632	0	0	1	15
1912	07	04	England	Denmark	4	2	OG	SE	29	2212	2028	0	0	1	2
1912	11	09	England	Belgium	4	0	F		1	2213	1742	0	0	1	11
1913	02	15	Ireland	England	2	1	BC		39	1495	2174	+2	0	21	1
1913	02	27	France	England	1	4	F		-2	1563	2176	0	0	18	1
1913	03	17	England	Wales	4	3	BC		1	2177	1612	0	0	1	14
1913	03	21	Germany	England	0	3	F		-3	1686	2180	0	0	12	1
1913	03	24	Netherlands	England	2	1	F		13	1985	2167	0	0	3	1
1913	04	05	England	Scotland	1	0	BC		4	2171	1867	0	0	1	7
1913	11	15	England	Netherlands	2	1	F		3	2174	1943	0	0	1	4
1914	02	14	England	Ireland	0	3	BC		-69	2105	1588	0	+4	1	16
1914	02	24	Belgium	England	1	8	F		-10	1777	2115	0	0	11	1
1914	03	16	Wales	England	0	2	BC		-5	1592	2120	−1	0	17	1
1914	04	04	Scotland	England	3	1	BC		44	1886	2076	+1	0	7	1
1914	06	05	Denmark	England	3	0	F		14	2067	2062	+1	−1	1	2
1914	06	10	Sweden	England	1	5	F		-5	1650	2067	0	+1	13	1
1914	06	12	Sweden	England	0	5	F		-6	1644	2073	0	0	13	1
1919	04	26	England	Scotland	2	2	F		-7	2066	1890	0	0	1	7
1919	05	03	Scotland	England	3	4	F		-8	1882	2074	0	0	7	1
1919	10	11	Wales	England	2	1	F		18	1610	2056	+2	0	18	1
1919	10	18	England	Wales	2	0	F		1	2057	1609	0	0	1	18
1919	10	25	Ireland	England	1	1	BC		15	1615	2042	+1	0	18	1
1920	02	17	Belgium	England	3	1	F		22	1792	2020	0	0	12	1
1920	03	15	England	Wales	1	2	BC		-38	1982	1662	−1	+2	2	16
1920	04	05	France	England	0	5	F		-6	1572	1988	0	+1	22	1
1920	04	10	England	Scotland	5	4	BC		9	1997	1872	0	0	1	8
1920	06	19	South Africa	England	1	3	F		-12	1809	2009	0	0	10	1
1920	06	26	South Africa	England	1	3	F		-11	1798	2020	−1	0	11	1
1920	07	17	South Africa	England	1	9	F		-16	1782	2036	0	0	11	1
