year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1966	00	00	Gabon	Equatorial Guinea	5	2	F		4	1377	1096	+3	−	97	147
1966	00	00	Gabon	Equatorial Guinea	4	3	F		2	1379	1094	+3	−	97	147
1975	05	23	China	Equatorial Guinea	6	2	F		1	1584	1093	+1	0	48	153
1977	12	24	Gabon	Equatorial Guinea	2	0	AGQ	CM	11	1363	1082	+2	−2	99	153
1977	12	26	Burundi	Equatorial Guinea	4	2	AGQ	CM	19	1240	1063	0	−1	129	154
1977	12	28	Congo	Equatorial Guinea	4	0	AGQ	CM	5	1529	1058	+1	−1	62	155
1981	06	01	Equatorial Guinea	Sao Tome and Principe	1	1	F		-3	1055	1057	−1	+1	156	155
1984	12	09	Congo	Equatorial Guinea	5	0	UDE		3	1507	1052	0	0	66	158
1984	12	14	Central African Republic	Equatorial Guinea	1	1	UDE	CG	-14	1325	1066	−9	+1	108	157
1984	12	16	Chad	Equatorial Guinea	1	1	UDE	CG	-12	1286	1078	−5	+1	119	156
1985	12	08	Cameroon	Equatorial Guinea	2	0	UDE	GA	3	1608	1075	+1	0	46	156
1985	12	10	Chad	Equatorial Guinea	1	1	UDE	GA	-11	1275	1086	−2	0	117	156
1986	12	09	Equatorial Guinea	Cameroon	0	2	UDE		-4	1082	1670	−1	0	156	35
1986	12	13	Equatorial Guinea	Chad	0	1	UDE		-16	1066	1277	−3	+6	159	115
1987	12	08	Cameroon	Equatorial Guinea	1	0	UDE	TD	1	1663	1065	0	0	38	158
1987	12	10	Cameroon	Equatorial Guinea	0	0	UDE	TD	-19	1644	1084	−3	+5	41	153
1987	12	15	Chad	Equatorial Guinea	4	0	UDE		13	1276	1071	+4	−3	118	156
1987	12	18	Equatorial Guinea	Gabon	0	0	UDE	TD	15	1086	1393	+2	−2	154	90
1988	10	05	Angola	Equatorial Guinea	4	1	FQ		3	1505	1083	0	−1	67	156
1988	10	16	Equatorial Guinea	Angola	0	0	FQ		15	1098	1490	+2	−3	154	70
1988	12	02	Cameroon	Equatorial Guinea	2	1	UDE		1	1699	1097	0	0	36	154
1988	12	04	Gabon	Equatorial Guinea	3	0	UDE	CM	9	1438	1088	+1	−1	83	155
1990	12	12	Chad	Equatorial Guinea	1	0	UDE	CG	10	1278	1078	0	−2	120	163
1990	12	13	Congo	Equatorial Guinea	6	0	UDE		5	1452	1073	+1	0	76	163
1990	12	17	Central African Republic	Equatorial Guinea	3	3	UDE	CG	-9	1223	1082	−2	+1	133	162
1998	08	02	Equatorial Guinea	Gabon	0	2	FQ		-12	1070	1444	0	+2	177	92
1998	08	16	Gabon	Equatorial Guinea	3	0	FQ		4	1448	1066	+2	−1	91	178
1999	11	07	Gabon	Equatorial Guinea	4	0	UFC		4	1471	1062	+3	−1	84	179
1999	11	10	Congo	Equatorial Guinea	2	1	UFC	GA	4	1470	1058	+4	−1	85	180
1999	11	11	Equatorial Guinea	Central African Republic	4	2	UFC	GA	44	1102	1195	+7	−8	173	154
1999	11	13	Chad	Equatorial Guinea	1	0	UFC	GA	11	1283	1091	+2	−2	136	175
1999	11	14	Sao Tome and Principe	Equatorial Guinea	2	0	UFC	GA	39	1024	1052	+5	−6	185	181
2000	04	09	Equatorial Guinea	Congo	1	3	WQ		-11	1041	1422	−1	+2	185	101
2000	04	23	Congo	Equatorial Guinea	2	1	WQ		2	1424	1039	+1	0	100	184
2000	07	02	Equatorial Guinea	Angola	0	1	FQ		-4	1035	1512	−1	0	185	74
2000	07	16	Angola	Equatorial Guinea	4	1	FQ		3	1502	1032	0	0	78	185
2002	09	08	Equatorial Guinea	Sierra Leone	1	3	FQ		-18	1014	1304	−2	0	187	133
2002	10	13	Morocco	Equatorial Guinea	5	0	FQ		1	1634	1013	0	0	50	187
2003	03	23	Benin	Equatorial Guinea	2	1	F		2	1288	1011	+2	0	133	187
2003	03	29	Gabon	Equatorial Guinea	4	0	FQ		4	1394	1007	−1	−1	109	188
2003	06	08	Equatorial Guinea	Gabon	2	1	FQ		34	1041	1359	+3	−11	186	120
2003	06	22	Sierra Leone	Equatorial Guinea	2	0	FQ		5	1353	1036	+3	−1	124	187
2003	07	06	Equatorial Guinea	Morocco	0	1	FQ		-3	1033	1569	0	+1	186	61
2003	10	11	Equatorial Guinea	Togo	1	0	WQA		35	1068	1426	+8	−10	179	101
2003	11	12	Equatorial Guinea	Sao Tome and Principe	3	1	F		11	1079	1051	+2	0	177	181
2003	11	16	Togo	Equatorial Guinea	2	0	WQA		4	1430	1075	+1	−1	99	178
2005	02	08	Chad	Equatorial Guinea	0	0	CMC	GA	-11	1286	1086	−1	+3	135	175
2006	02	26	Benin	Equatorial Guinea	0	1	F		-17	1269	1103	−3	+5	138	172
2006	03	04	Equatorial Guinea	Congo	2	1	CMC		29	1132	1346	+5	−9	167	115
2006	03	06	Equatorial Guinea	Chad	1	1	CMC		5	1137	1308	0	−1	167	129
2006	03	11	Equatorial Guinea	Gabon	0	0	CMC		8	1145	1375	+2	−1	165	105
2006	03	29	Equatorial Guinea	Benin	2	0	F		16	1161	1253	0	−1	165	139
2006	09	03	Equatorial Guinea	Liberia	2	1	FQ		21	1182	1252	+8	−5	161	138
2006	10	07	Cameroon	Equatorial Guinea	3	0	FQ		1	1785	1181	+2	−1	21	164
2007	03	05	Congo	Equatorial Guinea	2	1	CMC	TD	10	1377	1171	+4	−3	107	167
2007	03	09	Equatorial Guinea	Gabon	1	1	CMC	TD	11	1182	1377	+4	−2	163	107
2007	03	25	Equatorial Guinea	Rwanda	3	1	FQ		31	1213	1266	+8	−8	153	140
2007	06	02	Rwanda	Equatorial Guinea	2	0	FQ		17	1290	1196	+3	−4	133	157
2007	06	17	Liberia	Equatorial Guinea	0	0	FQ		-9	1255	1205	−1	+2	141	156
2007	09	09	Equatorial Guinea	Cameroon	1	0	FQ		37	1242	1734	+8	−4	146	34
2007	11	21	Equatorial Guinea	Niger	1	1	F		-2	1240	1264	0	+1	144	138
2008	06	01	Equatorial Guinea	Sierra Leone	2	0	WQA		19	1259	1188	+5	−3	141	157
2008	06	07	South Africa	Equatorial Guinea	4	1	WQA		8	1516	1251	+1	−4	83	145
2008	06	15	Equatorial Guinea	Nigeria	0	1	WQA		-4	1247	1729	−1	+1	145	38
2008	06	21	Nigeria	Equatorial Guinea	2	0	WQA		2	1731	1245	0	0	38	145
2008	09	06	Sierra Leone	Equatorial Guinea	2	1	WQA		15	1248	1230	+3	−3	144	149
2008	10	11	Equatorial Guinea	South Africa	0	1	WQA		-12	1218	1499	−3	+2	153	88
2009	02	11	Equatorial Guinea	Liberia	1	0	F		8	1226	1232	+2	−2	152	148
2009	02	14	Ivory Coast	Equatorial Guinea	2	0	F		1	1716	1225	0	0	41	152
2009	03	28	Cape Verde	Equatorial Guinea	5	0	F		9	1344	1216	+1	−3	122	154
2009	04	25	Mali	Equatorial Guinea	3	0	F		3	1547	1213	0	0	72	154
2009	06	06	Estonia	Equatorial Guinea	3	0	F		5	1421	1208	0	0	104	154
2010	08	11	Morocco	Equatorial Guinea	2	1	F		1	1570	1207	0	0	69	154
2010	10	12	Equatorial Guinea	Botswana	0	2	F		-11	1196	1401	−3	+3	156	110
2011	02	08	Equatorial Guinea	Chad	2	0	F		12	1208	1221	+1	−2	155	150
2011	03	29	Equatorial Guinea	Gambia	1	0	F		12	1220	1371	+4	−3	150	115
2011	08	10	Guinea-Bissau	Equatorial Guinea	4	1	F	PT	16	1261	1204	+4	−2	140	154
2011	09	03	Burkina Faso	Equatorial Guinea	1	0	F		2	1521	1202	−1	0	81	153
2011	09	07	Equatorial Guinea	Central African Republic	3	0	F		15	1217	1240	+4	−4	150	145
2011	10	07	Gabon	Equatorial Guinea	2	0	F	FR	4	1563	1213	−2	−2	71	152
2011	10	11	Equatorial Guinea	Cameroon	1	1	F		7	1220	1644	+2	−1	149	50
2011	11	11	Equatorial Guinea	Madagascar	2	0	WQ		20	1240	1179	+5	−7	144	162
2011	11	15	Madagascar	Equatorial Guinea	2	1	WQ		18	1197	1222	+6	−3	156	147
2012	01	06	Equatorial Guinea	South Africa	0	0	F		7	1229	1592	+1	−1	148	60
2012	01	21	Equatorial Guinea	Libya	1	0	AR		36	1265	1456	+8	−6	140	98
2012	01	25	Equatorial Guinea	Senegal	2	1	AR		39	1304	1551	+7	−12	133	72
2012	01	29	Equatorial Guinea	Zambia	0	1	AR		-15	1289	1561	−2	+1	135	72
2012	02	04	Equatorial Guinea	Ivory Coast	0	3	AR		-7	1282	1809	−1	0	136	18
2012	06	02	Tunisia	Equatorial Guinea	3	1	WQ		5	1592	1277	0	−1	60	138
2012	06	09	Equatorial Guinea	Sierra Leone	2	2	WQ		-3	1274	1322	−1	+1	138	127
2012	08	15	Equatorial Guinea	Liberia	1	0	F		7	1281	1267	+1	−1	141	143
2012	09	09	DR Congo	Equatorial Guinea	4	0	FQ		13	1470	1268	+1	−2	95	144
2012	10	14	Equatorial Guinea	DR Congo	2	1	FQ		26	1294	1444	+4	−2	138	97
2013	03	24	Equatorial Guinea	Cape Verde	4	3	WQ		24	1318	1441	+8	−3	130	99
2013	06	05	Equatorial Guinea	Togo	0	1	F		-10	1308	1444	−2	+1	133	99
2013	06	08	Cape Verde	Equatorial Guinea	2	1	WQ		8	1449	1300	+1	−3	99	136
2013	06	16	Equatorial Guinea	Tunisia	1	1	WQ		9	1309	1567	+4	−1	132	64
2013	09	04	Equatorial Guinea	Libya	1	1	F		4	1313	1565	+1	0	131	66
2013	09	07	Sierra Leone	Equatorial Guinea	3	2	WQ		13	1361	1300	+6	−4	119	135
2013	11	16	Equatorial Guinea	Spain	1	2	F		0	1300	2121	0	0	136	2
2014	05	17	Mauritania	Equatorial Guinea	1	0	FQ		19	1235	1281	+5	−4	147	136
2014	06	01	Equatorial Guinea	Mauritania	3	0	FQ		21	1302	1214	+6	−4	130	155
2014	06	04	Equatorial Guinea	Sao Tome and Principe	3	2	F		3	1305	1073	+1	0	129	181
2015	01	07	Cape Verde	Equatorial Guinea	1	1	F	PT	-5	1497	1310	−1	+1	88	131
2015	01	17	Equatorial Guinea	Congo	1	1	AR		1	1311	1423	0	0	130	106
2015	01	21	Equatorial Guinea	Burkina Faso	0	0	AR		6	1317	1493	0	0	130	86
2015	01	25	Equatorial Guinea	Gabon	2	0	AR		49	1366	1476	+13	−16	117	91
2015	01	31	Equatorial Guinea	Tunisia	2	1	AR		34	1400	1565	+6	−5	111	66
2015	02	05	Equatorial Guinea	Ghana	0	3	AR		-18	1382	1748	−2	+3	113	28
2015	02	07	Equatorial Guinea	DR Congo	0	0	AR		2	1384	1506	0	−2	113	81
2015	03	26	Egypt	Equatorial Guinea	2	0	F		4	1602	1380	+1	0	61	113
2015	03	29	Ivory Coast	Equatorial Guinea	1	1	F		-9	1736	1389	−1	+1	30	112
2015	06	06	Andorra	Equatorial Guinea	0	1	F		-3	971	1392	−1	0	192	113
2015	06	14	Equatorial Guinea	Benin	1	1	FQ		-7	1385	1377	−3	+3	113	114
2015	09	05	South Sudan	Equatorial Guinea	1	0	FQ		32	1087	1353	+3	−8	180	120
2015	10	10	Kosovo	Equatorial Guinea	2	0	F		10	1387	1343	+3	−1	111	122
2015	11	12	Morocco	Equatorial Guinea	2	0	WQ		9	1555	1334	+2	−3	70	126
2015	11	15	Equatorial Guinea	Morocco	1	0	WQ		27	1361	1528	+6	−3	118	74
2016	03	25	Mali	Equatorial Guinea	1	0	FQ		7	1540	1354	+2	−1	73	116
2016	03	28	Equatorial Guinea	Mali	0	1	FQ		-15	1339	1555	−4	+4	121	69
2016	06	12	Benin	Equatorial Guinea	2	1	FQ		12	1406	1327	+2	−3	109	124
2016	09	04	Equatorial Guinea	South Sudan	4	0	FQ		11	1338	1112	+4	−1	120	177
2016	10	11	Lebanon	Equatorial Guinea	1	1	F		-4	1368	1342	−1	0	116	119
2017	06	10	Senegal	Equatorial Guinea	3	0	FQ		5	1703	1337	+2	−1	37	122
2017	09	03	Equatorial Guinea	Benin	1	2	F		-11	1326	1404	−2	+1	125	108
