year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1920	10	17	Finland	Estonia	6	0	F		7	1604	1393	+1	−	22	32
1921	07	22	Estonia	Sweden	0	0	F		3	1396	1614	0	0	32	22
1921	08	28	Estonia	Finland	0	3	F		-12	1384	1625	0	+1	32	20
1922	08	11	Finland	Estonia	10	2	F		7	1598	1377	+2	−1	27	42
1922	09	24	Latvia	Estonia	1	1	F		-3	1397	1380	−	−1	41	43
1923	06	24	Lithuania	Estonia	0	5	F		-10	1090	1390	−	+1	50	43
1923	07	24	Estonia	Latvia	1	1	F		-3	1387	1400	0	0	43	42
1923	09	19	Estonia	Russia	2	4	F		-17	1370	1467	−2	0	45	40
1923	09	25	Estonia	Poland	1	4	F		-11	1359	1606	−1	+2	46	25
1923	09	30	Estonia	Finland	2	1	F		13	1372	1572	+1	−4	45	33
1924	05	25	United States	Estonia	1	0	OG	FR	8	1713	1364	−1	0	18	48
1924	06	03	Ireland	Estonia	3	1	F	FR	7	1592	1357	0	−1	28	49
1924	06	19	Estonia	Turkey	1	4	F		-15	1342	1528	0	0	50	39
1924	07	25	Sweden	Estonia	5	2	F		1	1865	1341	0	0	7	50
1924	08	24	Estonia	Lithuania	1	2	F		-18	1323	1092	−1	0	51	55
1924	09	14	Finland	Estonia	4	0	F		5	1566	1318	+1	0	34	51
1924	10	18	Latvia	Estonia	2	0	F		9	1368	1309	+1	0	48	51
1925	06	28	Lithuania	Estonia	0	1	F		-7	1085	1316	0	0	57	52
1925	07	05	Estonia	Finland	2	0	F		20	1336	1521	+1	−1	51	38
1925	08	26	Estonia	Latvia	2	2	F		-2	1334	1364	0	+1	51	49
1925	09	02	Estonia	Poland	0	0	F		4	1338	1559	0	0	51	32
1926	06	13	Estonia	Lithuania	3	1	F		4	1342	1089	0	0	52	59
1926	07	04	Poland	Estonia	2	0	F		4	1566	1338	0	0	36	52
1926	07	23	Estonia	Sweden	1	7	F		-4	1334	1848	0	0	52	10
1926	09	05	Finland	Estonia	1	1	F		-7	1517	1341	0	0	39	52
1926	09	19	Latvia	Estonia	0	1	F		-14	1363	1355	0	0	49	52
1927	06	16	Estonia	Latvia	4	1	F		13	1368	1348	+2	−1	49	51
1927	07	01	Sweden	Estonia	3	1	F		1	1828	1367	0	0	10	49
1927	08	10	Estonia	Finland	2	1	F		11	1378	1494	0	−2	49	42
1927	08	13	Lithuania	Estonia	0	5	F		-10	1070	1388	0	+1	60	48
1927	09	25	Latvia	Estonia	4	1	F		15	1361	1373	0	−1	51	48
1928	07	09	Estonia	Sweden	0	1	F		-2	1371	1827	0	+1	49	12
1928	07	26	Estonia	Lithuania	6	0	BLC		6	1377	1056	+1	0	48	62
1928	07	27	Estonia	Latvia	0	1	BLC		-20	1357	1385	−4	+2	52	48
1928	08	12	Finland	Estonia	2	2	F		-6	1469	1363	0	+2	44	50
1928	09	23	Latvia	Estonia	1	1	F		-3	1386	1366	0	0	49	51
1929	07	07	Sweden	Estonia	4	1	F		1	1825	1365	0	0	11	52
1929	07	25	Estonia	Finland	1	1	F		-1	1364	1439	−1	0	53	48
1929	08	15	Estonia	Lithuania	5	2	BLC	LV	8	1372	1050	+2	0	51	65
1929	08	16	Latvia	Estonia	2	2	BLC		-5	1383	1377	0	0	50	51
1929	08	27	Finland	Estonia	2	1	F		6	1445	1371	0	0	48	51
1929	09	18	Estonia	Latvia	4	1	F		13	1384	1362	+2	−3	50	54
1930	06	27	Estonia	Latvia	1	1	F		-3	1381	1365	0	0	52	55
1930	07	18	Estonia	Sweden	1	5	F		-5	1376	1805	−2	0	54	14
1930	08	06	Estonia	Finland	4	0	F		15	1391	1397	+2	−1	52	51
1930	08	15	Lithuania	Estonia	2	1	BLC		24	1074	1367	0	−3	68	55
1930	08	16	Latvia	Estonia	3	2	BLC	LT	15	1391	1352	+2	−1	52	56
1930	09	13	Lithuania	Estonia	4	0	F		27	1109	1325	0	0	68	56
1931	05	28	Latvia	Estonia	0	1	F		-14	1364	1339	0	0	56	57
1931	06	09	Estonia	Lithuania	4	1	F		5	1344	1104	0	0	57	70
1931	06	17	Finland	Estonia	3	1	F		8	1416	1336	+1	0	52	57
1931	07	08	Sweden	Estonia	3	1	F		1	1784	1335	0	0	13	57
1931	08	30	Estonia	Lithuania	2	0	BLC		6	1341	1092	0	0	57	70
1931	09	01	Estonia	Latvia	3	1	BLC		17	1358	1333	+1	−1	56	57
