year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1966	07	24	Swaziland	Mozambique	1	4	RTR		-25	1175	1337	−	+5	140	109
1968	05	01	Swaziland	Malawi	2	0	F		8	1183	1093	+3	−1	139	151
1968	09	07	Swaziland	Malawi	2	0	IND		13	1196	1122	+2	−1	137	147
1969	07	06	Malawi	Swaziland	3	0	IND		24	1149	1172	+4	−4	143	141
1969	07	09	Malawi	Swaziland	1	1	IND		-3	1146	1175	−1	+1	144	140
1970	09	07	Swaziland	Botswana	5	3	IND		10	1185	1056	+2	0	136	155
1971	09	06	Swaziland	Lesotho	5	6	IND		-19	1166	1215	−3	+4	142	131
1972	09	06	Swaziland	Botswana	5	1	IND		13	1179	1043	+2	−1	139	158
1972	09	30	Botswana	Swaziland	5	2	IND		29	1072	1150	+2	−3	155	142
1973	09	06	Swaziland	Malawi	0	1	IND		-13	1137	1301	−2	+1	145	117
1973	09	07	Swaziland	Lesotho	2	1	IND		12	1149	1162	+2	0	143	141
1974	09	06	Swaziland	Botswana	3	4	IND		-22	1127	1094	−2	+4	144	152
1974	09	30	Botswana	Swaziland	3	1	IND		18	1112	1109	+3	−6	149	150
1975	09	06	Swaziland	Lesotho	3	2	IND		13	1122	1141	+4	−1	146	140
1975	12	20	Malawi	Swaziland	2	0	F		3	1405	1119	+1	0	93	146
1975	12	22	Malawi	Swaziland	0	0	F		-8	1397	1127	−1	0	94	146
1976	09	06	Swaziland	Botswana	1	3	IND		-30	1097	1142	−3	+8	150	142
1976	09	18	Botswana	Swaziland	1	2	IND		-20	1088	1117	−4	+2	153	148
1976	09	19	Botswana	Swaziland	2	0	IND		18	1106	1099	+4	−2	149	150
1978	02	04	Zambia	Swaziland	9	1	F		2	1559	1097	0	0	55	149
1978	02	05	Zambia	Swaziland	11	2	F		2	1561	1095	+2	0	53	149
1978	08	00	Lesotho	Swaziland	0	3	F		-24	1108	1119	−3	+3	148	146
1978	08	26	Swaziland	Zambia	1	6	F		-4	1115	1582	−1	+1	147	54
1978	08	27	Swaziland	Zambia	2	5	F		-4	1111	1586	0	0	147	54
1981	04	18	Zambia	Swaziland	6	1	IND	ZW	5	1526	1106	+1	0	64	150
1981	09	04	Swaziland	Lesotho	1	1	IND		-1	1105	1186	−1	0	151	139
1981	09	05	Swaziland	Zimbabwe	0	2	IND		-7	1098	1501	0	+2	151	70
1981	09	06	Swaziland	Malawi	0	0	IND		11	1109	1501	+1	−3	150	70
1984	07	01	Swaziland	Lesotho	3	1	F		13	1122	1148	+3	0	147	143
1984	10	14	Zimbabwe	Swaziland	3	0	FQ		4	1504	1118	+3	−1	68	150
1984	11	04	Swaziland	Zimbabwe	1	5	FQ		-12	1106	1516	−2	+1	152	67
1986	04	26	Swaziland	Botswana	0	1	F		-15	1091	1044	−2	+3	154	161
1987	01	04	Swaziland	Malawi	1	3	AGQ		-8	1083	1523	−1	+1	154	68
1987	01	18	Malawi	Swaziland	6	1	AGQ		3	1526	1080	+1	−1	66	155
1987	06	07	Swaziland	Zimbabwe	0	2	OQ		-8	1072	1521	−2	+1	157	67
1987	06	21	Zimbabwe	Swaziland	6	1	OQ		3	1539	1069	+1	0	64	157
1988	07	31	Botswana	Swaziland	2	1	F		7	1091	1062	+2	0	154	159
1988	10	01	Tanzania	Swaziland	1	1	FQ		-14	1236	1076	−5	+1	128	158
1988	10	16	Swaziland	Tanzania	1	1	FQ		3	1079	1233	+1	0	157	128
1989	04	09	Swaziland	Malawi	0	2	FQ		-6	1073	1567	−1	+2	159	54
1989	04	19	Swaziland	Zambia	1	0	F		19	1092	1627	+4	−3	155	44
1989	04	23	Malawi	Swaziland	1	1	FQ		-19	1548	1111	−8	+2	61	153
1990	01	20	Swaziland	Botswana	3	1	SDC		19	1130	1137	+3	−1	152	148
1990	01	21	Swaziland	Tanzania	0	1	SDC		-16	1114	1222	−1	+3	153	133
1990	01	23	Swaziland	Malawi	0	0	SDC		8	1122	1428	0	−1	153	83
1990	04	01	Swaziland	Zimbabwe	4	4	SDC	ZM	11	1133	1459	+3	−2	150	74
1990	08	05	Swaziland	Mozambique	0	0	F		4	1137	1392	+1	−1	150	93
1990	08	18	Zambia	Swaziland	5	0	FQ		4	1569	1133	+4	−1	51	151
1990	08	25	Botswana	Swaziland	1	3	F		-20	1121	1153	−5	+2	154	149
1990	09	02	Swaziland	Angola	1	1	FQ		8	1161	1390	+3	−1	146	93
1991	04	14	Swaziland	Madagascar	0	1	FQ		-9	1152	1483	−1	0	148	74
1991	04	28	Swaziland	Zambia	2	1	FQ		34	1186	1533	+6	−6	142	61
1991	06	22	Mozambique	Swaziland	2	1	IND		5	1375	1181	+3	0	98	141
1991	07	15	Angola	Swaziland	1	1	FQ		-15	1394	1196	−6	+2	91	140
1991	09	21	Botswana	Swaziland	2	1	IND		13	1144	1183	0	−3	158	148
1992	06	25	Mozambique	Swaziland	4	1	IND		10	1342	1173	0	−3	116	156
1992	10	18	Cameroon	Swaziland	5	0	WQ		3	1654	1170	0	−1	41	160
1992	10	25	Swaziland	Zaire	1	0	WQ		35	1205	1560	+9	−7	151	63
1993	01	17	Swaziland	Cameroon	0	0	WQ		16	1221	1658	+1	−2	150	38
1993	07	06	Malawi	Swaziland	3	1	IND		5	1483	1216	+1	0	85	148
1993	07	08	Malawi	Swaziland	1	1	IND		-12	1471	1228	−2	+3	87	145
1993	07	10	Malawi	Swaziland	0	1	IND		-26	1445	1254	−5	+4	92	141
1993	07	29	Malawi	Swaziland	3	0	F		7	1415	1247	+2	−1	98	142
1993	08	08	Zimbabwe	Swaziland	2	0	F		3	1540	1244	0	−1	69	143
1993	09	06	Swaziland	Zimbabwe	0	1	IND		-7	1237	1547	0	0	144	68
1994	04	20	Swaziland	Mozambique	0	1	F		-11	1226	1309	−4	+3	149	125
1996	05	12	Swaziland	Mozambique	0	1	F		-8	1218	1411	−2	+1	150	105
1996	06	02	Swaziland	Gabon	0	1	WQ		-11	1207	1502	−2	+3	151	77
1996	06	16	Gabon	Swaziland	2	0	WQ		6	1508	1201	0	−2	77	153
1997	01	26	Swaziland	Lesotho	3	1	F		10	1211	1171	+2	−2	151	163
1997	02	21	Botswana	Swaziland	0	0	F		3	1021	1208	+2	0	186	152
1997	03	02	Swaziland	Mozambique	0	4	CSF		-33	1175	1379	−10	+4	161	116
1997	11	02	Swaziland	Mauritius	0	1	F		-14	1161	1149	−1	0	163	165
