year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1947	12	05	French Somaliland	Ethiopia	0	5	FT		-3	897	1503	−	−	105	54
1948	06	01	French Somaliland	Ethiopia	1	2	F		-1	896	1504	0	0	107	56
1949	05	01	Ethiopia	French Somaliland	6	0	FT		1	1505	895	+1	0	57	110
1954	05	01	Ethiopia	French Somaliland	10	2	F		1	1506	894	−1	−1	61	134
1954	06	01	French Somaliland	Ethiopia	0	2	F		-1	893	1507	0	0	134	60
1954	06	02	French Somaliland	Ethiopia	1	2	F		-1	892	1508	0	0	134	60
1956	01	29	Ethiopia	Egypt	1	4	OQ		-42	1466	1577	−5	+14	71	44
1956	04	27	Egypt	Ethiopia	5	2	OQ		16	1593	1450	+2	−5	44	75
1956	05	13	Sudan	Ethiopia	5	1	F		4	1704	1446	−	−3	24	78
1956	11	16	Ethiopia	Sudan	2	1	F		14	1460	1690	+6	−4	75	27
1957	02	15	Egypt	Ethiopia	4	0	AR	SD	26	1657	1434	+5	−6	35	80
1959	05	22	United Arab Republic	Ethiopia	4	0	AR		14	1644	1420	0	−3	40	85
1959	05	25	Sudan	Ethiopia	1	0	AR	RR	13	1623	1407	+1	−4	41	89
1959	11	14	Uganda	Ethiopia	1	2	OQ		-30	1471	1437	−7	+7	76	83
1959	11	23	Sudan	Ethiopia	3	1	OQ		11	1617	1426	+1	−1	43	84
1959	12	13	Ethiopia	Uganda	1	1	OQ		-4	1422	1467	−4	+2	88	76
1959	12	20	Ethiopia	Sudan	1	1	OQ		6	1428	1619	+3	0	84	42
1961	03	14	Israel	Ethiopia	1	0	WQ		6	1625	1422	0	−2	41	85
1961	03	19	Israel	Ethiopia	3	2	WQ		6	1631	1416	0	−1	41	86
1961	12	31	Ethiopia	Kenya	4	3	F		9	1425	1467	+1	−1	86	74
1962	01	07	Ethiopia	Kenya	6	1	F		17	1442	1450	+7	−3	80	78
1962	01	14	Ethiopia	Tunisia	4	2	AR		33	1475	1464	+7	−6	73	75
1962	01	21	Ethiopia	Egypt	4	2	AR		52	1527	1664	+12	−12	62	37
1962	09	19	Yugoslavia	Ethiopia	5	2	F		2	1926	1525	+1	0	8	65
