year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1930	07	29	Faroe Islands	Iceland	0	1	F		-13	1287	1313	−	−	61	59
1972	07	12	Iceland	Faroe Islands	3	0	F		13	1283	1274	+1	−4	121	122
1973	06	08	Faroe Islands	Iceland	0	4	F		-24	1250	1295	−5	+4	128	120
1974	07	03	Faroe Islands	Iceland	2	3	F		-13	1237	1271	−1	+4	130	123
1975	06	23	Iceland	Faroe Islands	6	0	F		10	1353	1227	0	0	106	127
1976	06	16	Faroe Islands	Iceland	1	6	F		-18	1209	1375	−3	+5	132	100
1980	06	30	Iceland	Faroe Islands	2	1	GRN		6	1361	1203	0	−1	97	133
1980	07	02	Faroe Islands	Greenland	6	0	GRN	IS	15	1218	985	+3	−	130	163
1982	08	01	Faroe Islands	Iceland	1	4	F		-10	1208	1490	−4	+5	138	70
1982	08	02	Faroe Islands	Iceland	0	4	F		-10	1198	1500	0	+1	138	69
1983	06	29	Greenland	Faroe Islands	0	0	GRN		5	987	1193	0	−2	165	140
1983	07	03	Greenland	Faroe Islands	2	3	GRN		-11	976	1204	0	+2	165	138
1983	08	08	Iceland	Faroe Islands	6	0	F		4	1506	1200	+1	−1	69	139
1984	08	01	Faroe Islands	Iceland	0	0	GRN		6	1206	1453	0	−1	139	83
1984	08	05	Faroe Islands	Greenland	1	0	GRN		4	1210	970	+1	0	138	166
1984	08	07	Faroe Islands	Greenland	4	2	F		4	1214	966	+4	0	134	166
1985	07	10	Iceland	Faroe Islands	9	0	F		6	1483	1208	0	−4	77	138
1985	07	12	Iceland	Faroe Islands	1	0	F		2	1485	1206	0	−1	77	139
1988	08	24	Iceland	Faroe Islands	1	0	F		2	1540	1204	0	0	62	136
1989	04	14	Faroe Islands	Canada	1	0	F		16	1220	1541	+3	−3	131	62
1989	04	16	Faroe Islands	Canada	0	1	F		-4	1216	1545	−1	0	132	62
1989	07	09	Faroe Islands	Greenland	3	0	IG		8	1224	958	+2	0	132	172
1990	08	08	Faroe Islands	Iceland	2	3	F		-4	1220	1568	0	+3	134	52
1990	09	12	Faroe Islands	Austria	1	0	EQ	SE	38	1258	1693	+8	−5	125	34
1990	10	10	Denmark	Faroe Islands	4	1	EQ		1	1908	1257	0	0	9	124
1991	05	01	Northern Ireland	Faroe Islands	1	1	EQ		-18	1646	1275	−3	+5	40	122
1991	05	16	Yugoslavia	Faroe Islands	7	0	EQ		1	1951	1274	+1	0	6	123
1991	05	22	Austria	Faroe Islands	3	0	EQ		4	1670	1270	+1	0	35	123
1991	06	25	Faroe Islands	Greenland	3	2	IG	FI	6	1276	952	−1	−1	124	176
1991	07	15	Faroe Islands	Turkey	1	1	F		6	1282	1591	0	−1	124	52
1991	09	11	Northern Ireland	Faroe Islands	5	0	EQ	SE	9	1655	1273	+2	0	42	126
1991	09	25	Denmark	Faroe Islands	4	0	EQ	SE	3	1851	1270	+1	0	13	126
1991	10	16	Yugoslavia	Faroe Islands	2	0	EQ	SE	1	1940	1269	0	0	7	126
1992	05	06	Romania	Faroe Islands	7	0	WQ		2	1802	1267	0	−1	21	133
1992	05	13	Norway	Faroe Islands	2	0	F		1	1728	1266	0	0	30	133
1992	06	03	Faroe Islands	Belgium	0	3	WQ		-5	1261	1818	−2	+1	136	19
1992	06	16	Faroe Islands	Cyprus	0	2	WQ		-39	1222	1289	−8	+11	144	127
1992	08	05	Faroe Islands	Israel	1	1	F		7	1229	1605	+3	−1	145	52
1992	09	09	Wales	Faroe Islands	6	0	WQ		2	1777	1227	0	−1	24	148
1992	09	23	Czechoslovakia	Faroe Islands	4	0	WQ		1	1820	1226	0	0	18	148
1993	04	25	Cyprus	Faroe Islands	3	1	WQ		13	1364	1213	+1	−3	114	150
