year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1951	10	07	Fiji	New Zealand	4	6	F		-12	1188	1392	−	+4	108	75
1952	09	07	Fiji	New Zealand	0	2	F		-11	1177	1403	0	+4	108	74
1952	09	14	Fiji	New Zealand	0	9	F		-16	1161	1419	0	+1	108	73
1952	09	16	Fiji	New Zealand	2	5	F		-10	1151	1429	0	+2	108	71
1963	08	29	Fiji	Papua New Guinea	3	1	SPG		18	1169	1082	+1	−	134	143
1963	09	01	Fiji	Solomon Islands	5	0	SPG		35	1204	1188	+5	−8	130	135
1963	09	07	Fiji	New Caledonia	2	8	SPG		-28	1176	1460	−4	+5	134	78
1968	09	04	New Caledonia	Fiji	5	2	F		3	1477	1173	0	0	73	142
1968	09	17	New Zealand	Fiji	5	0	F		3	1487	1170	+2	0	70	142
1968	09	19	New Caledonia	Fiji	2	1	F		2	1479	1168	0	0	73	142
1969	08	14	Fiji	Solomon Islands	5	1	SPG	PG	34	1202	1105	+8	−5	134	150
1969	08	15	Fiji	New Hebrides	5	2	SPG	PG	25	1227	1077	+6	−2	128	153
1969	08	16	Tahiti	Fiji	2	0	SPG	PG	12	1477	1215	0	−1	74	129
1969	08	18	New Caledonia	Fiji	11	0	SPG	PG	19	1511	1196	+3	−8	69	137
1969	08	20	Papua New Guinea	Fiji	1	1	SPG		1	1081	1195	−1	0	152	137
1969	08	22	Papua New Guinea	Fiji	2	1	SPG		21	1102	1174	+1	−4	151	141
1971	08	30	Tahiti	Fiji	5	2	F		3	1467	1171	+1	−1	73	142
1971	09	09	New Caledonia	Fiji	5	1	SPG	TI	10	1502	1161	+2	−1	66	142
1971	09	11	New Hebrides	Fiji	6	4	SPG	TI	39	1090	1122	+4	−5	153	147
1971	09	15	Fiji	Cook Islands	15	1	SPG	TI	9	1131	679	+2	0	145	176
1973	02	17	New Zealand	Fiji	5	1	OC		8	1458	1123	+2	0	71	148
1973	02	20	New Caledonia	Fiji	2	0	OC	NZ	9	1483	1114	+2	−2	66	149
1973	02	21	New Hebrides	Fiji	2	1	OC	NZ	25	1140	1089	+4	−5	144	154
1973	02	23	Tahiti	Fiji	4	0	OC	NZ	10	1463	1079	+3	0	71	154
1975	07	28	Fiji	China	1	4	F		-3	1076	1565	0	0	156	51
1975	08	04	Guam	Fiji	0	11	SPG		-18	671	1094	−2	+4	181	152
1975	08	05	Fiji	Solomon Islands	1	1	SPG	GU	2	1096	1123	+1	0	151	145
1975	08	07	Tahiti	Fiji	3	0	SPG	GU	9	1431	1087	+3	−3	86	154
1975	08	08	Solomon Islands	Fiji	3	2	SPG	GU	18	1134	1069	+2	−1	144	155
1977	03	19	Fiji	Australia	1	0	F		19	1088	1668	0	−2	154	35
1979	00	00	Fiji	New Caledonia	0	5	F		-6	1082	1479	+5	−3	147	77
1979	00	00	Fiji	New Caledonia	5	2	F		30	1112	1449	+5	−3	147	77
1979	06	29	Fiji	New Zealand	0	6	F		-6	1106	1525	−2	+1	149	63
1979	07	01	Fiji	New Zealand	0	3	F		-5	1101	1530	0	0	150	63
1979	08	29	Fiji	Papua New Guinea	0	0	SPG		-8	1093	1065	−2	+1	151	153
1979	08	30	Fiji	Kiribati	24	0	SPG		6	1099	594	0	−	151	188
1979	09	03	Fiji	Wallis and Futuna	5	0	SPG		5	1104	709	+1	0	149	182
1979	09	04	Fiji	Solomon Islands	2	0	SPG		27	1131	1139	+3	−6	146	143
1979	09	07	Fiji	Tahiti	0	3	SPG		-13	1118	1506	−1	+3	147	67
