year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1911	10	22	Finland	Sweden	2	5	F		-20	1580	1672	−	+1	16	13
1912	06	27	Sweden	Finland	7	1	F		9	1708	1571	0	0	12	16
1912	06	29	Finland	Italy	3	2	OG	SE	37	1608	1612	+1	0	15	14
1912	06	30	Finland	Russia	2	1	OG	SE	29	1637	1571	+1	−	14	17
1912	07	02	England	Finland	4	0	OG	SE	5	2183	1632	0	0	1	15
1912	07	04	Netherlands	Finland	9	0	OG	SE	21	1972	1611	0	−1	3	15
1914	05	24	Sweden	Finland	4	3	F		6	1655	1605	0	0	13	15
1919	05	29	Sweden	Finland	1	0	F		6	1657	1599	0	−1	16	19
1919	09	28	Finland	Sweden	3	3	F		-2	1597	1634	0	0	19	16
1920	05	30	Sweden	Finland	4	0	F		10	1673	1587	0	0	15	20
1920	09	19	Finland	Sweden	1	0	F		10	1597	1663	0	0	23	17
1920	10	17	Finland	Estonia	6	0	F		7	1604	1393	+1	−	22	32
1921	05	25	Norway	Finland	3	2	F		9	1544	1595	0	0	27	21
1921	05	29	Sweden	Finland	0	3	F		-25	1631	1620	−1	0	20	21
1921	07	31	Finland	Austria	2	3	F		-7	1613	1846	−1	0	21	11
1921	08	28	Estonia	Finland	0	3	F		-12	1384	1625	0	+1	32	20
1921	09	18	Finland	Germany	3	3	F		-2	1623	1653	0	0	21	20
1922	06	05	Finland	Sweden	1	4	F		-24	1599	1603	−3	+4	26	25
1922	07	13	Finland	Hungary	1	5	F		-8	1591	1931	−2	+1	29	4
1922	08	11	Finland	Estonia	10	2	F		7	1598	1377	+2	−1	27	42
1922	08	26	Finland	Norway	1	3	F		-19	1579	1630	−4	+1	30	23
1923	06	17	Norway	Finland	3	0	F		11	1618	1568	+2	−2	25	33
1923	06	20	Sweden	Finland	5	4	F		5	1659	1563	+1	−1	23	34
1923	08	12	Germany	Finland	1	2	F		-15	1655	1578	−2	+2	24	32
1923	08	15	Austria	Finland	2	1	F		3	1812	1575	0	−1	13	33
1923	08	19	Hungary	Finland	3	1	F		2	1915	1573	0	0	6	33
1923	09	23	Finland	Poland	5	3	F		12	1585	1595	+3	−2	30	27
1923	09	30	Estonia	Finland	2	1	F		13	1372	1572	+1	−4	45	33
1924	06	17	Finland	Turkey	2	4	F		-22	1550	1513	−6	+1	37	39
1924	07	28	Finland	Sweden	5	7	F		-7	1543	1872	−1	+1	38	6
1924	08	10	Poland	Finland	1	0	F		7	1574	1536	+2	0	31	38
1924	08	14	Latvia	Finland	0	2	F		-12	1351	1548	−1	+1	49	37
1924	08	23	Finland	Norway	2	0	F		13	1561	1585	+2	0	35	29
1924	09	14	Finland	Estonia	4	0	F		5	1566	1318	+1	0	34	51
1925	06	07	Norway	Finland	1	0	F		7	1573	1559	+3	−1	30	34
1925	06	09	Sweden	Finland	4	0	F		3	1894	1556	0	−2	6	36
1925	06	26	Finland	Germany	3	5	F		-15	1541	1679	−1	+1	37	24
1925	07	05	Estonia	Finland	2	0	F		20	1336	1521	+1	−1	51	38
1925	07	10	Finland	Austria	1	2	F		-4	1517	1882	−1	0	39	7
1925	08	09	Finland	Latvia	3	1	F		6	1523	1362	+1	−2	38	50
1925	08	30	Finland	Poland	2	2	F		-2	1521	1563	0	0	38	32
1925	09	27	Denmark	Finland	3	3	F		-9	1877	1530	0	+1	6	37
1926	06	06	Finland	Norway	2	5	F		-21	1509	1575	−1	+6	39	31
1926	06	20	Finland	Denmark	3	2	F		16	1525	1857	0	−1	39	9
1926	07	26	Finland	Sweden	2	3	F		-4	1521	1852	0	0	39	10
1926	08	08	Poland	Finland	7	1	F		13	1579	1508	+5	0	31	39
1926	08	12	Latvia	Finland	1	4	F		-16	1372	1524	−1	0	49	39
1926	09	05	Finland	Estonia	1	1	F		-7	1517	1341	0	0	39	52
1927	06	12	Sweden	Finland	6	2	F		3	1815	1514	0	0	12	39
1927	06	15	Norway	Finland	3	1	F		9	1570	1505	+5	−1	32	40
1927	08	10	Estonia	Finland	2	1	F		11	1378	1494	0	−2	49	42
1927	09	11	Finland	Latvia	3	1	F		6	1500	1346	+1	0	41	51
1928	06	03	Finland	Norway	0	6	F		-25	1475	1570	−3	+4	44	34
