year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1904	05	01	Belgium	France	3	3	ECT		-10	1790	1610	−	−	8	9
1905	02	12	France	Switzerland	1	0	F		5	1615	1495	0	−	9	11
1905	05	07	Belgium	France	7	0	F		9	1774	1606	0	0	9	10
1906	04	22	France	Belgium	0	5	F		-17	1589	1780	0	0	10	9
1906	11	01	France	England	0	15	F		-11	1578	1973	0	0	11	2
1907	04	21	Belgium	France	1	2	F		-17	1792	1595	0	0	10	12
1908	03	08	Switzerland	France	1	2	F		-10	1485	1605	0	0	14	11
1908	03	23	England	France	12	0	F		3	2000	1602	0	0	2	11
1908	04	12	France	Belgium	1	2	F		-8	1594	1792	0	0	12	10
1908	05	10	Netherlands	France	4	1	F		3	1893	1591	0	0	5	12
1908	10	22	Denmark	France	17	1	OG	EN	18	2018	1573	−	−1	2	14
1909	05	09	Belgium	France	5	2	F		6	1742	1567	0	0	11	15
1909	05	22	France	England	0	11	F		-3	1564	2173	0	0	15	1
1910	04	03	France	Belgium	0	4	F		-13	1551	1780	0	0	15	11
1910	04	16	England	France	10	1	F		1	2134	1550	0	0	1	15
1910	05	15	Italy	France	6	2	F		7	1707	1543	−	−1	12	16
1911	01	01	France	Hungary	0	3	F		-7	1536	1892	0	0	16	6
1911	03	23	France	England	0	3	F		-2	1534	2155	0	0	16	1
1911	04	09	France	Italy	2	2	F		2	1536	1691	0	0	16	12
1911	04	23	Switzerland	France	5	2	F		14	1523	1522	+2	−1	16	17
1911	04	30	Belgium	France	7	1	F		5	1760	1517	0	−1	11	18
1911	10	29	Luxembourg	France	1	4	F		-12	1288	1529	−	+1	24	18
1912	01	28	France	Belgium	1	1	F		4	1533	1756	0	0	18	11
1912	02	18	France	Switzerland	4	1	F		13	1546	1530	+1	−1	17	18
1912	03	17	Italy	France	3	4	F		-16	1649	1562	0	0	13	17
1913	01	12	France	Italy	1	0	F		9	1571	1608	0	−1	17	15
1913	02	16	Belgium	France	3	0	F		6	1748	1565	0	−1	11	18
1913	02	27	France	England	1	4	F		-2	1563	2176	0	0	18	1
1913	03	09	Switzerland	France	1	4	F		-20	1495	1583	0	+1	20	17
1913	04	20	France	Luxembourg	8	0	F		4	1587	1284	0	0	17	26
1914	01	25	France	Belgium	4	3	F		13	1600	1787	0	0	16	11
1914	02	08	Luxembourg	France	5	4	F		16	1300	1584	0	0	26	16
1914	03	08	France	Switzerland	2	2	F		-5	1579	1509	0	0	18	21
1914	03	29	Italy	France	2	0	F		9	1626	1570	0	0	14	18
1914	05	31	Hungary	France	5	1	F		2	1966	1568	0	0	3	18
1916	03	12	France	Belgium	1	4	F		-13	1555	1765	0	0	19	12
1918	04	22	Belgium	France	5	2	F		5	1779	1550	0	0	12	21
1919	03	09	Belgium	France	2	2	F		-7	1770	1557	0	0	12	21
1920	01	18	Italy	France	9	4	F		11	1640	1546	0	0	17	22
1920	02	29	Switzerland	France	0	2	F		-18	1489	1564	−2	0	26	22
1920	03	28	France	Belgium	2	1	F		14	1578	1778	0	0	22	12
1920	04	05	France	England	0	5	F		-6	1572	1988	0	+1	22	1
1920	08	24	France	Greece	8	0	F	BE	13	1585	1387	+1	−	21	29
1920	08	29	France	Italy	3	1	OG	BE	55	1640	1607	+3	−3	20	21
1920	08	31	Czechoslovakia	France	4	1	OG	BE	19	1925	1621	+2	−1	5	21
1921	02	08	France	Ireland	1	2	F		-13	1608	1610	−2	+2	22	21
1921	02	20	France	Italy	1	2	F		-12	1596	1633	−1	0	23	20
1921	03	06	Belgium	France	3	1	F		2	1930	1594	0	0	7	22
1921	06	23	Slovenia	France	0	5	F		-26	1574	1620	−	+2	−	20
1921	11	13	France	Netherlands	0	5	F		-13	1607	1865	0	0	23	10
1922	01	15	France	Belgium	2	1	F		15	1622	1867	0	0	24	9
1922	04	30	France	Spain	0	4	F		-6	1616	2030	0	0	24	1
1922	06	11	Norway	France	7	0	F		18	1608	1598	+5	−4	24	28
1923	01	28	Spain	France	3	0	F		2	2036	1596	0	0	1	29
1923	02	25	Belgium	France	4	1	F		3	1897	1593	+1	0	7	29
1923	04	02	Netherlands	France	8	1	F		6	1818	1587	0	−1	13	30
1923	04	22	France	Switzerland	2	2	F		-2	1585	1613	0	0	30	27
1923	05	10	France	England	1	4	F		-7	1578	1919	−2	+1	32	4
1923	10	28	France	Norway	0	2	F		-18	1560	1620	−3	+2	35	25
