year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1935	12	29	French Guiana	Surinam	1	3	FT		-17	1283	1507	−	+4	71	48
1946	00	00	French Guiana	Surinam	1	3	F		-11	1272	1501	−1	+2	86	55
1947	03	02	Surinam	French Guiana	9	0	F		10	1414	1262	0	0	65	87
1948	09	26	French Guiana	Surinam	2	4	CIQ		-21	1241	1489	−1	+2	95	57
1948	10	00	French Guiana	British Guiana	3	2	CIQ		20	1261	1325	+1	−2	94	79
1948	12	18	Guadeloupe	French Guiana	7	2	CIB		12	1472	1249	+1	−1	59	95
1949	08	14	Surinam	French Guiana	5	0	F		5	1505	1244	+2	0	57	98
1949	08	19	Surinam	French Guiana	2	1	F		2	1507	1242	+2	0	55	98
1962	10	15	Surinam	French Guiana	4	2	F		4	1449	1238	+1	−1	82	123
1964	06	04	French Guiana	Surinam	3	1	F		21	1259	1474	+3	−4	119	76
1964	06	05	French Guiana	Surinam	3	3	F		3	1262	1471	0	0	119	76
1965	07	25	Surinam	French Guiana	7	0	F		6	1478	1256	0	0	75	121
1965	07	26	Surinam	French Guiana	5	0	F		5	1483	1251	+1	0	74	121
1966	10	15	French Guiana	Surinam	3	3	F		5	1256	1526	+1	0	126	62
1966	10	16	French Guiana	Surinam	0	3	F		-10	1246	1536	−2	+4	128	58
1967	05	14	Surinam	French Guiana	6	1	F		4	1540	1242	+2	0	58	126
1967	05	15	Surinam	French Guiana	3	0	F		3	1543	1239	0	0	58	126
1968	09	01	Surinam	French Guiana	2	1	F		2	1556	1237	0	0	58	126
1969	04	26	French Guiana	Surinam	1	2	F		-4	1233	1560	−1	+1	126	59
1969	10	00	French Guiana	Martinique	0	0	F		3	1236	1448	+1	+1	125	79
1969	10	05	Surinam	French Guiana	1	1	F		-8	1547	1244	−2	0	61	126
1969	11	11	French Guiana	Surinam	3	2	F		16	1260	1548	+4	−5	122	62
1970	11	11	Surinam	French Guiana	3	2	F		2	1567	1258	0	−1	57	125
1973	11	00	Martinique	French Guiana	2	1	F		4	1427	1254	+6	−1	84	127
1975	00	00	French Guiana	Martinique	1	2	F		-8	1246	1435	−2	+9	129	79
1976	11	28	Suriname	French Guiana	0	1	F		-18	1467	1264	−4	+3	76	122
1978	08	20	Trinidad and Tobago	French Guiana	2	4	CUQ		-51	1405	1315	−12	+9	89	110
1978	09	00	French Guiana	Martinique	4	2	F		14	1329	1388	+4	−1	106	93
1978	09	02	French Guiana	Trinidad and Tobago	1	4	CUQ		-37	1292	1442	−8	+9	114	80
1979	10	04	French Guiana	Trinidad and Tobago	0	2	CUQ		-24	1268	1489	−5	+10	119	71
1979	10	06	French Guiana	Trinidad and Tobago	0	0	CUQ		7	1275	1482	+2	−1	117	72
1981	06	07	Suriname	French Guiana	3	1	CUQ		6	1558	1269	+2	−1	55	118
1981	06	21	French Guiana	Suriname	3	1	CUQ		45	1314	1513	+10	−13	108	68
1981	07	19	Suriname	French Guiana	1	0	CUQ		6	1519	1308	0	−2	68	109
1983	07	23	French Guiana	Trinidad and Tobago	0	1	CUC		-16	1292	1491	−5	+4	112	72
1983	07	25	French Guiana	Antigua and Barbuda	1	0	CUC		9	1301	1176	+3	0	109	141
1983	07	27	French Guiana	Martinique	0	0	CUC		5	1306	1486	+2	−1	107	73
1985	03	10	French Guiana	Guyana	0	1	CUQ		-29	1277	1275	−10	+4	120	121
1985	03	17	French Guiana	Suriname	0	1	CUQ		-18	1259	1432	−4	+2	124	85
1986	05	08	French Guiana	Guadeloupe	3	0	BST	FR	35	1294	1344	+13	−4	111	98
1986	05	09	French Guiana	Reunion	3	3	BST	FR	-6	1288	1151	−4	+3	115	145
1987	05	28	Guadeloupe	French Guiana	4	1	BST	FR	22	1366	1266	+5	−11	95	121
1987	11	11	French Guiana	Suriname	1	1	CUQ		3	1269	1422	0	0	120	85
1987	12	05	Suriname	French Guiana	1	0	CUQ		8	1430	1261	0	−1	85	121
1989	04	23	Saint Kitts and Nevis	French Guiana	1	0	CRQ		21	1169	1240	+3	−3	143	122
1989	05	10	French Guiana	Trinidad and Tobago	1	3	CRQ		-15	1225	1547	−6	+3	127	61
1989	06	08	French Guiana	Aruba	4	0	CRQ		24	1249	1172	+10	−3	120	142
1990	04	22	Martinique	French Guiana	4	0	CRQ		14	1425	1235	+8	−7	82	129
1990	05	13	Dominica	French Guiana	1	1	CRQ		-1	1158	1236	−2	+1	148	129
1990	05	23	French Guiana	Saint Vincent and the Grenadines	2	2	CRQ		0	1236	1335	0	0	128	108
1991	03	02	Suriname	French Guiana	3	0	F		8	1368	1228	+1	−1	99	132
1991	05	15	Martinique	French Guiana	1	2	FCQ		-34	1396	1262	−8	+6	89	127
1991	05	17	Guadeloupe	French Guiana	1	0	FCQ	MQ	15	1371	1247	+4	−4	98	131
1992	04	08	French Guiana	Guyana	1	1	CBQ	SR	-4	1243	1172	−1	+1	140	155
1992	04	10	French Guiana	Aruba	2	0	CBQ	SR	15	1258	1040	+4	−1	136	175
1992	04	12	Suriname	French Guiana	3	2	CBQ		8	1398	1250	+3	−3	95	139
1993	03	01	French Guiana	Guadeloupe	2	1	FCQ	MQ	26	1276	1333	+7	−5	135	118
1993	03	05	Martinique	French Guiana	2	1	FCQ		7	1448	1269	0	−1	91	136
1994	01	19	Suriname	French Guiana	1	0	CBQ		12	1335	1257	+2	−1	120	140
1994	01	21	French Guiana	Guyana	1	1	CBQ	SR	-8	1249	1118	−3	+1	143	169
1995	05	09	French Guiana	Martinique	1	3	FCQ		-19	1230	1499	−1	+6	143	78
1995	05	11	French Guiana	Guadeloupe	2	2	FCQ		2	1232	1358	0	−1	143	119
1995	05	13	French Guiana	Suriname	4	0	FCQ		37	1269	1293	+5	−8	138	132
1995	07	21	Saint Vincent and the Grenadines	French Guiana	3	1	FQC	KY	31	1289	1238	+6	−5	134	143
1995	07	23	Cayman Islands	French Guiana	1	0	FQC		24	1095	1214	+3	−7	174	150
1995	07	25	Antigua and Barbuda	French Guiana	2	1	FQC	KY	25	1152	1189	+4	−5	163	155
1996	03	24	French Guiana	Suriname	1	2	CBQ		-20	1169	1313	−6	+7	161	125
1996	04	14	Suriname	French Guiana	1	1	CBQ		-12	1288	1181	−4	+4	132	157
1997	02	19	Guyana	French Guiana	2	0	FCQ		31	1102	1150	+7	−3	171	164
1997	02	23	Guyana	French Guiana	2	2	FCQ		-3	1099	1153	−1	−1	172	165
1998	03	03	Aruba	French Guiana	1	0	FCQ		24	1005	1129	+2	−2	189	166
1998	03	05	French Guiana	Suriname	2	2	FCQ	AW	9	1138	1279	+1	−1	165	135
1998	03	07	Netherlands Antilles	French Guiana	2	1	FCQ	AW	15	1245	1123	+5	−1	139	166
1999	02	03	Martinique	French Guiana	3	1	FCQ		6	1405	1117	+2	0	104	168
2002	10	17	French Guiana	Suriname	1	1	F		2	1119	1282	0	−1	169	135
2002	10	19	French Guiana	Suriname	0	1	F		-8	1111	1290	0	+1	169	134
2003	03	14	Martinique	French Guiana	2	1	FT		2	1445	1109	0	0	95	167
2003	03	15	French Guiana	Guadeloupe	2	2	FT	MQ	9	1118	1355	0	−2	167	123
2003	06	03	Guadeloupe	French Guiana	1	0	ISL	FR	6	1352	1112	+2	0	124	167
2004	10	19	Suriname	French Guiana	1	2	F		-16	1260	1128	−2	+4	140	168
2004	11	10	French Guiana	Guadeloupe	1	0	FCQ	MQ	32	1160	1328	+4	−7	164	122
2004	11	12	Martinique	French Guiana	0	0	FCQ		-15	1400	1175	−3	+4	103	160
2004	11	14	French Guiana	Dominica	4	0	FCQ	MQ	25	1200	1033	+4	−5	156	185
2005	01	08	Jamaica	French Guiana	5	0	FCQ		4	1628	1196	+2	−2	51	155
2005	01	15	French Guiana	Jamaica	0	0	FCQ		15	1211	1613	+3	−8	152	59
2007	11	14	French Guiana	Guadeloupe	2	3	F		-6	1205	1452	−2	+3	156	95
2008	08	30	Suriname	French Guiana	2	1	F		5	1306	1200	0	0	127	156
2008	09	06	Martinique	French Guiana	2	1	F		3	1374	1197	−1	0	115	156
2008	09	28	French Guiana	Mayotte	4	2	FRN	FR	20	1217	1139	+2	−4	154	170
2008	10	01	Reunion	French Guiana	2	0	FRN	FR	19	1295	1198	+5	−2	129	156
2008	10	03	Guadeloupe	French Guiana	4	0	FRN	FR	11	1462	1187	+3	−2	92	158
2009	04	22	French Guiana	Suriname	0	0	F		-1	1186	1243	−1	+1	158	144
2009	06	05	French Guiana	Antigua and Barbuda	2	1	PBC	SR	18	1204	1234	+4	−5	155	146
2009	06	07	French Guiana	Guyana	3	2	PBC	SR	16	1220	1214	+3	−5	152	154
2009	10	28	French Guiana	Netherlands Antilles	4	1	IPC	SR	21	1241	1124	+10	−5	143	174
2009	10	30	Suriname	French Guiana	4	0	IPC		22	1245	1219	+12	−11	141	154
2009	11	01	Guyana	French Guiana	1	0	IPC	SR	14	1258	1205	+4	−3	138	157
2010	09	11	French Guiana	Suriname	1	2	F		-12	1193	1248	−3	+1	158	145
2010	09	22	French Guiana	Mayotte	2	2	FRN	FR	-3	1190	1134	0	0	158	173
2010	09	25	French Guiana	Saint Pierre and Miquelon	7	0	FRN	FR	4	1194	694	0	−1	158	219
2010	09	28	Reunion	French Guiana	1	0	FRN	FR	9	1337	1185	+1	0	125	158
2012	03	21	French Guiana	Guyana	1	0	F		12	1197	1339	0	−2	158	121
2012	03	22	French Guiana	Guyana	0	2	F		-13	1184	1352	0	+3	158	118
2012	06	09	French Guiana	Suriname	2	1	F		8	1192	1191	+1	−1	158	159
2012	09	16	French Guiana	Haiti	1	2	F		-6	1186	1433	0	+1	158	103
2012	09	22	Reunion	French Guiana	2	0	FRN	FR	14	1341	1172	+6	−2	120	160
2012	09	24	Guadeloupe	French Guiana	4	2	FRN	FR	8	1449	1164	+1	−2	99	162
2012	09	26	French Guiana	Saint Pierre and Miquelon	11	1	FRN	FR	5	1169	680	+1	−2	161	221
2012	09	28	French Guiana	Tahiti	2	1	FRN	FR	19	1188	1238	+2	−2	159	147
2012	10	10	Trinidad and Tobago	French Guiana	4	1	FBQ	KN	11	1489	1177	+1	−1	89	160
2012	10	12	French Guiana	Anguilla	4	1	FBQ	KN	2	1179	550	0	0	160	234
2012	10	14	Saint Kitts and Nevis	French Guiana	0	3	FBQ		-46	1147	1225	−12	+12	169	148
2012	11	14	Grenada	French Guiana	1	1	FBQ		-2	1163	1227	0	0	163	149
2012	11	16	French Guiana	Haiti	1	0	FBQ	GD	31	1258	1416	+5	−7	144	105
2012	11	18	Guyana	French Guiana	4	3	FBQ	GD	18	1307	1240	+10	−2	130	146
2012	12	08	French Guiana	Jamaica	2	1	FQB	AG	36	1276	1601	+5	−6	141	57
2012	12	10	Cuba	French Guiana	2	1	FQB	AG	17	1352	1259	+4	−1	123	143
2012	12	12	Martinique	French Guiana	3	1	FQB	AG	19	1412	1240	+5	−4	105	147
2014	04	17	Guadeloupe	French Guiana	3	2	ETR		6	1388	1234	+2	−1	112	147
