year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1908	04	05	Switzerland	Germany	5	3	F		20	1505	1680	−1	−	15	11
1908	04	20	Germany	England	1	5	F		-8	1672	2019	0	0	11	2
1908	06	07	Austria	Germany	3	2	F		3	1898	1669	0	0	4	11
1909	03	13	England	Germany	9	0	F		2	2149	1667	0	0	1	12
1909	04	04	Germany	Switzerland	1	0	F		4	1671	1501	0	0	12	17
1909	04	04	Hungary	Germany	3	3	F		-7	1889	1678	0	0	5	12
1910	04	03	Switzerland	Germany	2	3	F		-8	1491	1686	−1	0	18	12
1910	04	24	Netherlands	Germany	4	2	F		4	1921	1682	0	0	4	12
1910	05	16	Germany	Belgium	0	3	F		-18	1664	1783	0	0	13	11
1910	10	16	Germany	Netherlands	1	2	F		-6	1658	1927	0	0	14	4
1911	03	26	Germany	Switzerland	6	2	F		7	1665	1509	0	0	14	18
1911	04	14	Germany	England	2	2	F		8	1673	2130	+1	0	13	1
1911	04	23	Belgium	Germany	2	1	F		5	1755	1668	0	0	11	13
1911	06	18	Sweden	Germany	2	4	F		-19	1648	1687	−1	0	14	12
1911	09	10	Germany	Austria	1	2	F		-8	1679	1868	0	+2	12	6
1911	10	29	Germany	Sweden	1	3	F		-19	1660	1691	−2	+1	14	12
1911	12	17	Germany	Hungary	1	4	F		-12	1648	1893	0	0	14	6
1912	03	24	Netherlands	Germany	5	5	F		-8	1947	1656	−1	+1	4	13
1912	04	14	Hungary	Germany	4	4	F		-7	1886	1663	0	0	6	13
1912	05	05	Switzerland	Germany	1	2	F		-9	1515	1672	−1	0	19	13
1912	06	29	Austria	Germany	5	1	OG	SE	30	1879	1642	+2	0	7	13
1912	07	01	Germany	Russia	16	0	OG	SE	81	1723	1490	+1	−3	12	20
1912	07	03	Hungary	Germany	3	1	OG	SE	27	1893	1696	+2	0	6	12
1912	10	06	Denmark	Germany	3	1	F		2	2030	1694	0	0	2	12
1912	11	17	Germany	Netherlands	2	3	F		-5	1689	1977	0	0	12	3
1913	03	21	Germany	England	0	3	F		-3	1686	2180	0	0	12	1
1913	05	18	Germany	Switzerland	1	2	F		-17	1669	1507	0	0	12	20
1913	10	26	Germany	Denmark	1	4	F		-6	1663	2048	0	0	12	2
1913	11	23	Belgium	Germany	6	2	LVC		12	1800	1651	0	0	11	12
1914	04	05	Netherlands	Germany	4	4	F		-8	1953	1659	0	0	4	12
1920	06	27	Switzerland	Germany	4	1	F		18	1560	1641	0	−1	23	17
1920	09	26	Austria	Germany	3	2	F		4	1808	1637	0	0	12	19
