year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1938	00	00	Nigeria	Gold Coast	3	1	F		11	1711	1689	−	−	20	21
1950	05	28	Gold Coast	Nigeria	1	0	F		8	1697	1710	+1	0	25	24
1951	10	20	Nigeria	Gold Coast	5	0	JLC		21	1731	1676	+4	−2	19	27
1953	10	11	Gold Coast	Nigeria	1	0	JLC		13	1689	1718	+1	−1	25	20
1954	05	31	Gold Coast	Tunisia	2	0	F		10	1699	1650	+1	0	24	32
1954	06	00	Gold Coast	Sierra Leone	2	0	F		3	1702	1380	+1	0	23	89
1954	10	30	Nigeria	Gold Coast	3	0	JLC		18	1736	1684	+2	−3	18	24
1955	05	28	Gold Coast	Nigeria	1	0	F		9	1693	1727	+1	0	25	20
1955	11	30	Gold Coast	Nigeria	7	0	JLC		27	1720	1700	+4	−5	21	25
1955	12	03	Sierra Leone	Gold Coast	1	2	F		-4	1376	1724	−1	+1	87	20
1956	00	00	Gold Coast	Sierra Leone	4	2	F		2	1726	1374	0	−2	21	89
1956	10	20	French Togoland	Gold Coast	1	1	F		2	1565	1724	0	−1	51	21
1956	10	27	Nigeria	Gold Coast	3	0	JLC		21	1715	1703	+6	−4	22	25
1956	12	16	Gold Coast	Sierra Leone	4	3	AKC		2	1705	1377	+1	−1	24	92
1957	00	00	Sierra Leone	Gold Coast	1	1	AKC		9	1386	1696	+2	−1	90	25
1957	10	00	Sierra Leone	Ghana	2	3	AKC		-7	1379	1703	0	+1	91	25
1957	10	27	Ghana	Nigeria	3	3	JLC		-4	1699	1719	0	+1	26	24
1958	02	13	Ghana	Togo	3	2	F		4	1703	1572	0	0	28	51
1958	10	25	Nigeria	Ghana	3	2	JLC		10	1729	1693	+2	−2	24	32
1958	11	30	Ghana	Sierra Leone	3	1	AKC		4	1697	1375	0	0	31	93
1958	12	06	Ghana	Guinea	6	1	F		10	1707	1590	+1	−	30	48
1959	00	00	Ghana	Niger	8	0	NKR		1	1708	1099	0	−	30	134
1959	00	00	Niger	Ghana	0	4	NKR		-3	1096	1711	−	0	134	30
1959	10	10	Nigeria	Ghana	3	1	OQ		20	1749	1691	+4	−2	22	34
1959	10	25	Ghana	Nigeria	4	1	OQ		31	1722	1718	+8	−7	26	29
1959	11	13	United Arab Republic	Ghana	2	1	OQ		18	1679	1704	+1	−5	36	32
1959	11	21	Ghana	Nigeria	5	2	JLC		21	1725	1708	+4	−4	27	31
1959	12	06	Ghana	United Arab Republic	2	0	OQ		18	1743	1661	+2	0	25	37
1960	02	07	Ghana	Sierra Leone	6	2	NKR		4	1747	1385	+1	−1	24	97
1960	05	01	Togo	Ghana	2	3	IND		-10	1519	1757	−2	+1	60	22
1960	07	06	Ghana	United Arab Republic	2	2	F		-3	1754	1739	0	0	22	24
1960	08	28	Ghana	Nigeria	4	1	WQ		15	1769	1615	+4	−1	18	43
1960	09	10	Nigeria	Ghana	2	2	WQ		3	1618	1766	0	−1	43	19
1960	10	02	Ghana	Mali	5	1	NKR	NG	13	1779	1547	0	0	18	53
1960	10	09	Nigeria	Ghana	0	3	NKR		-21	1587	1800	−3	+2	46	16
1960	10	29	Nigeria	Ghana	1	1	IPC		5	1592	1795	0	−1	47	17
1961	03	05	Ghana	Mali	3	0	F		4	1799	1558	+1	0	15	53
1961	04	02	Ghana	Morocco	0	0	WQ		-13	1786	1654	−3	+1	17	37
1961	04	08	Nigeria	Ghana	0	0	FQ		5	1606	1781	+1	−1	45	18
