year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1920	08	24	France	Greece	8	0	F	BE	13	1585	1387	+1	−	21	29
1920	08	28	Sweden	Greece	9	0	OG	BE	24	1696	1363	−1	−4	16	33
1929	06	30	Bulgaria	Greece	1	1	F		-2	1332	1365	0	0	56	53
1930	01	26	Greece	Yugoslavia	2	1	BLK		28	1393	1580	+3	−3	50	31
1930	05	25	Romania	Greece	8	1	BLK		16	1578	1377	+2	−2	33	54
1930	12	07	Greece	Bulgaria	6	1	BLK		26	1403	1324	+2	−1	52	57
1931	03	15	Yugoslavia	Greece	4	1	BLK		8	1665	1395	+1	0	24	53
1931	10	25	Bulgaria	Greece	2	1	BLK		15	1394	1380	+1	−1	55	56
1931	11	29	Greece	Romania	2	4	BLK		-18	1362	1642	0	+1	56	27
1932	03	27	Greece	Bulgaria	1	2	F		-12	1350	1406	0	0	57	56
1932	03	30	Greece	Bulgaria	2	2	F		-1	1349	1407	−1	0	58	56
1932	06	26	Yugoslavia	Greece	7	1	BLK		13	1558	1336	+2	−1	37	59
1932	06	28	Romania	Greece	3	0	BLK	YU	12	1615	1324	+1	−1	30	60
1932	07	02	Bulgaria	Greece	2	0	BLK	YU	18	1493	1306	+2	−2	47	62
1933	06	03	Yugoslavia	Greece	5	3	BLK	RO	12	1563	1294	0	0	40	64
1933	06	06	Romania	Greece	1	0	BLK		4	1594	1290	+1	−1	35	65
1933	06	10	Bulgaria	Greece	2	0	BLK	RO	17	1464	1273	+1	−5	53	70
1934	02	05	Greece	Bulgaria	1	0	F		13	1286	1451	+3	−1	68	54
1934	03	25	Italy	Greece	4	0	WQ		1	1975	1285	0	0	4	69
1934	12	23	Greece	Yugoslavia	2	1	BLK		31	1316	1557	+6	−3	64	41
1934	12	27	Greece	Romania	2	2	BLK		11	1327	1617	+1	−5	63	35
1935	01	01	Greece	Bulgaria	1	2	BLK		-21	1306	1437	−3	+1	66	58
1935	06	16	Bulgaria	Greece	5	2	BLK		15	1452	1291	+1	−3	55	69
1935	06	21	Yugoslavia	Greece	6	1	BLK	BG	9	1650	1282	+1	−2	28	70
1935	06	24	Greece	Romania	2	2	BLK	BG	12	1294	1507	+3	−4	67	47
1936	05	17	Romania	Greece	5	2	BLK		9	1545	1285	+1	−3	42	71
1936	05	21	Bulgaria	Greece	5	4	BLK	RO	9	1500	1276	+1	−2	51	73
1936	06	19	Egypt	Greece	3	1	F		2	1679	1274	0	0	22	73
1936	06	21	Egypt	Greece	2	5	F		-33	1646	1307	−6	+7	28	66
1938	01	22	Palestine	Greece	1	3	WQ		-37	1255	1344	−5	+2	79	67
1938	02	20	Greece	Palestine	1	0	WQ		10	1354	1245	0	0	68	82
1938	03	25	Hungary	Greece	11	1	WQ		2	1929	1352	0	0	6	67
1948	04	23	Greece	Turkey	1	3	F		-19	1333	1377	0	+2	79	75
1948	04	25	Greece	Turkey	2	5	F		-20	1313	1397	−2	+5	81	70
1948	11	28	Turkey	Greece	2	1	F		4	1470	1309	+1	−1	59	83
1948	12	01	Turkey	Greece	1	2	F		-16	1454	1325	−1	+4	60	79
1949	05	15	Greece	Turkey	1	2	MFT		-17	1308	1498	−3	0	82	60
1949	05	18	Greece	Egypt	1	3	MFT		-16	1292	1595	−6	+2	88	38
1949	11	25	Greece	Syria	8	0	F		24	1316	1377	+6	−7	85	77
1949	11	27	Greece	Syria	2	0	F		13	1329	1364	+2	−1	83	78
1950	02	17	Egypt	Greece	2	0	EMC		7	1602	1322	+1	−1	37	84
1950	02	19	Egypt	Greece	0	1	F		-18	1584	1340	−3	+2	40	82
1951	10	14	Greece	Syria	4	0	MDG	EG	40	1380	1324	+4	−7	80	87
1951	10	18	Egypt	Greece	0	2	MDG		-52	1543	1432	−9	+12	51	68
1951	10	21	Egypt	Greece	3	0	F		8	1551	1424	+2	−1	49	69
1951	11	25	Greece	Egypt	1	0	EMC		22	1446	1529	+2	−3	67	53
1951	11	28	Greece	Egypt	2	2	F		0	1446	1529	0	0	67	53
1952	03	02	Greece	Turkey	3	0	F		18	1464	1537	+2	−2	65	50
1952	05	18	Turkey	Greece	4	2	F		8	1545	1456	+1	−1	49	65
1952	07	15	Denmark	Greece	2	1	OG	FI	11	1720	1445	+2	−1	22	66
1953	05	09	Yugoslavia	Greece	1	0	WQ		1	1920	1444	0	0	8	71
1953	11	01	Greece	Israel	1	0	WQ		17	1461	1473	+5	−6	67	63
1954	03	08	Israel	Greece	0	2	WQ		-39	1433	1500	−11	+11	80	61
1954	03	28	Greece	Yugoslavia	0	1	WQ		-5	1495	1949	0	0	61	5
1954	11	07	Greece	Egypt	1	1	MDC		-2	1493	1563	−1	+1	64	51
1954	11	09	Greece	Egypt	1	2	F		-11	1482	1574	−6	+3	70	48
1955	01	21	Egypt	Greece	1	1	MDC		-10	1569	1492	−3	+7	49	63
1955	01	23	Egypt	Greece	1	3	F		-22	1547	1514	−6	+3	55	60
1957	05	05	Greece	Yugoslavia	0	0	WQ		14	1528	1885	+3	−1	59	8
1957	06	16	Greece	Romania	1	2	WQ		-20	1508	1650	−3	+3	62	37
1957	11	03	Romania	Greece	3	0	WQ		13	1671	1495	+5	−2	32	67
1957	11	10	Yugoslavia	Greece	4	1	WQ		4	1887	1491	0	0	8	67
1958	10	01	France	Greece	7	1	EQ		3	1956	1488	+1	−3	3	70
1958	12	03	Greece	France	1	1	EQ		16	1504	1938	+7	−1	63	4
1959	11	15	Yugoslavia	Greece	4	0	OQ		4	1887	1500	0	−2	9	68
1959	12	02	Greece	Denmark	1	3	F		-14	1486	1639	−4	+1	72	40
1960	03	06	Israel	Greece	2	1	OQ		12	1549	1474	+1	−2	55	75
1960	04	03	Greece	Israel	2	1	OQ		19	1493	1530	+3	−3	72	58
1960	04	24	Greece	Yugoslavia	0	5	OQ		-13	1480	1891	−3	0	75	10
1960	07	03	Denmark	Greece	7	2	F		7	1651	1473	+2	−1	38	76
1960	11	20	Greece	West Germany	0	3	WQ		-10	1463	1889	0	0	75	11
1961	05	03	Greece	Northern Ireland	2	1	WQ		24	1487	1606	+2	−4	73	45
1961	10	17	Northern Ireland	Greece	2	0	WQ		15	1592	1472	+2	−1	46	73
1961	10	22	West Germany	Greece	2	1	WQ		2	1887	1470	0	0	12	74
1962	10	18	Greece	Ethiopia	3	2	F		8	1478	1502	+1	−4	77	70
1963	05	22	Poland	Greece	4	0	F		6	1663	1472	+3	0	35	76
1963	10	16	Greece	Poland	3	1	F		19	1491	1649	+6	−2	70	38
1963	11	27	Cyprus	Greece	3	1	F		15	1403	1476	+6	−5	92	76
1964	05	13	Greece	Ethiopia	3	1	F		14	1490	1539	+4	−2	73	59
1964	10	12	Greece	Bulgaria	1	2	F		-7	1483	1719	−1	0	75	27
1964	11	29	Greece	Denmark	4	2	WQ		36	1519	1620	+7	−4	69	41
1964	12	09	Greece	Wales	2	0	WQ		38	1557	1680	+14	−6	55	33
1965	02	23	Greece	Bulgaria	1	2	F		-8	1549	1733	−2	0	57	24
1965	03	17	Wales	Greece	4	1	WQ		15	1695	1534	+2	−3	30	61
1965	05	23	Soviet Union	Greece	3	1	WQ		3	1976	1531	+1	0	1	61
1965	10	03	Greece	Soviet Union	1	4	WQ		-9	1522	1969	−2	0	64	4
1965	10	27	Denmark	Greece	1	1	WQ		-11	1629	1533	−2	+2	41	62
1966	10	16	Greece	Finland	2	1	EQ		12	1545	1474	+5	−3	55	75
1967	02	15	Greece	Libya	4	0	F		11	1556	1472	+2	−3	51	76
1967	03	08	Greece	Romania	1	2	F		-5	1551	1863	−3	+1	54	11
1967	05	10	Finland	Greece	1	1	EQ		-1	1473	1552	−1	0	73	54
1967	07	16	Soviet Union	Greece	4	0	EQ		3	1980	1549	0	−1	6	56
1967	10	04	Greece	Austria	4	1	EQ		43	1592	1689	+7	−5	51	32
1967	10	31	Greece	Soviet Union	0	1	EQ		-7	1585	1977	−2	0	53	5
1967	11	05	Austria	Greece	1	1	EQ		-12	1708	1597	−2	+2	31	51
1968	10	12	Switzerland	Greece	1	0	WQ		11	1668	1586	+1	−1	36	50
1968	11	21	Greece	Egypt	4	1	F		21	1607	1731	+3	−4	49	26
1968	12	11	Greece	Portugal	4	2	WQ		48	1655	1900	+11	−2	37	8
1969	03	12	Israel	Greece	3	3	F		-3	1648	1658	−1	+1	41	33
1969	04	16	Greece	Romania	2	2	WQ		1	1659	1767	−1	−1	35	21
1969	05	04	Portugal	Greece	2	2	WQ		-13	1830	1672	0	+1	14	34
1969	07	20	Australia	Greece	1	0	F		10	1590	1662	+4	−1	48	36
1969	07	23	Australia	Greece	2	2	F		-1	1589	1663	0	0	48	36
1969	07	27	Australia	Greece	0	2	F		-16	1573	1679	−6	+2	54	34
1969	10	15	Greece	Switzerland	4	1	WQ		24	1703	1639	+2	−4	32	41
1969	11	16	Romania	Greece	1	1	WQ		-10	1792	1713	0	+1	17	32
1970	10	11	Malta	Greece	1	1	EQ		11	1418	1702	+4	−1	89	32
1970	10	28	Spain	Greece	2	1	F		4	1844	1698	+1	−3	11	35
1970	11	17	Greece	Australia	1	3	F		-21	1677	1685	−4	+2	38	36
1970	11	22	Greece	West Germany	1	3	F		-6	1671	2034	0	+1	38	2
1970	12	09	Greece	Cyprus	1	1	F		-8	1663	1366	0	+1	38	100
1970	12	16	Greece	Switzerland	0	1	EQ		-26	1637	1678	−5	+4	43	37
1971	01	20	Cyprus	Greece	1	2	F		-5	1361	1642	−1	+1	100	42
1971	04	07	Greece	Bulgaria	0	1	F		-10	1632	1743	−1	+2	43	25
1971	04	21	England	Greece	3	0	EQ		4	2047	1628	0	0	2	43
1971	05	12	Switzerland	Greece	1	0	EQ		12	1695	1616	+1	−1	35	45
1971	06	18	Greece	Malta	2	0	EQ		8	1624	1388	+2	−2	44	95
1971	07	06	Mexico	Greece	1	1	F		-5	1710	1629	0	0	31	44
1971	09	30	Greece	Mexico	0	1	F		-11	1618	1698	0	+4	41	33
1971	11	17	Bulgaria	Greece	2	2	F		-6	1777	1624	−1	+1	20	41
1971	12	01	Greece	England	0	2	EQ		-9	1615	2044	−2	0	43	3
1972	02	16	Greece	Netherlands	0	5	F		-17	1598	1783	−9	0	53	21
1972	03	04	Greece	Italy	2	1	F		17	1615	1993	+7	0	46	4
1972	04	12	Greece	Spain	0	0	F		4	1619	1864	+1	−2	44	11
1972	05	07	Ethiopia	Greece	0	1	F		-9	1468	1628	0	+2	69	43
1972	09	02	Greece	France	1	3	F		-13	1615	1798	−2	+4	46	18
1972	11	19	Yugoslavia	Greece	1	0	WQ		4	1914	1611	0	0	8	47
1973	01	17	Greece	Spain	2	3	WQ		-11	1600	1891	−1	0	47	10
1973	01	31	Greece	Bulgaria	2	2	F		3	1603	1817	0	0	47	19
1973	02	21	Spain	Greece	3	1	WQ		6	1897	1597	0	−1	10	47
1973	09	08	France	Greece	3	1	F		5	1763	1592	+1	−2	26	50
1973	12	19	Greece	Yugoslavia	2	4	WQ		-12	1580	1944	−3	0	53	6
1974	04	28	Brazil	Greece	0	0	F		-10	2122	1590	0	+1	1	50
1974	05	15	Poland	Greece	2	0	F		2	1958	1588	0	0	5	50
1974	05	29	Romania	Greece	3	1	BLK		9	1797	1579	0	0	20	50
1974	10	13	Bulgaria	Greece	3	3	EQ		-14	1759	1593	−1	+2	24	47
1974	11	15	Greece	Cyprus	3	1	F		3	1596	1319	+1	−1	46	112
1974	11	20	Greece	West Germany	2	2	EQ		17	1613	2129	+2	0	44	1
1974	12	18	Greece	Bulgaria	2	1	EQ		23	1636	1736	+4	−1	40	26
1975	02	23	Malta	Greece	2	0	EQ		43	1415	1593	+5	−7	93	46
1975	04	01	Cyprus	Greece	1	2	F		-5	1314	1598	−1	+2	113	45
1975	06	04	Greece	Malta	4	0	EQ		12	1610	1403	+3	−2	43	92
1975	09	24	Greece	Romania	1	1	BLK		8	1618	1849	0	−1	46	16
1975	10	11	West Germany	Greece	1	1	EQ		-19	2087	1637	0	+5	1	41
1975	12	30	Italy	Greece	3	2	F		2	1953	1635	0	0	7	41
1976	05	06	Greece	Poland	1	0	F		16	1651	1985	+1	0	41	4
1976	09	22	Greece	Israel	0	1	F		-10	1641	1758	−1	+1	41	24
1976	10	09	Greece	Hungary	1	1	WQ		7	1648	1856	+2	−1	40	15
1976	11	10	Greece	Austria	0	3	F		-16	1632	1790	−2	+2	42	19
1977	01	26	Israel	Greece	1	1	F		-5	1731	1637	−1	0	27	41
1977	03	09	Austria	Greece	2	0	F		5	1818	1632	0	−1	19	42
1977	03	23	Czechoslovakia	Greece	4	0	F		2	2004	1630	0	0	4	42
1977	04	24	Soviet Union	Greece	2	0	WQ		6	1906	1624	+1	0	11	42
1977	05	10	Greece	Soviet Union	1	0	WQ		29	1653	1862	+1	0	40	14
1977	05	28	Hungary	Greece	3	0	WQ		9	1890	1644	+1	0	13	40
1977	09	21	Romania	Greece	6	1	F		4	1921	1640	0	−1	7	43
1977	10	26	Bulgaria	Greece	0	0	F		-6	1768	1646	−1	+2	23	41
1977	11	16	Greece	Yugoslavia	0	0	BLK		5	1651	1839	+1	0	40	18
1978	01	11	Cyprus	Greece	0	2	F		-5	1265	1656	−2	+2	123	40
1978	02	15	Greece	Austria	1	1	F		3	1659	1869	+2	0	38	14
1978	03	22	Greece	Czechoslovakia	0	1	F		-6	1653	1895	−3	0	41	13
1978	04	05	Poland	Greece	5	2	F		4	1920	1649	0	0	10	41
1978	05	24	Finland	Greece	3	0	EQ		45	1489	1604	+13	−5	68	46
1978	06	11	Australia	Greece	1	2	F		-14	1644	1618	−2	+3	41	43
1978	06	14	Australia	Greece	0	1	F		-13	1631	1631	−1	+1	42	42
1978	06	18	Australia	Greece	1	1	F		-3	1628	1634	−1	0	43	42
1978	09	20	Soviet Union	Greece	2	0	EQ		6	1934	1628	0	0	10	42
1978	10	11	Greece	Finland	8	1	EQ		20	1648	1491	+1	−2	41	67
1978	10	29	Greece	Hungary	4	1	EQ		41	1689	1770	+6	−5	34	22
1978	11	15	Yugoslavia	Greece	4	1	BLK		16	1811	1673	+3	−3	17	37
1978	12	13	Greece	Romania	2	1	F		12	1685	1829	+3	0	34	16
1979	02	14	Israel	Greece	4	1	F		12	1720	1673	+1	−2	30	35
1979	03	21	Romania	Greece	3	0	F		7	1826	1666	0	−1	16	36
1979	05	02	Hungary	Greece	0	0	EQ		-12	1791	1678	−1	0	22	36
1979	09	12	Greece	Soviet Union	1	0	EQ		28	1706	1903	+3	−4	31	13
1980	01	16	Cyprus	Greece	1	1	F		7	1276	1699	+1	−1	117	31
1980	02	27	France	Greece	5	1	F		5	1928	1694	+2	−1	9	32
1980	04	01	Switzerland	Greece	2	0	F		14	1630	1680	+1	−3	46	34
1980	04	16	East Germany	Greece	2	0	F		4	1926	1676	0	−2	9	36
1980	05	14	Greece	Bulgaria	0	0	F		-2	1674	1695	0	0	36	31
1980	06	11	Netherlands	Greece	1	0	EC	IT	6	2037	1668	+1	−1	3	37
1980	06	14	Czechoslovakia	Greece	3	1	EC	IT	16	1914	1652	+2	−4	12	41
1980	06	17	Greece	West Germany	0	0	EC	IT	22	1674	2094	+6	0	35	1
1980	10	15	Denmark	Greece	0	1	WQ		-26	1659	1700	−5	+2	38	33
1980	11	11	Greece	Australia	3	3	F		-4	1696	1659	0	0	32	39
1980	12	06	Greece	Italy	0	2	WQ		-14	1682	2017	−1	0	31	3
1981	01	28	Greece	Luxembourg	2	0	WQ		2	1684	1228	0	0	32	128
1981	03	11	Luxembourg	Greece	0	2	WQ		-7	1221	1691	−4	+1	132	32
1981	04	15	Cyprus	Greece	0	1	F		-3	1258	1694	−1	+1	121	32
1981	04	29	Yugoslavia	Greece	5	1	WQ		12	1890	1682	+2	−3	13	34
1981	09	23	Greece	Sweden	2	1	F		7	1689	1684	+2	−2	32	34
1981	10	14	Greece	Denmark	2	3	WQ		-23	1666	1758	−5	+1	37	26
1981	11	14	Italy	Greece	1	1	WQ		-16	1913	1682	0	+2	8	35
1981	11	29	Greece	Yugoslavia	1	2	WQ		-13	1669	1917	0	+3	35	7
1982	01	20	Greece	Portugal	1	2	F		-11	1658	1757	−5	+2	40	26
1982	02	10	Greece	East Germany	0	1	F		-6	1652	1913	0	+2	40	8
1982	03	10	Greece	Soviet Union	0	2	F		-6	1646	2009	0	0	40	3
1982	03	24	Czechoslovakia	Greece	2	1	F		2	1906	1644	−1	0	12	39
1982	04	14	Netherlands	Greece	1	0	F		2	1905	1642	+1	0	12	38
1982	10	09	Luxembourg	Greece	0	2	EQ		-8	1206	1650	−1	0	137	40
1982	10	27	Cyprus	Greece	1	1	F		7	1274	1643	+4	0	117	40
1982	11	17	Greece	England	0	3	EQ		-13	1630	2019	−1	+2	41	3
1982	12	01	Greece	Switzerland	1	3	F		-15	1615	1752	−1	+1	42	24
1982	12	22	Greece	Cyprus	1	0	F		1	1616	1268	0	−1	42	120
1983	02	02	Greece	Romania	1	3	F		-11	1605	1814	−2	0	44	19
1983	02	23	East Germany	Greece	2	1	F		2	1887	1603	0	−1	11	44
1983	03	30	England	Greece	0	0	EQ		-18	2009	1621	−1	+3	3	42
1983	04	27	Denmark	Greece	1	0	EQ		9	1743	1612	+3	0	25	41
1983	05	15	Hungary	Greece	2	3	EQ		-34	1778	1646	−1	+2	20	39
1983	08	31	Greece	Bulgaria	2	3	F		-11	1635	1721	−1	+4	40	30
1983	10	05	Italy	Greece	3	0	F		3	1936	1632	+1	0	6	39
1983	11	16	Greece	Denmark	0	2	EQ		-24	1608	1826	−4	+2	44	20
1983	12	03	Greece	Hungary	2	2	EQ		3	1611	1750	+1	0	43	29
1983	12	14	Greece	Luxembourg	1	0	EQ		2	1613	1193	0	0	43	140
1984	02	15	Greece	East Germany	1	3	F		-9	1604	1880	−2	0	45	10
1984	03	07	Romania	Greece	2	0	F		4	1829	1600	+1	+1	20	46
1984	04	11	Greece	Cyprus	1	1	F		-8	1592	1303	−1	+1	47	114
1984	04	18	Austria	Greece	0	0	F		-7	1808	1599	0	+1	22	45
1984	09	01	Cyprus	Greece	0	2	F		-7	1292	1606	−2	+2	115	44
1984	09	05	Greece	Czechoslovakia	0	1	F		-6	1600	1864	−2	+2	46	13
1984	09	12	East Germany	Greece	1	0	F		2	1891	1598	−2	0	11	46
1984	10	09	Greece	Israel	2	2	F		0	1598	1710	+1	0	45	33
1984	10	17	Poland	Greece	3	1	WQ		5	1913	1593	0	−2	7	47
1984	12	05	Greece	Romania	2	1	F		12	1605	1767	+1	−2	45	27
1984	12	19	Greece	Belgium	0	0	WQ		8	1613	1852	0	−1	45	14
1985	01	09	Israel	Greece	0	2	F		-22	1680	1635	−1	+6	34	39
1985	02	27	Greece	Albania	2	0	WQ		12	1647	1483	+2	−6	39	78
1985	03	13	Greece	Italy	0	0	F		4	1651	1884	0	0	40	9
1985	03	27	Belgium	Greece	2	0	WQ		12	1813	1639	+2	0	20	39
1985	05	19	Greece	Poland	1	4	WQ		-27	1612	1845	−2	+6	45	14
1985	10	16	Greece	Bulgaria	0	2	F		-10	1602	1847	−2	0	47	17
1985	10	30	Albania	Greece	1	1	WQ		2	1477	1600	0	−2	80	50
1986	01	17	Qatar	Greece	0	1	F		-11	1510	1611	−2	+1	69	46
1986	02	19	Greece	Cyprus	0	0	F		-8	1603	1297	−2	+2	48	110
1986	03	26	Greece	East Germany	2	0	F		23	1626	1880	+5	−4	44	10
1986	05	01	Sweden	Greece	0	0	F		-8	1863	1634	0	+3	12	40
1986	09	24	Spain	Greece	3	1	F		2	1981	1632	−1	−2	5	42
1986	10	08	Italy	Greece	2	0	F		4	1869	1628	+1	0	11	43
1986	10	15	Poland	Greece	2	1	EQ		9	1763	1619	+2	−2	26	45
1986	11	12	Greece	Hungary	2	1	EQ		25	1644	1778	+7	−3	38	22
1986	12	03	Cyprus	Greece	2	4	EQ		-12	1285	1656	−4	+1	112	38
1987	01	07	Portugal	Greece	1	1	F		-5	1756	1661	−2	+1	29	37
1987	01	14	Greece	Cyprus	3	1	EQ		4	1665	1278	+1	−2	36	117
1987	03	11	Greece	Romania	1	1	F		2	1667	1835	0	0	37	14
1987	03	25	Netherlands	Greece	1	1	EQ		-15	1872	1682	−1	+1	12	36
1987	04	29	Greece	Poland	1	0	EQ		20	1702	1756	0	−3	35	27
1987	09	23	Soviet Union	Greece	3	0	F		3	1991	1699	0	0	1	34
1987	10	07	Romania	Greece	2	2	F		-6	1855	1705	−2	0	14	33
1987	10	14	Hungary	Greece	3	0	EQ		20	1785	1685	+1	−2	23	35
1987	12	16	Greece	Netherlands	0	3	EQ		-22	1663	1937	−3	0	37	7
1988	02	17	Greece	Northern Ireland	3	2	F		9	1672	1702	+1	−1	36	32
1988	03	23	Greece	Soviet Union	0	4	F		-9	1663	1984	−2	0	39	2
1988	04	06	Greece	Austria	2	2	F		-2	1661	1712	0	0	39	32
1988	05	19	Canada	Greece	0	1	F		-11	1577	1672	−1	+2	54	37
1988	05	21	Canada	Greece	0	3	SMC		-27	1550	1699	−7	+3	61	34
1988	05	23	Greece	Chile	1	0	SMC	CA	21	1720	1835	+2	−3	32	16
1988	05	28	Canada	Greece	0	0	SMC		2	1574	1718	0	0	55	32
1988	08	31	East Germany	Greece	1	0	F		5	1822	1713	0	−1	19	33
1988	09	21	Turkey	Greece	3	1	F		18	1550	1695	+4	−3	59	36
1988	10	19	Greece	Denmark	1	1	WQ		2	1697	1831	0	0	36	16
1988	11	02	Romania	Greece	3	0	WQ		11	1893	1686	+1	0	7	36
1988	11	15	Greece	Hungary	3	0	F		17	1703	1767	+1	−2	35	27
1989	01	18	Albania	Greece	1	1	F		5	1438	1698	+1	0	84	34
1989	01	25	Greece	Portugal	1	2	F		-11	1687	1768	−1	+1	35	27
1989	02	08	Greece	England	1	2	F		-7	1680	1891	+1	+1	34	9
1989	02	22	Greece	Norway	4	2	F		10	1690	1658	0	−1	34	38
1989	03	08	Greece	East Germany	3	2	F		10	1700	1780	0	0	34	23
1989	03	29	Greece	Turkey	0	1	F		-16	1684	1597	0	+4	34	47
1989	04	05	Greece	Yugoslavia	1	4	F		-12	1672	1900	−2	+2	35	9
1989	04	26	Greece	Romania	0	0	WQ		7	1679	1890	+1	−1	35	11
1989	05	17	Denmark	Greece	7	1	WQ		15	1860	1664	+1	−2	13	37
1989	08	23	Norway	Greece	0	0	F		-2	1648	1666	0	0	39	37
1989	09	05	Poland	Greece	3	0	F		7	1815	1659	+1	−3	19	39
1989	09	20	Yugoslavia	Greece	3	0	F		4	1919	1655	0	−1	8	39
1989	10	11	Bulgaria	Greece	4	0	WQ		21	1741	1634	+3	−2	28	41
1989	10	25	Hungary	Greece	1	1	F		-6	1749	1640	−1	−1	27	42
1989	11	15	Greece	Bulgaria	1	0	WQ		20	1660	1721	+5	−2	37	31
1990	01	17	Greece	Belgium	2	0	F		19	1679	1834	+3	0	34	17
1990	03	28	Greece	Israel	2	1	F		6	1685	1627	0	−3	33	44
1990	05	30	Italy	Greece	0	0	F		-8	1966	1693	0	0	4	33
1990	09	05	Greece	Albania	1	0	F		2	1695	1405	0	0	34	88
1990	10	10	Greece	Egypt	6	1	F		12	1707	1642	0	−3	31	40
1990	10	31	Greece	Malta	4	0	EQ		6	1713	1364	0	−2	33	100
1990	11	21	Netherlands	Greece	2	0	EQ		8	1942	1705	0	0	6	33
1990	12	19	Greece	Poland	1	2	F		-11	1694	1795	0	+1	33	21
1991	01	23	Greece	Portugal	3	2	EQ		21	1715	1792	0	−3	33	22
1991	02	27	Cyprus	Greece	1	1	F		8	1263	1707	+3	0	123	33
1991	03	27	Morocco	Greece	0	0	F		0	1597	1707	0	0	50	33
1991	04	17	Greece	Sweden	2	2	F		0	1707	1824	0	−1	33	18
1991	09	04	Greece	Albania	0	2	F		-27	1680	1443	−1	+4	35	82
1991	10	09	Finland	Greece	1	1	EQ		-3	1629	1683	0	0	48	35
1991	10	30	Greece	Finland	2	0	EQ		18	1701	1611	0	−1	35	49
1991	11	20	Portugal	Greece	1	0	EQ		10	1795	1691	0	0	22	35
1991	12	04	Greece	Netherlands	0	2	EQ		-18	1673	1963	−2	+1	37	6
1991	12	22	Malta	Greece	1	1	EQ		10	1392	1663	+1	−3	96	41
1992	01	29	Albania	Greece	1	0	F		13	1454	1650	+3	−1	81	42
1992	02	12	Greece	Romania	1	0	F		12	1662	1798	0	−3	42	21
1992	03	25	Cyprus	Greece	1	3	F		-4	1251	1666	0	+2	137	37
1992	05	13	Greece	Iceland	1	0	WQ		10	1676	1576	+2	−2	35	60
1992	09	02	Greece	Cyprus	2	3	F		-19	1657	1308	−4	+3	39	129
1992	10	07	Iceland	Greece	0	1	WQ		-22	1567	1679	−4	+5	62	35
1992	11	11	Greece	Hungary	0	0	WQ		-4	1675	1715	0	0	34	31
1993	02	17	Greece	Luxembourg	2	0	WQ		2	1677	1167	0	0	35	162
1993	03	10	Austria	Greece	2	1	F		8	1652	1669	+3	0	41	35
1993	03	31	Hungary	Greece	0	1	WQ		-28	1696	1697	−3	+2	33	32
1993	05	23	Russia	Greece	1	1	WQ		-14	1883	1711	0	0	12	31
1993	10	12	Luxembourg	Greece	1	3	WQ		-5	1172	1716	0	0	159	30
1993	11	17	Greece	Russia	1	0	WQ		23	1739	1840	+1	−4	28	19
1994	03	23	Greece	Poland	0	0	F		-4	1735	1703	−1	0	28	30
1994	04	27	Greece	Saudi Arabia	5	1	F		9	1744	1635	+1	0	28	45
1994	05	09	Greece	Cameroon	0	3	FT		-40	1704	1683	−4	+8	32	36
1994	05	13	Greece	Bolivia	0	0	FT		-4	1700	1720	0	+1	32	30
1994	05	17	England	Greece	5	0	F		6	1892	1694	0	−1	11	33
