year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1980	07	02	Faroe Islands	Greenland	6	0	GRN	IS	15	1218	985	+3	−	130	163
1980	07	03	Iceland	Greenland	4	1	GRN		3	1364	982	+1	0	96	163
1983	06	29	Greenland	Faroe Islands	0	0	GRN		5	987	1193	0	−2	165	140
1983	07	03	Greenland	Faroe Islands	2	3	GRN		-11	976	1204	0	+2	165	138
1984	08	03	Iceland	Greenland	1	0	GRN	FO	2	1455	974	+1	0	82	166
1984	08	05	Faroe Islands	Greenland	1	0	GRN		4	1210	970	+1	0	138	166
1984	08	07	Faroe Islands	Greenland	4	2	F		4	1214	966	+4	0	134	166
1989	07	09	Faroe Islands	Greenland	3	0	IG		8	1224	958	+2	0	132	172
1991	06	25	Faroe Islands	Greenland	3	2	IG	FI	6	1276	952	−1	−1	124	176
1993	07	06	Greenland	Gibraltar	5	0	IG	EN	56	1008	1044	+4	−	187	182
1995	07	16	Gibraltar	Greenland	0	1	IG		-27	1017	1035	−7	+5	187	182
1997	07	02	Gibraltar	Greenland	5	1	IG	UK	39	1056	996	+6	−5	180	188
2001	06	30	Greenland	Tibet	4	1	F	DK	5	1001	680	0	0	188	216
2001	07	12	Greenland	Falkland Islands	4	0	IG	UK	7	1008	593	+1	−	187	223
2003	06	30	Gibraltar	Greenland	2	0	IG	UK	26	1078	982	+4	0	178	189
2006	05	29	Northern Cyprus	Greenland	1	0	MWC	DE	2	1465	980	0	0	93	189
2006	05	31	Zanzibar	Greenland	4	2	MWC	DE	13	1215	967	+4	−1	152	190
2013	07	14	Bermuda	Greenland	3	0	IG		10	1195	957	+2	−1	159	194
2013	07	17	Greenland	Falkland Islands	9	0	IG	BM	11	968	580	+2	0	192	231
2013	07	18	Bermuda	Greenland	1	0	IG		5	1202	963	+3	−1	155	193
2023	07	11	Bermuda	Greenland	3	2	IG	UK	10	1169	953	+1	0	165	192
2024	06	01	Turkmenistan	Greenland	5	0	F	TR	7	1220	946	+1	0	159	192
