year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1934	10	13	Grenada	British Guiana	2	1	F		5	1505	1418	−	−1	47	59
1936	05	02	Barbados	Grenada	1	2	F		-6	1246	1511	0	+2	76	46
1937	10	13	Grenada	British Guiana	1	0	F		4	1515	1380	0	−1	47	62
1937	10	16	Grenada	British Guiana	2	0	F		6	1521	1374	+1	0	46	62
1938	08	18	Saint Kitts and Nevis	Grenada	2	4	F		-7	1193	1528	−	+1	88	46
1949	01	24	Saint Vincent and the Grenadines	Grenada	2	3	WIT		-13	1362	1541	0	+3	75	51
1951	03	19	Barbados	Grenada	1	3	F		-7	1215	1548	−1	+1	103	49
1951	03	21	Barbados	Grenada	3	2	F		16	1231	1532	+1	−2	102	51
1961	01	16	Saint Vincent and the Grenadines	Grenada	6	3	WIT	LC	38	1400	1494	+10	−11	94	71
1961	01	17	Saint Lucia	Grenada	0	4	WIT		-22	1300	1516	−4	+6	110	65
1961	01	19	Grenada	Dominica	8	1	WIT	LC	14	1530	1270	+5	−1	60	114
1962	11	24	Grenada	Saint Vincent and the Grenadines	2	1	WIT		6	1536	1389	+1	0	62	96
1965	11	21	Dominica	Grenada	2	0	WIT	VC	38	1285	1498	+6	−11	120	69
1965	11	26	Grenada	Saint Lucia	0	0	WIT	VC	-7	1491	1342	0	+2	69	108
1966	11	06	Grenada	Saint Lucia	7	1	WIT		12	1503	1330	+2	−4	68	109
1966	11	08	Grenada	Dominica	3	3	WIT		-11	1492	1293	−2	+3	70	116
1966	11	12	Grenada	Saint Vincent and the Grenadines	1	3	WIT		-34	1458	1428	−10	+5	80	91
1967	11	26	Grenada	Saint Vincent and the Grenadines	1	1	WIT	DM	-1	1457	1429	0	0	76	87
1967	11	30	Dominica	Grenada	2	4	WIT		-18	1269	1475	−8	+4	122	72
1967	12	02	Grenada	Saint Lucia	2	1	WIT	DM	10	1485	1332	+2	−3	70	108
1968	11	20	Grenada	Dominica	6	2	WIT	LC	10	1495	1217	+2	+1	70	127
1969	11	11	Grenada	Saint Lucia	6	0	WIT	VC	19	1514	1327	+3	−2	69	106
1969	11	13	Grenada	Dominica	1	0	WIT	VC	4	1518	1200	0	−1	69	135
1969	11	15	Saint Vincent and the Grenadines	Grenada	0	0	WIT		0	1426	1518	0	0	87	69
1970	11	22	Grenada	Saint Vincent and the Grenadines	5	3	WIT		11	1529	1415	+1	−6	64	90
1970	11	25	Grenada	Saint Lucia	6	1	WIT		9	1538	1320	+1	−1	63	111
1970	11	27	Grenada	Dominica	2	1	WIT		2	1540	1183	+1	−1	62	137
1971	06	26	Barbados	Grenada	6	1	F		31	1266	1509	+6	−2	122	65
1971	06	27	Barbados	Grenada	6	1	F		28	1294	1481	+8	−4	114	69
1971	11	27	Grenada	Saint Lucia	5	2	WIT	DM	14	1495	1287	+2	−1	67	114
1971	11	30	Grenada	Saint Vincent and the Grenadines	1	1	WIT	DM	-4	1491	1407	−1	+3	68	89
1971	12	04	Dominica	Grenada	3	0	WIT		38	1257	1453	+4	−7	125	75
1972	11	25	Grenada	Dominica	2	1	WIT	LC	7	1460	1250	+1	−1	71	129
1972	11	29	Saint Lucia	Grenada	1	0	WIT		17	1321	1443	+3	−4	111	76
1972	12	01	Grenada	Saint Vincent and the Grenadines	0	0	WIT	LC	-2	1441	1402	−1	+2	77	90
1973	11	07	Dominica	Grenada	4	2	WIT		29	1262	1412	+5	−7	125	85
1973	11	11	Saint Vincent and the Grenadines	Grenada	4	1	WIT		20	1422	1392	+6	−10	85	95
1973	11	15	Saint Lucia	Grenada	1	3	WIT		-24	1291	1416	−6	+9	117	86
1973	11	21	Grenada	Dominica	1	1	WIT		-9	1407	1284	−2	+2	87	121
1973	11	29	Grenada	Saint Lucia	2	0	WIT		9	1416	1268	+1	−1	86	124
1974	12	01	Grenada	Saint Vincent and the Grenadines	1	0	WIT	LC	16	1432	1419	+7	−7	84	90
1974	12	04	Dominica	Grenada	0	0	WIT	LC	5	1323	1427	+3	−2	110	86
