year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1934	00	00	Guadeloupe	Martinique	0	6	F		-28	1472	1511	−	+5	51	45
1941	00	00	Guadeloupe	Martinique	1	2	F		-12	1460	1502	0	+2	56	52
1941	09	07	Martinique	Guadeloupe	5	0	F		12	1514	1448	+1	−1	53	59
1948	12	16	Guadeloupe	Haiti	1	0	CIB		12	1460	1387	+2	−2	60	72
1948	12	18	Guadeloupe	French Guiana	7	2	CIB		12	1472	1249	+1	−1	59	95
1948	12	20	Guadeloupe	Martinique	3	0	CIB		34	1506	1531	+3	−10	56	53
1950	12	05	Guadeloupe	Trinidad and Tobago	0	1	FT		-17	1489	1578	−4	+1	59	44
1951	03	00	Martinique	Guadeloupe	3	0	F		10	1551	1479	+3	0	46	60
1951	05	00	Guadeloupe	Martinique	1	1	F		-1	1478	1552	0	0	61	49
1951	12	13	Guadeloupe	Trinidad and Tobago	0	2	F		-15	1463	1593	0	+3	64	41
1952	03	00	Guadeloupe	Martinique	4	0	F		18	1481	1534	+3	−5	61	54
1952	03	00	Martinique	Guadeloupe	1	2	F		-14	1520	1495	−5	+3	54	61
1953	04	00	Martinique	Guadeloupe	4	3	F		7	1527	1488	+1	−2	53	62
1953	05	00	Guadeloupe	Martinique	0	2	F		-18	1470	1545	−2	+3	64	50
1954	04	00	Martinique	Guadeloupe	2	2	F		-5	1540	1475	0	+1	53	68
1954	05	00	Guadeloupe	Martinique	4	2	F		13	1488	1527	+5	−2	63	56
1955	03	00	Guadeloupe	Martinique	1	4	F		-21	1467	1548	−5	+3	71	55
1955	05	00	Martinique	Guadeloupe	1	1	F		-5	1543	1472	−1	+2	55	69
1956	03	31	Curaçao	Guadeloupe	2	1	F	MQ	7	1570	1465	+1	−3	47	72
1956	04	24	Martinique	Guadeloupe	3	0	F		11	1522	1454	+3	−1	62	73
1956	05	20	Guadeloupe	Martinique	2	2	F		-1	1453	1523	0	0	73	63
1957	04	00	Martinique	Guadeloupe	6	1	F		11	1534	1442	+2	−3	58	78
1957	05	00	Guadeloupe	Martinique	5	2	F		17	1459	1517	+3	−2	75	60
1958	00	00	Guadeloupe	Surinam	3	1	F		13	1472	1489	+5	−5	71	69
1958	00	00	Martinique	Guadeloupe	1	1	F		-4	1513	1476	−1	+5	62	71
1959	05	00	Guadeloupe	Martinique	2	1	F		8	1484	1505	+1	−2	76	67
1959	06	06	Guadeloupe	Surinam	3	3	F		-3	1481	1473	−1	0	76	77
1959	06	07	Guadeloupe	Surinam	3	1	F		10	1491	1463	+3	−2	73	79
1959	07	00	Martinique	Guadeloupe	3	0	F		11	1535	1480	+3	−3	59	75
1960	00	00	Martinique	Guadeloupe	1	0	F		6	1517	1474	0	0	62	73
1960	00	00	Martinique	Guadeloupe	2	2	F		-4	1513	1478	0	0	62	73
1961	04	00	Martinique	Guadeloupe	2	2	F		-4	1505	1482	−1	0	68	72
1961	05	00	Guadeloupe	Martinique	3	1	F		12	1494	1493	+2	−4	71	72
1962	04	00	Guadeloupe	Martinique	1	0	F		7	1501	1486	0	−1	70	72
1962	08	31	Surinam	Guadeloupe	3	1	F		14	1440	1487	+2	−2	85	72
1962	10	13	Surinam	Guadeloupe	3	3	F		-2	1445	1489	−1	0	83	72
1962	11	00	Guadeloupe	Martinique	3	1	UCT	PR	22	1511	1464	+6	−4	65	78
1962	11	00	Puerto Rico	Guadeloupe	0	3	UCT		-2	840	1513	0	+6	155	65
1963	00	00	Guadeloupe	Martinique	3	0	UCT		16	1529	1451	+4	−2	62	80
1963	00	00	Guadeloupe	Puerto Rico	3	0	UCT		1	1530	836	+4	0	62	155
1965	00	00	Guadeloupe	Puerto Rico	4	0	UCT	MQ	1	1531	833	−6	0	68	159
1965	00	00	Martinique	Guadeloupe	1	0	UCT		14	1466	1517	+3	−6	78	68
1966	06	11	Haiti	Guadeloupe	3	2	DVC		15	1430	1502	+7	−3	86	66
1966	06	13	Guadeloupe	Jamaica	0	0	DVC	HT	-5	1497	1387	0	+1	66	97
1966	06	15	Surinam	Guadeloupe	4	0	DVC	HT	28	1525	1469	+5	−11	61	77
1966	06	18	Netherlands Antilles	Guadeloupe	4	0	DVC	HT	30	1472	1439	+7	−6	76	83
1966	06	20	Guadeloupe	Trinidad and Tobago	2	1	DVC	HT	17	1456	1459	+3	−4	80	79
1967	01	00	Martinique	Guadeloupe	2	1	F		7	1474	1449	+3	−3	75	86
1967	11	00	Martinique	Guadeloupe	1	0	UCT	PR	14	1478	1435	+3	−1	71	82
1967	11	00	Puerto Rico	Guadeloupe	2	4	UCT		-3	846	1438	0	−1	169	82
1968	11	00	Guadeloupe	Puerto Rico	2	0	UCT		1	1439	843	+6	0	76	171
1968	11	00	Guadeloupe	Martinique	3	1	UCT		18	1457	1449	+6	−6	76	79
1971	07	00	Guadeloupe	Martinique	1	1	F		-3	1454	1456	−5	+4	79	74
1971	07	00	Martinique	Guadeloupe	2	1	F		7	1463	1447	+4	−5	74	79
1972	02	13	Guadeloupe	Haiti	4	4	F		2	1449	1600	0	−2	77	52
1973	11	00	Guadeloupe	Martinique	0	2	F		-21	1428	1423	−5	+6	82	84
1974	00	00	Guadeloupe	Surinam	3	0	F		20	1448	1556	+5	−5	78	58
1975	00	00	Guadeloupe	Puerto Rico	2	1	F		0	1448	843	−7	0	86	177
1975	00	00	Martinique	Guadeloupe	8	2	F		16	1451	1432	+9	−7	79	86
1975	03	30	Guadeloupe	Surinam	4	2	F		17	1449	1553	+6	−2	81	53
1975	09	26	Haiti	Guadeloupe	3	0	F		10	1512	1439	+1	−3	64	85
1976	05	00	Guadeloupe	Martinique	0	1	F		-12	1427	1463	−2	+4	86	72
1976	05	11	Martinique	Guadeloupe	3	2	F		6	1469	1421	0	−1	72	87
