year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1975	08	02	Guam	Solomon Islands	1	5	SPG		-11	689	1125	−	+2	179	145
1975	08	04	Guam	Fiji	0	11	SPG		-18	671	1094	−2	+4	181	152
1979	08	29	New Hebrides	Guam	4	0	SPG	FJ	6	1103	665	+2	−1	149	185
1979	08	30	New Caledonia	Guam	10	1	SPG	FJ	1	1434	664	0	−1	86	186
1979	09	05	Guam	Western Samoa	4	2	SPG	FJ	30	694	631	+3	0	183	187
1979	09	06	Guam	Tuvalu	7	2	SPG	FJ	52	746	752	+1	−2	182	181
1991	09	10	Tahiti	Guam	15	0	SPG	PG	1	1553	745	0	0	58	195
1991	09	12	Fiji	Guam	14	1	SPG	PG	3	1414	742	0	0	87	195
1991	09	14	New Caledonia	Guam	18	0	SPG	PG	6	1285	736	+1	0	125	195
1991	09	18	Wallis and Futuna	Guam	5	0	SPG	PG	45	734	691	+2	−2	195	197
1993	12	07	Tahiti	Guam	11	0	SPM	VU	1	1474	690	0	0	87	210
1993	12	11	Solomon Islands	Guam	12	1	SPM	VU	5	1211	685	+1	0	151	210
1993	12	13	Fiji	Guam	12	0	SPM	VU	2	1416	683	+1	−1	98	211
1995	08	16	Vanuatu	Guam	6	0	SPG	TI	13	995	670	+1	−2	190	213
1995	08	20	Fiji	Guam	8	0	SPG	TI	1	1391	669	+1	0	107	213
1995	08	22	Papua New Guinea	Guam	9	0	SPG	TI	10	1067	659	0	0	180	213
1996	08	05	South Korea	Guam	9	0	SQ	VN	0	1604	659	0	0	52	213
1996	08	07	Vietnam	Guam	9	0	SQ		2	1225	657	0	0	147	213
1996	08	10	Taiwan	Guam	9	2	SQ	VN	10	1020	647	+2	0	187	213
1998	07	30	Guam	Northern Mariana Islands	2	1	MNG	PW	17	664	583	0	−	214	220
1998	08	01	Palau	Guam	2	15	MNG		-40	402	704	−1	+2	226	212
1998	08	03	Northern Mariana Islands	Guam	3	0	MNG	PW	41	682	663	+2	−3	214	215
1999	06	00	Guam	FS Micronesia	4	1	F		10	673	590	+2	−	215	223
1999	06	00	Guam	FS Micronesia	5	0	F		10	683	580	+2	−	215	223
1999	06	06	Guam	FS Micronesia	3	0	F		8	691	572	+2	0	213	223
2000	01	23	Vietnam	Guam	11	0	SQ		2	1293	689	+1	0	133	213
2000	01	26	China	Guam	19	0	SQ	VN	0	1697	689	0	0	39	213
2000	01	29	Philippines	Guam	2	0	SQ	VN	29	727	660	+2	−4	210	217
2000	11	24	Iran	Guam	19	0	WQ		0	1738	660	0	0	32	217
2000	11	26	Tajikistan	Guam	16	0	WQ	IR	2	1440	658	0	0	93	217
2003	02	24	Mongolia	Guam	2	0	EAQ	HK	20	802	638	0	0	208	220
2003	02	26	Macao	Guam	2	0	EAQ	HK	10	919	628	0	−1	196	221
2003	02	28	Taiwan	Guam	7	0	EAQ	HK	8	1043	620	0	0	186	221
2003	03	02	Hong Kong	Guam	11	0	EAQ		2	1201	618	0	0	154	221
2003	04	23	Bhutan	Guam	6	0	SQ		40	582	578	+2	−5	226	227
2003	04	25	Mongolia	Guam	5	0	SQ	BT	19	799	559	0	0	208	227
2005	03	05	Taiwan	Guam	9	0	EAQ		4	1025	555	+1	0	186	229
2005	03	07	Hong Kong	Guam	15	0	EAQ	TW	3	1218	552	+1	0	149	229
2005	03	09	Mongolia	Guam	4	1	EAQ	TW	17	762	535	+1	−2	209	231
2005	03	11	North Korea	Guam	21	0	EAQ	TW	1	1473	534	+2	0	89	231
2006	04	01	Palestine	Guam	11	0	ACH	BD	1	1308	533	0	0	130	231
2006	04	03	Bangladesh	Guam	3	0	ACH		2	1041	531	0	0	183	231
