year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1921	09	14	Guatemala	Honduras	9	0	JCN		18	1518	1382	−	−	30	36
1921	09	18	Guatemala	Costa Rica	0	6	JCN		-16	1502	1826	−1	+1	31	12
1923	01	01	Guatemala	Mexico	2	3	F		-7	1495	1707	−1	−	38	16
1923	01	04	Guatemala	Mexico	3	1	F		20	1515	1687	+1	−4	37	20
1923	01	07	Guatemala	Mexico	1	4	F		-14	1501	1701	−1	+2	38	18
1923	12	09	Mexico	Guatemala	2	1	F		3	1704	1498	0	−1	18	38
1923	12	12	Mexico	Guatemala	2	0	F		4	1708	1494	+1	0	17	38
1923	12	16	Mexico	Guatemala	3	3	F		-7	1701	1501	−1	+1	18	37
1930	03	17	Costa Rica	Guatemala	8	1	CAG	CU	12	1838	1489	+1	−2	10	44
1930	03	19	El Salvador	Guatemala	8	2	CAG	CU	42	1533	1447	+2	−3	41	47
1935	03	25	Costa Rica	Guatemala	4	3	CAG	SV	4	1846	1443	0	−1	12	57
1935	03	27	Cuba	Guatemala	2	1	CAG	SV	13	1581	1430	+1	−1	40	58
1935	03	28	Mexico	Guatemala	5	1	CAG	SV	18	1649	1412	+1	−3	27	61
1935	03	31	Guatemala	Honduras	0	0	CAG	SV	0	1412	1413	0	0	60	58
1935	04	03	El Salvador	Guatemala	6	1	CAG		30	1434	1382	+3	−3	57	62
1943	12	05	El Salvador	Guatemala	2	2	CCF		-13	1469	1395	−1	+2	58	64
1943	12	07	Guatemala	Costa Rica	3	2	CCF	SV	46	1441	1774	+2	−1	62	15
1943	12	09	Guatemala	Nicaragua	6	2	CCF	SV	6	1447	960	+1	0	61	97
1943	12	12	El Salvador	Guatemala	2	1	CCF		13	1542	1434	+2	−1	49	62
1943	12	16	Guatemala	Costa Rica	4	2	CCF	SV	63	1497	1655	+5	−14	57	32
1943	12	19	Guatemala	Nicaragua	5	1	CCF	SV	4	1501	953	0	0	57	97
1946	02	23	Guatemala	El Salvador	3	1	CCF	CR	38	1539	1470	+6	−4	49	58
1946	02	28	Honduras	Guatemala	5	3	CCF	CR	56	1408	1483	+5	−6	63	55
1946	03	07	Guatemala	Nicaragua	7	0	CCF	CR	5	1488	942	−1	0	56	97
1946	03	10	Costa Rica	Guatemala	1	4	CCF		-76	1632	1564	−17	+10	36	46
1946	03	13	Guatemala	Panama	3	3	CCF	CR	-19	1545	1232	−2	+2	48	87
1946	12	09	Panama	Guatemala	4	2	CAC	CO	50	1307	1495	+11	−5	77	55
1946	12	12	Curaçao	Guatemala	2	2	CAC	CO	-2	1523	1497	−1	0	51	55
1946	12	15	Colombia	Guatemala	4	2	CAC		29	1436	1468	+2	−2	62	57
1946	12	16	Costa Rica	Guatemala	6	0	CAC	CO	21	1682	1447	+8	−3	24	60
1946	12	18	Venezuela	Guatemala	3	2	CAC	CO	30	1281	1417	+2	−4	86	64
1946	12	19	Guatemala	Puerto Rico	4	1	CAC	CO	3	1420	881	0	0	64	100
1948	03	02	Guatemala	El Salvador	3	0	CCF		35	1455	1414	+7	−6	59	67
1948	03	03	Guatemala	Costa Rica	1	1	CCF		3	1458	1600	0	0	59	38
1948	03	05	Guatemala	Curaçao	2	2	CCF		-4	1454	1506	0	+2	59	55
1948	03	09	Guatemala	Panama	4	3	CCF		12	1466	1351	+1	−3	58	79
1948	03	13	Guatemala	El Salvador	1	1	CCF		-8	1458	1465	−2	+2	60	58
1948	03	17	Guatemala	Costa Rica	3	2	CCF		30	1488	1601	+1	−2	57	38
1948	03	18	Guatemala	Curaçao	2	2	CCF		-14	1474	1375	−1	+2	58	74
1948	03	21	Guatemala	Panama	4	5	CCF		-34	1440	1470	−6	+6	64	58
1949	08	04	Curaçao	Guatemala	1	1	FT		-4	1433	1444	0	+1	66	64
1949	08	07	Guatemala	Aruba	2	1	FT	CW	13	1457	1381	+1	−3	63	75
1950	03	06	Guatemala	Honduras	0	1	CAC		-29	1428	1415	−4	+3	68	69
1950	03	11	Guatemala	Netherlands Antilles	0	2	CAC		-37	1391	1478	−3	+5	72	62
1950	03	13	Guatemala	El Salvador	2	0	CAC		25	1416	1402	+3	−2	69	70
1950	03	14	Guatemala	Honduras	0	1	CAC		-25	1391	1445	−3	+3	72	65
1953	03	09	Guatemala	Netherlands Antilles	1	1	CCF	CR	7	1398	1480	+2	0	77	63
1953	03	11	Guatemala	Honduras	1	0	CCF	CR	28	1426	1406	+5	−5	72	77
1953	03	13	Guatemala	El Salvador	3	2	CCF	CR	22	1448	1362	+4	−1	68	82
1953	03	17	Guatemala	Panama	2	2	CCF	CR	-9	1439	1328	−4	+2	72	84
1953	03	19	Guatemala	Nicaragua	1	0	CCF	CR	4	1443	1013	+1	0	71	117
1953	03	22	Costa Rica	Guatemala	3	0	CCF		14	1640	1429	+4	−2	31	73
1955	07	24	Costa Rica	Guatemala	9	1	F		7	1647	1422	+1	−1	34	80
1955	07	31	Guatemala	Costa Rica	3	1	F		20	1442	1627	+2	−3	78	37
1955	08	15	El Salvador	Guatemala	3	2	CCF	HN	27	1439	1415	+5	−4	78	82
1955	08	18	Guatemala	Curaçao	4	1	CCF	HN	54	1469	1443	+11	−12	71	78
1955	08	21	Costa Rica	Guatemala	2	0	CCF	HN	17	1694	1452	+3	−3	25	75
1957	02	10	Guatemala	Costa Rica	2	6	WQ		-16	1436	1789	−3	+3	80	15
1957	02	17	Costa Rica	Guatemala	3	1	WQ		4	1793	1432	0	−1	15	80
1957	03	10	Guatemala	Curaçao	1	3	WQ		-28	1404	1579	−4	+6	84	49
1960	08	21	Costa Rica	Guatemala	3	2	WQ		4	1700	1400	0	0	32	93
1960	08	28	Guatemala	Costa Rica	4	4	WQ		10	1410	1690	+1	0	92	32
1960	09	25	Honduras	Guatemala	1	1	WQ		-8	1439	1418	0	+5	79	87
1961	03	06	Guatemala	Panama	2	0	CCF	CR	21	1439	1233	+8	−4	78	121
1961	03	09	Haiti	Guatemala	3	1	CCF	CR	30	1544	1409	+11	−12	55	91
1961	03	12	Guatemala	Cuba	2	0	CCF	CR	15	1424	1147	+6	−2	85	133
1961	03	14	Costa Rica	Guatemala	4	2	CCF		8	1713	1416	+1	−2	26	87
1963	02	17	Guatemala	Antigua and Barbuda	6	0	F		7	1423	1212	0	0	88	128
1963	03	02	Guatemala	Honduras	1	2	F		-12	1411	1458	−2	+5	90	79
1963	03	10	Guatemala	Honduras	2	1	F		8	1419	1450	+2	−2	88	81
1963	03	23	Guatemala	Panama	2	2	CCH	SV	-15	1404	1189	−3	+1	91	133
1963	03	27	Guatemala	Nicaragua	3	1	CCH	SV	6	1410	981	+1	0	90	149
1963	03	29	Honduras	Guatemala	2	1	CCH	SV	21	1486	1389	+6	−4	73	94
1963	03	31	El Salvador	Guatemala	1	1	CCH		-14	1504	1403	−2	+2	68	92
1965	03	10	Guatemala	Paraguay	1	4	F		-6	1397	1792	−1	0	93	20
1965	03	14	Guatemala	Paraguay	0	3	F		-5	1392	1797	−4	0	95	20
1965	03	28	Guatemala	Haiti	3	0	CCH		45	1437	1459	+12	−10	84	81
1965	04	01	Guatemala	Costa Rica	0	0	CCH		18	1455	1824	+2	−3	82	17
1965	04	04	Guatemala	El Salvador	4	1	CCH		40	1495	1485	+11	−13	71	75
1965	04	06	Guatemala	Netherlands Antilles	3	2	CCH		17	1512	1466	+4	−2	67	78
1965	04	11	Guatemala	Mexico	1	2	CCH		-10	1502	1853	−1	0	69	14
1966	02	28	Panama	Guatemala	0	1	F		-5	1214	1507	0	+1	132	65
1967	01	18	Guatemala	Honduras	3	1	F		5	1512	1336	+1	0	64	105
1967	01	22	Honduras	Guatemala	1	1	F		2	1338	1510	0	0	105	64
1967	02	13	Guatemala	Panama	3	1	CCQ		6	1516	1224	0	0	64	130
1967	02	15	Guatemala	Nicaragua	3	1	CCQ		2	1518	1007	0	0	64	157
