year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1958	12	06	Ghana	Guinea	6	1	F		10	1707	1590	+1	−	30	48
1960	10	02	Liberia	Guinea	0	5	F		-13	1343	1603	0	0	104	45
1960	12	23	Guinea	Ivory Coast	4	0	F		16	1619	1641	+3	−4	42	41
1961	05	07	Guinea	Mali	2	3	F		-14	1605	1572	−3	+2	45	51
1961	12	10	Mali	Guinea	3	0	F		14	1586	1591	+4	−1	48	46
1961	12	17	Liberia	Guinea	1	0	NKR		20	1386	1571	+4	−8	99	53
1961	12	29	Guinea	Liberia	5	2	NKR		7	1578	1332	+2	−1	51	105
1962	04	01	Mali	Guinea	3	1	NKR		16	1600	1562	+2	−2	46	53
1962	04	15	Guinea	Mali	2	2	NKR		-3	1559	1603	0	0	53	45
1962	05	06	Togo	Guinea	2	1	F		8	1527	1551	+1	−1	62	54
1962	06	03	Guinea	Togo	0	1	F		-13	1538	1540	−6	+6	60	57
1962	12	16	Guinea	East Germany	2	3	F		-11	1527	1606	−4	0	64	46
1962	12	18	Guinea	East Germany	2	2	F		-1	1526	1607	0	+1	64	45
1963	01	12	Sierra Leone	Guinea	1	3	FT		-19	1351	1545	−3	+8	103	58
1963	01	27	Guinea	Sierra Leone	4	2	FT		7	1552	1344	+2	0	56	103
1963	02	02	Guinea	Mali	3	1	FT	CI	25	1577	1569	+6	−6	50	54
1963	02	03	Ivory Coast	Guinea	3	1	FT		12	1656	1565	+1	−5	36	55
1963	03	10	Guinea	Ghana	2	2	F		4	1569	1813	+1	−1	52	18
1963	07	27	Nigeria	Guinea	2	2	FQ		-9	1620	1578	−1	+1	42	53
1963	08	01	Dahomey	Guinea	1	2	F		-11	1505	1589	0	+1	67	52
1963	10	02	Guinea	Ivory Coast	2	0	F		12	1601	1607	+4	−3	49	46
1963	10	06	Guinea	Nigeria	1	0	FQ		15	1616	1605	+6	−5	43	47
1963	12	15	Senegal	Guinea	1	1	F		-2	1587	1618	0	0	48	45
1963	12	31	Cameroon	Guinea	1	5	F		-17	1473	1635	−4	+3	76	42
1964	05	22	Algeria	Guinea	1	2	F		-16	1752	1651	−3	+5	23	37
1964	10	03	Guinea	Dahomey	5	2	F		7	1658	1518	+1	−4	36	70
1964	12	25	Ivory Coast	Guinea	1	1	AGQ		-2	1596	1660	0	0	45	36
1964	12	31	Ghana	Guinea	3	3	AGQ	CI	-3	1717	1663	−1	0	27	36
1965	01	01	Guinea	Liberia	3	3	AGQ	CI	-16	1647	1313	−1	+1	37	113
1965	02	24	Senegal	Guinea	2	0	FQ		29	1592	1618	+5	−5	47	43
1965	03	29	Guinea	Senegal	3	1	FQ		18	1636	1559	+3	−3	40	54
1965	04	18	Guinea	Liberia	7	0	F		4	1640	1309	0	0	38	114
1965	05	23	Mali	Guinea	2	1	FQ		22	1530	1618	+5	−8	62	45
1965	06	06	Guinea	Mali	2	1	FQ		10	1628	1520	+5	−1	40	64
1965	06	20	Congo	Guinea	1	2	F		-11	1569	1639	−1	+1	53	39
1965	08	01	Guinea	Cambodia	2	1	GNF	KP	1	1640	1033	+1	0	39	149
1965	08	03	Guinea	Indonesia	3	1	GNF	KP	11	1651	1434	+1	−1	38	83
1965	08	05	North Vietnam	Guinea	2	1	GNF	KP	28	1251	1623	+5	−3	121	41
1965	08	06	North Korea	Guinea	3	0	GNF		12	1743	1611	+3	−7	24	48
1965	08	09	China	Guinea	2	0	GNF	KP	26	1577	1585	+5	−4	53	52
1965	10	03	Guinea	Congo	1	2	F		-12	1573	1610	−1	+1	52	47
1966	03	06	Guinea	Senegal	5	0	F		18	1591	1616	+2	−3	49	43
1966	03	25	Guinea	China	2	2	F		-3	1588	1580	0	+1	48	50
1966	03	30	Guinea	China	3	1	F		10	1598	1570	0	−2	48	52
1966	09	30	Guinea	Cameroon	2	2	IND		-6	1592	1553	−3	+2	48	53
1966	10	02	Guinea	Mali	5	0	IND		19	1611	1541	+4	−6	44	56
1966	11	01	Mali	Guinea	1	0	F		9	1550	1602	+3	−1	54	45
1967	01	26	Liberia	Guinea	2	2	FQ		8	1355	1594	0	−1	101	47
1967	02	19	Guinea	Senegal	3	0	FQ		26	1620	1572	+5	−3	42	49
1967	03	19	Senegal	Guinea	4	1	FQ		30	1598	1590	+4	−7	46	48
1967	04	02	Guinea	Liberia	3	0	FQ		9	1599	1355	+2	−3	46	104
1967	06	18	Gabon	Guinea	0	0	OQ		5	1416	1594	+1	0	93	47
1967	07	09	Guinea	Gabon	6	1	OQ		13	1607	1403	+2	−1	44	94
1967	10	22	Senegal	Guinea	2	1	FQ		15	1608	1592	+6	−6	45	51
1967	10	27	Guinea	Senegal	1	0	FT	GM	16	1608	1592	+6	−6	45	51
1967	10	29	Gambia	Guinea	1	4	FT		-11	1271	1619	−5	+2	123	43
1967	12	02	Sierra Leone	Guinea	2	1	F		15	1351	1604	+3	−4	105	48
1968	01	20	Sierra Leone	Guinea	1	1	F		4	1355	1600	+1	−1	104	50
1968	02	04	Guinea	Sierra Leone	7	1	F		5	1605	1345	+2	0	47	105
1968	02	25	Upper Volta	Guinea	2	0	F		22	1362	1583	+4	−8	103	54
1968	03	07	Guinea	DR Congo	1	0	F		12	1595	1746	+4	−3	50	24
1968	03	31	Guinea	Upper Volta	3	1	F		4	1599	1358	+2	−1	48	104
1968	04	02	Guinea	Upper Volta	1	3	F		-26	1573	1384	−8	+4	56	100
1968	04	07	Togo	Guinea	1	1	F		0	1461	1573	0	0	77	56
1968	04	10	Dahomey	Guinea	2	5	F		-16	1436	1589	−4	+6	83	50
1968	04	21	Guinea	Togo	2	0	F		6	1595	1455	0	−1	50	78
1968	06	26	Algeria	Guinea	2	2	OQ	MA	-4	1664	1599	0	+1	36	49
1968	06	30	Guinea	Algeria	3	2	OQ	MA	24	1623	1640	+7	−4	42	40
1968	09	07	Senegal	Guinea	4	4	F		-3	1615	1626	0	0	44	42
1968	12	14	Sierra Leone	Guinea	1	1	F		5	1355	1621	0	−1	104	44
1969	01	12	Niger	Guinea	1	3	F		-3	1128	1624	−1	−1	147	45
1969	02	02	Guinea	Sierra Leone	1	1	F		-8	1616	1363	−1	+1	45	103
1969	04	04	Guinea	Niger	5	0	F		1	1617	1135	0	0	45	146
1969	04	13	Guinea	Togo	4	0	FQ		14	1631	1441	+1	−3	44	82
1969	05	18	Guinea	Gambia	6	2	F		2	1633	1264	+2	0	44	121
1969	08	24	Togo	Guinea	1	1	FQ		5	1446	1628	+2	0	81	44
1969	10	12	Guinea	Senegal	4	3	FQ		12	1640	1566	+4	−3	41	56
1969	10	26	Senegal	Guinea	1	1	FQ		-1	1565	1641	0	+1	56	39
1969	11	12	Congo	Guinea	1	1	F		-1	1573	1642	0	0	54	40
1969	11	23	Guinea	Belorussia	2	1	F		2	1644	1396	+1	−	39	−
1970	02	07	Egypt	Guinea	4	1	AR	SD	31	1778	1613	+4	−8	21	47
1970	02	09	DR Congo	Guinea	2	2	AR	SD	-8	1722	1621	0	+3	29	43
1970	02	11	Ghana	Guinea	1	1	AR	SD	-5	1690	1626	−1	+1	34	43
1970	03	22	Guinea	Ivory Coast	4	2	F		13	1639	1666	+1	−3	42	38
1970	03	26	Guinea	Mali	2	1	F		5	1644	1523	+1	0	41	66
1970	05	14	Guinea	Senegal	3	1	F		8	1652	1551	+1	−3	41	60
1970	05	17	Guinea	Senegal	4	0	F		9	1661	1542	+2	−2	39	62
1970	05	27	Mali	Guinea	1	0	WAC		22	1545	1639	+4	−3	62	42
1970	07	26	Ivory Coast	Guinea	3	2	F		7	1663	1632	0	0	38	41
1970	11	01	Sierra Leone	Guinea	1	2	F		-6	1369	1638	−1	0	98	42
1970	11	15	Guinea	Senegal	1	0	FQ		9	1647	1519	+1	−1	41	64
1970	11	29	Senegal	Guinea	0	0	FQ		2	1521	1645	0	0	65	41
1971	02	07	Togo	Guinea	1	1	OQ		4	1484	1641	0	−2	69	43
1971	02	28	Guinea	Togo	0	0	OQ		-13	1628	1497	−1	+2	44	67
1971	05	02	Guinea	Gambia	4	2	F		2	1630	1255	0	+1	43	124
1971	06	13	Guinea	Mali	0	0	FQ		-8	1622	1585	0	+3	44	51
1971	06	27	Mali	Guinea	3	1	FQ		25	1610	1597	+5	−5	46	50
1971	07	08	Tanzania	Guinea	1	2	F		-4	1262	1601	−1	+1	124	49
1971	07	11	Tanzania	Guinea	1	4	F		-7	1255	1608	−2	+1	126	48
1971	07	14	Tanzania	Guinea	3	2	F		16	1271	1592	+3	−2	123	50
1971	07	18	Zambia	Guinea	4	2	PST		20	1545	1572	+2	−6	62	56
1971	07	21	Zambia	Guinea	1	5	PST		-34	1511	1606	−5	+8	67	48
1971	07	25	Zambia	Guinea	2	1	PST		15	1526	1591	+3	−2	64	50
1971	11	14	Guinea	Tanzania	3	2	F		2	1593	1272	+1	−1	50	122
1971	11	21	Guinea	Tanzania	4	2	F		2	1595	1270	0	0	50	122
1971	12	01	Guinea	Nigeria	3	0	BLW		17	1612	1554	+4	−1	46	59
1972	01	12	Guinea	Congo	0	1	F		-13	1599	1623	−4	+8	51	41
1972	01	30	Nigeria	Guinea	1	1	BLW		-2	1547	1601	0	+1	61	50
1972	02	13	Congo	Guinea	2	2	F		-3	1613	1604	−3	+1	46	50
1972	03	02	Algeria	Guinea	1	0	WQ		16	1582	1588	+2	−5	55	54
1972	03	12	Guinea	Algeria	5	1	WQ		26	1614	1556	+8	−2	47	58
1972	04	22	Sierra Leone	Guinea	6	0	F		29	1415	1585	+6	−8	89	55
1972	05	31	Liberia	Guinea	0	2	F		-10	1355	1595	−3	+1	104	52
1972	07	02	Zaire	Guinea	6	0	F		12	1679	1583	+1	−1	35	52
1972	09	28	Guinea	Gambia	8	0	AQW	SN	12	1595	1243	+2	−3	50	130
1972	10	01	Senegal	Guinea	2	3	AQW		-25	1568	1620	−1	+5	53	46
1972	10	03	Guinea	Mauritania	14	0	AQW	SN	3	1623	971	+1	0	45	163
1972	10	08	Guinea	Mali	4	3	AQW	SN	14	1637	1499	+3	−1	42	63
1972	11	24	Guinea	China	1	1	F		-3	1634	1628	−2	0	43	44
1973	01	08	Guinea	Egypt	4	1	AFG	NG	41	1675	1656	+8	−7	34	39
1973	01	10	Guinea	Upper Volta	3	2	AFG	NG	6	1681	1374	0	0	34	97
1973	01	12	Guinea	Congo	5	1	AFG	NG	32	1713	1596	+6	−4	28	48
1973	01	14	Guinea	Ghana	2	1	AFG	NG	16	1729	1623	+1	−2	27	44
1973	01	18	Nigeria	Guinea	2	0	AFG		27	1689	1702	+5	−5	33	32
1973	02	11	Guinea	Morocco	1	1	WQ		-8	1694	1666	−1	+3	33	37
1973	02	25	Morocco	Guinea	2	0	WQ		23	1695	1671	+5	−3	31	35
1973	04	01	Guinea	Upper Volta	2	1	F		2	1673	1363	0	0	37	101
1973	04	04	Guinea	Upper Volta	5	0	F		3	1676	1360	+1	−1	36	102
1973	04	08	Dahomey	Guinea	1	3	F		-8	1381	1684	−1	0	97	36
1973	04	11	Dahomey	Guinea	1	1	F		5	1386	1679	0	0	97	36
1973	05	27	Mali	Guinea	2	2	FQ		4	1521	1675	−1	−1	62	35
1973	06	03	Gambia	Guinea	2	3	F		-4	1303	1679	−1	+1	118	34
1973	06	14	Guinea	Mali	1	1	FQ		-13	1666	1534	−2	+2	36	60
1973	08	03	China	Guinea	5	2	F		14	1648	1652	+1	−2	39	37
1973	12	30	Guinea	Tunisia	0	0	F		-1	1651	1717	0	0	38	29
1974	02	15	Ghana	Guinea	5	2	F		17	1581	1634	+3	−1	52	39
1974	02	17	Ghana	Guinea	3	1	F		13	1594	1621	+4	−4	48	43
1974	03	03	Zaire	Guinea	2	1	AR	EG	15	1775	1606	+3	−3	24	46
1974	03	05	Guinea	Mauritius	2	1	AR	EG	7	1613	1285	+1	−1	45	118
1974	03	07	Congo	Guinea	1	1	AR	EG	-1	1623	1614	0	+1	42	43
1974	04	20	Sierra Leone	Guinea	2	0	SKS		29	1435	1585	+9	−7	83	50
1974	05	14	Guinea	Cuba	1	2	F		-15	1570	1501	−1	+1	52	66
1974	05	17	Guinea	Cuba	3	2	F		5	1575	1496	+1	0	51	66
1974	07	14	Guinea	Ghana	1	1	F		-2	1573	1596	0	0	51	46
1974	12	15	Ghana	Guinea	1	1	F		-4	1619	1577	0	0	41	49
1974	12	22	Ghana	Guinea	1	2	F		-14	1605	1591	−3	+2	45	47
1974	12	24	Togo	Guinea	1	2	F		-10	1467	1601	−4	+1	74	46
1974	12	29	Cameroon	Guinea	1	1	F		-3	1611	1604	−1	0	43	46
1975	01	01	Cameroon	Guinea	1	0	F		7	1618	1597	+1	0	42	46
1975	01	19	Mali	Guinea	0	2	F		-17	1530	1614	−5	+3	61	43
1975	01	26	Guinea	Cameroon	3	0	F		12	1626	1599	+1	−2	42	46
1975	02	22	Liberia	Guinea	1	1	F		5	1357	1621	−1	0	105	43
1975	03	23	Niger	Guinea	2	4	FQ		-6	1118	1627	−2	0	147	42
1975	04	06	Guinea	Niger	3	0	FQ		2	1629	1116	+1	−1	41	148
1975	04	27	Gambia	Guinea	0	1	OQ		-8	1282	1637	−4	0	122	40
1975	06	01	Guinea	Gambia	6	0	OQ		6	1643	1276	0	0	40	121
1975	06	08	Guinea	Mali	5	1	AWA	GW	26	1669	1510	+6	−6	34	65
1975	06	11	Guinea	Gambia	2	1	AWA	GW	4	1673	1260	0	0	34	123
1975	06	14	Guinea	Mali	0	0	AWA	GW	-7	1666	1551	−3	+3	37	53
1975	06	15	Guinea-Bissau	Guinea	2	5	AWA		-15	1324	1681	−3	+4	111	33
1975	07	03	Togo	Guinea	2	2	FQ		5	1494	1676	+1	0	68	33
1975	07	17	Guinea	Togo	2	0	FQ		10	1686	1484	0	−2	33	69
1975	11	30	Guinea	Ghana	1	0	OQ		12	1698	1630	+2	−2	30	42
1975	12	14	Ghana	Guinea	6	2	OQ		34	1664	1664	+5	−7	37	37
1976	01	16	Guinea	Senegal	2	2	WAC	GM	-7	1657	1552	−2	+1	40	56
1976	01	17	Guinea	Mauritania	4	0	WAC	GM	1	1658	955	0	0	40	164
1976	01	18	Mali	Guinea	1	0	WAC	GM	24	1605	1634	+5	−2	46	42
1976	02	01	Mali	Guinea	1	1	F		-2	1603	1636	0	+1	46	41
1976	02	15	Guinea	Mali	2	1	F		6	1642	1597	+1	0	40	47
1976	02	29	Egypt	Guinea	1	1	AR	ET	-5	1701	1647	0	0	29	41
1976	03	03	Ethiopia	Guinea	1	2	AR		-18	1431	1665	−6	+4	86	37
1976	03	05	Guinea	Uganda	2	1	AR	ET	11	1676	1441	+3	−4	34	81
1976	03	09	Guinea	Nigeria	1	1	AR	ET	-1	1675	1660	0	0	33	39
1976	03	11	Guinea	Egypt	4	2	AR	ET	38	1713	1641	+4	−10	29	42
1976	03	14	Guinea	Morocco	1	1	AR	ET	7	1720	1801	0	−1	29	20
1976	04	19	Sierra Leone	Guinea	1	1	F		6	1397	1714	+1	0	94	29
1976	05	01	Algeria	Guinea	1	2	F		-8	1543	1722	−1	0	56	29
1976	10	10	Ghana	Guinea	2	1	WQ		18	1675	1704	+2	−1	35	31
1976	10	31	Guinea	Ghana	2	1	WQ		13	1717	1662	+3	−2	28	37
1977	01	16	Guinea	Ghana	2	0	WQ	TG	24	1741	1620	+4	−5	25	44
1977	02	13	Togo	Guinea	0	2	WQ		-20	1501	1761	−6	+2	66	23
1977	02	27	Guinea	Togo	2	1	WQ		4	1765	1497	+1	−1	21	67
1977	03	05	Senegal	Guinea	1	0	F		15	1509	1750	+5	−1	64	22
1977	03	13	Guinea	Libya	3	0	FQ		4	1754	1364	0	−1	23	101
1977	03	25	Libya	Guinea	0	2	FQ		-10	1354	1764	−1	+2	102	21
1977	06	05	Guinea	Tunisia	1	0	WQ		8	1772	1611	+2	−2	22	45
1977	06	19	Tunisia	Guinea	3	1	WQ		35	1646	1737	+3	−5	42	27
1977	10	02	Tunisia	Guinea	3	0	FQ		34	1680	1703	+5	−3	36	30
1977	10	16	Guinea	Tunisia	3	2	FQ		13	1716	1667	+1	−1	30	36
1978	04	29	Guinea	Cape Verde	1	0	FRC	GW	1	1717	1200	0	0	31	135
1978	04	30	Guinea	Mali	1	1	FRC	GW	-5	1712	1592	−1	+1	32	50
