year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1925	03	22	Haiti	Jamaica	1	2	F		-10	1290	1410	−	−	54	44
1925	03	26	Haiti	Jamaica	0	3	F		-16	1274	1426	−1	0	55	44
1925	03	29	Haiti	Jamaica	0	1	F		-9	1265	1435	0	0	55	44
1926	01	24	Haiti	Curaçao	1	1	F		6	1271	1603	0	−2	55	28
1926	01	31	Haiti	Curaçao	0	1	F		-4	1267	1607	0	0	55	28
1926	02	07	Haiti	Curaçao	2	1	F		16	1283	1591	0	−1	55	29
1926	02	14	Haiti	Curaçao	2	2	F		5	1288	1586	0	0	55	29
1926	11	20	Jamaica	Haiti	6	0	F		8	1460	1280	0	0	45	57
1932	03	13	Haiti	Jamaica	4	1	F		20	1300	1403	+3	−1	64	55
1932	03	20	Haiti	Jamaica	0	1	F		-10	1290	1413	0	+1	64	54
1934	01	28	Haiti	Cuba	1	3	WQ		-10	1280	1682	−3	+1	69	23
1934	02	01	Haiti	Cuba	1	1	WQ		14	1294	1668	+3	−1	66	24
1934	02	04	Haiti	Cuba	0	6	WQ		-15	1279	1683	−3	+1	69	23
1938	03	13	Haiti	Jamaica	5	2	F		18	1297	1370	+2	−4	76	65
1938	03	17	Haiti	Jamaica	2	0	F		14	1311	1356	+6	−2	70	67
1938	03	20	Haiti	Jamaica	2	0	F		13	1324	1343	+1	−1	69	68
1939	03	15	Haiti	Panama	1	0	F		6	1330	1266	+2	0	69	82
1939	03	19	Haiti	Panama	1	1	F		-4	1326	1270	−1	0	70	82
1939	03	24	Haiti	Panama	3	0	F		10	1336	1260	+1	0	69	82
1944	04	02	Curaçao	Haiti	5	0	FT		9	1550	1327	0	−2	50	76
1944	04	05	Venezuela	Haiti	2	0	FT	CW	27	1276	1300	+3	−6	87	82
1944	04	08	Aruba	Haiti	1	1	FT	CW	-1	1328	1301	0	0	75	82
1947	04	06	Haiti	Netherlands Antilles	6	0	F		32	1333	1557	+6	−2	75	45
1947	04	08	Haiti	Netherlands Antilles	4	0	F		25	1358	1532	+4	−4	71	49
1947	04	11	Haiti	Netherlands Antilles	7	1	F		26	1384	1506	+1	−5	70	54
1947	04	13	Haiti	Netherlands Antilles	1	0	F		11	1395	1495	+3	0	67	54
1948	00	00	Trinidad and Tobago	Haiti	0	5	F		-32	1501	1427	−9	+5	56	64
1948	00	00	Trinidad and Tobago	Haiti	2	2	F		-5	1496	1432	−9	+5	56	64
1948	00	00	Trinidad and Tobago	Haiti	3	2	F		6	1502	1426	−9	+5	56	64
1948	10	09	Jamaica	Haiti	1	0	F		10	1342	1416	+1	−3	77	68
1948	10	13	Jamaica	Haiti	1	2	F		-11	1331	1427	−1	+3	78	65
1948	10	16	Jamaica	Haiti	3	0	F		17	1348	1410	+1	−4	77	69
1948	10	23	Trinidad and Tobago	Haiti	0	0	F		-6	1519	1416	0	+1	54	68
1948	10	27	Trinidad and Tobago	Haiti	4	0	F		9	1528	1407	+2	−2	52	70
1948	10	30	Trinidad and Tobago	Haiti	4	0	F		8	1536	1399	0	0	52	70
1948	12	16	Guadeloupe	Haiti	1	0	CIB		12	1460	1387	+2	−2	60	72
1949	04	20	Haiti	Trinidad and Tobago	2	2	F		1	1388	1535	−1	0	71	53
1949	04	23	Haiti	Trinidad and Tobago	2	3	F		-9	1379	1544	−3	+2	74	51
1949	04	25	Haiti	Trinidad and Tobago	5	0	F		24	1403	1520	+4	−3	70	54
1949	12	19	Haiti	Jamaica	2	0	FT		14	1417	1353	+2	−2	67	79
1950	02	26	Haiti	Nicaragua	4	2	CAC	GT	5	1422	989	−1	0	69	111
1950	03	03	El Salvador	Haiti	1	0	CAC	GT	22	1415	1400	+1	−1	69	70
1950	03	05	Netherlands Antilles	Haiti	3	0	CAC	GT	32	1458	1368	+5	−6	63	76
1950	10	14	Jamaica	Haiti	2	1	F		8	1361	1360	+2	−3	78	79
1951	12	26	Jamaica	Haiti	2	2	F		-2	1332	1362	−1	+1	85	81
1951	12	27	Jamaica	Haiti	0	1	F		-12	1320	1374	−1	+1	86	80
1951	12	29	Jamaica	Haiti	2	1	F		9	1329	1365	+1	−1	85	81
1952	07	19	Haiti	Jamaica	4	1	F		11	1376	1318	+1	−1	80	86
1952	07	20	Haiti	Jamaica	3	3	F		-4	1372	1322	0	+1	80	85
1952	07	23	Haiti	Jamaica	2	0	F		9	1381	1313	0	−2	80	87
1952	07	27	Haiti	Jamaica	3	2	F		6	1387	1307	0	−1	80	88
1953	07	19	Mexico	Haiti	8	0	WQ		11	1648	1376	+3	−1	31	80
1953	11	14	Haiti	Jamaica	4	1	F		10	1386	1306	+1	−1	82	91
1953	11	21	Haiti	Jamaica	1	0	F		5	1391	1301	0	−3	82	94
1953	12	27	Haiti	Mexico	0	4	WQ		-22	1369	1670	−1	+2	83	28
1954	04	03	Haiti	United States	2	3	WQ		-17	1352	1547	−2	+2	91	53
1954	04	04	Haiti	United States	0	3	WQ		-26	1326	1573	−2	+5	93	48
1956	03	07	Haiti	Panama	3	2	MGC		11	1337	1308	+1	−1	94	98
1956	03	10	Haiti	Venezuela	1	1	MGC		-6	1331	1306	−1	+4	95	98
1956	03	12	Haiti	Panama	2	1	MGC		9	1340	1283	+1	−3	94	108
1956	03	16	Haiti	Venezuela	3	0	MGC		18	1358	1309	+3	−2	91	98
1956	12	14	Haiti	Curaçao	2	1	FT		20	1378	1561	+2	−2	92	51
1957	08	13	Curaçao	Haiti	1	3	CCF		-63	1503	1441	−12	+12	62	79
1957	08	16	Haiti	Honduras	2	1	CCF	CW	26	1467	1435	+6	−5	73	79
1957	08	19	Haiti	Panama	3	1	CCF	CW	19	1486	1263	+5	−5	68	113
1957	08	23	Haiti	Cuba	6	1	CCF	CW	18	1504	1205	+4	−2	64	121
1957	08	26	Aruba	Haiti	3	1	F		15	1413	1489	+3	−4	85	68
1957	08	27	Aruba	Haiti	2	2	F		-1	1412	1490	0	0	85	68
1959	08	28	Haiti	Cuba	8	2	PAG	US	17	1507	1188	+7	−3	65	126
1961	03	07	Haiti	Cuba	2	1	CCF	CR	7	1514	1184	+2	−1	66	129
1961	03	09	Haiti	Guatemala	3	1	CCF	CR	30	1544	1409	+11	−12	55	91
1961	03	11	Costa Rica	Haiti	3	0	CCF		17	1705	1527	+4	−7	27	62
1961	03	13	Haiti	Panama	3	1	CCF	CR	13	1540	1238	+7	−4	55	121
1961	03	15	El Salvador	Haiti	2	0	CCF	CR	45	1519	1495	+10	−16	64	71
1961	03	17	Honduras	Haiti	2	0	CCF	CR	43	1491	1452	+8	−7	71	78
1961	03	19	Costa Rica	Haiti	8	0	CCF		12	1749	1440	+1	−1	23	79
1961	03	22	Panama	Haiti	0	3	F		-13	1233	1453	−3	+2	121	77
1961	03	23	Panama	Haiti	0	2	F		-10	1223	1463	−1	+2	122	75
1962	05	19	Jamaica	Haiti	3	4	F		-11	1386	1474	−5	+2	99	75
1962	05	21	Jamaica	Haiti	1	3	F		-16	1370	1490	0	+3	99	72
1962	05	23	Jamaica	Haiti	2	5	F		-16	1354	1506	−5	+3	104	69
1963	02	23	Jamaica	Haiti	3	2	PSC		19	1334	1487	+2	−3	105	71
1963	03	02	Haiti	Netherlands Antilles	0	0	PSC	JM	3	1490	1545	+1	0	70	59
1963	03	06	Jamaica	Haiti	0	3	F		-14	1302	1504	−2	+1	109	69
1965	03	28	Guatemala	Haiti	3	0	CCH		45	1437	1459	+12	−10	84	81
1965	03	30	Costa Rica	Haiti	3	1	CCH	GT	8	1842	1451	+1	−1	14	82
1965	04	04	Mexico	Haiti	3	0	CCH	GT	9	1845	1442	0	0	14	83
1965	04	08	Haiti	Netherlands Antilles	1	1	CCH	GT	2	1444	1464	0	0	83	78
1965	04	11	El Salvador	Haiti	3	1	CCH	GT	29	1558	1415	+5	−4	56	87
1966	06	11	Haiti	Guadeloupe	3	2	DVC		15	1430	1502	+7	−3	86	66
1966	06	13	Haiti	Surinam	1	4	DVC		-31	1399	1497	−8	+11	94	66
1966	06	16	Haiti	Netherlands Antilles	3	0	DVC		24	1423	1442	+4	−4	90	83
1966	06	18	Haiti	Trinidad and Tobago	1	0	DVC		14	1437	1476	+5	−6	85	75
1966	06	22	Haiti	Jamaica	3	0	DVC		9	1446	1258	+1	0	84	123
1967	01	12	Cuba	Haiti	1	1	CCQ	JM	12	1224	1434	+1	−2	131	90
1967	01	16	Haiti	Trinidad and Tobago	4	2	CCQ	JM	34	1468	1448	+11	−13	79	88
1967	01	19	Haiti	Netherlands Antilles	1	0	CCQ	JM	20	1488	1454	+9	−10	70	84
1967	01	21	Jamaica	Haiti	0	1	CCQ		-15	1277	1503	−4	+3	122	67
1967	03	06	Guatemala	Haiti	2	1	CCH	HN	24	1542	1479	+7	−7	58	73
1967	03	08	Trinidad and Tobago	Haiti	3	2	CCH	HN	29	1457	1450	+10	−11	80	84
1967	03	10	Haiti	Nicaragua	2	1	CCH	HN	5	1455	1069	+1	0	83	154
1967	03	14	Mexico	Haiti	1	0	CCH	HN	6	1799	1449	0	−2	17	84
1967	03	16	Honduras	Haiti	2	0	CCH		37	1390	1412	+4	−9	99	93
1967	04	01	Dominican Republic	Haiti	0	8	OQ		-14	986	1426	−	+2	159	91
1967	04	22	Haiti	Dominican Republic	6	0	OQ		4	1430	982	+3	0	88	159
1967	10	08	Costa Rica	Haiti	3	1	OQ		5	1754	1425	+3	−1	23	91
1967	10	10	El Salvador	Haiti	2	0	F		9	1492	1416	+2	−1	67	92
1967	12	09	Haiti	Costa Rica	3	2	OQ		31	1447	1701	+13	−6	79	31
1968	10	20	Haiti	United States	3	6	F		-22	1425	1473	−7	+6	86	72
1968	10	21	Haiti	United States	5	2	F		15	1440	1458	+6	−4	80	76
1968	10	23	Haiti	United States	1	0	F		8	1448	1450	+1	−2	79	78
1968	11	23	Haiti	Trinidad and Tobago	4	0	WQ		22	1470	1372	+6	−5	74	100
1968	11	25	Haiti	Trinidad and Tobago	2	4	WQ		-45	1425	1417	−11	+12	85	88
1968	12	08	Haiti	Guatemala	2	0	WQ		36	1461	1562	+9	−10	77	60
1969	02	06	Haiti	Jamaica	1	2	F		-17	1444	1251	−4	+3	82	123
1969	02	08	Haiti	Jamaica	3	0	F		5	1449	1246	0	−1	82	124
1969	02	23	Guatemala	Haiti	1	1	WQ		-11	1551	1460	−4	+5	62	77
1969	04	20	Haiti	United States	2	0	WCQ		26	1486	1491	+5	−4	72	70
1969	05	11	United States	Haiti	0	1	WCQ		-26	1465	1512	−6	+5	76	67
1969	09	21	Haiti	El Salvador	1	2	WQ		-23	1489	1585	−4	+6	72	51
1969	09	28	El Salvador	Haiti	0	3	WQ		-53	1532	1542	−15	+10	66	62
1969	10	08	El Salvador	Haiti	1	0	WQ	JM	21	1553	1521	+7	−6	59	68
1970	04	14	Haiti	Bermuda	1	1	F		-7	1514	1353	−1	0	68	104
1971	04	14	Haiti	Bahamas	8	0	F		1	1515	853	0	0	66	172
1971	04	18	Haiti	Mexico	1	1	F		3	1518	1735	0	0	66	27
1971	04	21	Haiti	Mexico	3	1	F		20	1538	1715	0	−2	66	29
1971	06	16	Haiti	Colombia	2	1	F		4	1542	1417	+1	−2	62	90
1971	06	18	Haiti	Colombia	3	1	F		6	1548	1411	+1	0	61	90
1971	07	31	Bermuda	Haiti	1	1	PAG	CO	13	1360	1535	+4	−2	101	63
1971	10	31	Martinique	Haiti	2	2	F		-1	1462	1536	0	0	75	62
1971	11	17	Jamaica	Haiti	1	0	F		15	1262	1521	+4	−2	123	64
1971	11	21	Haiti	Mexico	0	0	CCH	TT	13	1534	1702	+2	−4	62	34
