year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1921	09	14	Guatemala	Honduras	9	0	JCN		18	1518	1382	−	−	30	36
1927	11	07	Honduras	El Salvador	1	0	F		10	1392	1480	0	0	48	44
1927	11	08	Honduras	El Salvador	0	0	F		0	1392	1480	0	0	48	44
1928	02	19	British Honduras	Honduras	1	0	F		15	1115	1377	−	0	61	48
1928	12	07	El Salvador	Honduras	5	0	F		9	1489	1368	0	0	44	50
1930	03	18	Honduras	Jamaica	5	4	CAG	CU	25	1393	1423	+3	−2	51	50
1930	03	20	Cuba	Honduras	7	0	CAG		12	1624	1381	+2	−2	26	53
1930	03	23	Cuba	Honduras	5	0	CAG		10	1634	1371	0	−1	26	54
1930	03	29	Honduras	El Salvador	4	1	CAG	CU	48	1419	1462	+3	−5	51	46
1930	04	04	Costa Rica	Honduras	8	0	CAG	CU	8	1842	1411	0	0	10	51
1935	03	24	Mexico	Honduras	2	1	F	SV	5	1585	1406	+2	0	38	61
1935	03	25	Cuba	Honduras	3	0	CAG	SV	22	1568	1384	+1	−1	41	62
1935	03	28	El Salvador	Honduras	3	4	CAG		-29	1414	1413	−2	+3	58	59
1935	03	31	Guatemala	Honduras	0	0	CAG	SV	0	1412	1413	0	0	60	58
1935	04	01	Mexico	Honduras	8	2	CAG	SV	15	1696	1398	+3	−3	18	61
1935	04	03	Costa Rica	Honduras	6	0	CAG	SV	7	1826	1391	0	+1	12	60
1937	10	11	El Salvador	Honduras	3	2	F		6	1440	1385	0	−2	55	60
1946	02	23	Panama	Honduras	1	0	CCF	CR	33	1310	1352	+10	−3	75	68
1946	02	28	Honduras	Guatemala	5	3	CCF	CR	56	1408	1483	+5	−6	63	55
1946	03	07	Costa Rica	Honduras	5	1	CCF		9	1708	1399	+2	−1	19	64
1946	03	10	El Salvador	Honduras	3	1	CCF	CR	27	1526	1372	+3	−2	52	66
1946	03	13	Honduras	Nicaragua	10	0	CCF	CR	14	1386	994	+1	−2	65	97
1950	03	06	Guatemala	Honduras	0	1	CAC		-29	1428	1415	−4	+3	68	69
1950	03	09	Netherlands Antilles	Honduras	2	1	CAC	GT	18	1476	1397	+1	−1	62	70
1950	03	11	Honduras	El Salvador	2	1	CAC	GT	23	1420	1427	+1	−3	69	68
1950	03	14	Guatemala	Honduras	0	1	CAC		-25	1391	1445	−3	+3	72	65
1951	08	17	Curaçao	Honduras	3	1	FT		14	1490	1431	+4	−2	59	69
1953	03	08	Honduras	Nicaragua	2	1	CCF	CR	3	1434	961	0	0	73	120
1953	03	11	Guatemala	Honduras	1	0	CCF	CR	28	1426	1406	+5	−5	72	77
1953	03	13	Costa Rica	Honduras	4	1	CCF		14	1613	1392	+1	−2	39	78
1953	03	15	Honduras	El Salvador	3	0	CCF	CR	40	1432	1322	+5	−4	73	85
1953	03	19	Honduras	Netherlands Antilles	4	3	CCF	CR	30	1462	1473	+8	−7	65	64
1953	03	21	Honduras	Panama	3	1	CCF	CR	21	1483	1282	+2	−5	63	97
1955	06	18	El Salvador	Honduras	2	2	F		-1	1413	1484	0	+2	83	66
1955	06	19	El Salvador	Honduras	0	0	F		-1	1412	1485	0	0	83	66
1955	08	14	Honduras	Cuba	3	0	CCF		22	1507	1373	+2	−3	64	89
1955	08	17	Honduras	El Salvador	3	1	CCF		21	1528	1418	+5	−2	59	80
1955	08	20	Honduras	Curaçao	0	2	CCF		-56	1472	1499	−10	+13	69	65
1955	08	22	Honduras	Aruba	1	1	CCF		-9	1463	1444	−3	+2	72	78
1955	08	28	Honduras	Costa Rica	1	2	CCF		-15	1448	1721	−4	+1	76	23
1957	08	11	Honduras	Panama	2	1	CCF	CW	13	1461	1249	+2	−1	74	116
1957	08	16	Haiti	Honduras	2	1	CCF	CW	26	1467	1435	+6	−5	73	79
1957	08	21	Honduras	Cuba	2	0	CCF	CW	19	1454	1223	+3	−2	76	119
1957	08	25	Curaçao	Honduras	1	1	CCF		-11	1511	1465	−2	+1	61	75
1959	12	13	El Salvador	Honduras	1	0	RVC		13	1431	1452	+2	−2	85	79
1959	12	14	Costa Rica	Honduras	6	1	RVC	SV	10	1751	1442	+3	−1	23	80
1960	02	19	Honduras	Netherlands Antilles	3	3	CCF	CU	4	1446	1487	+1	0	78	72
1960	02	21	Honduras	Surinam	1	1	CCF	CU	5	1451	1513	+1	0	77	61
1960	02	25	Costa Rica	Honduras	1	1	CCF	CU	-18	1740	1469	−3	+1	25	76
1960	02	27	Cuba	Honduras	2	1	CCF		39	1194	1430	+5	−7	123	83
1960	09	04	Honduras	Costa Rica	2	1	WQ		29	1459	1661	+6	−3	78	35
1960	09	11	Costa Rica	Honduras	5	0	WQ		12	1673	1447	+1	−1	34	79
1960	09	25	Honduras	Guatemala	1	1	WQ		-8	1439	1418	0	+5	79	87
1961	01	14	Costa Rica	Honduras	1	0	WQ	GT	8	1681	1431	0	−2	32	81
1961	03	07	Honduras	Nicaragua	6	0	CCF	CR	9	1440	1004	+5	−1	78	144
1961	03	10	Honduras	Netherlands Antilles	4	2	CCF	CR	46	1486	1470	+8	−9	71	75
1961	03	12	El Salvador	Honduras	1	0	CCF	CR	28	1474	1458	+5	−6	74	77
1961	03	15	Costa Rica	Honduras	3	0	CCF		10	1723	1448	0	−2	26	79
1961	03	17	Honduras	Haiti	2	0	CCF	CR	43	1491	1452	+8	−7	71	78
1961	03	19	El Salvador	Honduras	5	1	CCF	CR	45	1550	1446	+14	−7	54	78
1963	03	02	Guatemala	Honduras	1	2	F		-12	1411	1458	−2	+5	90	79
1963	03	10	Guatemala	Honduras	2	1	F		8	1419	1450	+2	−2	88	81
1963	03	25	Honduras	Nicaragua	1	0	CCH	SV	3	1453	987	+1	−1	79	149
1963	03	27	El Salvador	Honduras	2	2	CCH		-12	1518	1465	−4	0	66	79
1963	03	29	Honduras	Guatemala	2	1	CCH	SV	21	1486	1389	+6	−4	73	94
1963	03	31	Honduras	Panama	1	0	CCH	SV	9	1495	1223	+3	−1	70	128
1963	04	03	Netherlands Antilles	Honduras	4	1	CCH	SV	33	1618	1462	+4	−8	45	79
1963	04	05	El Salvador	Honduras	3	0	CCH		30	1506	1432	+10	−4	67	83
1963	04	07	Costa Rica	Honduras	2	1	CCH	SV	6	1788	1426	0	−4	20	87
1965	02	28	Honduras	Mexico	0	1	WQ		-7	1419	1813	−1	+1	85	17
1965	03	04	Mexico	Honduras	3	0	WQ		4	1817	1415	0	−1	17	86
1965	03	11	Nicaragua	Honduras	2	0	CCQ	SV	56	1014	1359	+4	−18	151	104
1965	03	14	El Salvador	Honduras	3	1	CCQ		10	1541	1349	+1	−1	59	106
1965	03	17	Honduras	United States	0	1	WQ		-19	1330	1494	−4	+3	110	73
1965	03	21	Honduras	United States	1	1	WQ		4	1334	1490	+1	−1	109	75
1965	07	11	Honduras	Costa Rica	1	1	F		7	1341	1749	+1	0	108	23
1967	01	18	Guatemala	Honduras	3	1	F		5	1512	1336	+1	0	64	105
1967	01	22	Honduras	Guatemala	1	1	F		2	1338	1510	0	0	105	64
1967	03	05	Honduras	Trinidad and Tobago	1	0	CCH		26	1364	1428	+3	−6	101	90
1967	03	08	Honduras	Nicaragua	1	1	CCH		-21	1343	1074	−3	0	104	154
1967	03	12	Honduras	Guatemala	0	0	CCH		10	1353	1574	+1	−1	103	49
1967	03	16	Honduras	Haiti	2	0	CCH		37	1390	1412	+4	−9	99	93
1967	03	19	Honduras	Mexico	0	1	CCH		-7	1383	1806	0	0	99	17
1968	07	17	Honduras	El Salvador	0	0	F		2	1385	1560	+1	0	100	58
1968	07	31	El Salvador	Honduras	2	1	F		3	1563	1382	0	−1	58	101
1968	12	05	Honduras	Jamaica	3	1	WQ		13	1395	1246	+3	−2	96	124
1968	12	08	Honduras	Jamaica	2	0	WQ		12	1407	1234	+3	−2	93	126
1968	12	22	Honduras	Costa Rica	1	0	WQ		30	1437	1670	+11	−5	83	34
1968	12	29	Costa Rica	Honduras	1	1	WQ		-15	1655	1452	−2	+3	36	80
1969	06	08	Honduras	El Salvador	1	0	WQ		19	1471	1516	+4	0	75	65
1969	06	15	El Salvador	Honduras	3	0	WQ		21	1537	1450	+1	−6	64	81
1969	06	27	El Salvador	Honduras	3	2	WQ	MX	15	1552	1435	+3	−3	60	84
1970	06	13	Honduras	Panama	1	0	F		2	1437	1161	0	0	83	142
1971	10	04	Honduras	Guatemala	1	0	CCQ		23	1460	1564	+7	−4	75	57
1971	10	07	Guatemala	Honduras	1	1	CCQ		-11	1553	1471	−2	+3	59	72
1971	11	21	Trinidad and Tobago	Honduras	1	1	CCH		1	1363	1470	0	0	102	73
1971	11	23	Cuba	Honduras	3	1	CCH	TT	49	1414	1421	+11	−14	88	87
1971	11	28	Costa Rica	Honduras	2	1	CCH	TT	8	1706	1413	0	+1	34	86
1971	12	01	Haiti	Honduras	3	1	CCH	TT	21	1603	1392	+3	−8	50	94
1971	12	04	Mexico	Honduras	2	1	CCH	TT	6	1754	1386	+2	−1	25	95
1972	12	03	Honduras	Costa Rica	2	1	WCQ		28	1414	1608	+9	−7	87	47
