year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1947	04	20	Hong Kong	South Vietnam	3	2	F		7	1407	1393	−	−	66	69
1948	02	21	Hong Kong	Philippines	4	1	F		6	1413	1211	+1	0	68	96
1948	03	00	South Vietnam	Hong Kong	7	0	F		17	1410	1396	+3	−2	68	70
1948	03	28	South Vietnam	Hong Kong	1	2	F		-13	1397	1409	−2	+2	70	68
1948	04	24	Hong Kong	China	3	1	F		20	1429	1606	+3	−1	65	37
1948	04	25	Hong Kong	China	3	7	F		-15	1414	1621	−3	+1	68	36
1949	01	01	Hong Kong	South Korea	2	5	F		-8	1406	1722	−1	+1	69	22
1949	01	09	Hong Kong	South Korea	2	4	F		-7	1399	1729	0	+1	69	21
1949	01	29	Hong Kong	South Vietnam	3	1	F		11	1410	1386	+1	−2	68	72
1949	05	07	Hong Kong	Macao	7	0	F		4	1414	1094	+1	0	68	103
1950	02	17	Hong Kong	Burma	5	2	F		8	1422	1298	+1	−2	67	89
1950	02	19	Hong Kong	Philippines	6	1	F		6	1428	1200	0	−1	67	103
1950	02	20	Hong Kong	Burma	4	2	F		6	1434	1292	+1	−2	66	91
1950	04	15	Hong Kong	South Korea	3	6	F		-9	1425	1734	0	+6	68	17
1950	04	19	Hong Kong	South Korea	1	0	F		15	1440	1719	0	−6	68	23
1953	01	24	Hong Kong	Singapore	2	2	AHM		-9	1431	1312	−1	+3	71	89
1953	01	25	Hong Kong	Singapore	3	0	AHM		12	1443	1300	+1	−4	70	93
1953	04	04	Philippines	Hong Kong	1	7	F		-13	1187	1456	−1	+5	109	67
1953	04	26	Hong Kong	Indonesia	2	3	F		-13	1443	1468	−5	+3	72	65
1954	04	17	Singapore	Hong Kong	2	0	AHM		26	1309	1417	+9	−6	98	82
1954	04	24	Hong Kong	India	2	2	F		3	1420	1640	0	0	82	32
1954	05	02	Hong Kong	South Korea	3	3	ASG	PH	14	1434	1712	+4	−2	79	21
1954	05	06	Hong Kong	Afghanistan	4	2	ASG	PH	3	1437	904	0	0	78	133
1954	06	02	Hong Kong	Taiwan	2	2	F		6	1443	1754	+2	0	77	17
1954	11	27	Hong Kong	Singapore	1	1	AHM		-10	1433	1293	−1	+4	78	103
1954	11	28	Hong Kong	Singapore	3	2	AHM		6	1439	1287	0	−3	78	106
1956	09	01	Hong Kong	Israel	2	3	AC		-33	1406	1464	−5	+9	85	73
1956	09	06	Hong Kong	South Korea	2	2	AC		9	1415	1625	0	−1	85	40
1956	09	09	Hong Kong	South Vietnam	2	2	AC		-6	1409	1439	0	0	85	81
1956	09	18	Hong Kong	South Korea	2	4	F		-9	1400	1664	−1	+2	85	31
1957	01	31	Hong Kong	India	1	1	F		1	1401	1543	0	0	86	57
1957	08	31	Hong Kong	Cambodia	6	2	MRD	AY	9	1410	1097	+1	0	86	129
1957	09	02	Hong Kong	Indonesia	2	1	MRD	AY	19	1429	1475	+5	−5	81	71
1957	09	04	Malaya	Hong Kong	3	3	MRD		2	1292	1427	+1	−1	105	83
1957	09	07	Hong Kong	South Vietnam	3	1	MRD	AY	21	1448	1389	+4	−2	78	89
1958	02	18	Hong Kong	South Korea	3	2	F		13	1461	1656	+1	−4	76	38
1958	02	25	Hong Kong	South Korea	1	1	F		3	1464	1653	0	0	76	38
1958	04	06	Macao	Hong Kong	1	3	F		-5	1087	1469	−1	+2	134	74
1958	04	19	Singapore	Hong Kong	1	3	F		-11	1260	1480	−1	+4	115	70
1958	04	23	Singapore	Hong Kong	1	4	F		-12	1248	1492	−1	+5	116	65
1958	05	14	Hong Kong	Taiwan	2	1	F		13	1505	1673	+3	−1	63	32
1958	05	25	Hong Kong	Philippines	4	1	ASG	JP	6	1511	1079	−1	0	64	134
1958	05	28	Japan	Hong Kong	0	2	ASG		-22	1291	1533	−6	+3	107	60
1958	05	30	India	Hong Kong	5	2	ASG	JP	34	1573	1499	+5	−4	51	64
1958	06	04	Hong Kong	Malaya	2	2	F		-7	1492	1310	−1	+2	65	101
1958	08	31	Hong Kong	South Vietnam	5	3	MRD	AY	17	1509	1392	+2	−4	63	91
1958	09	01	Malaya	Hong Kong	3	0	MRD		32	1364	1477	+4	−9	96	72
1958	09	03	Hong Kong	Singapore	2	0	MRD	AY	8	1485	1214	+2	−1	70	121
1958	09	04	Hong Kong	Indonesia	2	1	MRD	AY	19	1504	1555	+7	−6	63	56
1958	12	25	Hong Kong	Japan	5	2	F		5	1509	1286	0	−2	64	110
1959	03	29	Philippines	Hong Kong	0	7	SQ		-14	1095	1523	−1	+4	134	62
1959	04	03	Taiwan	Hong Kong	7	4	SQ	PH	16	1754	1507	+2	−4	21	66
1959	08	22	Hong Kong	Taiwan	1	3	F		-9	1498	1763	−5	0	70	21
1959	08	31	Hong Kong	Japan	1	1	MRD	AY	-8	1490	1307	−1	+1	72	106
1959	09	02	Hong Kong	Japan	4	2	MRD	AY	12	1502	1295	+2	−2	70	108
1959	09	03	India	Hong Kong	2	0	MRD	AY	21	1545	1481	+6	−4	57	74
1959	09	05	South Vietnam	Hong Kong	4	1	MRD	AY	31	1451	1450	+6	−6	79	80
1959	09	06	Malaya	Hong Kong	2	1	MRD		13	1415	1437	+4	−2	88	82
1959	09	10	South Korea	Hong Kong	3	2	F	AY	5	1650	1432	0	0	39	82
1960	08	06	Hong Kong	South Vietnam	3	1	MRD	AY	27	1459	1478	+4	−7	78	73
1960	08	08	South Korea	Hong Kong	3	1	MRD	AY	10	1677	1449	+2	−1	34	79
1960	08	11	Indonesia	Hong Kong	3	1	MRD	AY	20	1501	1429	+4	−6	68	85
1960	08	13	Hong Kong	Singapore	3	2	MRD	AY	5	1434	1147	+2	−2	82	133
1961	08	04	Hong Kong	Indonesia	2	2	MRD	AY	5	1439	1545	+2	−1	80	56
1961	08	06	Hong Kong	Thailand	2	1	MRD	AY	5	1444	1159	+1	0	78	130
1961	08	10	Singapore	Hong Kong	4	3	MRD	AY	25	1194	1419	+3	−6	126	85
1961	12	02	Hong Kong	Yugoslavia	1	2	F		-1	1418	1967	0	0	89	6
1961	12	03	Hong Kong	Yugoslavia	1	6	F		-3	1415	1970	−2	0	91	6
1962	06	09	Singapore	Hong Kong	2	6	AHM		-20	1187	1435	−7	+5	134	84
1962	11	30	Hong Kong	Sweden	0	7	F		-6	1429	1874	−2	+1	87	11
1963	11	20	Hong Kong	Singapore	3	4	F		-17	1412	1252	−3	+5	88	120
1963	12	07	Hong Kong	Thailand	3	3	SQ	RV	-10	1402	1240	−6	+5	94	123
1963	12	11	South Vietnam	Hong Kong	1	4	SQ		-49	1404	1451	−10	+12	91	82
1963	12	14	Hong Kong	Malaysia	4	3	SQ	RV	16	1467	1357	+5	−2	77	106
